代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10939881.219999998807907
真實報酬,939881.219999998807907

夏普值報酬,0.085288122000000
夏普值風險,0.040888478414466
夏普值,2.085871749383192

預期報酬,8260.734381513952030
風險,245250.553163855860475
趨勢值,0.033682836898618
找到最佳解世代,2699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),CSCO[4](5),NKE[19](4),
Stock#,AAPL[0](1),CSCO[4](5),NKE[19](4),
張數,19908,80243,48861,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,136.560000000055879,38.780000000260770,35.580000000074506,
20180201,3340300.800000000279397,3346171.880000000353903,3305482.230000000447035,9991955.910000000149012
20180202,3195370.560000000055879,3284384.770000000018626,3284472.000000000000000,9764228.330000000074506
20180205,3115539.480000000447035,3111862.320000000298023,3146195.370000000111759,9373598.170000001788139
20180206,3245737.800000000279397,3223400.090000000316650,3186750.000000000000000,9655888.890000000596046
20180207,3176258.879999999888241,3237041.400000000372529,3206783.009999999776483,9620084.289999999105930
20180208,3088862.760000000242144,3111059.890000000596046,3053359.470000000204891,9253283.120000001043081
20180209,3113946.839999999850988,3172044.570000000298023,3199942.469999999739230,9485934.879999998956919
20180212,3239367.240000000223517,3257904.580000000540167,3223884.360000000335276,9721157.179999999701977
20180213,3271817.280000000260770,3308457.669999999925494,3218509.650000000372529,9798785.600000001490116
20180214,3332138.520000000018626,3377466.650000000372529,3320629.139999999664724,10030235.309999998658895
20180215,3444021.480000000447035,3537150.220000000204891,3336753.270000000484288,10317925.970000002533197
20180216,3432873.000000000000000,3557210.970000000204891,3337241.879999999888241,10327326.850000001490116
20180220,3421326.359999999869615,3535545.360000000335276,3297664.469999999739230,10254537.190000001341105
20180221,3405798.120000000111759,3475363.110000000335276,3276165.629999999888241,10157327.859999999403954
20180222,3434266.560000000055879,3445673.200000000186265,3280074.509999999776483,10160015.269999999552965
20180223,3493990.560000000055879,3530730.780000000260770,3330401.339999999850988,10355123.679999999701977
20180226,3563071.319999999832362,3639861.260000000242144,3403204.230000000447035,10606137.810000000521541
20180227,3551524.679999999701977,3614183.500000000000000,3324049.410000000149012,10489758.589999999850988
20180228,3546149.520000000018626,3593320.320000000298023,3275188.410000000149012,10414659.250000000000000
20180301,3484036.560000000055879,3514682.180000000167638,3240497.099999999627471,10239216.839999999850988
20180302,3508125.240000000223517,3535545.360000000335276,3219486.870000000111759,10263158.470000000670552
20180305,3520269.120000000111759,3572457.140000000596046,3178443.629999999888241,10271170.890000000596046
20180306,3517282.919999999925494,3554001.250000000000000,3187727.219999999739230,10259012.390000000596046
20180307,3484633.800000000279397,3546779.380000000353903,3135445.950000000186265,10166860.130000000819564
20180308,3522658.080000000074506,3558013.400000000372529,3181375.290000000037253,10262047.769999999552965
20180309,3583178.399999999906868,3640663.689999999944121,3239519.879999999888241,10463362.969999998807907
20180312,3617818.319999999832362,3655107.430000000167638,3264927.599999999627471,10537854.349999999627471
20180313,3582979.319999999832362,3623812.660000000149012,3233167.950000000186265,10439960.929999999701977
20180314,3552520.080000000074506,3633441.820000000298023,3234633.780000000260770,10420596.679999999701977
20180315,3556700.760000000242144,3637453.970000000204891,3243917.370000000111759,10438073.100000001490116
20180316,3544158.720000000204891,3611776.209999999962747,3220464.089999999850988,10376400.019999999552965
20180319,3490008.960000000428408,3552396.390000000596046,3210691.889999999664724,10253098.240000002086163
20180320,3488814.480000000447035,3560420.689999999944121,3263950.379999999888241,10313186.550000000745058
20180321,3409779.720000000204891,3555606.110000000335276,3241962.929999999701977,10207349.759999999776483
20180322,3361602.359999999869615,3456104.790000000502914,3147661.200000000186265,9965369.350000001490116
20180323,3283762.080000000074506,3403946.840000000316650,3157922.009999999776483,9845631.929999999701977
20180326,3439641.720000000204891,3535545.360000000335276,3219975.480000000447035,10195163.560000000521541
20180327,3351449.280000000260770,3424810.020000000018626,3233167.950000000186265,10009428.250000000000000
20180328,3314420.399999999906868,3342962.160000000149012,3197499.419999999925494,9854882.980000000447035
20180329,3340300.800000000279397,3441661.050000000279397,3246360.419999999925494,10028323.269999999552965
20180402,3318402.000000000000000,3290804.209999999962747,3133002.900000000372529,9742210.109999999403954
20180403,3352444.679999999701977,3320494.120000000577420,3259064.280000000260770,9932004.080000001937151
20180404,3416548.440000000409782,3306050.380000000353903,3343105.200000000186265,10065705.019999999552965
20180405,3440238.960000000428408,3355801.040000000502914,3400272.570000000298023,10196313.570000000298023
20180406,3352245.600000000093132,3268336.169999999925494,3300596.129999999888241,9921178.899999998509884
20180409,3385491.960000000428408,3303643.090000000316650,3282517.560000000521541,9971653.610000001266599
20180410,3449197.560000000055879,3411168.709999999962747,3273722.580000000074506,10134089.849999999627471
20180411,3433072.080000000074506,3404749.270000000018626,3265416.209999999962747,10103238.559999998658895
20180412,3466915.679999999701977,3477770.400000000372529,3311345.549999999813735,10256032.629999998956919
20180413,3478661.399999999906868,3450487.780000000260770,3285937.830000000074506,10215088.009999999776483
20180416,3500361.120000000111759,3474560.680000000167638,3276654.240000000223517,10251577.040000000968575
20180417,3548538.480000000447035,3578074.150000000372529,3298641.690000000409782,10425255.320000000298023
20180418,3540575.280000000260770,3581283.870000000577420,3234633.780000000260770,10356493.929999999701977
20180419,3440238.960000000428408,3575666.860000000335276,3211669.110000000335276,10227575.929999999701977
20180420,3299290.319999999832362,3537952.650000000372529,3229259.070000000298023,10066503.040000000968575
20180423,3289734.480000000447035,3550791.530000000260770,3267859.259999999776483,10108386.269999999552965
20180424,3243946.080000000074506,3509867.600000000558794,3272256.750000000000000,10026071.429999999701977
20180425,3258080.760000000242144,3507460.310000000521541,3257598.450000000186265,10023140.519999999552965
20180426,3269428.319999999832362,3547581.810000000521541,3325026.629999999888241,10142037.760000001639128
20180427,3231603.120000000111759,3587703.310000000521541,3398806.740000000223517,10218114.170000001788139
20180430,3290132.639999999664724,3554001.250000000000000,3341639.370000000111759,10185774.259999999776483
20180501,3366579.359999999869615,3597332.470000000204891,3327469.679999999701977,10291382.509999999776483
20180502,3515292.120000000111759,3519496.760000000242144,3335287.440000000409782,10370077.320000000298023
20180503,3521662.679999999701977,3566037.700000000186265,3268836.480000000447035,10356537.859999999403954
20180504,3659824.200000000186265,3635046.680000000167638,3327469.679999999701977,10622341.560000000521541
20180507,3686301.839999999850988,3669551.169999999925494,3388057.320000000298023,10743911.330000000074506
20180508,3704019.960000000428408,3667946.310000000521541,3345059.639999999664724,10717026.910000000149012
20180509,3730099.440000000409782,3694426.500000000000000,3320140.530000000260770,10744667.470000000670552
20180510,3783452.879999999888241,3715289.680000000167638,3318674.700000000186265,10817418.260000001639128
20180511,3754586.280000000260770,3685599.770000000018626,3343593.810000000521541,10783780.860000001266599
20180514,3745826.760000000242144,3667143.880000000353903,3363626.820000000298023,10776598.460000000894070
