代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11881429.550000000745058
真實報酬,1881429.550000000745058

夏普值報酬,0.179442955000000
夏普值風險,0.054594062774781
夏普值,3.286858421588118

預期報酬,16764.152904376216611
風險,235094.972420423408039
趨勢值,0.071308002599038
找到最佳解世代,2108
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),INTC[11](5),NKE[19](2),
Stock#,CSCO[4](3),INTC[11](5),NKE[19](2),
張數,89365,74338,55169,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.500000000465661,17.079999999608845,22.020000000018626,
20171201,3360142.500000000465661,3321438.919999999459833,3303541.740000000223517,9985124.160000000149012
20171204,3370866.300000000279397,3307314.699999999720603,3315678.919999999925494,9993860.919999999925494
20171205,3334226.650000000838190,3229259.799999999348074,3333333.000000000000000,9896820.449999999254942
20171206,3343163.150000000372529,3230003.179999999701977,3294714.700000000186265,9867882.030000001192093
20171207,3342269.500000000465661,3202498.119999999646097,3343263.419999999925494,9888032.039999999105930
20171208,3361036.150000000372529,3222569.379999999888241,3381881.719999999739230,9965488.250000000000000
20171211,3392313.900000000372529,3245614.159999999217689,3415534.810000000055879,10053463.869999999180436
20171212,3387845.650000000372529,3221082.619999999646097,3429878.750000000000000,10038808.019999999552965
20171213,3409293.250000000465661,3221826.000000000000000,3547388.719999999739230,10178508.969999998807907
20171214,3386952.000000000465661,3215878.959999999497086,3560077.589999999850988,10162909.550000000745058
20171215,3412867.850000000093132,3312518.359999999869615,3574421.530000000260770,10299808.740000000223517
20171218,3438783.700000000186265,3438892.959999999497086,3575524.910000000149012,10453202.570000000298023
20171219,3422698.000000000000000,3496876.599999999627471,3544078.579999999608845,10463654.179999999701977
20171220,3462018.600000000558794,3535532.359999999869615,3508218.729999999981374,10505770.690000001341105
20171221,3443251.950000000651926,3476061.959999999497086,3573318.149999999906868,10492633.060000000521541
20171222,3445039.250000000000000,3471601.679999999701977,3491668.029999999795109,10408309.959999999031425
20171226,3438783.700000000186265,3425512.119999999646097,3511528.870000000111759,10375825.690000001341105
20171227,3445932.900000000838190,3427742.259999999776483,3472910.570000000298023,10346586.730000000447035
20171228,3448613.850000000558794,3435919.439999999478459,3472910.570000000298023,10357444.859999999403954
20171229,3422698.000000000000000,3431459.159999999217689,3450842.969999999739230,10305001.129999998956919
20180102,3472742.400000000372529,3482752.379999999888241,3502701.830000000074506,10458197.609999999403954
20180103,3500445.550000000745058,3364554.959999999497086,3502150.139999999664724,10367151.649999998509884
20180104,3484359.850000000558794,3302854.419999999459833,3499943.379999999888241,10287158.649999998509884
20180105,3532616.950000000651926,3325899.199999999720603,3529734.639999999664724,10388251.789999999105930
20180108,3569256.600000000093132,3325899.199999999720603,3561180.969999999739230,10456337.769999999552965
20180109,3546915.350000000093132,3242640.639999999199063,3535803.229999999981374,10325360.219999998807907
20180110,3566575.650000000372529,3159382.079999999608845,3542975.200000000186265,10268933.929999999701977
20180111,3583555.000000000465661,3227029.659999999217689,3546837.030000000260770,10357422.690000001341105
20180112,3652366.050000000279397,3214392.199999999720603,3567801.250000000000000,10434560.500000000000000
20180116,3622875.600000000558794,3206958.399999999441206,3498840.000000000000000,10328675.000000000000000
20180117,3681856.500000000931323,3299880.899999999441206,3520355.910000000149012,10502094.310000000521541
20180118,3690793.000000000000000,3306571.319999999366701,3536906.609999999869615,10534271.929999999701977
20180119,3689899.350000000558794,3331846.239999999757856,3707930.509999999776483,10729677.099999999627471
20180122,3722964.400000000372529,3400980.579999999608845,3662691.930000000167638,10786637.910000000149012
20180123,3762285.000000000465661,3424025.359999999869615,3704068.680000000167638,10890380.040000000968575
20180124,3768540.550000000745058,3383139.459999999497086,3751514.020000000018626,10903195.029999999329448
20180125,3744412.000000000465661,3367528.479999999515712,3735515.009999999776483,10847456.490000000223517
20180126,3803392.900000000838190,3722864.119999999646097,3753720.780000000260770,11279978.800000000745058
20180129,3829308.750000000465661,3715430.319999999366701,3728343.040000000037253,11273083.109999999403954
20180130,3775689.750000000465661,3626968.099999999627471,3714550.790000000037253,11117209.640000000596046
20180131,3712240.600000000558794,3578648.399999999441206,3763651.200000000186265,11054541.199999999254942
20180201,3726539.000000000931323,3542222.779999999329448,3732204.870000000111759,11000967.650000000372529
20180202,3657727.950000000651926,3430715.779999999329448,3708482.200000000186265,10796926.929999999701977
20180205,3465593.200000000651926,3309544.839999999850988,3552353.930000000167638,10327492.970000000670552
20180206,3589810.550000000745058,3338536.659999999217689,3598144.200000000186265,10526492.410000000149012
20180207,3605002.600000000558794,3360094.679999999701977,3620763.489999999757856,10585861.769999999552965
20180208,3464699.550000000745058,3177966.579999999608845,3447532.830000000074506,10090199.960000000894070
20180209,3532616.950000000651926,3267172.179999999701977,3613039.829999999608845,10412829.960000000894070
20180212,3628237.500000000465661,3332589.619999999646097,3640072.640000000130385,10600900.759999999776483
20180213,3684537.450000000186265,3305084.559999999590218,3634004.050000000279397,10623627.060000000521541
20180214,3761391.350000000558794,3373475.520000000018626,3749307.259999999776483,10884175.130000000819564
20180215,3939227.700000000186265,3413618.039999999571592,3767513.030000000260770,11120359.769999999552965
20180216,3961568.950000000186265,3386856.359999999869615,3768064.719999999739230,11116491.030000001192093
20180220,3937440.400000000838190,3443353.239999999757856,3723377.829999999608845,11104172.470000000670552
20180221,3870416.650000000838190,3415104.799999999348074,3699103.469999999739230,10984625.919999999925494
20180222,3837351.600000000093132,3404697.479999999515712,3703516.989999999757856,10945567.070000000298023
20180223,3932078.500000000465661,3548169.819999999366701,3760341.060000000055879,11240590.380000000819564
20180226,4053614.900000000372529,3650756.259999999776483,3842542.870000000111759,11546915.030000001192093
20180227,4025018.100000000558794,3710226.659999999217689,3753169.089999999850988,11488414.849999999627471
20180228,4001783.200000000651926,3664137.099999999627471,3698000.089999999850988,11363921.390000000596046
20180301,3914205.500000000000000,3556347.000000000000000,3658830.099999999627471,11129383.599999999627471
20180302,3937440.400000000838190,3641092.319999999366701,3635107.430000000167638,11213641.150000000372529
20180305,3978548.300000000745058,3698332.579999999608845,3588765.469999999739230,11265647.350000001490116
20180306,3957994.350000000558794,3769697.059999999590218,3599247.579999999608845,11326939.990000000223517
20180307,3949951.500000000931323,3815043.239999999757856,3540216.750000000000000,11305212.490000000223517
20180308,3962462.600000000558794,3771927.199999999720603,3592075.609999999869615,11326466.410000000149012
20180309,4054508.550000000279397,3879717.299999999348074,3657726.719999999739230,11591953.570000000298023
20180312,4070594.250000000000000,3829910.839999999850988,3686414.599999999627471,11586920.689999999478459
20180313,4035741.900000000372529,3849238.719999999739230,3650554.750000000000000,11535536.370000001043081
20180314,4046465.700000000651926,3855185.759999999776483,3652209.820000000298023,11553862.280000001192093
20180315,4050933.950000000186265,3782334.520000000018626,3662691.930000000167638,11495961.400000000372529
20180316,4022337.150000000372529,3803892.539999999571592,3636210.810000000055879,11462441.500000000000000
20180319,3956207.050000000745058,3778617.619999999646097,3625177.009999999776483,11360002.679999999701977
20180320,3965143.550000000279397,3832140.979999999515712,3685311.219999999739230,11482596.750000000000000
20180321,3959781.650000000838190,3832884.359999999869615,3660485.169999999925494,11453152.179999999701977
20180322,3848969.050000000279397,3778617.619999999646097,3554009.000000000000000,11181596.669999999925494
20180323,3790881.800000000745058,3669340.759999999776483,3565594.489999999757856,11025818.050000000745058
20180326,3937440.400000000838190,3901275.319999999366701,3635659.120000000111759,11474375.839999999850988
20180327,3814116.700000000651926,3805379.299999999348074,3650554.750000000000000,11270051.750000000000000
20180328,3722964.400000000372529,3687181.879999999888241,3610281.379999999888241,11020428.660000000149012
20180329,3832883.350000000558794,3871540.119999999646097,3665450.379999999888241,11369874.850000001490116
20180402,3664877.150000000372529,3636632.039999999571592,3537458.300000000279397,10838968.490000000223517
20180403,3697942.200000000651926,3698332.579999999608845,3679794.320000000298023,11076070.100000001490116
20180404,3681856.500000000931323,3716173.699999999720603,3774685.000000000000000,11172716.200000001117587
20180405,3737262.800000000279397,3745165.520000000018626,3839232.729999999981374,11321662.050000000745058
20180406,3639854.950000000186265,3626968.099999999627471,3726687.969999999739230,10993512.019999999552965
20180409,3679175.550000000745058,3683464.979999999515712,3706275.440000000409782,11068916.970000000670552
20180410,3798924.650000000372529,3811326.339999999850988,3696345.020000000018626,11306597.009999999776483
20180411,3791775.450000000651926,3798688.879999999888241,3686966.290000000037253,11277431.620000001043081
20180412,3873097.600000000558794,3919116.439999999478459,3738825.149999999906868,11531040.189999999478459
20180413,3842713.500000000465661,3855185.759999999776483,3710137.270000000018626,11408037.529999999329448
20180416,3869523.000000000000000,3895328.279999999329448,3699655.160000000149012,11464507.439999999478459
20180417,3984803.850000000558794,3980073.599999999627471,3724481.210000000428408,11689359.660000000149012
20180418,3988378.450000000651926,3985277.259999999776483,3652209.820000000298023,11625866.530000001192093
20180419,3982122.900000000838190,3881947.439999999478459,3626280.390000000130385,11490351.730000000447035
20180420,3940121.350000000558794,3830654.219999999739230,3646141.229999999981374,11416917.800000000745058
20180423,3954419.750000000465661,3798688.879999999888241,3689724.739999999757856,11442834.370000001043081
20180424,3908843.600000000558794,3824707.179999999701977,3694689.950000000186265,11428241.730000000447035
20180425,3906162.650000000372529,3819503.520000000018626,3678139.250000000000000,11403806.419999999925494
20180426,3950845.150000000372529,3943647.979999999515712,3754272.469999999739230,11648766.599999999627471
20180427,3995527.650000000372529,3919859.819999999366701,3837577.660000000149012,11752966.129999998956919
20180430,3957994.350000000558794,3837344.639999999199063,3773029.930000000167638,11568369.919999999925494
20180501,4006251.450000000186265,3964462.619999999646097,3757030.919999999925494,11727745.990000000223517
20180502,3919567.400000000372529,3888637.859999999869615,3765857.960000000428408,11574064.220000000670552
20180503,3971399.100000000093132,3886407.719999999739230,3690828.120000000111759,11548635.940000001341105
20180504,4048253.000000000000000,3923576.719999999739230,3757030.919999999925494,11728861.640000000596046
20180507,4086679.950000000186265,3964462.619999999646097,3825440.479999999981374,11876584.050000000745058
20180508,4084892.650000000372529,3986764.020000000018626,3776891.759999999776483,11848549.429999999701977
20180509,4114383.100000000558794,4039544.000000000000000,3748755.570000000298023,11902683.670000001788139
20180510,4137618.000000000000000,4087120.319999999366701,3747100.500000000000000,11971839.820000000298023
20180511,4104552.950000000651926,4064075.539999999571592,3775236.690000000409782,11943866.179999999701977
