代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12326398.339999999850988
真實報酬,2326398.339999999850988

夏普值報酬,0.223939834000000
夏普值風險,0.072466579474176
夏普值,3.090249817570089

預期報酬,23054.661542432168062
風險,167188.441891854570713
趨勢值,0.137896264128982
找到最佳解世代,1572
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
BA[2](11),MCD[15](10),MRK[17](9),MSFT[18](3),NKE[19](16),V[25](2),
Stock#,BA[2](11),MCD[15](10),MRK[17](9),MSFT[18](3),NKE[19](16),V[25](2),
張數,38840,30269,55537,70861,117702,101874,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,41.600000000093132,54.859999999869615,0.629999999888241,15.280000000027940,5.679999999934807,7.360000000102445,
20090803,1700845.199999999953434,1668784.829999999841675,1667221.369999999878928,1688632.909999999916181,1666666.000000000000000,1760390.080000000307336,10152544.389999998733401
20090804,1715216.000000000000000,1665152.549999999813735,1657224.709999999962747,1684381.250000000000000,1693737.459999999962747,1759371.340000000083819,10175087.309999998658895
20090805,1710166.800000000046566,1667574.070000000065193,1644451.199999999953434,1687215.689999999944121,1678436.199999999953434,1742052.760000000242144,10129900.720000000670552
20090806,1768038.400000000139698,1660006.820000000065193,1630566.949999999953434,1662414.340000000083819,1696091.500000000000000,1748165.200000000186265,10165287.210000000894070
20090807,1813481.199999999953434,1670903.659999999916181,1671664.330000000074506,1669500.439999999944121,1709038.719999999972060,1761408.820000000065193,10296001.169999999925494
20090810,1777748.400000000139698,1703291.489999999990687,1699432.830000000074506,1659579.900000000139698,1681967.259999999776483,1754277.639999999897555,10276301.520000001415610
20090811,1762989.200000000186265,1695724.239999999990687,1684437.839999999850988,1639030.209999999962747,1671374.079999999841675,1747146.459999999962747,10200706.030000001192093
20090812,1799887.200000000186265,1702988.799999999813735,1707208.009999999776483,1667374.610000000102445,1692560.439999999944121,1743071.500000000000000,10313094.560000000521541
20090813,1810762.399999999906868,1688459.679999999934807,1720536.889999999897555,1673752.100000000093132,1700799.579999999841675,1749183.940000000176951,10343498.589999999850988
20090814,1742792.399999999906868,1673022.489999999990687,1720536.889999999897555,1678712.370000000111759,1673728.120000000111759,1726771.659999999916181,10215567.929999999701977
20090817,1715216.000000000000000,1649715.359999999869615,1714983.189999999944121,1647533.530000000027940,1631355.399999999906868,1692134.500000000000000,10050941.980000000447035
20090818,1700456.800000000046566,1672719.799999999813735,1705541.899999999906868,1670917.659999999916181,1636063.479999999981374,1706396.860000000102445,10092100.500000000000000
20090819,1690358.400000000139698,1684524.709999999729916,1748305.389999999897555,1675877.929999999934807,1670197.059999999823049,1711490.560000000288710,10180758.050000000745058
20090820,1737743.200000000186265,1699356.519999999785796,1740530.209999999962747,1677295.150000000139698,1677259.179999999934807,1726771.659999999916181,10258959.919999999925494
20090821,1781632.399999999906868,1703291.489999999990687,1808285.350000000093132,1729732.290000000037253,1637240.500000000000000,1757333.860000000102445,10417519.890000000596046
20090824,1830570.800000000279397,1692394.649999999674037,1804953.129999999888241,1746030.320000000065193,1647833.679999999934807,1730846.619999999878928,10452633.199999999254942
