訓練日期,20111208 - 20120313
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12037648.580000000074506
真實報酬,2037648.580000000074506

夏普值報酬,0.195064858000000
夏普值風險,0.052688359580553
夏普值,3.702238208835766

預期報酬,29542.277111514435092
風險,77081.398442667748895
趨勢值,0.383260782865631
找到最佳解世代,2200
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MCD[15](18),MSFT[18](1),PFE[20](19),
Stock#,AAPL[0](4),MCD[15](18),MSFT[18](1),PFE[20](19),
張數,44980,25920,97656,122129,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.600000000093132,16.000000000000000,6.399999999906868,19.370000000111759,
20111208,2510345.400000000372529,2512182.399999999906868,2480468.799999999813735,2465803.880000000353903,9968800.480000000447035
20111209,2529237.000000000000000,2540953.600000000093132,2509765.599999999627471,2510991.609999999869615,10090947.809999998658895
20111212,2517992.000000000000000,2552617.600000000093132,2491210.959999999962747,2490229.680000000167638,10052050.240000000223517
20111213,2498200.800000000279397,2540176.000000000000000,2515624.959999999962747,2535417.410000000149012,10089419.170000001788139
20111214,2442875.400000000372529,2530067.200000000186265,2499023.439999999944121,2547630.310000000055879,10019596.350000001490116
20111215,2434779.000000000000000,2543804.799999999813735,2496093.759999999776483,2581826.430000000167638,10056503.990000000223517
20111216,2448273.000000000000000,2526956.799999999813735,2539062.399999999906868,2568392.240000000223517,10082684.439999999478459
20111219,2455919.600000000093132,2520476.799999999813735,2493164.080000000074506,2581826.430000000167638,10051386.910000000149012
20111220,2544080.400000000372529,2561430.399999999906868,2541992.080000000074506,2620907.710000000428408,10268410.590000001713634
20111221,2547678.800000000279397,2571280.000000000000000,2515624.959999999962747,2647776.089999999850988,10282359.850000001490116
20111222,2561172.799999999813735,2555728.000000000000000,2520507.759999999776483,2641669.640000000130385,10279078.199999999254942
20111223,2591759.200000000186265,2595904.000000000000000,2541992.080000000074506,2666095.439999999944121,10395750.720000000670552
20111227,2612450.000000000000000,2606272.000000000000000,2542968.639999999664724,2658767.700000000186265,10420458.339999999850988
20111228,2587261.200000000186265,2581129.600000000093132,2521484.319999999832362,2629456.740000000223517,10319331.860000001266599
20111229,2603004.200000000186265,2613011.200000000186265,2541015.520000000018626,2651439.960000000428408,10408470.880000000819564
20111230,2602554.399999999906868,2600569.600000000093132,2535156.160000000149012,2642890.930000000167638,10381171.089999999850988
20120103,2642586.600000000093132,2561948.800000000279397,2614257.520000000018626,2683193.500000000000000,10501986.419999999925494
20120104,2656530.400000000372529,2576204.799999999813735,2675780.799999999813735,2658767.700000000186265,10567283.699999999254942
20120105,2686217.200000000186265,2587609.600000000093132,2703124.479999999981374,2638005.770000000484288,10614957.050000000745058
20120106,2714104.800000000279397,2607568.000000000000000,2745116.560000000055879,2634341.900000000372529,10701131.260000001639128
20120109,2710056.600000000093132,2582684.799999999813735,2708983.839999999850988,2664874.150000000372529,10666599.390000000596046
20120110,2719502.399999999906868,2584240.000000000000000,2718749.439999999944121,2679529.630000000353903,10702021.470000000670552
20120111,2715004.399999999906868,2590201.600000000093132,2707030.719999999739230,2674644.469999999739230,10686881.189999999478459
20120112,2707807.600000000093132,2606790.399999999906868,2734374.399999999906868,2685636.080000000074506,10734608.480000000447035
20120113,2697462.200000000186265,2601088.000000000000000,2758788.399999999906868,2667316.729999999981374,10724655.330000000074506
20120117,2728948.200000000186265,2606272.000000000000000,2759764.959999999962747,2679529.630000000353903,10774514.790000000968575
20120118,2757285.600000000093132,2632451.200000000186265,2756835.279999999795109,2683193.500000000000000,10829765.580000000074506
20120119,2748739.399999999906868,2624675.200000000186265,2746093.120000000111759,2667316.729999999981374,10786824.449999999254942
20120120,2700610.800000000279397,2637116.799999999813735,2901366.160000000149012,2674644.469999999739230,10913738.230000000447035
20120123,2746490.400000000372529,2616640.000000000000000,2903319.279999999795109,2651439.960000000428408,10917889.640000000596046
20120124,2701510.400000000372529,2559616.000000000000000,2865233.439999999944121,2645333.510000000242144,10771693.349999999627471
20120125,2870185.400000000372529,2572057.600000000093132,2886717.759999999776483,2652661.250000000000000,10981622.009999999776483
20120126,2857141.200000000186265,2570761.600000000093132,2880858.399999999906868,2641669.640000000130385,10950430.840000001713634
