訓練日期,20171003 - 20180104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11572276.330000000074506
真實報酬,1572276.330000000074506

夏普值報酬,0.148527633000000
夏普值風險,0.041751558524385
夏普值,3.557415297760737

預期報酬,24102.313955159330362
風險,40834.446170558614540
趨勢值,0.590244663892049
找到最佳解世代,2892
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,11
AAPL[0](11),CAT[3](2),CSCO[4](10),CVX[5](24),DIS[6](18),HD[9](15),KO[14](21),MCD[15](6),MSFT[18](7),NKE[19](1),WMT[28](3),
Stock#,AAPL[0](11),CAT[3](2),CSCO[4](10),CVX[5](24),DIS[6](18),HD[9](15),KO[14](21),MCD[15](6),MSFT[18](7),NKE[19](1),WMT[28](3),
張數,5910,7289,26936,7741,9103,5542,20292,5791,12184,17526,11588,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,72.900000000023283,5.920000000041910,0.000000000000000,64.369999999995343,64.420000000041910,91.159999999916181,8.400000000023283,134.639999999897555,41.760000000009313,16.380000000004657,11.400000000023283,
20171003,913049.699999999953434,914848.310000000055879,911783.600000000093132,912108.989999999990687,917555.790000000153668,915463.299999999813735,917003.880000000004657,908510.900000000023283,904825.600000000093132,902079.599999999976717,918012.760000000009313,10035252.429999999701977
20171004,907139.699999999953434,923813.780000000027940,900739.839999999967404,910251.150000000023283,915371.070000000065193,916128.339999999850988,923294.400000000023283,910537.750000000000000,910064.719999999972060,912770.459999999962747,916506.320000000065193,10046627.530000001192093
20171005,918427.799999999930151,921335.520000000135042,904780.240000000107102,917992.150000000023283,911365.750000000000000,920728.199999999953434,923700.240000000107102,919745.439999999944121,925660.239999999990687,914523.060000000055879,920214.479999999981374,10098483.120000001043081
20171006,917895.900000000139698,925198.690000000060536,909090.000000000000000,905993.599999999976717,911001.630000000004657,919231.859999999869615,923091.480000000097789,924378.239999999874271,926025.760000000009313,918729.300000000046566,915463.400000000023283,10096109.860000001266599
20171009,921087.300000000046566,924834.239999999990687,909359.359999999986030,911257.479999999981374,906450.130000000004657,918455.979999999981374,921468.119999999995343,927389.559999999939464,929559.120000000111759,902955.900000000023283,933193.040000000037253,10106020.230000000447035
20171010,921441.900000000023283,934382.830000000074506,903702.799999999930151,919695.169999999925494,906541.160000000032596,915407.879999999888241,930802.439999999944121,930053.419999999925494,929559.120000000111759,903131.160000000032596,974909.839999999967404,10169637.719999998807907
20171011,925283.400000000139698,937371.319999999948777,904780.240000000107102,923797.900000000023283,897165.070000000065193,915906.659999999916181,935469.600000000093132,944936.289999999920838,931143.040000000037253,894368.160000000032596,993450.640000000013970,10203682.320000002160668
20171012,922032.900000000023283,947503.030000000144355,895891.359999999986030,922327.109999999986030,882418.210000000079162,912248.939999999944121,935672.520000000018626,949337.449999999837019,939671.840000000083819,890862.959999999962747,997738.199999999953434,10195714.519999999552965
20171013,927883.800000000046566,952751.110000000102445,901547.919999999925494,922481.929999999934807,886514.560000000055879,911583.899999999906868,937092.959999999962747,957792.309999999939464,944179.919999999925494,893491.859999999986030,1003763.960000000079162,10239094.230000000447035
20171016,944963.699999999953434,958290.750000000000000,903433.439999999944121,929990.699999999953434,893341.810000000055879,910198.399999999906868,946021.439999999944121,955707.549999999813735,946129.360000000102445,900327.000000000000000,993566.520000000018626,10281980.669999999925494
20171017,948450.599999999976717,951511.979999999981374,905049.600000000093132,930687.390000000013970,895435.500000000000000,905376.859999999869615,943992.240000000107102,957966.039999999920838,945398.320000000065193,911368.380000000004657,996347.640000000013970,10291594.550000000745058
20171018,944254.500000000000000,956978.729999999981374,903702.799999999930151,914663.520000000018626,894434.170000000041910,905931.059999999823049,941557.199999999953434,960108.709999999962747,945642.000000000000000,916626.179999999934807,999128.760000000009313,10283037.629999998956919
20171019,921914.699999999953434,958873.870000000111759,909090.000000000000000,915050.570000000065193,901352.450000000069849,904767.239999999990687,945412.680000000051223,964336.139999999897555,949297.199999999953434,923461.319999999948777,1001214.600000000093132,10294780.769999999552965
20171020,923510.400000000023283,957488.960000000195578,922558.000000000000000,918456.609999999986030,904902.620000000111759,905820.219999999972060,941151.360000000102445,963177.939999999944121,960262.800000000046566,929945.940000000060536,1013266.119999999995343,10340550.969999998807907
20171023,923037.599999999976717,959821.440000000060536,925251.600000000093132,920701.500000000000000,898530.520000000018626,913080.239999999990687,939933.840000000083819,946036.579999999958090,960506.479999999981374,940461.539999999920838,1027287.600000000093132,10354658.939999999478459
