代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626907.900000002235174
真實報酬,1626907.900000002235174

夏普值報酬,0.153990790000000
夏普值風險,0.048208628803522
夏普值,3.194257829394028

預期報酬,28633.830591459296556
風險,63048.034067564272846
趨勢值,0.454158976008267
找到最佳解世代,3238
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,8
AXP[1](20),CAT[3](8),DIS[6](7),HD[9](2),MSFT[18](18),NKE[19](3),WBA[27](5),WMT[28](4),
Stock#,AXP[1](20),CAT[3](8),DIS[6](7),HD[9](2),MSFT[18](18),NKE[19](3),WBA[27](5),WMT[28](4),
張數,13086,9204,12779,7540,15027,22731,18862,14316,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,25.280000000027940,96.799999999813735,86.010000000009313,18.800000000046566,54.139999999897555,22.310000000055879,15.260000000009313,70.040000000037253,
20171101,1253533.220000000204891,1254509.959999999729916,1265590.380000000121072,1246984.000000000000000,1250000.000000000000000,1251818.479999999981374,1263957.880000000121072,1259019.080000000074506,10045413.000000000000000
20171102,1256019.560000000055879,1256166.679999999701977,1256900.659999999916181,1226852.200000000186265,1263073.489999999757856,1252955.030000000027940,1259619.620000000111759,1271330.840000000083819,10042918.080000000074506
20171103,1261908.260000000009313,1257639.319999999832362,1260606.570000000065193,1239519.399999999906868,1264425.919999999925494,1266366.320000000065193,1261317.200000000186265,1283928.920000000158325,10095711.910000002011657
20171106,1260076.220000000204891,1267579.639999999897555,1286164.570000000065193,1238237.600000000093132,1269384.829999999841675,1273867.550000000046566,1243775.540000000037253,1269899.239999999990687,10108985.190000001341105
20171107,1248037.100000000093132,1277704.039999999804422,1298560.199999999953434,1234015.199999999953434,1266379.429999999934807,1253636.959999999962747,1281122.300000000046566,1273478.239999999990687,10132933.470000000670552
20171108,1244896.459999999962747,1263713.959999999729916,1293065.229999999981374,1236955.800000000046566,1270737.260000000009313,1267502.870000000111759,1299607.060000000055879,1292232.200000000186265,10168710.839999999850988
