代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11789638.469999998807907
真實報酬,1789638.469999998807907

夏普值報酬,0.170263847000000
夏普值風險,0.047077821024469
夏普值,3.616646720150980

預期報酬,26560.177168100512063
風險,141074.448415691440459
趨勢值,0.188270643382833
找到最佳解世代,2341
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),DD[7](2),MRK[17](5),
Stock#,CAT[3](1),DD[7](2),MRK[17](5),
張數,39401,59919,66894,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.400000000372529,39.029999999795109,4.979999999981374,
20131202,3319542.650000000372529,3411826.889999999664724,3356745.899999999906868,10088116.439999999478459
20131203,3304570.270000000484288,3303972.689999999944121,3328650.419999999925494,9937194.380000000819564
20131204,3308510.370000000111759,3318353.250000000000000,3298548.120000000111759,9925412.740000000223517
20131205,3325846.810000000055879,3294385.649999999441206,3265101.120000000111759,9885334.579999998211861
20131206,3368793.900000000372529,3350709.509999999776483,3303899.640000000130385,10023404.050000000745058
20131209,3392040.490000000689179,3481332.929999999701977,3315271.620000000111759,10188646.039999999105930
20131210,3405042.820000000298023,3565219.529999999795109,3306575.399999999906868,10276838.750000000000000
20131211,3360125.680000000633299,3502903.770000000018626,3274466.280000000260770,10137496.730000000447035
20131212,3371551.970000000204891,3478336.979999999515712,3232323.060000000055879,10082213.009999999776483
20131213,3390464.450000000186265,3543049.500000000000000,3236336.700000000186265,10169851.650000000372529
20131216,3442867.780000000260770,3549640.589999999850988,3216937.440000000409782,10209446.810000000521541
20131217,3424743.320000000298023,3601170.929999999701977,3204227.580000000074506,10230142.830000000074506
20131218,3473994.570000000298023,3712620.270000000018626,3271121.580000000074506,10457737.419999999925494
20131219,3449171.940000000409782,3746174.910000000149012,3263763.239999999757856,10459111.089999999850988
20131220,3503939.330000000540167,3735988.679999999701977,3299217.060000000055879,10539146.070000000298023
20131223,3544522.360000000335276,3744377.339999999850988,3301892.819999999832362,10590793.519999999552965
20131224,3581953.310000000055879,3790514.969999999739230,3305237.519999999552965,10677706.799999998882413
20131226,3591409.550000000745058,3827664.750000000000000,3325974.659999999683350,10745049.960000000894070
20131227,3580377.270000000484288,3805494.719999999739230,3330657.239999999757856,10716530.230000000447035
20131230,3580377.270000000484288,3805494.719999999739230,3340691.339999999850988,10726564.330000000074506
20131231,3578013.210000000428408,3788717.399999999441206,3348049.679999999701977,10714781.289999999105930
20140102,3540976.270000000484288,3743178.959999999497086,3310589.040000000037253,10594745.269999999552965
20140103,3539006.220000000204891,3726401.639999999664724,3326643.599999999627471,10592052.459999999031425
20140106,3492513.040000000502914,3719810.549999999813735,3327312.540000000037253,10539637.129999998956919
20140107,3503939.330000000540167,3678466.439999999944121,3352063.319999999832362,10534470.089999999850988
20140108,3512213.540000000502914,3682660.770000000018626,3330657.239999999757856,10525532.550000000745058
20140109,3534672.110000000335276,3635324.759999999776483,3312595.860000000335276,10482593.730000000447035
20140110,3566192.910000000614673,3644312.609999999869615,3336677.700000000186265,10547184.220000000670552
20140113,3541764.290000000502914,3574806.569999999366701,3553414.259999999776483,10669986.119999999180436
20140114,3568162.960000000428408,3639519.089999999850988,3545386.979999999981374,10753070.030000001192093
20140115,3641054.810000000055879,3673672.919999999925494,3513277.860000000335276,10828006.589999999850988
20140116,3625294.410000000614673,3676668.869999999646097,3511939.979999999981374,10813904.259999999776483
20140117,3602835.840000000316650,3675470.490000000223517,3475148.280000000260770,10753455.609999999403954
20140121,3569739.000000000000000,3919340.819999999366701,3467121.000000000000000,10956201.820000000298023
20140122,3531914.040000000502914,3897769.979999999515712,3435011.879999999888241,10864696.899999998509884
20140123,3486208.880000000353903,3816280.139999999664724,3451735.379999999888241,10754225.399999998509884
20140124,3395192.570000000298023,3704231.609999999869615,3477155.099999999627471,10576580.279999999329448
20140127,3596925.690000000409782,3677867.250000000000000,3513946.800000000279397,10788740.740000000223517
20140128,3643418.870000000111759,3674272.109999999869615,3536690.759999999776483,10854382.740000000223517
20140129,3570527.020000000484288,3816879.330000000074506,3492540.720000000204891,10879948.070000000298023
20140130,3672181.600000000558794,3866612.100000000093132,3579502.919999999925494,11118297.620000001043081
20140131,3700156.310000000055879,3883389.419999999925494,3543380.159999999683350,11126926.890000000596046
20140203,3641448.820000000298023,3813284.189999999944121,3483844.500000000000000,10938578.509999999776483
20140204,3644600.900000000372529,3836652.600000000093132,3579502.919999999925494,11060757.419999999925494
20140205,3623324.360000000335276,3827065.559999999590218,3580840.800000000279397,11031231.720000000670552
20140206,3697004.230000000447035,3889980.509999999776483,3596895.360000000335276,11183881.100000001490116
20140207,3737981.270000000484288,3891178.889999999664724,3663789.360000000335276,11292950.519999999552965
20140210,3723402.900000000372529,3911551.350000000093132,3671816.640000000130385,11306771.890000000596046
20140211,3741527.360000000335276,3996636.330000000074506,3726000.780000000260770,11464165.470000000670552
20140212,3789202.570000000298023,3957089.790000000037253,3679174.979999999981374,11425468.339999999850988
20140213,3786838.510000000242144,3951097.889999999664724,3685864.379999999888241,11423801.780000001192093
20140214,3804174.950000000186265,3985850.909999999683350,3708608.339999999850988,11498635.199999999254942
20140218,3804568.960000000428408,3991842.810000000055879,3725331.839999999850988,11521744.609999999403954
20140219,3790778.610000000335276,3962482.499999999534339,3681850.739999999757856,11435112.849999999627471
20140220,3818753.320000000298023,4022401.499999999534339,3733359.120000000111759,11574514.940000001341105
20140221,3841605.900000000372529,4007421.749999999534339,3748075.800000000279397,11597104.450000001117587
20140224,3834513.720000000204891,4006223.369999999646097,3758109.899999999906868,11598847.990000000223517
20140225,3798658.810000000055879,4029591.779999999795109,3740048.519999999552965,11568300.109999999403954
20140226,3829785.600000000558794,4081122.119999999646097,3764130.360000000335276,11675039.080000001937151
20140227,3810085.100000000558794,4139243.549999999813735,3790219.019999999552965,11739548.669999999925494
20140228,3820723.370000000111759,4156620.060000000055879,3812294.040000000037253,11789638.469999998807907
