代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10708650.049999998882413
真實報酬,708650.049999998882413

夏普值報酬,0.062165005000000
夏普值風險,0.017236156616156
夏普值,3.606662806819099

預期報酬,11321.214646657468620
風險,53346.281051884507178
趨勢值,0.212221253729880
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](13),KO[14](11),MSFT[18](20),WMT[28](1),XOM[29](27),
Stock#,AAPL[0](6),DIS[6](13),KO[14](11),MSFT[18](20),WMT[28](1),XOM[29](27),
張數,13734,15062,40092,25779,24972,19867,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,45.100000000093132,55.699999999953434,41.560000000055879,53.649999999906868,34.720000000204891,23.369999999878928,
20170201,1768297.600000000093132,1676456.299999999813735,1654237.479999999981374,1639082.469999999972060,1653930.280000000260770,1647792.349999999860302,10039800.479999998584390
20170202,1765276.120000000111759,1666063.520000000018626,1659850.360000000102445,1628513.079999999841675,1665667.120000000344589,1657924.520000000018626,10043298.720000000670552
20170203,1772829.820000000298023,1661394.299999999813735,1665463.239999999990687,1641660.369999999878928,1660672.720000000204891,1659712.550000000046566,10061737.000000001862645
20170206,1789447.959999999962747,1650399.039999999804422,1666265.080000000074506,1640629.209999999962747,1658175.520000000251457,1655143.139999999897555,10060063.950000001117587
20170207,1806478.120000000111759,1641813.699999999953434,1679896.360000000102445,1635215.619999999878928,1670411.800000000279397,1644414.959999999729916,10078234.560000000521541
20170208,1813482.459999999962747,1641813.699999999953434,1684707.400000000139698,1632895.510000000009313,1693386.040000000270084,1618786.530000000027940,10085075.640000000596046
20170209,1818701.379999999888241,1649194.079999999841675,1653836.560000000055879,1651456.389999999897555,1725100.480000000214204,1625938.649999999906868,10124231.539999999105930
20170210,1814581.180000000167638,1645729.820000000065193,1626974.919999999925494,1649909.649999999906868,1698630.160000000149012,1639448.209999999729916,10075277.939999999478459
20170213,1830649.959999999962747,1651604.000000000000000,1628578.599999999860302,1668470.529999999795109,1692387.160000000149012,1648984.369999999878928,10120678.619999999180436
20170214,1854409.780000000260770,1661846.159999999916181,1624970.320000000065193,1664603.679999999701977,1714612.240000000223517,1645408.309999999823049,10165854.490000000223517
20170215,1861139.439999999944121,1659586.860000000102445,1621362.040000000037253,1663572.520000000018626,1715361.400000000139698,1652163.089999999850988,10173189.349999999627471
20170216,1858942.000000000000000,1667569.719999999972060,1651831.960000000195578,1663314.729999999748543,1719856.360000000335276,1635077.469999999739230,10196596.239999998360872
20170217,1864023.580000000074506,1657779.419999999925494,1653034.719999999972060,1665892.630000000121072,1732342.360000000335276,1624349.290000000037253,10197426.000000000000000
20170221,1877482.899999999906868,1657026.320000000065193,1662255.880000000121072,1662541.359999999869615,1784284.120000000344589,1626932.000000000000000,10270526.580000000074506
20170222,1883113.840000000316650,1658683.140000000130385,1667868.760000000009313,1659190.089999999850988,1790776.840000000083819,1607859.679999999934807,10267496.349999999627471
20170223,1875148.120000000111759,1652808.959999999962747,1670274.280000000027940,1665892.630000000121072,1780788.040000000270084,1624746.629999999888241,10269662.660000000149012
20170224,1876933.540000000037253,1661695.539999999804422,1675085.320000000065193,1665892.630000000121072,1807757.800000000279397,1610839.729999999748543,10298208.560000000521541
20170227,1880641.720000000204891,1660339.959999999962747,1670675.200000000186265,1655838.820000000065193,1791526.000000000000000,1619978.550000000046566,10279004.250000001862645
20170228,1881465.760000000242144,1658231.280000000027940,1682301.880000000121072,1649394.069999999832362,1771298.680000000400469,1615607.809999999823049,10258303.480000000447035
20170301,1919920.959999999962747,1672540.179999999934807,1690320.280000000027940,1674141.909999999916181,1759312.120000000344589,1649381.709999999729916,10365621.160000000149012
20170302,1908521.740000000223517,1665762.280000000027940,1702748.800000000046566,1650167.439999999944121,1767053.440000000409782,1654944.469999999739230,10349202.169999998062849
20170303,1919783.620000000111759,1675552.579999999841675,1703149.719999999972060,1656354.399999999906868,1748823.880000000121072,1638256.189999999711290,10341924.390000000596046
20170306,1913740.660000000149012,1666967.239999999990687,1691122.120000000111759,1656869.979999999748543,1745078.080000000074506,1645606.979999999748543,10319389.060000000521541
20170307,1916212.780000000260770,1669829.020000000018626,1683504.640000000130385,1660221.250000000000000,1744828.360000000335276,1639448.209999999729916,10314048.259999999776483
20170308,1909071.100000000093132,1669527.780000000027940,1683504.640000000130385,1675430.859999999869615,1743080.320000000065193,1609846.379999999888241,10290465.079999998211861
20170309,1904676.220000000204891,1672389.560000000055879,1685108.320000000065193,1668728.320000000065193,1744578.640000000130385,1622561.260000000009313,10298046.320000000298023
20170310,1910993.859999999869615,1670732.739999999990687,1695532.239999999990687,1673884.120000000111759,1750571.920000000158325,1621369.239999999757856,10323088.120000001043081
20170313,1911817.899999999906868,1679769.939999999944121,1685108.320000000065193,1668212.739999999757856,1746826.120000000344589,1617594.510000000009313,10309333.530000001192093
20170314,1908933.760000000242144,1691668.919999999925494,1682702.800000000046566,1660479.039999999804422,1766054.560000000288710,1609051.699999999720603,10318894.779999999329448
20170315,1929122.740000000223517,1685041.640000000130385,1688716.599999999860302,1669243.899999999906868,1762558.480000000214204,1629117.369999999878928,10363804.730000000447035
20170316,1932281.560000000055879,1682631.719999999972060,1693928.560000000055879,1666408.209999999962747,1759062.400000000139698,1630508.059999999823049,10364824.509999999776483
20170317,1922667.760000000242144,1683384.820000000065193,1685108.320000000065193,1672337.380000000121072,1745327.800000000279397,1629117.369999999878928,10337947.449999999254942
20170320,1942856.740000000223517,1697693.719999999972060,1691122.120000000111759,1673884.120000000111759,1747575.280000000260770,1629117.369999999878928,10382253.349999999627471
20170321,1920607.660000000149012,1683234.199999999953434,1703951.560000000055879,1655323.239999999757856,1745577.520000000251457,1625739.979999999748543,10334438.160000000149012
20170322,1942307.379999999888241,1688204.659999999916181,1699140.520000000251457,1676462.020000000018626,1754317.720000000204891,1624349.290000000037253,10384785.589999999850988
20170323,1935440.379999999888241,1690614.579999999841675,1690721.200000000186265,1672337.380000000121072,1744578.640000000130385,1626335.989999999757856,10360032.169999999925494
20170324,1931594.859999999869615,1689108.379999999888241,1688716.599999999860302,1675173.070000000065193,1738335.640000000130385,1613819.780000000027940,10336752.330000000074506
20170327,1934891.020000000018626,1692723.259999999776483,1696735.000000000000000,1678266.549999999813735,1739584.240000000223517,1614217.119999999878928,10356421.189999999478459
