代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11220033.589999999850988
真實報酬,1220033.589999999850988

夏普值報酬,0.113303359000000
夏普值風險,0.034314903841807
夏普值,3.301870217160838

預期報酬,20541.015724806864455
風險,59667.236284206082928
趨勢值,0.344259546846886
找到最佳解世代,1304
找到最佳解實驗#,2
找到最佳解次數,10

stock[index](rank)
投資組合檔數,9
AXP[1](5),CSCO[4](1),CVX[5](6),KO[14](28),MCD[15](23),PG[21](8),TRV[22](3),VZ[26](26),XOM[29](4),
Stock#,AXP[1](5),CSCO[4](1),CVX[5](6),KO[14](28),MCD[15](23),PG[21](8),TRV[22](3),VZ[26](26),XOM[29](4),
張數,11656,25642,10213,23465,6257,12087,9278,19763,16294,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,61.080000000074506,43.140000000130385,38.729999999981374,43.250000000000000,55.510000000009313,73.959999999962747,70.500000000000000,35.140000000130385,23.140000000130385,
20190102,1115307.160000000149012,1101367.040000000270084,1130515.699999999953434,1101255.699999999953434,1101662.929999999934807,1103375.320000000065193,1089029.360000000102445,1107158.400000000139698,1135552.000000000000000,9985224.610000001266599
20190103,1089081.160000000149012,1053160.080000000074506,1108864.139999999897555,1094450.850000000093132,1094404.810000000055879,1095639.639999999897555,1069452.780000000027940,1111111.000000000000000,1118117.420000000158325,9834282.880000000819564
20190104,1138152.920000000158325,1100597.780000000260770,1131843.389999999897555,1116273.300000000046566,1115553.469999999972060,1118000.589999999850988,1101183.540000000037253,1113877.820000000065193,1159341.240000000223517,10094825.049999998882413
20190107,1144330.600000000093132,1108033.960000000195578,1146550.110000000102445,1101725.000000000000000,1127692.050000000046566,1113528.399999999906868,1097657.899999999906868,1120992.500000000000000,1165370.020000000018626,10125881.540000000968575
20190108,1149925.480000000214204,1117008.660000000149012,1141545.739999999990687,1114161.449999999953434,1130069.709999999962747,1117637.979999999981374,1093390.020000000018626,1153799.080000000074506,1173842.900000000139698,10191382.020000001415610
20190109,1152023.560000000055879,1110854.580000000074506,1156865.239999999990687,1092808.300000000046566,1128130.040000000037253,1099386.610000000102445,1101183.540000000037253,1127514.290000000037253,1180034.620000000111759,10148801.780000001192093
20190110,1145379.640000000130385,1108803.220000000204891,1158703.580000000074506,1104540.800000000046566,1136013.860000000102445,1102045.750000000000000,1115935.560000000055879,1138383.940000000176951,1174005.840000000083819,10183813.189999999478459
20190111,1148759.880000000121072,1115213.720000000204891,1149409.750000000000000,1110876.350000000093132,1141144.600000000093132,1109297.949999999953434,1117791.159999999916181,1146684.400000000139698,1168628.820000000065193,10207807.630000000819564
20190114,1147477.719999999972060,1108033.960000000195578,1141035.090000000083819,1106418.000000000000000,1133949.050000000046566,1101804.010000000009313,1118811.739999999990687,1146882.030000000260770,1167162.360000000102445,10171574.960000000894070
20190115,1142232.520000000018626,1128803.980000000214204,1145120.290000000037253,1116273.300000000046566,1132697.650000000139698,1112198.830000000074506,1130316.459999999962747,1148265.440000000176951,1167814.120000000111759,10223723.589999999850988
20190116,1158784.040000000037253,1127265.460000000195578,1137766.929999999934807,1101021.050000000046566,1122248.459999999962747,1104463.149999999906868,1134769.899999999906868,1128107.180000000167638,1167325.300000000046566,10181752.470000000670552
20190117,1159716.520000000018626,1133675.960000000195578,1143486.209999999962747,1104306.150000000139698,1133260.780000000027940,1095639.639999999897555,1140707.820000000065193,1123166.430000000167638,1175309.360000000102445,10209269.870000001043081
20190118,1171255.960000000195578,1154702.400000000139698,1168099.540000000037253,1117211.899999999906868,1142396.000000000000000,1105067.500000000000000,1150635.280000000027940,1128304.810000000288710,1189322.199999999953434,10326996.589999999850988
20190122,1163679.560000000055879,1148291.900000000139698,1147367.149999999906868,1119793.050000000046566,1154910.000000000000000,1093222.239999999990687,1135326.580000000074506,1126328.510000000242144,1171398.800000000046566,10260318.790000000968575
20190123,1162280.840000000083819,1165728.460000000195578,1137664.800000000046566,1132698.800000000046566,1164420.640000000130385,1146405.040000000037253,1141450.060000000055879,1141546.020000000018626,1161785.340000000083819,10353981.000000000000000
20190124,1162397.400000000139698,1169574.760000000009313,1159316.360000000102445,1119089.099999999860302,1172429.600000000093132,1139878.059999999823049,1154068.139999999897555,1127909.550000000046566,1163414.740000000223517,10368078.710000000894070
20190125,1174636.199999999953434,1182908.600000000093132,1156354.590000000083819,1111580.300000000046566,1151343.510000000009313,1131417.159999999916181,1159634.939999999944121,1114668.340000000083819,1168628.820000000065193,10351173.459999999031425
20190128,1170090.360000000102445,1173164.640000000130385,1145630.939999999944121,1106887.300000000046566,1148840.709999999962747,1130450.199999999953434,1160098.840000000083819,1088383.550000000046566,1160807.699999999953434,10284355.240000000223517
20190129,1176850.840000000083819,1178549.460000000195578,1142158.520000000018626,1112284.250000000000000,1139893.199999999953434,1130691.939999999944121,1158150.459999999962747,1053007.780000000260770,1165207.080000000307336,10256794.530000001192093
20190130,1196782.600000000093132,1197780.960000000195578,1154209.860000000102445,1123078.149999999906868,1137390.400000000139698,1142537.199999999953434,1167985.139999999897555,1067237.140000000130385,1177916.400000000139698,10364918.850000001490116
20190131,1197132.280000000027940,1212653.320000000065193,1170959.179999999934807,1129413.699999999953434,1118681.969999999972060,1166106.849999999860302,1164830.620000000111759,1088185.920000000158325,1194047.460000000195578,10442012.300000000745058
20190201,1201328.440000000176951,1213935.420000000158325,1208951.540000000037253,1142788.750000000000000,1105792.550000000046566,1178193.849999999860302,1173644.719999999972060,1078106.790000000037253,1237063.620000000111759,10539806.679999999701977
20190204,1205524.600000000093132,1214191.840000000083819,1222943.349999999860302,1155694.500000000000000,1110985.860000000102445,1184962.570000000065193,1169469.620000000111759,1068027.660000000149012,1219140.219999999972060,10550941.220000000670552
20190205,1211119.480000000214204,1211884.060000000055879,1220287.969999999972060,1155929.149999999906868,1111111.000000000000000,1177831.239999999990687,1170768.540000000037253,1070003.960000000195578,1231686.600000000093132,10560623.000000000000000
20190206,1223474.840000000083819,1217525.300000000046566,1214160.169999999925494,1155929.149999999906868,1102413.770000000018626,1183633.000000000000000,1164923.399999999906868,1063086.910000000149012,1226309.580000000307336,10551457.120000001043081
20190207,1216830.920000000158325,1197524.540000000270084,1207521.719999999972060,1159683.550000000046566,1096782.469999999972060,1174205.139999999897555,1176149.780000000027940,1058739.050000000046566,1216859.060000000288710,10504297.230000000447035
20190208,1218346.199999999953434,1210089.120000000111759,1200883.270000000018626,1161560.750000000000000,1093466.260000000009313,1181094.729999999981374,1167150.120000000111759,1066248.990000000223517,1205453.260000000242144,10504293.700000001117587
20190211,1228720.040000000037253,1220089.500000000000000,1194449.080000000074506,1164141.899999999906868,1090400.329999999841675,1187863.449999999953434,1163717.260000000009313,1068225.290000000037253,1207408.540000000037253,10525016.390000000596046
20190212,1247253.080000000074506,1228038.520000000251457,1212526.090000000083819,1165315.149999999906868,1088585.800000000046566,1199829.580000000074506,1180788.780000000027940,1075537.600000000093132,1228590.740000000223517,10626466.339999999850988
20190213,1253780.440000000176951,1218038.140000000130385,1221207.139999999897555,1168365.600000000093132,1089712.060000000055879,1199587.839999999850988,1188025.619999999878928,1076723.380000000121072,1242440.640000000130385,10657881.860000001266599
20190214,1242823.800000000046566,1241115.940000000176951,1206806.810000000055879,1069812.600000000093132,1100474.100000000093132,1190159.979999999981374,1177727.040000000037253,1067830.030000000260770,1242766.520000000018626,10539517.820000000298023
20190215,1251682.360000000102445,1267527.200000000186265,1218960.280000000027940,1061599.850000000093132,1126127.800000000046566,1190401.719999999972060,1194520.219999999972060,1090162.219999999972060,1266229.880000000121072,10667212.530000001192093
20190219,1241425.080000000074506,1273168.440000000176951,1218551.760000000009313,1051979.199999999953434,1121622.760000000009313,1208653.089999999850988,1197860.300000000046566,1095695.860000000102445,1274702.760000000242144,10683660.250000000000000
20190220,1244688.760000000009313,1272655.600000000093132,1228458.369999999878928,1058314.750000000000000,1129381.440000000176951,1200071.320000000065193,1203798.219999999972060,1102020.020000000018626,1279590.960000000195578,10718980.440000001341105
20190221,1242707.239999999990687,1267014.360000000102445,1216815.550000000046566,1076148.149999999906868,1143897.679999999934807,1206114.820000000065193,1204540.459999999962747,1109727.590000000083819,1268022.219999999972060,10734989.070000002160668
20190222,1252381.719999999972060,1284963.760000000009313,1219368.800000000046566,1062538.449999999953434,1146150.199999999953434,1211795.709999999962747,1215674.060000000055879,1124945.100000000093132,1277798.620000000111759,10795617.420000001788139
20190225,1246437.160000000149012,1302400.320000000065193,1221717.790000000037253,1054560.349999999860302,1142646.280000000027940,1203576.549999999813735,1229312.719999999972060,1122178.280000000260770,1279102.140000000130385,10801932.589999999850988
20190226,1246553.719999999972060,1312400.700000000186265,1224985.949999999953434,1048694.099999999860302,1146400.479999999981374,1206719.169999999925494,1236549.560000000055879,1119411.460000000195578,1281709.180000000167638,10823425.320000000298023
20190227,1252148.600000000093132,1322913.920000000158325,1226415.770000000018626,1054560.349999999860302,1147339.030000000027940,1195599.129999999888241,1230518.860000000102445,1120992.500000000000000,1294907.320000000065193,10845396.480000000447035
20190228,1255878.520000000018626,1327529.480000000214204,1221309.270000000018626,1063946.350000000093132,1150342.390000000130385,1191247.809999999823049,1233209.479999999981374,1124945.100000000093132,1287737.960000000195578,10856147.359999999403954
20190301,1269399.480000000214204,1318298.360000000102445,1246331.119999999878928,1064884.949999999953434,1157913.360000000102445,1189918.239999999990687,1234322.840000000083819,1125735.620000000111759,1303543.140000000130385,10910348.110000003129244
20190304,1270565.080000000074506,1311887.860000000102445,1247250.290000000037253,1071220.500000000000000,1130007.140000000130385,1195115.649999999906868,1226158.199999999953434,1111506.260000000242144,1308594.280000000260770,10872306.260000001639128
20190305,1268816.679999999934807,1315477.739999999990687,1259199.500000000000000,1070047.250000000000000,1134762.459999999962747,1197774.790000000037253,1231168.320000000065193,1108344.180000000167638,1306639.000000000000000,10892230.919999999925494
20190306,1270331.960000000195578,1324965.280000000260770,1261650.619999999878928,1066527.500000000000000,1139017.219999999972060,1195840.870000000111759,1222910.900000000139698,1100438.980000000214204,1291811.460000000195578,10873495.790000000968575
20190307,1257277.239999999990687,1315221.320000000065193,1245411.949999999953434,1062538.449999999953434,1129569.150000000139698,1191247.809999999823049,1220034.719999999972060,1112692.040000000037253,1306150.180000000167638,10840143.859999999403954
20190308,1258675.960000000195578,1309580.080000000074506,1242143.790000000037253,1052213.850000000093132,1123187.010000000009313,1189555.629999999888241,1215674.060000000055879,1117237.530000000260770,1287412.080000000307336,10795680.990000000223517
20190311,1277092.440000000176951,1331375.780000000260770,1262569.790000000037253,1083656.949999999953434,1133073.070000000065193,1203697.419999999925494,1223560.360000000102445,1137988.680000000167638,1299958.460000000195578,10952973.950000001117587
20190312,1287233.160000000149012,1337273.440000000176951,1265429.429999999934807,1080606.500000000000000,1137765.820000000065193,1209378.309999999823049,1231446.659999999916181,1135024.230000000214204,1303543.140000000130385,10987701.690000001341105
20190313,1307164.920000000158325,1348555.920000000158325,1273293.439999999944121,1084595.550000000046566,1139204.929999999934807,1223036.620000000111759,1234044.500000000000000,1139569.719999999972060,1315111.880000000121072,11064578.480000000447035
20190314,1309612.679999999934807,1352402.220000000204891,1272578.530000000027940,1072393.750000000000000,1143459.690000000176951,1224728.799999999813735,1234601.179999999934807,1145300.990000000223517,1310712.500000000000000,11065791.340000001713634
20190315,1323250.199999999953434,1364197.540000000270084,1279829.760000000009313,1063007.750000000000000,1159665.320000000065193,1238266.239999999990687,1244992.540000000037253,1153996.710000000195578,1305987.240000000223517,11133194.300000002607703
20190318,1323599.880000000121072,1372146.560000000055879,1285651.169999999925494,1065588.899999999906868,1151030.659999999916181,1227025.330000000074506,1252043.820000000065193,1147672.550000000046566,1321140.660000000149012,11145900.530000001192093
20190319,1313342.600000000093132,1367018.160000000149012,1279523.369999999878928,1069108.650000000139698,1145774.780000000027940,1231739.260000000009313,1233395.040000000037253,1136407.640000000130385,1317718.920000000158325,11094029.419999999925494
20190320,1291196.199999999953434,1365736.060000000055879,1273497.699999999953434,1068404.699999999953434,1157412.800000000046566,1229563.599999999860302,1218550.240000000223517,1139767.350000000093132,1325051.219999999972060,11069180.870000001043081
20190321,1303435.000000000000000,1383172.620000000111759,1285446.909999999916181,1067935.399999999906868,1166172.600000000093132,1238870.589999999850988,1246755.360000000102445,1152020.410000000149012,1332709.400000000139698,11176519.289999999105930
20190322,1275926.840000000083819,1352402.220000000204891,1257156.899999999906868,1077790.699999999953434,1168925.679999999934807,1228838.379999999888241,1251672.699999999953434,1181072.020000000018626,1311364.260000000242144,11105150.699999999254942
20190325,1271031.320000000065193,1352145.800000000046566,1255114.300000000046566,1080137.199999999953434,1162105.550000000046566,1232464.479999999981374,1252136.599999999860302,1187396.180000000167638,1302239.620000000111759,11094772.050000000745058
20190326,1276393.080000000074506,1364966.800000000046566,1267778.419999999925494,1094450.850000000093132,1173117.869999999878928,1245276.699999999953434,1252414.939999999944121,1198265.830000000074506,1319185.380000000121072,11191850.870000001043081
20190327,1270331.960000000195578,1362659.020000000251457,1254093.000000000000000,1093746.899999999906868,1173305.579999999841675,1243826.260000000009313,1265125.800000000046566,1203206.580000000074506,1309083.100000000093132,11175379.200000001117587
20190328,1272430.040000000037253,1368300.260000000009313,1256441.989999999990687,1093042.949999999953434,1185068.739999999990687,1251682.809999999823049,1270228.699999999953434,1167633.180000000167638,1315600.699999999953434,11180430.369999999180436
20190329,1274061.880000000121072,1384454.720000000204891,1258076.070000000065193,1099613.149999999906868,1188259.810000000055879,1257726.309999999823049,1272640.979999999981374,1168621.330000000074506,1316578.340000000083819,11220033.589999999850988
