代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10947587.240000002086163
真實報酬,947587.240000002086163

夏普值報酬,0.086058724000000
夏普值風險,0.025192740696440
夏普值,3.416012772765183

預期報酬,14036.700970052846969
風險,52748.838958282838576
趨勢值,0.266104453619424
找到最佳解世代,1746
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,7
AAPL[0](17),CAT[3](2),HD[9](3),MCD[15](10),PFE[20](4),V[25](1),VZ[26](22),
Stock#,AAPL[0](17),CAT[3](2),HD[9](3),MCD[15](10),PFE[20](4),V[25](1),VZ[26](22),
張數,9605,12536,9549,9208,43081,14348,29515,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,19.350000000093132,93.800000000046566,40.600000000093132,41.880000000121072,5.040000000037253,84.119999999878928,45.000000000000000,
20170801,1441249.600000000093132,1417915.399999999906868,1430958.250000000000000,1418442.199999999953434,1425124.520000000018626,1447366.879999999888241,1443033.350000000093132,10024093.200000001117587
20170802,1509349.050000000046566,1417790.040000000037253,1437165.100000000093132,1441922.600000000093132,1418231.560000000055879,1453249.559999999823049,1422963.150000000139698,10100674.060000000521541
20170803,1494269.199999999953434,1423681.959999999962747,1439934.310000000055879,1424703.640000000130385,1440202.870000000111759,1443349.439999999944121,1434769.149999999906868,10100913.570000002160668
20170804,1502145.300000000046566,1433585.399999999906868,1458650.350000000093132,1416416.439999999944121,1449249.880000000121072,1447653.839999999850988,1443623.649999999906868,10151327.860000001266599
20170807,1525389.400000000139698,1438098.359999999869615,1464379.750000000000000,1427005.640000000130385,1435033.150000000139698,1456262.639999999897555,1442147.899999999906868,10188319.840000001713634
20170808,1537587.750000000232831,1434337.560000000055879,1464379.750000000000000,1426545.239999999990687,1433740.719999999972060,1453249.559999999823049,1434474.000000000000000,10184317.580000000074506
20170809,1547000.650000000139698,1433460.040000000037253,1482618.340000000083819,1426545.239999999990687,1441064.490000000223517,1448801.679999999934807,1423258.300000000046566,10202751.740000002086163
20170810,1491867.949999999953434,1418542.200000000186265,1469440.719999999972060,1442198.840000000083819,1439772.060000000055879,1427566.639999999897555,1417355.300000000046566,10106746.710000000894070
20170811,1512614.750000000000000,1414781.399999999906868,1478989.719999999972060,1448460.280000000260770,1432448.290000000037253,1436175.439999999944121,1418535.900000000139698,10142008.780000001192093
20170814,1535378.600000000093132,1425562.359999999869615,1473069.340000000083819,1448091.959999999962747,1435033.150000000139698,1461714.879999999888241,1439786.699999999953434,10218639.989999998360872
20170815,1552187.350000000093132,1424810.200000000186265,1434013.929999999934807,1451406.840000000083819,1438048.820000000065193,1472619.359999999869615,1430932.199999999953434,10204021.699999999254942
20170816,1545944.100000000093132,1430702.120000000111759,1453875.850000000093132,1463193.080000000074506,1437187.199999999953434,1482519.479999999748543,1428866.149999999906868,10242290.980000000447035
20170817,1516264.650000000139698,1418416.840000000083819,1429239.429999999934807,1453893.000000000000000,1419523.990000000223517,1465875.799999999813735,1413518.350000000093132,10116735.060000000521541
20170818,1512806.850000000093132,1428194.920000000158325,1408422.610000000102445,1452695.959999999962747,1407461.310000000055879,1470897.599999999860302,1407615.349999999860302,10088097.599999999627471
20170821,1510021.400000000139698,1424183.399999999906868,1424751.399999999906868,1458220.760000000242144,1411338.599999999860302,1481084.679999999934807,1420897.100000000093132,10130500.339999997988343
