代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11683116.419999999925494
真實報酬,1683116.419999999925494

夏普值報酬,0.159611642000000
夏普值風險,0.047433638942141
夏普值,3.364946176587693

預期報酬,31049.418333333309420
風險,122562.345499038303387
趨勢值,0.253335706059713
找到最佳解世代,1685
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](2),KO[14](1),XOM[29](3),
Stock#,INTC[11](2),KO[14](1),XOM[29](3),
張數,188643,119303,56392,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.189999999478459,7.179999999701977,1.879999999888241,
20100901,3421995.209999999497086,3419231.159999999683350,3434838.599999999627471,10276065.969999998807907
20100902,3448405.229999999515712,3422810.250000000000000,3443297.399999999906868,10314513.879999998956919
20100903,3476701.679999999236315,3433547.520000000018626,3457959.319999999832362,10368209.519999999552965
20100907,3418222.349999999627471,3438319.639999999664724,3414537.479999999515712,10271080.469999998807907
20100908,3376720.889999999199063,3450249.939999999944121,3425815.879999999888241,10252787.709999999031425
20100909,3395585.189999999478459,3477689.629999999422580,3442733.479999999515712,10316009.299999997019768
20100910,3389925.899999999441206,3490812.959999999962747,3451192.280000000260770,10331932.140000000596046
20100913,3501225.269999999087304,3462180.239999999757856,3439913.879999999888241,10403320.389999998733401
20100914,3535181.009999999310821,3435933.579999999608845,3440477.799999999813735,10411593.389999998733401
20100915,3531408.149999999441206,3425196.309999999590218,3439913.879999999888241,10396519.339999999850988
20100916,3578568.899999999441206,3431161.459999999962747,3438222.119999999646097,10447953.479999998584390
20100917,3548386.019999999087304,3433547.520000000018626,3427507.640000000130385,10409442.179999999701977
20100920,3571023.179999999236315,3458601.149999999441206,3470929.479999999515712,10500554.809999998658895
20100921,3610638.209999999497086,3466952.359999999403954,3470365.560000000055879,10547957.129999998956919
20100922,3586114.619999999646097,3474110.540000000037253,3465290.280000000260770,10525516.440000001341105
20100923,3580455.329999999608845,3452636.000000000000000,3448372.679999999701977,10481465.009999999776483
20100924,3663458.250000000000000,3496778.109999999403954,3482207.879999999888241,10642445.239999998360872
20100927,3629502.509999999310821,3495585.079999999608845,3479952.199999999720603,10605040.789999999105930
20100928,3680436.119999999646097,3525410.829999999608845,3499689.399999999906868,10705537.349999999627471
20100929,3629502.509999999310821,3505129.319999999366701,3473185.160000000149012,10607817.989999998360872
20100930,3621956.789999999571592,3490812.959999999962747,3484463.560000000055879,10597234.310000000521541
20101001,3644593.949999999720603,3526603.859999999403954,3526757.560000000055879,10697956.369999999180436
20101004,3559704.599999999627471,3512287.500000000000000,3507020.359999999869615,10579013.459999999031425
20101005,3612524.639999999199063,3558815.669999999459833,3567359.799999999813735,10738701.109999999403954
20101006,3629502.509999999310821,3564780.819999999366701,3593300.119999999646097,10787584.449999997392297
20101007,3659685.389999999199063,3545692.339999999385327,3600631.080000000074506,10806009.809999998658895
20101008,3682322.549999999348074,3544499.309999999590218,3630518.839999999850988,10857341.699999999254942
20101011,3689868.269999999087304,3552850.520000000018626,3640105.479999999515712,10882825.269999999552965
20101012,3729483.299999999348074,3555236.579999999608845,3648564.280000000260770,10933285.160000000149012
20101013,3629502.509999999310821,3575518.089999999385327,3667737.560000000055879,10872759.159999998286366
20101014,3644593.949999999720603,3574325.059999999590218,3682399.479999999515712,10901319.489999998360872
20101015,3644593.949999999720603,3575518.089999999385327,3676196.359999999869615,10896309.399999998509884
20101018,3620070.359999999869615,3579097.179999999701977,3737663.640000000130385,10936832.179999999701977
20101019,3623843.219999999739230,3599378.689999999944121,3672248.919999999925494,10895471.830000000074506
20101020,3704959.709999999497086,3648292.919999999459833,3722437.800000000279397,11075691.429999999701977
20101021,3727596.869999999646097,3667381.399999999441206,3739919.319999999366701,11134898.589999999850988
20101022,3742688.309999999590218,3675732.609999999403954,3741047.160000000149012,11159469.079999998211861
20101025,3748347.599999999627471,3639941.709999999962747,3733152.280000000260770,11121442.589999999850988
20101026,3780416.909999999217689,3653065.040000000037253,3751761.640000000130385,11185244.589999999850988
20101027,3808713.359999999869615,3650678.979999999981374,3703264.520000000018626,11162657.859999999403954
20101028,3861533.399999999441206,3651872.009999999776483,3734280.119999999646097,11247686.529999999329448
20101029,3782303.339999999385327,3657837.159999999683350,3749505.959999999497086,11189647.459999999031425
20101101,3880397.699999999720603,3681697.759999999776483,3775446.280000000260770,11337542.739999998360872
20101102,3837009.809999999590218,3690048.969999999739230,3825635.160000000149012,11352694.939999999478459
20101103,3863419.829999999608845,3696014.119999999646097,3832966.119999999646097,11392401.069999998435378
20101104,3955854.899999999441206,3725839.869999999646097,3912478.839999999850988,11594174.609999999403954
20101105,4006788.509999999310821,3732998.049999999813735,3947441.879999999888241,11687229.439999997615814
20101108,4004902.079999999608845,3725839.869999999646097,3965487.319999999366701,11696230.269999999552965
20101109,3991697.069999999366701,3736577.139999999664724,3982968.839999999850988,11711244.049999998882413
20101110,3969059.909999999217689,3731805.020000000018626,4011164.839999999850988,11712030.769999999552965
20101111,4001129.219999999739230,3746121.379999999422580,4050639.239999999757856,11797890.839999999850988
20101112,4061494.979999999515712,3753279.559999999590218,4003269.959999999497086,11818045.499999998137355
20101115,4018107.089999999385327,3755665.619999999646097,3974510.040000000037253,11748283.750000000000000
20101116,3974719.199999999720603,3703172.299999999813735,3887666.359999999869615,11565558.859999999403954
20101117,3976605.629999998956919,3729418.959999999962747,3891613.800000000279397,11597639.389999998733401
20101118,3965287.049999999348074,3808158.939999999944121,3964923.399999999906868,11738370.389999998733401
20101119,3987924.209999999497086,3836791.659999999217689,3977893.560000000055879,11802610.429999999701977
20101122,4008674.939999999478459,3834405.599999999627471,3958156.359999999869615,11801237.899999998509884
20101123,3978492.059999999590218,3795035.609999999403954,3889922.040000000037253,11663450.709999999031425
20101124,4035084.959999999497086,3854687.109999999869615,3940674.839999999850988,11830447.910000000149012
20101126,4025652.809999999590218,3824861.359999999869615,3904020.040000000037253,11754535.210000000894070
20101129,4023766.379999998956919,3781912.279999999795109,3916426.280000000260770,11722105.939999997615814
20101130,3991697.069999999366701,3768788.949999999720603,3922629.399999999906868,11683116.419999999925494
