代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365414.719999998807907
真實報酬,1365414.719999998807907

夏普值報酬,0.127841472000000
夏普值風險,0.041208138077212
夏普值,3.102335557128595

預期報酬,25852.468220430826477
風險,80402.364378706130083
趨勢值,0.321538656483560
找到最佳解世代,2486
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](9),GS[8](3),JNJ[12](8),MCD[15](6),NKE[19](10),VZ[26](26),WBA[27](5),
Stock#,AXP[1](9),GS[8](3),JNJ[12](8),MCD[15](6),NKE[19](10),VZ[26](26),WBA[27](5),
張數,25555,12128,20487,16412,58620,32379,42128,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,46.500000000000000,13.879999999888241,12.489999999990687,70.519999999785796,1.599999999860302,9.520000000018626,10.520000000251457,
20121203,1430870.949999999953434,1435969.079999999841675,1426932.040000000037253,1428899.239999999757856,1429743.399999999906868,1427923.420000000158325,1444158.360000000335276,10024499.490000002086163
20121204,1427037.700000000186265,1413896.119999999878928,1431234.310000000055879,1431196.919999999925494,1431502.000000000000000,1414000.450000000186265,1443737.080000000307336,9992607.580000000074506
20121205,1441348.500000000000000,1420566.519999999785796,1433487.879999999888241,1427422.159999999683350,1431502.000000000000000,1427923.420000000158325,1498503.480000000214204,10080756.959999999031425
20121206,1434193.099999999860302,1421415.479999999981374,1435126.839999999850988,1445803.599999999860302,1442639.799999999813735,1439256.070000000065193,1510299.320000000298023,10128737.209999999031425
20121207,1446715.050000000046566,1413774.839999999850988,1443321.640000000130385,1452204.279999999795109,1444984.599999999860302,1437960.909999999916181,1520831.320000000298023,10159795.639999998733401
20121210,1450292.750000000000000,1419111.159999999916181,1446394.689999999944121,1467467.439999999711290,1437363.999999999767169,1425656.890000000130385,1531363.320000000298023,10177653.250000000000000
20121211,1458214.800000000046566,1441547.959999999962747,1456638.189999999944121,1470913.959999999962747,1456708.599999999860302,1438932.280000000027940,1544001.720000000204891,10266960.509999999776483
20121212,1473803.350000000093132,1432209.399999999906868,1453770.009999999776483,1465826.239999999757856,1453777.599999999860302,1450264.929999999934807,1544844.280000000260770,10274498.809999998658895
20121213,1475081.099999999860302,1437181.879999999888241,1449467.739999999990687,1463528.559999999823049,1426226.199999999720603,1441522.600000000093132,1538103.800000000279397,10231114.879999998956919
20121214,1447737.250000000000000,1447611.959999999962747,1448238.520000000018626,1458769.079999999608845,1420364.199999999953434,1431485.110000000102445,1548635.800000000279397,10202844.920000001788139
20121217,1463581.350000000093132,1497700.599999999860302,1453360.270000000018626,1475673.439999999711290,1436191.599999999860302,1428571.000000000000000,1564644.440000000176951,10319725.699999999254942
20121218,1477636.600000000093132,1549608.439999999944121,1453565.140000000130385,1485684.759999999776483,1449674.199999999953434,1420476.250000000000000,1581916.920000000158325,10418565.310000000521541
20121219,1451314.949999999953434,1543301.879999999888241,1447009.299999999813735,1472391.039999999571592,1433260.599999999860302,1404610.540000000037253,1568857.240000000223517,10320748.549999998882413
20121220,1466903.500000000000000,1573258.039999999804422,1449467.739999999990687,1477807.000000000000000,1450846.599999999860302,1418533.510000000009313,1581916.920000000158325,10418736.310000000521541
20121221,1473292.250000000000000,1557734.199999999953434,1439633.979999999981374,1480104.679999999934807,1540535.199999999953434,1410762.550000000046566,1529678.200000000419095,10431744.060000000521541
20121224,1470225.650000000139698,1546819.000000000000000,1434512.229999999981374,1465498.000000000000000,1547569.599999999860302,1409791.179999999934807,1536418.680000000167638,10410837.339999999850988
20121226,1460003.650000000139698,1542210.359999999869615,1437585.280000000027940,1456471.399999999674037,1504777.000000000000000,1406877.070000000065193,1544423.000000000000000,10352350.759999999776483
20121227,1448759.449999999953434,1536267.639999999897555,1435946.320000000065193,1456143.159999999683350,1517087.199999999720603,1407848.439999999944121,1538946.360000000335276,10341001.570000000298023
20121228,1448248.350000000093132,1522320.439999999944121,1423449.250000000000000,1437433.479999999748543,1494811.599999999860302,1389068.619999999878928,1539367.640000000130385,10254702.379999998956919
20121231,1468947.899999999906868,1547061.559999999823049,1436151.189999999944121,1447773.039999999571592,1512397.599999999860302,1401048.850000000093132,1559167.800000000279397,10372550.939999999478459
20130102,1501402.750000000000000,1596786.359999999869615,1451311.570000000065193,1479119.959999999962747,1519432.000000000000000,1433427.850000000093132,1603402.200000000419095,10584885.690000001341105
20130103,1507791.500000000000000,1588054.199999999953434,1449262.869999999878928,1487490.079999999608845,1535259.399999999906868,1426628.260000000009313,1592027.640000000130385,10586516.950000001117587
20130104,1523380.050000000046566,1631351.159999999683350,1465857.339999999850988,1474688.719999999739230,1549914.399999999906868,1434399.219999999972060,1566329.560000000288710,10645923.450000001117587
20130107,1529768.800000000046566,1628319.159999999683350,1462784.290000000037253,1492085.439999999711290,1552259.199999999953434,1447027.030000000027940,1602138.360000000335276,10714385.280000001192093
20130108,1538457.500000000000000,1613644.280000000027940,1462989.159999999916181,1492577.799999999813735,1535845.599999999860302,1395544.420000000158325,1608036.280000000260770,10647098.039999999105930
20130109,1539990.800000000046566,1629046.839999999850988,1469545.000000000000000,1490444.239999999757856,1537604.199999999953434,1392306.520000000018626,1619832.120000000344589,10678772.720000000670552
20130110,1553534.949999999953434,1666037.239999999990687,1478969.020000000018626,1500127.319999999832362,1540535.199999999953434,1411410.130000000121072,1624887.480000000214204,10775504.339999999850988
20130111,1565034.699999999953434,1663126.519999999785796,1482246.939999999944121,1505543.279999999795109,1556362.599999999860302,1402020.219999999972060,1647215.320000000298023,10821552.580000000074506
20130114,1564268.050000000046566,1650998.519999999785796,1486549.209999999962747,1502260.879999999888241,1559293.599999999860302,1379031.130000000121072,1644687.640000000130385,10787092.029999999329448
