代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12752171.129999998956919
真實報酬,2752171.129999998956919

夏普值報酬,0.266517113000000
夏普值風險,0.062338879355011
夏普值,4.275295221176852

二次趨勢線,-129.492298617852157 x^2 + 36696.617910700268112 x + 10000000.000000000000000
二次平均預期報酬,19992.111388997342146
風險,114803.987833391904132
二次平均趨勢值,0.174141262566686
一次趨勢線,24216.986579311258538 x + 10000000.000000000000000
一次預期報酬,24216.986579311258538
一次風險,265603.442737217003014
一次趨勢值,0.091177231476141
找到最佳解世代,1286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](5),VZ[26](6),
Stock#,KO[14](1),MCD[15](5),VZ[26](6),
張數,133226,49967,126742,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.479999999981374,34.430000000167638,18.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3334665.260000000242144,3304851.810000000055879,3397971.419999999925494,10037489.490000000223517
FS( 3 ),3359978.199999999720603,3303352.800000000279397,3372623.020000000018626,10035955.019999999552965
FS( 4 ),3429255.719999999739230,3363313.200000000186265,3361216.239999999757856,10153786.160000000149012
FS( 5 ),3491871.939999999944121,3448756.770000000018626,3394169.160000000149012,10334798.870000001043081
FS( 6 ),3490539.679999999701977,3458750.169999999925494,3377692.699999999720603,10326983.549999998882413
FS( 7 ),3494536.459999999962747,3494726.410000000149012,3357413.979999999515712,10346677.849999999627471
FS( 8 ),3511855.839999999850988,3539696.710000000428408,3408110.779999999795109,10459664.330000000074506
FS( 9 ),3518517.140000000130385,3542694.730000000447035,3401773.679999999701977,10462986.550000000745058
FS( 10 ),3521181.660000000149012,3564180.540000000037253,3396704.000000000000000,10482067.199999999254942
FS( 11 ),3489207.419999999925494,3494726.410000000149012,3382762.379999999888241,10366697.210000000894070
FS( 12 ),3482546.120000000111759,3493227.399999999906868,3386564.639999999664724,10362339.160000000149012
FS( 13 ),3546494.600000000093132,3541195.720000000204891,3380227.540000000037253,10467918.859999999403954
FS( 14 ),3602449.520000000018626,3503220.800000000279397,3361216.239999999757856,10466887.560000000521541
FS( 15 ),3614439.859999999869615,3567678.230000000447035,3422052.399999999906868,10604171.490000000223517
FS( 16 ),3647746.359999999869615,3492727.730000000447035,3551329.239999999757856,10691804.330000000074506
FS( 17 ),3659736.699999999720603,3541195.720000000204891,3584282.160000000149012,10785215.580000000074506
FS( 18 ),3667730.260000000242144,3517711.230000000447035,3623572.179999999701977,10809014.669999999925494
FS( 19 ),3655739.919999999925494,3486232.020000000018626,3664129.620000000111759,10806102.559999998658895
FS( 20 ),3663733.479999999981374,3466744.890000000130385,3660327.359999999869615,10790806.730000000447035
FS( 21 ),3671727.040000000037253,3484233.340000000316650,3683140.919999999925494,10839102.300000000745058
FS( 22 ),3758323.939999999944121,3510216.180000000167638,3746511.919999999925494,11015053.039999999105930
FS( 23 ),3755659.419999999925494,3520209.580000000540167,3743977.079999999608845,11019847.080000000074506
FS( 24 ),3767649.760000000242144,3532201.660000000149012,3726233.199999999720603,11026085.619999999180436
FS( 25 ),3755659.419999999925494,3520209.580000000540167,3745244.500000000000000,11021114.500000000000000
FS( 26 ),3780972.359999999869615,3584667.009999999776483,3745244.500000000000000,11110884.869999999180436
FS( 27 ),3804953.040000000037253,3643628.070000000298023,3784534.520000000018626,11233116.630000000819564
FS( 28 ),3795627.219999999739230,3639630.710000000428408,3804813.239999999757856,11240072.169999999925494
FS( 29 ),3733011.000000000000000,3576172.619999999646097,3746511.919999999925494,11055696.539999999105930
FS( 30 ),3710362.580000000074506,3600656.450000000186265,3842835.839999999850988,11153855.870000001043081
FS( 31 ),3713027.100000000093132,3592162.060000000055879,3806080.660000000149012,11111270.820000000298023
FS( 32 ),3722352.919999999925494,3587165.360000000335276,3797208.720000000204891,11106728.000000000000000
FS( 33 ),3738340.040000000037253,3658618.169999999925494,3823824.540000000037253,11220783.750000000000000
FS( 34 ),3719688.400000000372529,3660117.180000000167638,3821289.699999999720603,11201096.279999999329448
FS( 35 ),3682385.120000000111759,3646126.419999999925494,3754116.439999999944121,11082628.980000000447035
FS( 36 ),3683717.379999999888241,3651622.790000000037253,3722430.939999999944121,11057772.109999999403954
FS( 37 ),3703701.280000000260770,3664614.210000000428408,3727500.620000000111759,11095817.109999999403954
FS( 38 ),3707698.059999999590218,3633634.669999999925494,3735105.139999999664724,11076438.869999999180436
FS( 39 ),3690378.679999999701977,3657119.160000000149012,3759186.120000000111759,11106684.960000000894070
FS( 40 ),3674391.559999999590218,3655620.149999999906868,3738907.399999999906868,11068920.109999999403954
FS( 41 ),3741004.559999999590218,3697092.759999999776483,3781999.679999999701977,11220098.000000000000000
FS( 42 ),3701036.760000000242144,3634634.009999999776483,3731302.879999999888241,11066974.649999998509884
FS( 43 ),3722352.919999999925494,3650623.450000000186265,3742709.660000000149012,11115687.030000001192093
FS( 44 ),3818275.640000000130385,3724574.610000000335276,3835231.320000000298023,11378082.570000000298023
FS( 45 ),3822272.419999999925494,3748558.770000000018626,3816220.020000000018626,11387052.209999999031425
FS( 46 ),3834262.760000000242144,3752056.460000000428408,3827626.799999999813735,11413947.019999999552965
FS( 47 ),3839591.799999999813735,3787533.029999999795109,3830161.639999999664724,11457287.469999998807907
FS( 48 ),3852914.400000000372529,3801523.790000000037253,3860579.720000000204891,11515018.910000000149012
FS( 49 ),3883556.379999999888241,3716080.220000000204891,3908741.679999999701977,11508379.279999999329448
FS( 50 ),3898211.240000000223517,3748059.100000000558794,3906206.839999999850988,11552478.179999999701977
FS( 51 ),3866237.000000000000000,3726073.619999999646097,3916346.199999999720603,11508657.819999998435378
FS( 52 ),3836927.280000000260770,3694594.410000000149012,3917613.620000000111759,11449136.310000000521541
FS( 53 ),3824936.939999999944121,3733069.000000000000000,3953101.379999999888241,11511108.320000000298023
FS( 54 ),3831598.240000000223517,3737566.029999999795109,3982252.040000000037253,11551417.309999998658895
FS( 55 ),3834262.760000000242144,3713581.869999999646097,4015204.959999999962747,11563050.589999999850988
FS( 56 ),3862240.219999999739230,3753055.800000000279397,4067169.180000000167638,11682466.199999999254942
FS( 57 ),3871566.040000000037253,3773042.600000000558794,4096319.839999999850988,11740929.480000000447035
FS( 58 ),3879559.600000000093132,3754055.140000000130385,4105191.779999999795109,11738807.519999999552965
FS( 59 ),3855578.919999999925494,3729571.310000000055879,4077308.540000000037253,11662459.769999999552965
FS( 60 ),3904872.540000000037253,3752556.129999999888241,4136877.279999999795109,11794306.949999999254942
FS( 61 ),3903540.280000000260770,3735567.350000000558794,4164760.520000000018626,11803869.150000000372529
FS( 62 ),3936846.780000000260770,3729071.640000000130385,4147016.639999999664724,11812936.059999998658895
FS( 63 ),3914198.359999999869615,3720077.580000000540167,4139412.119999999646097,11773689.060000000521541
FS( 64 ),3898211.240000000223517,3723075.600000000558794,4130540.180000000167638,11751828.020000001415610
FS( 65 ),3938179.040000000037253,3743562.070000000298023,4168562.779999999795109,11850304.890000000596046
FS( 66 ),3922191.919999999925494,3745061.080000000540167,4186306.660000000149012,11853560.660000000149012
FS( 67 ),3974150.059999999590218,3788532.369999999646097,4254747.339999999850988,12017430.769999999552965
FS( 68 ),3980811.359999999869615,3767546.230000000447035,4214189.900000000372529,11962548.490000000223517
FS( 69 ),3959495.199999999720603,3790531.050000000279397,4173632.459999999962747,11923659.710000000894070
FS( 70 ),3958162.939999999944121,3802523.129999999888241,4160958.259999999776483,11921645.330000000074506
FS( 71 ),3967488.760000000242144,3777039.960000000428408,4186306.660000000149012,11930836.380000000819564
FS( 72 ),3970153.280000000260770,3776540.290000000037253,4124203.079999999608845,11870897.650000000372529
FS( 73 ),3992801.699999999720603,3785034.680000000167638,4082378.220000000204891,11860215.599999999627471
FS( 74 ),3991469.439999999944121,3849492.110000000335276,4111528.879999999422580,11952491.429999999701977
FS( 75 ),3992801.699999999720603,3871477.590000000316650,4110261.459999999962747,11974541.750000000000000
FS( 76 ),3996798.479999999981374,3863482.869999999646097,4130540.180000000167638,11990822.529999999329448
FS( 77 ),4019446.900000000372529,3846993.759999999776483,4076041.119999999646097,11942482.779999999329448
FS( 78 ),4074069.559999999590218,3867979.899999999906868,4136877.279999999795109,12078927.739999998360872
FS( 79 ),4095385.719999999739230,3919445.910000000149012,4121668.240000000223517,12136500.870000001043081
FS( 80 ),4104711.540000000037253,3924942.279999999795109,4067169.180000000167638,12096824.000000000000000
FS( 81 ),4064743.740000000223517,3932437.330000000540167,4100122.100000000093132,12097304.169999999925494
FS( 82 ),4079398.600000000093132,3935435.350000000558794,4119133.399999999906868,12133968.350000001490116
FS( 83 ),4076734.080000000074506,3871477.590000000316650,4120400.819999999832362,12068613.490000000223517
FS( 84 ),4078066.339999999850988,3871477.590000000316650,4107726.619999999646097,12057271.549999998882413
FS( 85 ),4084727.640000000130385,3885968.020000000018626,4116598.559999999590218,12087295.219999998807907
FS( 86 ),4111372.839999999850988,3891464.390000000130385,4106459.199999999720603,12109297.429999999701977
FS( 87 ),4120698.660000000149012,3917447.230000000447035,4157155.999999999534339,12195302.890000000596046
FS( 88 ),4127359.959999999962747,3922443.930000000167638,4181236.979999999981374,12231041.870000001043081
FS( 89 ),4160666.459999999962747,3956421.490000000689179,4248410.240000000223517,12365499.190000001341105
FS( 90 ),4168660.020000000018626,3962417.529999999795109,4237003.459999999031425,12368082.009999997913837
FS( 91 ),4160666.459999999962747,3962917.200000000186265,4204050.540000000968575,12327635.200000001117587
FS( 92 ),4172656.799999999813735,3952424.129999999888241,4183771.819999999832362,12308853.750000000000000
FS( 93 ),4167327.760000000242144,3972410.930000000167638,4163493.100000000093132,12303232.790000000968575
FS( 94 ),4183314.879999999888241,3982404.330000000540167,4135609.860000000335276,12301330.070000000298023
FS( 95 ),4191308.439999999944121,3939932.379999999888241,4126737.920000000391155,12257979.740000000223517
FS( 96 ),4193972.959999999962747,3950925.119999999646097,4153353.740000000223517,12298252.820000000298023
FS( 97 ),4135353.520000000018626,3868479.570000000298023,4079843.379999999422580,12083677.469999998807907
FS( 98 ),4164663.240000000223517,3915948.220000000204891,4098854.680000000167638,12179467.140000000596046
FS( 99 ),4252592.400000000372529,3948426.770000000018626,4138144.699999999720603,12339164.869999999180436
FS( 100 ),4284566.639999998733401,3979406.310000000055879,4130540.180000000167638,12394514.129999998956919
FS( 101 ),4281902.119999999180436,3973410.270000000018626,4119133.399999999906868,12374446.789999999105930
FS( 102 ),4237937.539999999105930,3947927.100000000558794,4105191.779999999795109,12291057.419999999925494
FS( 103 ),4304550.540000000968575,3971411.590000000316650,4100122.100000000093132,12376085.230000000447035
FS( 104 ),4271244.040000000968575,3924442.610000000335276,4082378.220000000204891,12278065.870000001043081
FS( 105 ),4223282.679999999701977,3910451.850000000558794,4043088.199999999720603,12176823.730000000447035
FS( 106 ),4208627.820000000298023,3912450.529999999795109,4057029.819999999832362,12178109.169999999925494
FS( 107 ),4309879.580000000074506,3961917.860000000335276,4100122.100000000093132,12371920.540000000968575
FS( 108 ),4323202.179999999701977,3966414.890000000130385,4149551.479999999981374,12439169.550000000745058
FS( 109 ),4296556.980000000447035,3985402.350000000558794,4169830.199999999720603,12451790.530000001192093
FS( 110 ),4263250.480000000447035,3976408.290000000037253,4168562.779999999795109,12408222.550000000745058
FS( 111 ),4272576.300000000745058,4014383.210000000428408,4176167.300000000279397,12463127.810000002384186
FS( 112 ),4289895.679999999701977,3934436.009999999776483,4179969.559999999590218,12404302.250000000000000
FS( 113 ),4319205.400000000372529,3877973.300000000279397,4253479.919999999925494,12450659.620000001043081
FS( 114 ),4307215.060000000521541,3875474.950000000186265,4314316.080000000074506,12497007.089999999850988
FS( 115 ),4319205.400000000372529,3852989.800000000279397,4323188.019999999552965,12495384.220000000670552
FS( 116 ),4256589.179999999701977,3852989.800000000279397,4394163.540000000968575,12503743.520000001415610
FS( 117 ),4312544.099999999627471,3846494.090000000316650,4389093.859999999403954,12548133.049999998882413
FS( 118 ),4352511.900000000372529,3833003.000000000000000,4405570.320000000298023,12591086.220000000670552
FS( 119 ),4376492.580000000074506,3837999.700000000186265,4390361.279999999329448,12604854.559999998658895
FS( 120 ),4351179.639999998733401,3843496.070000000298023,4403035.480000000447035,12597712.189999999478459
FS( 121 ),4361837.720000000670552,3840498.050000000279397,4428383.879999998956919,12630720.650000000372529
FS( 122 ),4369831.279999999329448,3847993.100000000558794,4458801.959999999031425,12676627.339999999850988
FS( 123 ),4368499.019999999552965,3845494.750000000000000,4491754.879999998956919,12705749.649999998509884
FS( 124 ),4333860.259999999776483,3819012.240000000689179,4499359.400000000372529,12652232.900000000372529
