代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13220018.109999999403954
真實報酬,3220018.109999999403954

夏普值報酬,0.313301811000000
夏普值風險,0.091207007473677
夏普值,3.435062937356215

二次趨勢線,9.168614775456373 x^2 + 12288.434945887176582 x + 10000000.000000000000000
二次加權預期報酬,15350.752280889606482
風險,190970.843982084945310
二次加權趨勢值,0.080382701153741
一次趨勢線,14010.981584090461183 x + 10000000.000000000000000
一次預期報酬,14010.981584090461183
一次風險,201533.123047360306373
一次趨勢值,0.069521979177576
找到最佳解世代,2539
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),TRV[22](1),V[25](2),WMT[28](9),
Stock#,HD[9](3),TRV[22](1),V[25](2),WMT[28](9),
張數,59326,42380,97087,41438,
FS( 15 ),2667299.319999999832362,2458043.799999999813735,2451456.500000000000000,2543924.279999999795109,10120723.899999998509884
FS( 16 ),2685097.119999999646097,2506780.799999999813735,2440776.930000000167638,2547239.319999999832362,10179894.169999999925494
FS( 17 ),2666706.060000000055879,2487709.799999999813735,2448543.889999999664724,2526520.319999999832362,10129480.069999998435378
FS( 18 ),2661959.979999999515712,2460162.799999999813735,2452427.370000000111759,2515746.439999999944121,10090296.589999999850988
FS( 19 ),2656027.379999999888241,2462705.599999999627471,2424272.139999999664724,2540194.859999999869615,10083199.979999998584390
FS( 20 ),2633483.500000000000000,2470757.799999999813735,2442718.669999999925494,2542681.140000000130385,10089641.109999999403954
FS( 21 ),2638229.579999999608845,2511866.399999999906868,2488349.560000000055879,2576660.299999999813735,10215105.839999999850988
FS( 22 ),2637636.319999999832362,2516952.000000000000000,2574756.989999999757856,2566715.179999999701977,10296060.490000000223517
FS( 23 ),2679757.779999999795109,2547889.399999999906868,2598057.870000000111759,2570444.600000000093132,10396149.650000000372529
FS( 24 ),2681537.560000000055879,2514409.199999999720603,2605824.830000000074506,2564228.899999999906868,10366000.490000000223517
FS( 25 ),2696962.319999999832362,2531785.000000000000000,2597087.000000000000000,2556355.679999999701977,10382190.000000000000000
FS( 26 ),2679757.779999999795109,2536446.799999999813735,2630096.580000000074506,2553455.020000000018626,10399756.179999999701977
FS( 27 ),2685690.379999999888241,2538142.000000000000000,2729125.319999999832362,2567543.939999999944121,10520501.639999998733401
FS( 28 ),2689249.939999999944121,2516528.199999999720603,2765047.510000000242144,2565057.659999999683350,10535883.310000000521541
FS( 29 ),2724845.540000000037253,2500000.000000000000000,2735921.410000000149012,2560499.479999999981374,10521266.429999999701977
FS( 30 ),2732557.919999999925494,2507204.599999999627471,2797086.219999999739230,2578317.819999999832362,10615166.559999998658895
FS( 31 ),2711793.819999999832362,2512714.000000000000000,2794173.610000000335276,2559256.339999999850988,10577937.769999999552965
FS( 32 ),2724845.540000000037253,2519070.999999999534339,2762134.899999999906868,2570858.979999999981374,10576910.419999999925494
FS( 33 ),2771119.819999999832362,2536446.799999999813735,2791261.000000000000000,2589091.699999999720603,10687919.319999998435378
FS( 34 ),2783578.279999999795109,2511866.399999999906868,2771843.600000000093132,2489226.120000000111759,10556514.399999998509884
FS( 35 ),2762814.179999999701977,2497880.999999999534339,2824270.580000000074506,2428312.260000000242144,10513278.019999999552965
FS( 36 ),2785358.060000000055879,2498728.599999999627471,2827183.189999999944121,2425825.979999999981374,10537095.830000000074506
FS( 37 ),2787137.839999999850988,2483471.799999999813735,2853396.680000000167638,2436185.479999999981374,10560191.800000000745058
FS( 38 ),2784171.540000000037253,2483471.799999999813735,2836891.889999999664724,2422510.939999999944121,10527046.169999999925494
FS( 39 ),2801969.339999999850988,2474995.799999999813735,2887377.129999999888241,2441986.799999999813735,10606329.070000000298023
FS( 40 ),2822140.179999999701977,2456772.399999999906868,2824270.580000000074506,2448202.500000000000000,10551385.660000000149012
FS( 41 ),2815614.319999999832362,2475843.399999999906868,2844658.850000000093132,2437428.620000000111759,10573545.190000001341105
FS( 42 ),2812648.019999999552965,2458467.599999999627471,2819416.229999999981374,2445301.839999999850988,10535833.689999999478459
FS( 43 ),2811461.500000000000000,2479233.799999999813735,2821357.969999999739230,2461462.659999999683350,10573515.929999999701977
FS( 44 ),2752135.500000000000000,2415240.000000000000000,2787377.520000000018626,2443644.319999999832362,10398397.339999999850988
FS( 45 ),2811461.500000000000000,2410154.399999999906868,2806794.919999999925494,2480524.140000000130385,10508934.960000000894070
FS( 46 ),2836971.679999999701977,2419901.799999999813735,2863105.379999999888241,2476794.720000000204891,10596773.580000000074506
FS( 47 ),2853582.959999999962747,2441515.599999999627471,2843687.979999999981374,2489640.500000000000000,10628427.039999999105930
FS( 48 ),2882652.700000000186265,2441515.599999999627471,2828154.060000000055879,2514503.299999999813735,10666825.660000000149012
FS( 49 ),2915282.000000000000000,2475419.599999999627471,2846600.589999999850988,2527763.459999999962747,10765065.649999998509884
FS( 50 ),2934859.579999999608845,2498304.799999999813735,2833979.280000000260770,2531078.500000000000000,10798222.160000000149012
FS( 51 ),2918841.560000000055879,2503814.199999999720603,2839804.500000000000000,2537294.199999999720603,10799754.459999999031425
FS( 52 ),2909942.659999999683350,2508899.799999999813735,2832037.540000000037253,2521133.379999999888241,10772013.379999998956919
FS( 53 ),2896890.939999999944121,2505509.399999999906868,2884464.520000000018626,2516989.580000000074506,10803854.439999999478459
FS( 54 ),2929520.240000000223517,2507204.599999999627471,2828154.060000000055879,2511188.260000000242144,10776067.160000000149012
FS( 55 ),2953843.899999999906868,2479657.599999999627471,2833979.280000000260770,2509530.740000000223517,10777011.519999999552965
FS( 56 ),2947318.040000000037253,2456772.399999999906868,2846600.589999999850988,2513260.159999999683350,10763951.189999999478459
FS( 57 ),2939012.399999999906868,2466519.799999999813735,2883493.649999999906868,2517403.959999999962747,10806429.809999998658895
FS( 58 ),2974014.740000000223517,2494066.799999999813735,2914561.489999999757856,2536051.060000000055879,10918694.089999999850988
FS( 59 ),2968675.399999999906868,2478386.199999999720603,2907765.399999999906868,2531492.879999999888241,10886319.879999998956919
FS( 60 ),2960963.019999999552965,2490676.399999999906868,2897085.830000000074506,2535636.679999999701977,10884361.929999999701977
FS( 61 ),2960963.019999999552965,2485590.799999999813735,2888348.000000000000000,2520304.620000000111759,10855206.439999999478459
FS( 62 ),2984693.419999999925494,2508899.799999999813735,2864076.250000000000000,2536051.060000000055879,10893720.529999999329448
FS( 63 ),2965709.100000000093132,2514409.199999999720603,2888348.000000000000000,2542681.140000000130385,10911147.439999999478459
FS( 64 ),2966302.359999999869615,2512290.199999999720603,2921357.580000000074506,2513260.159999999683350,10913210.300000000745058
FS( 65 ),2957403.459999999962747,2509747.399999999906868,2888348.000000000000000,2497099.339999999850988,10852598.199999999254942
FS( 66 ),3003084.479999999515712,2495338.199999999720603,2936891.500000000000000,2514088.919999999925494,10949403.099999999627471
FS( 67 ),3000711.439999999944121,2460162.799999999813735,2900969.310000000055879,2491712.399999999906868,10853555.950000001117587
FS( 68 ),2928333.719999999739230,2447448.799999999813735,2833979.280000000260770,2483424.799999999813735,10693186.599999999627471
