代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14047243.830000001937151
真實報酬,4047243.830000001937151

夏普值報酬,0.396024383000000
夏普值風險,0.104255789485088
夏普值,3.798584087808821

二次趨勢線,49.689509460262073 x^2 + 3714.097632585687279 x + 10000000.000000000000000
二次加權預期報酬,20376.646471593583556
風險,102433.204189912386937
二次加權趨勢值,0.198926184460803
一次趨勢線,13086.744309664685716 x + 10000000.000000000000000
一次預期報酬,13086.744309664685716
一次風險,366350.886323257233016
一次趨勢值,0.035721885215032
找到最佳解世代,1858
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AXP[1](6),BA[2](2),CAT[3](1),CVX[5](10),MCD[15](7),MSFT[18](5),PFE[20](17),UNH[23](3),WMT[28](8),
Stock#,AXP[1](6),BA[2](2),CAT[3](1),CVX[5](10),MCD[15](7),MSFT[18](5),PFE[20](17),UNH[23](3),WMT[28](8),
張數,14745,7078,11821,9428,9288,17755,33670,6882,16182,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,75.250000000000000,77.340000000083819,55.209999999962747,21.199999999953434,80.439999999944121,3.100000000093132,1.000000000000000,12.100000000093132,54.880000000121072,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1124528.950000000186265,1122789.700000000186265,1106146.179999999934807,1110828.159999999916181,1109810.679999999934807,1106139.600000000093132,1120875.300000000046566,1114276.719999999972060,1117583.800000000046566,10032980.089999999850988
FS( 3 ),1110668.649999999906868,1123426.720000000204891,1099408.209999999962747,1106019.879999999888241,1111854.040000000037253,1106139.600000000093132,1131649.699999999953434,1116134.860000000102445,1120011.100000000093132,10025313.759999999776483
FS( 4 ),1112880.399999999906868,1126187.140000000130385,1099881.050000000046566,1101588.719999999972060,1121699.320000000065193,1115727.300000000046566,1127272.599999999860302,1117717.719999999972060,1104638.200000000186265,10027593.449999999254942
FS( 5 ),1118630.949999999953434,1120666.300000000046566,1091960.979999999981374,1092160.719999999972060,1118634.280000000027940,1112176.300000000046566,1126935.899999999906868,1114552.000000000000000,1111920.100000000093132,10007638.529999999329448
FS( 6 ),1130279.500000000000000,1125974.800000000046566,1109219.639999999897555,1083864.079999999841675,1116962.439999999944121,1111821.199999999953434,1125925.799999999813735,1112005.660000000149012,1104152.740000000223517,10020206.859999999403954
FS( 7 ),1134113.199999999953434,1128310.540000000037253,1118912.860000000102445,1093009.239999999990687,1122813.879999999888241,1121941.550000000046566,1105387.099999999860302,1114139.080000000074506,1109007.340000000083819,10047635.789999999105930
FS( 8 ),1133670.849999999860302,1120453.959999999962747,1111111.000000000000000,1095177.679999999934807,1134145.239999999990687,1111643.650000000139698,1097643.000000000000000,1117373.620000000111759,1099945.420000000158325,10021165.419999999925494
FS( 9 ),1129837.150000000139698,1124276.080000000074506,1116903.290000000037253,1097251.839999999850988,1128572.439999999944121,1113241.600000000093132,1094949.400000000139698,1113519.700000000186265,1086352.540000000037253,10004905.039999999105930
FS( 10 ),1129542.250000000000000,1116065.600000000093132,1106146.179999999934807,1096309.040000000037253,1140182.439999999944121,1110223.250000000000000,1079461.200000000186265,1105674.219999999972060,1107227.320000000065193,9990832.500000000000000
FS( 11 ),1142665.299999999813735,1120666.300000000046566,1103309.139999999897555,1093103.520000000018626,1139810.919999999925494,1109690.600000000093132,1078451.100000000093132,1085578.780000000260770,1102210.900000000139698,9975487.560000000521541
FS( 12 ),1130869.300000000046566,1125479.340000000083819,1103900.189999999944121,1089709.439999999944121,1134888.280000000027940,1106139.600000000093132,1067340.000000000000000,1092185.500000000000000,1094281.720000000204891,9944794.370000001043081
FS( 13 ),1123644.250000000000000,1129230.680000000167638,1118085.389999999897555,1089898.000000000000000,1135631.320000000065193,1113951.800000000046566,1069696.899999999906868,1091910.219999999972060,1087161.640000000130385,9959211.200000001117587
FS( 14 ),1120252.899999999906868,1117268.860000000102445,1116666.869999999878928,1087918.119999999878928,1127457.879999999888241,1117857.900000000139698,1059259.199999999953434,1094731.840000000083819,1078585.180000000167638,9919999.750000000000000
FS( 15 ),1141780.600000000093132,1136450.240000000223517,1137708.250000000000000,1097157.560000000055879,1124392.839999999850988,1127800.700000000186265,1048821.500000000000000,1104091.360000000102445,1090721.680000000167638,10008925.730000000447035
FS( 16 ),1133818.300000000046566,1184651.420000000158325,1160286.360000000102445,1105359.919999999925494,1131265.959999999962747,1130641.500000000000000,1053535.300000000046566,1109665.780000000260770,1082468.860000000102445,10091694.399999998509884
FS( 17 ),1134408.100000000093132,1197108.700000000186265,1149292.829999999841675,1098854.599999999860302,1132101.879999999888241,1141116.949999999953434,1053198.600000000093132,1120057.600000000093132,1079879.740000000223517,10106020.000000000000000
FS( 18 ),1133228.500000000000000,1187057.939999999944121,1170216.000000000000000,1072833.320000000065193,1141204.119999999878928,1167927.000000000000000,1057912.400000000139698,1121709.280000000260770,1062565.000000000000000,10114654.560000000521541
FS( 19 ),1139568.850000000093132,1171981.800000000046566,1144209.800000000046566,1054260.159999999916181,1142690.199999999953434,1156386.250000000000000,1054208.699999999953434,1115515.480000000214204,1074863.320000000065193,10053685.560000000521541
