代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10655195.439999999478459
真實報酬,655195.439999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29691.334944495825766
風險,36363.691952023393242
起點值,0.816510462789896
找到最佳解世代,2630
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](2),AXP[1](3),MCD[15](10),MRK[17](8),NKE[19](6),UNH[23](4),V[25](7),
Stock#,AAPL[0](2),AXP[1](3),MCD[15](10),MRK[17](8),NKE[19](6),UNH[23](4),V[25](7),
張數,7089,14364,9103,21813,18423,5638,10333,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,137.500000000000000,71.199999999953434,128.240000000223517,37.630000000121072,51.579999999841675,70.939999999944121,33.750000000000000,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1470325.209999999962747,1432592.919999999925494,1414825.470000000204891,1422681.489999999990687,1449020.530000000027940,1443849.979999999748543,1435494.109999999869615,10068792.709999999031425
FS( 3 ),1474578.610000000102445,1447818.760000000009313,1422107.870000000344589,1438168.720000000204891,1450678.599999999860302,1450277.300000000046566,1444793.809999999823049,10128426.670000001788139
FS( 4 ),1482234.729999999981374,1449686.080000000074506,1426750.400000000139698,1444494.489999999990687,1464864.309999999823049,1447683.819999999832362,1443657.180000000167638,10159374.009999999776483
FS( 5 ),1468340.290000000037253,1464768.280000000027940,1420560.360000000102445,1452347.170000000158325,1483655.769999999785796,1452701.639999999897555,1449546.989999999990687,10191923.500000000000000
FS( 6 ),1469332.750000000000000,1476403.119999999878928,1446777.000000000000000,1454746.600000000093132,1483103.079999999841675,1459241.719999999972060,1453680.190000000176951,10243287.460000000894070
FS( 7 ),1480887.820000000065193,1479419.559999999823049,1450236.140000000363216,1439695.630000000121072,1497104.559999999823049,1474915.359999999869615,1446757.079999999841675,10269019.150000000372529
FS( 8 ),1471317.669999999925494,1459166.319999999832362,1444592.280000000260770,1441222.540000000037253,1487340.369999999878928,1467980.620000000111759,1443863.839999999850988,10215486.640000000596046
FS( 9 ),1480816.929999999934807,1462470.040000000037253,1439676.660000000149012,1455400.989999999990687,1476655.030000000027940,1471081.520000000018626,1448823.680000000167638,10234927.849999999627471
FS( 10 ),1487055.250000000000000,1467784.719999999972060,1462070.040000000270084,1449729.609999999869615,1476470.799999999813735,1485571.179999999934807,1454506.829999999841675,10283191.429999999701977
FS( 11 ),1490528.860000000102445,1458160.840000000083819,1455515.880000000121072,1469579.440000000176951,1465969.689999999711290,1469390.120000000111759,1445827.109999999869615,10254974.939999999478459
FS( 12 ),1512362.979999999981374,1474535.800000000046566,1472356.430000000167638,1501862.679999999934807,1474812.729999999748543,1483428.739999999990687,1453370.199999999953434,10372732.559999998658895
FS( 13 ),1542562.120000000111759,1479994.119999999878928,1467076.690000000176951,1506443.410000000149012,1469285.829999999841675,1479087.479999999748543,1460396.640000000130385,10404849.290000000968575
FS( 14 ),1527533.439999999944121,1491485.319999999832362,1471901.280000000260770,1530655.840000000083819,1514053.719999999972060,1479482.139999999897555,1456366.770000000018626,10471481.509999999776483
FS( 15 ),1524556.060000000055879,1505562.040000000037253,1466075.360000000102445,1508842.840000000083819,1528239.429999999934807,1475479.159999999916181,1447067.069999999832362,10455824.959999999031425
FS( 16 ),1524626.950000000186265,1520213.319999999832362,1461614.890000000363216,1506007.150000000372529,1522528.299999999813735,1470123.060000000055879,1458433.369999999878928,10463550.039999999105930
FS( 17 ),1527746.110000000102445,1513605.880000000121072,1447960.390000000363216,1504480.239999999990687,1527502.509999999776483,1473956.900000000139698,1468353.050000000046566,10463608.080000001937151
FS( 18 ),1532495.739999999990687,1519207.840000000083819,1450964.380000000121072,1506007.150000000372529,1519027.929999999934807,1490081.579999999841675,1490052.349999999860302,10507839.969999998807907
FS( 19 ),1545114.159999999916181,1537737.399999999906868,1460977.680000000167638,1504916.500000000000000,1522712.530000000027940,1505867.979999999748543,1502451.949999999953434,10579781.199999999254942
FS( 20 ),1557590.799999999813735,1541041.119999999878928,1471537.160000000149012,1497063.820000000065193,1521422.919999999925494,1513930.319999999832362,1500385.349999999860302,10602974.490000000223517
FS( 21 ),1580842.719999999972060,1532853.639999999897555,1484918.570000000298023,1500990.160000000149012,1525291.750000000000000,1516692.939999999944121,1519294.739999999990687,10660887.519999999552965
FS( 22 ),1595375.169999999925494,1525958.919999999925494,1482096.640000000363216,1495100.650000000372529,1499683.780000000027940,1513253.759999999776483,1516298.170000000158325,10627770.090000001713634
FS( 23 ),1613806.570000000065193,1522367.919999999925494,1476907.930000000167638,1496191.300000000279397,1514422.179999999934807,1513648.419999999925494,1517848.119999999878928,10655195.439999999478459
