代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10795081.699999999254942
真實報酬,795081.699999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,45061.766174216034415
風險,98512.720117481367197
起點值,0.457420789117158
找到最佳解世代,2322
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](2),JPM[13](1),NKE[19](14),
Stock#,DD[7](2),JPM[13](1),NKE[19](14),
張數,79878,81679,136668,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.060000000055879,13.009999999776483,0.479999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332534.219999999739230,3313730.039999999571592,3337433.040000000037253,9983698.300000000745058
FS( 3 ),3354900.060000000055879,3365187.810000000055879,3337433.040000000037253,10057521.910000000149012
FS( 4 ),3371674.439999999944121,3387241.139999999664724,3363399.959999999962747,10122316.539999999105930
FS( 5 ),3446759.759999999776483,3476271.250000000000000,3368866.679999999701977,10291898.689999999478459
FS( 6 ),3481906.080000000540167,3455851.500000000000000,3351099.839999999850988,10288858.419999999925494
FS( 7 ),3532229.219999999739230,3482805.569999999832362,3396200.280000000260770,10411236.070000000298023
FS( 8 ),3543412.140000000130385,3493423.839999999850988,3389366.879999999888241,10426203.859999999403954
FS( 9 ),3529832.879999999888241,3494240.629999999888241,3325132.919999999925494,10349207.429999999701977
FS( 10 ),3573765.780000000260770,3496691.000000000000000,3311466.120000000111759,10381923.900000000372529
FS( 11 ),3619296.240000000223517,3551415.929999999701977,3348366.479999999981374,10519079.650000000372529
FS( 12 ),3730326.660000000149012,3583270.739999999757856,3379800.120000000111759,10693398.519999999552965
FS( 13 ),3688790.100000000093132,3555499.879999999888241,3341533.080000000074506,10585824.060000000521541
FS( 14 ),3695979.120000000111759,3637178.879999999888241,3382533.479999999981374,10715692.480000000447035
FS( 15 ),3639265.740000000223517,3593889.009999999776483,3591635.520000000018626,10824791.269999999552965
FS( 16 ),3660832.799999999813735,3587354.689999999944121,3608035.679999999701977,10856224.169999999925494
FS( 17 ),3687991.320000000298023,3590621.849999999627471,3508268.040000000037253,10786882.210000000894070
FS( 18 ),3653643.780000000260770,3563667.779999999795109,3536968.319999999832362,10754280.880000000819564
FS( 19 ),3596930.400000000372529,3531812.969999999739230,3485034.479999999981374,10613778.849999999627471
FS( 20 ),3677607.180000000167638,3591438.639999999664724,3526034.879999999888241,10795081.699999999254942
