代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10722883.910000000149012
真實報酬,722883.910000000149012

夏普值報酬,0.063588391000000
夏普值風險,0.020512718090481
夏普值,3.099949539574062

預期報酬,35344.079412384693569
風險,32802.737748808300239
趨勢值,1.077473462216388
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](9),IBM[10](15),INTC[11](29),JNJ[12](2),PFE[20](11),UNH[23](8),UTX[24](1),
Stock#,AAPL[0](9),IBM[10](15),INTC[11](29),JNJ[12](2),PFE[20](11),UNH[23](8),UTX[24](1),
張數,25217,7475,58958,16638,51002,21816,15370,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,27.949999999953434,23.750000000000000,18.659999999916181,32.320000000065193,4.979999999981374,59.319999999832362,83.199999999953434,
20130701,1474213.770000000018626,1429841.750000000000000,1408525.280000000027940,1441382.260000000009313,1416840.540000000037253,1431843.399999999674037,1456236.999999999767169,10058887.000000000000000
20130702,1507500.209999999962747,1431486.250000000000000,1398502.419999999925494,1440383.979999999981374,1412760.379999999888241,1423989.639999999664724,1441789.199999999953434,10056415.079999998211861
20130703,1515821.819999999832362,1444567.500000000000000,1400860.739999999990687,1443877.960000000195578,1410210.279999999795109,1429879.959999999962747,1456083.300000000046566,10101304.559999998658895
20130705,1503717.659999999916181,1457125.500000000000000,1418548.139999999897555,1462013.380000000121072,1426530.919999999925494,1443624.039999999804422,1483749.300000000046566,10195311.939999999478459
20130708,1495143.879999999888241,1457499.250000000000000,1367254.679999999934807,1473992.740000000223517,1434691.239999999990687,1473948.279999999795109,1490665.800000000046566,10193198.870000001043081
20130709,1521621.729999999981374,1429991.250000000000000,1364306.780000000027940,1478817.760000000009313,1445911.680000000167638,1482892.839999999850988,1506650.599999999860302,10230195.639999998733401
20130710,1515569.649999999906868,1437092.500000000000000,1370792.159999999916181,1484807.439999999944121,1450501.860000000102445,1476784.359999999869615,1503115.500000000000000,10238666.470000000670552
20130711,1539273.629999999888241,1441203.750000000000000,1414421.079999999841675,1491961.780000000027940,1467332.520000000018626,1491401.079999999841675,1532318.500000000000000,10377915.339999999850988
20130712,1536499.760000000009313,1435747.000000000000000,1409114.859999999869615,1497285.939999999944121,1469372.599999999860302,1483547.319999999832362,1534470.299999999813735,10366040.779999997466803
20130715,1539777.969999999972060,1450173.750000000000000,1411473.179999999934807,1504107.520000000251457,1468352.559999999823049,1475257.239999999990687,1540771.999999999767169,10389917.219999998807907
20130716,1549864.770000000018626,1449052.500000000000000,1429750.159999999916181,1504107.520000000251457,1462742.339999999850988,1459767.879999999655411,1536929.499999999767169,10392217.669999999925494
20130717,1550116.939999999944121,1454285.000000000000000,1423854.359999999869615,1499615.260000000009313,1462742.339999999850988,1444933.000000000000000,1550301.399999999906868,10385851.299999998882413
20130718,1555412.510000000009313,1479999.000000000000000,1370202.579999999841675,1500280.780000000027940,1453051.959999999962747,1539178.119999999878928,1557679.000000000000000,10455806.949999999254942
20130719,1530952.020000000018626,1446735.250000000000000,1358410.979999999981374,1534555.060000000055879,1483653.159999999916181,1558812.519999999785796,1575200.800000000046566,10488322.790000000968575
20130722,1535743.250000000000000,1450846.500000000000000,1342492.319999999832362,1535386.960000000195578,1496913.680000000167638,1574738.199999999953434,1569513.899999999906868,10505637.810000000521541
20130723,1509517.569999999832362,1457499.250000000000000,1341313.159999999916181,1537716.280000000027940,1500483.820000000065193,1585864.359999999869615,1615777.600000000093132,10548175.039999999105930
20130724,1586933.760000000009313,1469683.500000000000000,1351925.599999999860302,1536718.000000000000000,1493343.540000000037253,1582373.799999999813735,1613779.499999999767169,10634760.699999999254942
20130725,1579620.830000000074506,1474243.250000000000000,1359590.139999999897555,1540211.979999999981374,1488753.360000000102445,1584337.239999999990687,1610705.500000000000000,10637465.299999998882413
20130726,1588698.949999999953434,1475215.000000000000000,1371381.739999999990687,1544537.860000000102445,1497933.719999999972060,1575392.679999999701977,1613472.099999999860302,10666635.049999998882413
20130729,1613159.439999999944121,1466693.500000000000000,1370202.579999999841675,1550860.300000000046566,1506604.059999999823049,1588045.959999999962747,1615009.099999999860302,10710577.939999999478459
20130730,1633080.870000000111759,1465198.500000000000000,1378456.699999999953434,1550194.780000000027940,1513234.320000000065193,1576701.639999999664724,1622694.099999999860302,10739563.910000000149012
20130731,1630307.000000000000000,1457947.750000000000000,1376098.379999999888241,1555685.320000000065193,1490793.439999999944121,1589354.919999999692664,1622694.099999999860302,10722883.910000000149012
