代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10739777.449999999254942
真實報酬,739777.449999999254942

夏普值報酬,0.065277745000000
夏普值風險,0.024002177812816
夏普值,2.719659253800952

預期報酬,38326.193603141065978
風險,76192.995354936239892
趨勢值,0.503014659347660
找到最佳解世代,1671
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](9),CVX[5](1),MCD[15](11),MRK[17](2),UNH[23](3),VZ[26](10),
Stock#,AXP[1](9),CVX[5](1),MCD[15](11),MRK[17](2),UNH[23](3),VZ[26](10),
張數,17867,14614,10657,30597,7788,34852,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.239999999990687,85.439999999944121,124.340000000083819,47.410000000149012,34.000000000000000,43.360000000102445,
20180402,1625929.239999999990687,1640360.799999999813735,1680946.380000000121072,1629949.600000000325963,1691587.599999999860302,1643663.679999999934807,9912441.300000000745058
20180403,1657017.819999999832362,1678211.059999999823049,1709507.140000000130385,1655039.140000000363216,1749063.040000000037253,1655513.360000000102445,10104355.559999998658895
20180404,1672026.099999999860302,1673096.159999999916181,1723680.949999999953434,1668807.790000000037253,1781850.520000000018626,1670499.720000000204891,10189965.240000000223517
20180405,1683103.640000000130385,1714161.500000000000000,1747339.489999999990687,1668501.820000000298023,1784031.159999999916181,1681303.840000000083819,10278445.449999999254942
20180406,1642188.209999999962747,1677188.080000000074506,1718565.590000000083819,1632703.330000000074506,1744234.479999999981374,1654816.320000000065193,10069700.009999999776483
20180409,1646297.620000000111759,1695017.159999999916181,1718352.449999999953434,1718374.929999999934807,1734655.239999999990687,1635299.200000000186265,10148000.600000001490116
20180410,1661663.239999999990687,1736959.339999999850988,1734764.230000000214204,1728471.940000000176951,1766274.520000000018626,1682349.400000000139698,10310486.670000001788139
20180411,1636649.439999999944121,1742804.939999999944121,1740838.720000000204891,1719598.810000000288710,1728191.199999999953434,1658301.520000000018626,10226388.629999998956919
20180412,1667916.689999999944121,1742512.659999999916181,1722508.680000000167638,1736121.190000000176951,1746415.120000000111759,1663877.840000000083819,10279356.179999999701977
20180413,1662199.250000000000000,1752596.320000000065193,1723680.949999999953434,1749277.900000000139698,1746726.639999999897555,1661089.679999999934807,10295574.740000000223517
20180416,1672383.439999999944121,1763995.239999999990687,1722615.250000000000000,1794561.460000000195578,1793766.159999999916181,1686531.640000000130385,10433857.189999999478459
20180417,1677028.859999999869615,1763995.239999999990687,1732419.690000000176951,1813531.600000000325963,1857861.400000000139698,1702563.560000000055879,10547404.350000001490116
20180418,1700077.290000000037253,1809590.919999999925494,1724533.510000000009313,1802822.650000000139698,1841117.199999999953434,1694547.600000000093132,10572693.169999999925494
20180419,1829077.030000000027940,1807983.379999999888241,1700235.550000000046566,1794255.490000000223517,1836132.879999999888241,1687925.720000000204891,10655614.050000000745058
20180420,1800847.170000000158325,1787523.780000000027940,1692136.230000000214204,1800068.920000000158325,1830681.280000000027940,1669454.160000000149012,10580715.540000000968575
20180423,1797631.109999999869615,1806083.559999999823049,1694480.770000000251457,1843516.660000000149012,1825073.919999999925494,1695941.679999999934807,10662731.699999999254942
20180424,1794593.719999999972060,1790885.000000000000000,1676683.580000000074506,1838621.140000000363216,1824139.360000000102445,1731142.200000000186265,10656069.000000000000000
20180425,1764934.500000000000000,1793515.520000000018626,1661976.920000000158325,1824546.520000000251457,1824139.360000000102445,1746128.560000000055879,10615245.380000000819564
20180426,1790841.650000000139698,1815436.520000000018626,1693521.640000000130385,1817815.179999999934807,1846023.639999999897555,1734278.880000000121072,10697921.510000001639128
20180427,1779764.109999999869615,1850510.120000000111759,1687127.440000000176951,1819651.000000000000000,1870555.840000000083819,1797361.000000000000000,10804973.509999999776483
20180430,1764398.489999999990687,1828442.979999999981374,1784532.420000000158325,1801292.800000000046566,1841117.199999999953434,1719989.560000000055879,10739777.449999999254942
