代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10558242.910000002011657
真實報酬,558242.910000002011657

夏普值報酬,0.047124291000000
夏普值風險,0.017507903202243
夏普值,2.691601070421950

預期報酬,28719.986018445342779
風險,50615.203144677965611
趨勢值,0.567418171499825
找到最佳解世代,1891
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](17),DIS[6](1),JNJ[12](8),V[25](7),VZ[26](9),
Stock#,AAPL[0](17),DIS[6](1),JNJ[12](8),V[25](7),VZ[26](9),
張數,70028,66181,31826,98765,68004,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.320000000065193,10.180000000167638,54.159999999916181,8.750000000000000,2.360000000102445,
20091201,1970588.239999999990687,2033752.310000000288710,2021323.419999999925494,2048394.849999999860302,2056443.320000000065193,10130502.140000000596046
20091202,1962885.160000000149012,2037723.170000000158325,2033099.040000000037253,2030617.149999999906868,2076164.480000000214204,10140489.000000000000000
20091203,1965686.280000000027940,2007279.910000000149012,2042010.319999999832362,1976296.400000000139698,2078204.600000000093132,10069477.509999999776483
20091204,1934173.680000000167638,2041032.220000000204891,2048375.519999999785796,1982222.300000000046566,2078884.640000000130385,10084688.359999999403954
20091207,1890056.040000000037253,2051621.180000000167638,2048693.780000000027940,1973333.449999999953434,2114246.719999999739230,10077951.169999999925494
20091208,1899159.680000000167638,2030443.260000000242144,2044874.659999999916181,1975308.750000000000000,2123087.240000000223517,10072873.589999999850988
20091209,1978991.600000000093132,2031766.880000000121072,2049012.039999999804422,2018765.350000000093132,2116966.879999999888241,10195502.750000000000000
20091210,1964986.000000000000000,2071475.480000000214204,2061424.179999999701977,2032592.449999999720603,2140088.240000000223517,10270566.349999999627471
20091211,1947479.000000000000000,2097947.879999999888241,2063970.259999999776483,2008888.850000000093132,2144848.520000000484288,10263134.510000001639128
20091214,1970588.239999999990687,2106551.410000000149012,2067471.119999999646097,2092839.100000000093132,2133287.839999999850988,10370737.709999999031425
20091215,1942577.040000000037253,2129714.760000000242144,2060469.399999999674037,2127406.850000000093132,2098605.799999999813735,10358773.850000001490116
20091216,1950980.400000000139698,2146260.010000000242144,2062378.959999999729916,2149135.150000000372529,2079564.679999999934807,10388319.200000001117587
20091217,1919467.800000000046566,2113169.510000000242144,2051876.379999999888241,2149135.150000000372529,2086365.080000000074506,10320013.920000001788139
20091218,1955182.080000000074506,2114493.129999999888241,2048693.780000000027940,2196542.349999999627471,2085685.040000000270084,10400596.380000000819564
20091221,1983193.280000000027940,2144274.580000000074506,2047420.739999999757856,2160986.949999999720603,2099285.839999999850988,10435161.389999998733401
20091222,2004201.680000000167638,2138318.290000000502914,2053785.939999999944121,2131357.449999999720603,2110846.520000000484288,10438509.879999998956919
20091223,2021708.680000000167638,2146260.010000000242144,2055058.979999999748543,2127406.850000000093132,2112886.639999999664724,10463321.160000000149012
20091224,2091036.400000000139698,2136994.669999999925494,2059196.360000000102445,2130369.799999999813735,2121047.120000000111759,10538644.350000001490116
20091228,2116946.759999999776483,2111845.890000000130385,2066834.599999999860302,2142221.600000000093132,2129207.599999999627471,10567056.449999999254942
20091229,2091736.680000000167638,2142950.960000000428408,2066834.599999999860302,2173826.400000000372529,2125127.360000000335276,10600476.000000000000000
20091230,2116946.759999999776483,2136332.860000000335276,2065879.819999999832362,2176789.350000000093132,2125127.360000000335276,10621076.149999998509884
20091231,2107843.120000000111759,2134347.430000000167638,2049966.819999999832362,2159999.300000000279397,2106086.240000000223517,10558242.910000002011657
