代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12989926.530000001192093
真實報酬,2989926.530000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23237.002804545678373
風險,151548.348061101947678
起點值,0.153330624199063
找到最佳解世代,1650
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](8),DIS[6](3),KO[14](15),XOM[29](1),
Stock#,CAT[3](2),CVX[5](8),DIS[6](3),KO[14](15),XOM[29](1),
張數,25568,24405,59988,67658,31979,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,71.040000000037253,10.250000000000000,0.079999999841675,29.520000000018626,33.340000000083819,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1975710.399999999906868,1984380.800000000046566,1988002.399999999906868,1991881.040000000037253,1988807.350000000093132,9928781.990000000223517
FS( 3 ),2030170.240000000223517,2035143.199999999953434,2029394.119999999646097,2018267.659999999916181,2023024.880000000121072,10136000.100000001490116
FS( 4 ),2016363.520000000018626,2041732.549999999813735,2012597.479999999748543,2021650.560000000055879,2037735.219999999972060,10130079.330000000074506
FS( 5 ),2013295.359999999869615,2038315.849999999860302,2034193.159999999683350,2010825.280000000027940,2041892.490000000223517,10138522.140000000596046
FS( 6 ),2054971.200000000186265,2048565.949999999953434,2070185.959999999729916,2010148.700000000186265,2058841.359999999869615,10242713.169999999925494
FS( 7 ),2044999.680000000167638,2042952.799999999813735,2073785.239999999757856,2014884.760000000009313,2064277.790000000037253,10240900.269999999552965
FS( 8 ),2028636.160000000149012,2046125.450000000186265,2068386.319999999599531,2016237.920000000158325,2069074.640000000130385,10228460.490000000223517
FS( 9 ),2052925.760000000242144,2041976.600000000093132,2094181.159999999683350,2027739.780000000027940,2079947.500000000232831,10296770.800000000745058
FS( 10 ),2043209.919999999925494,2047589.750000000232831,2090581.879999999888241,2027063.200000000186265,2088262.040000000037253,10296706.789999999105930
FS( 11 ),2039119.040000000037253,2040512.300000000046566,2092381.520000000018626,2027739.780000000027940,2084744.350000000093132,10284496.990000000223517
FS( 12 ),2051647.359999999869615,2061744.650000000139698,2084583.079999999841675,2029769.520000000018626,2119601.459999999962747,10347346.070000000298023
FS( 13 ),2008437.439999999944121,2020500.200000000186265,2053989.199999999953434,2041271.380000000121072,2082505.820000000298023,10206704.039999999105930
FS( 14 ),2053692.799999999813735,2050518.349999999860302,2076784.639999999664724,2069011.159999999916181,2110967.129999999888241,10360974.079999998211861
FS( 15 ),2017130.560000000055879,2056131.500000000000000,2080383.919999999925494,2079836.439999999944121,2120880.620000000111759,10354363.039999999105930
FS( 16 ),2002812.479999999981374,2063453.000000000000000,2097780.439999999478459,2084572.500000000000000,2121520.200000000186265,10370138.620000001043081
FS( 17 ),2021221.439999999944121,2071262.600000000093132,2127174.559999999590218,2064275.100000000093132,2117043.140000000596046,10400976.839999999850988
FS( 18 ),2010994.240000000223517,2078096.000000000232831,2157168.559999999590218,2071717.479999999981374,2127596.209999999962747,10445572.489999998360872
FS( 19 ),2000000.000000000000000,2057595.800000000046566,2154769.040000000037253,2070364.320000000065193,2100094.270000000484288,10382823.429999999701977
FS( 20 ),1987727.359999999869615,2060768.449999999953434,2190161.959999999962747,2071040.899999999906868,2117682.719999999739230,10427381.390000000596046
FS( 21 ),2009715.839999999850988,2015863.249999999767169,2167366.519999999552965,2074423.800000000046566,2126317.049999999813735,10393686.459999999031425
FS( 22 ),2026846.399999999906868,1987797.500000000000000,2161367.719999999739230,2087955.399999999906868,2141027.390000000596046,10404994.410000000149012
FS( 23 ),2039119.040000000037253,2004881.000000000232831,2166166.759999999776483,2092691.459999999962747,2169488.700000000186265,10472346.960000000894070
FS( 24 ),2042442.879999999888241,2018303.750000000000000,2176964.599999999627471,2096074.360000000102445,2173645.969999999739230,10507431.559999998658895
FS( 25 ),2126817.280000000260770,2077851.949999999953434,2221355.719999999739230,2112988.859999999869615,2218736.360000000335276,10757750.170000001788139
FS( 26 ),2136021.760000000242144,2073947.150000000139698,2231553.679999999701977,2117048.339999999850988,2238563.339999999850988,10797134.269999999552965
FS( 27 ),2125283.200000000186265,2069554.250000000000000,2223155.360000000335276,2112988.859999999869615,2248796.620000000111759,10779778.289999999105930
FS( 28 ),2094345.919999999925494,2039292.050000000046566,2211157.759999999776483,2119078.080000000074506,2258710.110000000335276,10722583.919999998062849
FS( 29 ),2108408.319999999832362,2078584.100000000093132,2218956.200000000186265,2116371.760000000242144,2274699.610000000335276,10797019.990000002086163
FS( 30 ),2107896.959999999962747,2101036.700000000186265,2155368.919999999925494,2124490.719999999739230,2297084.910000000149012,10785878.210000000894070
FS( 31 ),2072101.760000000242144,2085173.449999999953434,2264547.080000000074506,2128550.200000000186265,2270222.549999999813735,10820595.039999999105930
