天數,二次加權,一次,二次平均
result_train_2009_Q1-Q2(2009 Q1).csv,124
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,10258919.890000000596046,9937049.750000000000000,10424382.199999999254942
Day 3,10233069.290000000968575,10212886.300000000745058,10254629.320000000298023
Day 4,9813760.460000000894070,10048071.100000001490116,10030864.160000000149012
Day 5,10056376.950000001117587,9978253.550000000745058,10216049.120000001043081
Day 6,9793071.750000000000000,9694405.150000000372529,9984567.919999999925494
Day 7,9676608.160000000149012,9810004.699999999254942,9776234.839999999850988
Day 8,9708675.230000000447035,9767656.350000001490116,9668210.279999999329448
Day 9,9397965.620000001043081,9521578.099999999627471,9405864.919999999925494
Day 10,9326832.210000000894070,9628021.250000000000000,9189815.800000000745058
Day 11,9384554.179999999701977,9719585.250000000000000,9074075.199999999254942
Day 12,8854423.570000000298023,9383087.550000000745058,8618828.839999999850988
Day 13,9330399.790000000968575,10463542.750000000000000,9128087.480000000447035
Day 14,9076897.300000000745058,10309028.500000000000000,9737654.639999998733401
Day 15,9099031.990000000223517,10242644.599999999627471,9737654.639999998733401
Day 16,9278089.000000000000000,10484144.650000000372529,9884259.400000000372529
Day 17,9343337.530000001192093,10491011.949999999254942,10000000.000000000000000
Day 18,9629696.109999999403954,10852689.750000000000000,10385802.000000000000000
Day 19,9453436.320000000298023,10588298.700000001117587,10254629.320000000298023
Day 20,9174746.410000002011657,10489867.400000000372529,9938271.680000001564622
Day 21,9427585.719999998807907,10407459.800000000745058,10084876.439999999478459
Day 22,9673384.609999999403954,10699320.050000000745058,10246913.279999999329448
Day 23,9736221.100000001490116,10624924.300000000745058,10308641.599999999627471
Day 24,9999093.750000000000000,10576853.199999999254942,10632715.279999999329448
Day 25,10332904.109999999403954,11003770.349999999627471,10995369.160000000149012
Day 26,10429259.870000001043081,11081599.750000000000000,11296294.720000000670552
Day 27,10017228.310000000521541,10675284.500000000000000,10787036.080000000074506
Day 28,10060193.820000000298023,10891604.449999999254942,10671295.480000000447035
Day 29,10207521.570000000298023,10881303.500000000000000,10941356.880000000819564
Day 30,10161853.580000001937151,10740523.850000001490116,10933640.839999999850988
Day 31,9657425.240000002086163,10377701.500000000000000,10416666.160000000149012
Day 32,9657087.429999999701977,10473843.700000001117587,10401234.080000000074506
Day 33,9400964.759999999776483,10178549.800000000745058,9992283.959999999031425
Day 34,9453963.609999999403954,10162526.100000001490116,10054012.279999999329448
Day 35,9024331.000000000000000,9656635.000000000000000,9583333.839999999850988
Day 36,9195820.300000000745058,9888978.650000000372529,9945987.720000000670552
Day 37,9194326.950000001117587,9831751.150000000372529,10046296.240000000223517
Day 38,8953494.250000001862645,10183128.000000000000000,9830247.120000001043081
Day 39,8894806.219999998807907,10533360.300000000745058,9845679.199999999254942
Day 40,8729107.060000000521541,10192284.400000000372529,9691358.400000000372529
Day 41,8774389.870000001043081,10045782.000000000000000,9737654.639999998733401
Day 42,8987736.510000001639128,10242644.599999999627471,10046296.240000000223517
Day 43,8651372.000000000000000,10012590.050000000745058,9791666.919999999925494
Day 44,8460930.410000000149012,9821450.200000001117587,9405864.919999999925494
Day 45,8305501.439999999478459,9554770.050000000745058,9158951.639999998733401
Day 46,8937386.550000000745058,9986265.400000000372529,9768518.800000000745058
Day 47,9316094.540000000968575,10143068.750000000000000,10216049.120000001043081
Day 48,9492117.480000000447035,10346798.650000000372529,10617283.199999999254942
Day 49,9380430.599999999627471,10342220.450000001117587,10570986.959999999031425
Day 50,9255048.060000002384186,10440651.750000000000000,10516974.680000001564622
Day 51,9650248.929999999701977,10634080.699999999254942,10987653.120000001043081
Day 52,9765313.910000000149012,10524203.900000000372529,11188270.160000000149012
Day 53,9817299.330000001937151,10605466.949999999254942,11203702.240000000223517
Day 54,9793766.030000001192093,10588298.700000001117587,11195986.199999999254942
Day 55,10441758.839999999850988,11297919.699999999254942,11867281.680000001564622
Day 56,10277796.100000001490116,11250993.150000000372529,11736109.000000000000000
Day 57,10265499.050000000745058,11210933.900000000372529,11736109.000000000000000
Day 58,10688185.980000000447035,11305931.550000000745058,12114194.959999999031425
Day 59,10346274.400000000372529,10776004.900000000372529,11774689.199999999254942
Day 60,10059098.089999999850988,10818353.250000000000000,11520059.880000000819564
Day 61,10312707.760000001639128,11089611.599999999627471,11589504.240000000223517
Day 62,10740651.320000000298023,11172019.200000001117587,11983022.279999999329448
Day 63,10955639.640000000596046,11539419.750000000000000,12422836.560000000521541
Day 64,11004158.440000001341105,11699656.750000000000000,12785490.439999999478459
Day 65,11141648.550000000745058,11624116.450000001117587,13055551.840000001713634
Day 66,10952605.570000000298023,11302497.900000000372529,12677465.880000000819564
Day 67,11131662.580000001937151,11581768.099999999627471,12824070.640000000596046
Day 68,11427183.179999999701977,11640140.150000000372529,13179008.479999998584390
Day 69,11442230.080000001937151,11439843.900000000372529,13248452.840000001713634
Day 70,11279037.700000001117587,11362014.500000000000000,13040119.759999999776483
Day 71,11116426.199999999254942,11313943.400000000372529,12970675.399999998509884
Day 72,11553484.410000000149012,11609237.300000000745058,13387341.560000000521541
Day 73,11523782.010000001639128,11590924.500000000000000,13603390.679999999701977
Day 74,11216639.980000000447035,11494782.300000000745058,13279317.000000000000000
Day 75,11374623.100000001490116,11709957.700000001117587,13418205.720000000670552
Day 76,11316320.250000000000000,11737426.900000000372529,13395057.599999999627471
Day 77,11562943.090000001713634,11608092.750000000000000,13819439.800000000745058
Day 78,11971347.259999999776483,11454723.050000000745058,13657402.959999999031425
Day 79,11892213.589999999850988,11439843.900000000372529,13749995.439999999478459
Day 80,11730325.080000000074506,11667609.349999999627471,13657402.959999999031425
Day 81,11878470.560000000521541,11907964.850000001490116,13796291.679999999701977
Day 82,11919510.170000001788139,11812967.199999999254942,13873452.080000000074506
Day 83,11991751.750000000000000,11973204.200000001117587,14027772.880000000819564
Day 84,12245658.080000001937151,12154043.099999999627471,14560179.640000000596046
Day 85,12182003.859999999403954,12115128.400000000372529,14629624.000000000000000
Day 86,12170429.800000000745058,11974348.750000000000000,14606475.880000000819564
Day 87,11865794.550000000745058,11742005.100000001490116,14228389.920000001788139
Day 88,11898104.690000001341105,11616104.599999999627471,14243822.000000000000000
Day 89,11892800.690000001341105,11777486.150000000372529,14282402.200000001117587
Day 90,11747493.580000001937151,11896519.349999999627471,13711415.240000000223517
Day 91,11443000.440000001341105,11704234.950000001117587,13171292.439999999478459
Day 92,11708285.129999998956919,11565744.400000000372529,13549378.399999998509884
Day 93,11720629.550000000745058,11602370.000000000000000,13495366.119999999180436
Day 94,12045568.330000001937151,11969770.550000000745058,13958328.519999999552965
Day 95,12020541.679999999701977,12076213.700000001117587,14050921.000000000000000
Day 96,11949023.089999999850988,11909109.400000000372529,13873452.080000000074506
Day 97,11718703.650000000372529,11768329.750000000000000,13688267.119999999180436
Day 98,11608895.300000000745058,11661886.599999999627471,13503082.160000000149012
Day 99,12209246.850000001490116,12020130.750000000000000,14413574.880000000819564
Day 100,12284913.900000002235174,11780919.800000000745058,14668204.200000001117587
Day 101,12475497.600000001490116,11982360.599999999627471,14891969.360000001266599
Day 102,12622291.839999999850988,12164344.050000000745058,14969129.759999999776483
Day 103,12944480.769999999552965,12403555.000000000000000,15362647.800000000745058
Day 104,12952196.810000000521541,12227294.300000000745058,15378079.880000000819564
Day 105,13114375.760000001639128,12188379.599999999627471,15540116.720000000670552
Day 106,13289432.640000000596046,12170066.800000000745058,15841042.280000001192093
Day 107,13419686.630000002682209,12274220.849999999627471,15949066.840000001713634
Day 108,13351255.700000001117587,12302834.599999999627471,15856474.360000001266599
Day 109,13296905.609999999403954,12377230.349999999627471,15733017.720000000670552
Day 110,13277467.179999999701977,12401265.900000000372529,15462956.320000000298023
Day 111,13327040.559999998658895,12521443.650000000372529,15424376.119999999180436
Day 112,13287974.219999998807907,12385242.199999999254942,15100302.439999999478459
Day 113,13259954.650000002235174,12317713.750000000000000,14999993.920000001788139
Day 114,13282764.960000000894070,12283377.250000000000000,15030858.080000000074506
Day 115,13296893.170000001788139,12246751.650000000372529,14945981.640000000596046
Day 116,13268055.870000001043081,12170066.800000000745058,14976845.800000000745058
Day 117,13608859.280000001192093,12119706.599999999627471,15378079.880000000819564
Day 118,13294967.270000001415610,11962903.250000000000000,15138882.640000000596046
Day 119,13124538.770000001415610,11953746.849999999627471,14768512.720000000670552
Day 120,13279967.740000000223517,11920554.900000000372529,15015426.000000000000000
Day 121,13559285.900000000372529,12139163.950000001117587,15416660.080000000074506
Day 122,13593818.600000001490116,12095671.050000000745058,15702153.560000000521541
Day 123,13692242.370000001043081,12112839.300000000745058,15648141.280000001192093
Day 124,13697113.820000000298023,11951457.750000000000000,15702153.560000000521541
result_train_2009_Q3-Q4(2009 Q1).csv,128
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,9782354.289999999105930,9842015.140000000596046,9842015.140000000596046
Day 3,9887609.420000001788139,9926969.760000001639128,9926969.760000001639128
Day 4,9738939.610000001266599,9741283.290000000968575,9741283.290000000968575
Day 5,9770811.590000001713634,9815798.699999999254942,9815798.699999999254942
Day 6,9710319.250000000000000,9809518.560000000521541,9809518.560000000521541
Day 7,9640696.770000001415610,9772687.019999999552965,9772687.019999999552965
Day 8,9791996.970000000670552,9938702.349999999627471,9938702.349999999627471
Day 9,9827114.380000000819564,9959602.759999999776483,9959602.759999999776483
Day 10,10116552.099999999627471,10228763.880000000819564,10228763.880000000819564
Day 11,10233728.800000000745058,10320806.009999999776483,10320806.009999999776483
Day 12,10148670.899999998509884,10296039.540000000968575,10296039.540000000968575
Day 13,10331710.380000000819564,10454892.200000001117587,10454892.200000001117587
Day 14,10423270.399999998509884,10469929.349999999627471,10469929.349999999627471
Day 15,10325017.310000000521541,10412779.640000000596046,10412779.640000000596046
Day 16,10445024.280000001192093,10633973.320000000298023,10633973.320000000298023
Day 17,10370337.960000000894070,10572009.120000001043081,10572009.120000001043081
Day 18,10370763.109999999403954,10582675.250000001862645,10582675.250000001862645
Day 19,10301873.259999999776483,10534170.800000000745058,10534170.800000000745058
Day 20,10384461.310000000521541,10569722.220000000670552,10569722.220000000670552
Day 21,10485307.370000001043081,10660481.210000000894070,10660481.210000000894070
Day 22,10436142.199999999254942,10590554.450000001117587,10590554.450000001117587
Day 23,10573937.150000000372529,10757645.860000001266599,10757645.860000001266599
Day 24,10585816.550000000745058,10705050.880000000819564,10705050.880000000819564
Day 25,10517531.390000000596046,10647652.910000000149012,10647652.910000000149012
