代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11768722.100000001490116
真實報酬,1768722.100000001490116

夏普值報酬,0.168172210000000
夏普值風險,0.050580743584752
夏普值,3.324826763731027

二次趨勢線,56.917194347438027 x^2 + 6348.988007948606537 x + 10000000.000000000000000
二次加權預期報酬,15873.131862086574984
風險,127844.843661833379883
二次加權趨勢值,0.124159343524821
一次趨勢線,11706.233890252335186 x + 10000000.000000000000000
一次預期報酬,11706.233890252335186
一次風險,162568.937821492756484
一次趨勢值,0.072007814328628
找到最佳解世代,2542
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),WMT[28](8),XOM[29](2),
Stock#,JNJ[12](1),PFE[20](3),WMT[28](8),XOM[29](2),
張數,24880,78247,40676,32274,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,57.600000000093132,8.350000000093132,53.040000000037253,55.960000000428408,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2510449.600000000093132,2517996.810000000055879,2559386.959999999962747,2521300.840000000782311,10109134.210000000894070
FS( 3 ),2497760.800000000279397,2473396.020000000018626,2585012.839999999850988,2500322.740000000223517,10056492.400000000372529
FS( 4 ),2468651.200000000186265,2456964.149999999906868,2645213.320000000298023,2460302.980000000447035,10031131.650000000372529
FS( 5 ),2442278.399999999906868,2425665.350000000093132,2584606.080000000074506,2410601.020000000484288,9863150.850000001490116
FS( 6 ),2427599.199999999720603,2431142.640000000130385,2612265.759999999776483,2378327.020000000484288,9849334.620000001043081
FS( 7 ),2444268.799999999813735,2425665.350000000093132,2587860.160000000149012,2427060.760000000707805,9884855.070000000298023
FS( 8 ),2413915.200000000186265,2376369.740000000223517,2518710.959999999962747,2441584.060000000521541,9750579.960000000894070
FS( 9 ),2460440.800000000279397,2434272.520000000018626,2565081.600000000093132,2553574.840000000782311,10013369.760000001639128
FS( 10 ),2413417.600000000093132,2410798.419999999925494,2519117.720000000204891,2503872.880000000353903,9847206.620000001043081
FS( 11 ),2425857.600000000093132,2401408.780000000260770,2544743.600000000093132,2465789.560000000521541,9837799.540000000968575
FS( 12 ),2382317.600000000093132,2399061.370000000111759,2474780.880000000353903,2361867.280000000726432,9618027.130000002682209
FS( 13 ),2387044.799999999813735,2392801.609999999869615,2517083.919999999925494,2391559.360000000335276,9688489.690000001341105
FS( 14 ),2407197.600000000093132,2402973.720000000204891,2550031.479999999981374,2471276.140000000130385,9831478.940000001341105
FS( 15 ),2398489.600000000093132,2386541.850000000093132,2580945.240000000223517,2387686.480000000447035,9753663.170000001788139
FS( 16 ),2517416.000000000465661,2399843.840000000316650,2603317.040000000037253,2475471.760000000707805,9996048.640000000596046
FS( 17 ),2541798.399999999906868,2388106.790000000037253,2601283.240000000223517,2429965.420000000856817,9961153.850000001490116
FS( 18 ),2544535.200000000186265,2363067.750000000000000,2612265.759999999776483,2484831.220000000204891,10004699.929999999701977
FS( 19 ),2598524.799999999813735,2385759.379999999888241,2699312.399999999906868,2512586.860000000335276,10196183.440000001341105
FS( 20 ),2596783.200000000186265,2360720.340000000316650,2745683.040000000037253,2462239.420000000856817,10165426.000000001862645
FS( 21 ),2572898.399999999906868,2358372.930000000167638,2719650.399999999906868,2407373.620000000577420,10058295.350000001490116
FS( 22 ),2591060.800000000279397,2321596.840000000316650,2695651.560000000055879,2532919.480000000447035,10141228.680000001564622
FS( 23 ),2585089.600000000093132,2269171.350000000093132,2701752.959999999962747,2576489.380000000353903,10132503.290000000968575
FS( 24 ),2501492.800000000279397,2271518.760000000242144,2725345.040000000037253,2584557.880000000353903,10082914.480000000447035
FS( 25 ),2537817.600000000093132,2234742.669999999925494,2721277.440000000409782,2619413.800000000279397,10113251.509999999776483
FS( 26 ),2537071.200000000186265,2276996.050000000279397,2676940.600000000093132,2584557.880000000353903,10075565.730000000447035
FS( 27 ),2531100.000000000000000,2307512.379999999888241,2676127.080000000074506,2560997.860000000335276,10075737.320000000298023
FS( 28 ),2530353.600000000093132,2279343.459999999962747,2657009.359999999869615,2569066.360000000335276,10035772.780000001192093
FS( 29 ),2533339.199999999720603,2297340.270000000018626,2691990.720000000204891,2615218.180000000633299,10137888.370000001043081
FS( 30 ),2545779.199999999720603,2332551.419999999925494,2680601.440000000409782,2621350.240000000223517,10180282.300000000745058
FS( 31 ),2550257.600000000093132,2318466.959999999962747,2689143.399999999906868,2646523.960000000428408,10204391.920000001788139
FS( 32 ),2593548.799999999813735,2312207.200000000186265,2608198.160000000149012,2661047.260000000707805,10175001.420000001788139
FS( 33 ),2591558.399999999906868,2307512.379999999888241,2630163.199999999720603,2662660.960000000428408,10191894.939999999478459
FS( 34 ),2606237.600000000093132,2351330.700000000186265,2669618.919999999925494,2659110.820000000298023,10286298.040000000968575
FS( 35 ),2589568.000000000000000,2344288.470000000204891,2704193.520000000018626,2621672.980000000447035,10259722.970000000670552
FS( 36 ),2611462.399999999906868,2348983.290000000037253,2730226.160000000149012,2631032.440000000409782,10321704.289999999105930
FS( 37 ),2646792.000000000000000,2393584.080000000074506,2767648.080000000074506,2646846.700000000651926,10454870.860000001266599
FS( 38 ),2631864.000000000000000,2365415.160000000149012,2705413.800000000279397,2638455.460000000428408,10341148.420000001788139
FS( 39 ),2617682.399999999906868,2321596.840000000316650,2698498.880000000353903,2586817.060000000521541,10224595.180000001564622
FS( 40 ),2667691.200000000186265,2350548.229999999981374,2703380.000000000000000,2623286.680000000633299,10344906.109999999403954
FS( 41 ),2663212.800000000279397,2345853.410000000149012,2693211.000000000000000,2669115.760000000707805,10371392.970000002533197
FS( 42 ),2653509.600000000093132,2338811.180000000167638,2690363.680000000167638,2659433.560000000521541,10342118.020000001415610
FS( 43 ),2649777.600000000093132,2324726.720000000204891,2716396.320000000298023,2655883.420000000856817,10346784.060000002384186
FS( 44 ),2655748.799999999813735,2330986.479999999981374,2761546.680000000167638,2725918.000000000000000,10474199.959999999031425
FS( 45 ),2642811.200000000186265,2297340.270000000018626,2767648.080000000074506,2666856.580000000074506,10374656.130000000819564
FS( 46 ),2658236.800000000279397,2327074.129999999888241,2746903.320000000298023,2659433.560000000521541,10391647.810000000521541
FS( 47 ),2665700.800000000279397,2315337.080000000074506,2742022.199999999720603,2652333.280000000726432,10375393.360000001266599
FS( 48 ),2679882.399999999906868,2386541.850000000093132,2732259.959999999962747,2652656.020000000484288,10451340.230000000447035
FS( 49 ),2678638.399999999906868,2355243.050000000279397,2739988.399999999906868,2659756.300000000279397,10433626.150000000372529
FS( 50 ),2681126.400000000372529,2311424.729999999981374,2769681.880000000353903,2672988.640000000130385,10435221.650000002235174
FS( 51 ),2672418.399999999906868,2272301.229999999981374,2765614.279999999795109,2674602.340000000782311,10384936.250000000000000
FS( 52 ),2655748.799999999813735,2295775.330000000074506,2743649.240000000223517,2714299.360000000335276,10409472.730000000447035
FS( 53 ),2674657.600000000093132,2304382.500000000000000,2723311.240000000223517,2717526.760000000707805,10419878.100000001490116
FS( 54 ),2669184.000000000000000,2352895.640000000130385,2764800.759999999776483,2698807.840000000782311,10485688.240000002086163
FS( 55 ),2671672.000000000000000,2377152.209999999962747,2760733.160000000149012,2714944.840000000782311,10524502.210000000894070
FS( 56 ),2699537.600000000093132,2362285.280000000260770,2744056.000000000000000,2703003.460000000428408,10508882.340000001713634
FS( 57 ),2694810.400000000372529,2353678.109999999869615,2766021.040000000037253,2710426.480000000447035,10524936.030000001192093
