代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11276439.650000000372529
真實報酬,1276439.650000000372529

夏普值報酬,0.118943965000000
夏普值風險,0.046739667499507
夏普值,2.544818381544006

二次趨勢線,149.788976930695725 x^2 + -7073.373774035758288 x + 10000000.000000000000000
二次加權預期報酬,18191.033668274925731
風險,100236.092021839591325
二次加權趨勢值,0.181481872460784
一次趨勢線,7137.633393029428589 x + 10000000.000000000000000
一次預期報酬,7137.633393029428589
一次風險,286601.871725722507108
一次趨勢值,0.024904350240462
找到最佳解世代,2214
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](5),PFE[20](7),PG[21](3),TRV[22](19),WMT[28](12),
Stock#,AAPL[0](1),HD[9](5),PFE[20](7),PG[21](3),TRV[22](19),WMT[28](12),
張數,18857,33339,73778,24669,28091,27162,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,84.340000000083819,49.389999999897555,20.979999999981374,28.359999999869615,26.969999999972060,5.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1695328.640000000130385,1666999.389999999897555,1662977.099999999860302,1655071.570000000065193,1665261.449999999953434,1647380.979999999981374,9993023.130000000819564
FS( 3 ),1681940.169999999925494,1661998.540000000037253,1651910.400000000139698,1659265.300000000046566,1663575.989999999990687,1636787.799999999813735,9955482.199999999254942
FS( 4 ),1707208.550000000046566,1687669.569999999832362,1648221.500000000000000,1660498.750000000000000,1654025.050000000046566,1647924.219999999972060,10005551.640000000596046
FS( 5 ),1713997.070000000065193,1686336.009999999776483,1626825.880000000121072,1648164.250000000000000,1630709.519999999785796,1633256.739999999990687,9939293.469999998807907
FS( 6 ),1693065.800000000046566,1645662.429999999934807,1622399.199999999953434,1636816.509999999776483,1622282.219999999972060,1627824.339999999850988,9848054.500000000000000
FS( 7 ),1687031.560000000055879,1658664.639999999897555,1619448.079999999841675,1639036.719999999739230,1634080.439999999944121,1624293.279999999795109,9862558.719999998807907
FS( 8 ),1677791.630000000121072,1688002.959999999962747,1617234.740000000223517,1630402.570000000065193,1660205.070000000065193,1633528.359999999869615,9907169.330000000074506
FS( 9 ),1630460.560000000055879,1699004.829999999841675,1612070.280000000027940,1623495.250000000000000,1632675.889999999897555,1623478.419999999925494,9821189.230000000447035
FS( 10 ),1562952.500000000000000,1723342.299999999813735,1621661.419999999925494,1647424.179999999934807,1661890.529999999795109,1645479.639999999897555,9862754.570000000298023
FS( 11 ),1642529.040000000037253,1734677.559999999823049,1646008.159999999916181,1653344.739999999757856,1685206.060000000055879,1680518.619999999878928,10042288.179999999701977
FS( 12 ),1638946.209999999962747,1727342.979999999981374,1656337.079999999841675,1646684.109999999869615,1670598.739999999990687,1685679.399999999906868,10025592.519999999552965
FS( 13 ),1582563.780000000027940,1719008.229999999981374,1648221.500000000000000,1642243.689999999711290,1733241.670000000158325,1677259.179999999934807,10002542.049999998882413
FS( 14 ),1543529.790000000037253,1715674.329999999841675,1664452.659999999916181,1665432.550000000046566,1762737.219999999972060,1696272.580000000074506,10048103.129999998956919
FS( 15 ),1540135.530000000027940,1703672.290000000037253,1651172.619999999878928,1644217.209999999962747,1767231.779999999795109,1617231.159999999916181,9923664.589999999850988
FS( 16 ),1509398.620000000111759,1708006.359999999869615,1669617.119999999878928,1652851.359999999869615,1780153.639999999897555,1569154.419999999925494,9889185.519999999552965
FS( 17 ),1643283.320000000065193,1730676.879999999888241,1688061.619999999878928,1650137.769999999785796,1791670.949999999953434,1558018.000000000000000,10061852.539999999105930
FS( 18 ),1637060.510000000242144,1729343.319999999832362,1701341.659999999916181,1649644.389999999897555,1819481.039999999804422,1601205.580000000074506,10138080.500000000000000
FS( 19 ),1624426.320000000065193,1732010.439999999944121,1702817.219999999739230,1589698.719999999739230,1798131.880000000121072,1603378.540000000037253,10050467.120000001043081
FS( 20 ),1573323.850000000325963,1726676.199999999953434,1689537.179999999934807,1569963.519999999785796,1806840.089999999850988,1600119.099999999860302,9966463.939999999478459
FS( 21 ),1568232.459999999962747,1744345.869999999878928,1680683.820000000065193,1568236.689999999944121,1814705.569999999832362,1604465.020000000018626,9980673.429999999701977
FS( 22 ),1578603.810000000055879,1757348.079999999841675,1671830.459999999962747,1578350.979999999748543,1818638.309999999823049,1602835.299999999813735,10007610.939999997615814
FS( 23 ),1567478.180000000167638,1749346.719999999972060,1667403.780000000027940,1591425.550000000046566,1818919.219999999972060,1602292.060000000055879,9996869.510000001639128
FS( 24 ),1522787.090000000083819,1732343.829999999841675,1651172.619999999878928,1585751.679999999934807,1811896.469999999972060,1594415.080000000074506,9898370.769999999552965
FS( 25 ),1534101.290000000037253,1713340.599999999860302,1656337.079999999841675,1585011.609999999869615,1814424.660000000149012,1607724.459999999962747,9910943.699999999254942
FS( 26 ),1530707.030000000027940,1687669.569999999832362,1654123.740000000223517,1582791.399999999674037,1808806.459999999962747,1603921.779999999795109,9868023.979999998584390
FS( 27 ),1533347.010000000242144,1670666.679999999934807,1656337.079999999841675,1570703.589999999850988,1795603.689999999944121,1603378.540000000037253,9830040.589999999850988
FS( 28 ),1536929.840000000083819,1687669.569999999832362,1684372.719999999739230,1582298.019999999785796,1815829.209999999962747,1607724.459999999962747,9914827.820000000298023
FS( 29 ),1526747.060000000055879,1678334.649999999906868,1671092.679999999934807,1570950.279999999795109,1815267.390000000130385,1613971.719999999972060,9876367.780000001192093
FS( 30 ),1503930.090000000083819,1662998.709999999962747,1666666.000000000000000,1568483.379999999888241,1811334.650000000139698,1604465.020000000018626,9817881.849999999627471
FS( 31 ),1490164.479999999981374,1622658.520000000018626,1645270.380000000121072,1571937.039999999804422,1802064.620000000111759,1612070.379999999888241,9744169.419999999925494
FS( 32 ),1471118.910000000149012,1625992.419999999925494,1670354.900000000139698,1585998.370000000111759,1786895.479999999981374,1607724.459999999962747,9748088.539999999105930
FS( 33 ),1428124.950000000186265,1567649.169999999925494,1664452.659999999916181,1577857.599999999860302,1761332.670000000158325,1675357.839999999850988,9674778.890000000596046
FS( 34 ),1428879.229999999981374,1568649.339999999850988,1665190.439999999944121,1567003.239999999990687,1746725.349999999860302,1695729.339999999850988,9672180.939999999478459
FS( 35 ),1512038.600000000325963,1587319.179999999934807,1662977.099999999860302,1563796.269999999785796,1761332.670000000158325,1712298.159999999916181,9799765.979999998584390
FS( 36 ),1500535.829999999841675,1608989.529999999795109,1650434.840000000083819,1557875.709999999729916,1764703.590000000083819,1731039.939999999944121,9813583.439999999478459
FS( 37 ),1537118.410000000149012,1608989.529999999795109,1650434.840000000083819,1539127.269999999785796,1764703.590000000083819,1731039.939999999944121,9831417.580000000074506
FS( 38 ),1522975.660000000149012,1657331.079999999841675,1633465.900000000139698,1543567.689999999944121,1775097.260000000009313,1767437.019999999785796,9899878.609999999403954
FS( 39 ),1514867.150000000139698,1648329.549999999813735,1632728.119999999878928,1541594.169999999925494,1758523.570000000065193,1773955.899999999906868,9870002.460000000894070
FS( 40 ),1541644.090000000083819,1659664.809999999823049,1636417.020000000018626,1552941.909999999916181,1766389.050000000046566,1784005.840000000083819,9941066.720000000670552
FS( 41 ),1560312.520000000018626,1657331.079999999841675,1626088.099999999860302,1537400.439999999944121,1738578.959999999962747,1777486.959999999962747,9897202.059999998658895
FS( 42 ),1556352.550000000046566,1644995.649999999906868,1613545.840000000083819,1536660.369999999878928,1755433.560000000055879,1787808.519999999785796,9894800.490000000223517
FS( 43 ),1511284.320000000065193,1598987.829999999841675,1596576.900000000139698,1518405.309999999823049,1701779.750000000000000,1780474.779999999795109,9707512.889999998733401
FS( 44 ),1520147.110000000102445,1625659.029999999795109,1594363.559999999823049,1514704.959999999729916,1696161.550000000046566,1792426.059999999823049,9743466.269999999552965
FS( 45 ),1516187.140000000130385,1630993.270000000018626,1593625.780000000027940,1509031.089999999850988,1707959.769999999785796,1779116.679999999934807,9736917.730000000447035
FS( 46 ),1539569.820000000065193,1687002.790000000037253,1616496.959999999962747,1524572.559999999823049,1731556.209999999962747,1790796.340000000083819,9889998.679999999701977
FS( 47 ),1540135.530000000027940,1708339.750000000000000,1618710.300000000046566,1548254.799999999813735,1739140.779999999795109,1789166.620000000111759,9943751.780000001192093
FS( 48 ),1563329.640000000130385,1745346.040000000037253,1633465.900000000139698,1548008.109999999869615,1745601.709999999962747,1852997.319999999832362,10088752.719999998807907
FS( 49 ),1538815.540000000037253,1712007.040000000037253,1630514.780000000027940,1542827.619999999878928,1729308.929999999934807,1834255.540000000037253,9987733.449999999254942
FS( 50 ),1552204.010000000242144,1741678.750000000000000,1637154.800000000046566,1548254.799999999813735,1739983.510000000009313,1839416.319999999832362,10058696.189999999478459
FS( 51 ),1541455.520000000018626,1699338.219999999972060,1637154.800000000046566,1543567.689999999944121,1731837.119999999878928,1821761.019999999785796,9975118.370000001043081
FS( 52 ),1539758.390000000130385,1739011.629999999888241,1664452.659999999916181,1558615.779999999795109,1773130.889999999897555,1836971.739999999757856,10111945.089999997988343
FS( 53 ),1546735.479999999981374,1729343.319999999832362,1668141.559999999823049,1551215.079999999841675,1781277.279999999795109,1840231.179999999934807,10116947.899999998509884
FS( 54 ),1578038.100000000325963,1744345.869999999878928,1668879.340000000083819,1536660.369999999878928,1771726.340000000083819,1850281.120000000111759,10149935.140000000596046
FS( 55 ),1582563.780000000027940,1766016.219999999972060,1675519.360000000102445,1534686.849999999860302,1782400.920000000158325,1841860.899999999906868,10183052.029999999329448
FS( 56 ),1578038.100000000325963,1761348.759999999776483,1672568.240000000223517,1489789.269999999785796,1793637.320000000065193,1861145.919999999925494,10156531.609999999403954
FS( 57 ),1556163.979999999981374,1709006.529999999795109,1667403.780000000027940,1474001.109999999869615,1757961.750000000000000,1838873.080000000074506,10003414.230000000447035
FS( 58 ),1568232.459999999962747,1734344.169999999925494,1676994.919999999925494,1475974.629999999888241,1779591.820000000065193,1828008.279999999795109,10063150.279999999329448
FS( 59 ),1537684.120000000111759,1717674.669999999925494,1657812.639999999897555,1463146.750000000000000,1745882.619999999878928,1851910.840000000083819,9974115.640000000596046
FS( 60 ),1541078.380000000121072,1729676.709999999962747,1655599.300000000046566,1462159.989999999990687,1745882.619999999878928,1862775.639999999897555,9997176.640000000596046
FS( 61 ),1547678.329999999841675,1718674.839999999850988,1668141.559999999823049,1479674.979999999748543,1764984.500000000000000,1863047.260000000009313,10042205.469999998807907
FS( 62 ),1532969.870000000111759,1723342.299999999813735,1662239.320000000065193,1487322.369999999878928,1765546.320000000065193,1855170.279999999795109,10026594.460000000894070
FS( 63 ),1573323.850000000325963,1766683.000000000000000,1696914.979999999981374,1511004.609999999869615,1793356.410000000149012,1893740.319999999832362,10235027.169999999925494
FS( 64 ),1596329.390000000130385,1767349.779999999795109,1696914.979999999981374,1509524.469999999739230,1795603.689999999944121,1883690.379999999888241,10249416.690000001341105
FS( 65 ),1614809.250000000000000,1722008.739999999757856,1687323.840000000083819,1513718.199999999953434,1801502.799999999813735,1921717.179999999934807,10261084.009999999776483
FS( 66 ),1643094.750000000000000,1737344.679999999934807,1672568.240000000223517,1513471.510000000009313,1796727.330000000074506,1930680.639999999897555,10293891.150000000372529
FS( 67 ),1632157.689999999944121,1738678.239999999757856,1662977.099999999860302,1511744.679999999934807,1777063.629999999888241,1938286.000000000000000,10260911.339999999850988
FS( 68 ),1653843.240000000223517,1737678.069999999832362,1671092.679999999934807,1518405.309999999823049,1771726.340000000083819,1949150.800000000046566,10301900.439999999478459
FS( 69 ),1638569.070000000065193,1741011.969999999972060,1655599.300000000046566,1522845.729999999748543,1775659.080000000074506,1958657.500000000000000,10292346.649999998509884
