代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11876967.529999997466803
真實報酬,1876967.529999997466803

夏普值報酬,0.178996753000000
夏普值風險,0.055684066531206
夏普值,3.214505767097458

二次趨勢線,178.665202534114997 x^2 + -6666.571556364935532 x + 10000000.000000000000000
二次加權預期報酬,22515.411524207178445
風險,105148.371773818827933
二次加權趨勢值,0.214129911327960
一次趨勢線,9748.020459310149818 x + 10000000.000000000000000
一次預期報酬,9748.020459310149818
一次風險,318222.037872766028158
一次趨勢值,0.030632763602651
找到最佳解世代,1931
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](2),BA[2](20),HD[9](16),JNJ[12](1),PG[21](9),WBA[27](7),
Stock#,AXP[1](2),BA[2](20),HD[9](16),JNJ[12](1),PG[21](9),WBA[27](7),
張數,28870,23806,27516,24109,23998,45105,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,0.900000000139698,7.939999999944121,21.879999999888241,10.830000000074506,4.899999999906868,36.249999999767169,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1650787.500000000232831,1655239.119999999878928,1660062.159999999916181,1662567.469999999972060,1650827.320000000065193,1664861.799999999580905,9944349.369999999180436
FS( 3 ),1657138.900000000139698,1663095.099999999860302,1699685.199999999953434,1663531.830000000074506,1659946.560000000055879,1640054.049999999813735,9983455.640000000596046
FS( 4 ),1685142.800000000046566,1664999.579999999841675,1698859.719999999972060,1670041.260000000009313,1664986.139999999897555,1640505.099999999627471,10024538.599999997764826
FS( 5 ),1690628.100000000093132,1687615.280000000027940,1739033.080000000074506,1679202.680000000167638,1670985.639999999897555,1629679.899999999906868,10097148.680000001564622
FS( 6 ),1698134.300000000046566,1679997.359999999869615,1702711.959999999962747,1674139.790000000037253,1658266.699999999720603,1620207.849999999860302,10033461.959999999031425
FS( 7 ),1681389.700000000186265,1681663.780000000027940,1677122.080000000074506,1649307.520000000018626,1648667.500000000000000,1605774.249999999767169,9943928.830000000074506
FS( 8 ),1673594.800000000046566,1674521.979999999981374,1643827.719999999972060,1644726.810000000055879,1635228.619999999878928,1607127.399999999906868,9879031.330000000074506
FS( 9 ),1688029.800000000046566,1686186.919999999925494,1623741.039999999804422,1638699.560000000055879,1631868.899999999906868,1628326.749999999767169,9896856.970000000670552
FS( 10 ),1671285.200000000186265,1710469.039999999804422,1638874.839999999850988,1638699.560000000055879,1630429.019999999785796,1621109.949999999720603,9910871.609999999403954
FS( 11 ),1662624.200000000186265,1719991.439999999944121,1668867.279999999795109,1653888.229999999981374,1648907.479999999748543,1631484.099999999860302,9985766.730000000447035
FS( 12 ),1692649.000000000232831,1749272.820000000065193,1674645.639999999897555,1676791.780000000027940,1655866.899999999906868,1640505.099999999627471,10089735.240000000223517
FS( 13 ),1714012.800000000046566,1752843.719999999739230,1689229.119999999878928,1711749.830000000074506,1667145.959999999962747,1616148.399999999674037,10151133.830000000074506
FS( 14 ),1663201.600000000093132,1767841.500000000000000,1700510.679999999701977,1748395.510000000009313,1667145.959999999962747,1628777.799999999813735,10175877.050000000745058
FS( 15 ),1641549.100000000093132,1761890.000000000000000,1702987.119999999878928,1732483.570000000065193,1645547.759999999776483,1614344.199999999720603,10098805.750000000000000
FS( 16 ),1638084.700000000186265,1754510.139999999897555,1707114.519999999785796,1730554.850000000093132,1643867.899999999906868,1638700.899999999674037,10112837.009999999776483
FS( 17 ),1598821.500000000232831,1733560.859999999869615,1699134.879999999888241,1709097.840000000083819,1618430.019999999785796,1596302.199999999720603,9955351.299999998882413
FS( 18 ),1594491.000000000000000,1730942.199999999720603,1686202.359999999869615,1705481.489999999990687,1633788.739999999757856,1599008.500000000000000,9949918.289999999105930
FS( 19 ),1600553.700000000186265,1703089.180000000167638,1664189.559999999823049,1715125.090000000083819,1681544.759999999776483,1593595.899999999674037,9958102.189999999478459
FS( 20 ),1609503.400000000139698,1692852.599999999860302,1652082.519999999785796,1709338.930000000167638,1666426.019999999785796,1587281.199999999720603,9917488.669999998062849
FS( 21 ),1615854.800000000046566,1676902.579999999841675,1688953.959999999962747,1707410.209999999962747,1661626.419999999692664,1589085.399999999674037,9939837.369999999180436
FS( 22 ),1641260.400000000139698,1685234.680000000167638,1713168.039999999804422,1723804.330000000074506,1661866.399999999906868,1601263.749999999767169,10026601.599999999627471
FS( 23 ),1637218.600000000093132,1667618.239999999990687,1706564.199999999953434,1709338.930000000167638,1660426.519999999785796,1573749.699999999720603,9954920.189999999478459
FS( 24 ),1627114.100000000093132,1676188.399999999906868,1716469.959999999962747,1706686.940000000176951,1647947.560000000055879,1537214.649999999674037,9911625.610000001266599
FS( 25 ),1651076.200000000186265,1714516.059999999823049,1723073.799999999813735,1711990.920000000158325,1654187.040000000037253,1530899.949999999720603,9985747.969999998807907
FS( 26 ),1604306.800000000046566,1669046.599999999860302,1705738.719999999972060,1695837.890000000130385,1633308.780000000027940,1508347.449999999720603,9816590.240000000223517
FS( 27 ),1604018.100000000093132,1689757.820000000065193,1674645.639999999897555,1679202.680000000167638,1605711.079999999841675,1478127.099999999860302,9731466.419999999925494
FS( 28 ),1611813.000000000000000,1743797.439999999944121,1677397.239999999990687,1684506.660000000149012,1608110.880000000121072,1473165.549999999580905,9798794.769999999552965
