代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11839144.017500000000
真實報酬,1839144.017500000100

夏普值報酬,0.175214401750
夏普值風險,0.055775161506
夏普值,3.141441405415

預期報酬,7232.014531103264
風險,212438.055252737540
起點值,0.034042933233
找到最佳解世代,3891
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
2412(24),
FS( 106 ),10820611.058000000000,10820611.058000000000
FS( 107 ),10767746.025500001000,10767746.025500001000
FS( 108 ),10767746.025500001000,10767746.025500001000
FS( 109 ),10767746.025500001000,10767746.025500001000
FS( 110 ),10660841.181999998000,10660841.181999998000
FS( 111 ),10681987.195000000000,10681987.195000000000
FS( 112 ),10606801.370999999000,10606801.370999999000
FS( 113 ),10606801.370999999000,10606801.370999999000
FS( 114 ),10660841.181999998000,10660841.181999998000
FS( 115 ),10564509.344999999000,10564509.344999999000
FS( 116 ),10478750.514499998000,10478750.514499998000
FS( 117 ),10713706.214499997000,10713706.214499997000
FS( 118 ),10638520.390500000000,10638520.390500000000
FS( 119 ),10767746.025500001000,10767746.025500001000
FS( 120 ),10692560.201500000000,10692560.201500000000
FS( 121 ),10703133.208000001000,10703133.208000001000
FS( 122 ),10660841.181999998000,10660841.181999998000
FS( 123 ),10660841.181999998000,10660841.181999998000
FS( 124 ),10692560.201500000000,10692560.201500000000
FS( 125 ),10660841.181999998000,10660841.181999998000
FS( 126 ),10746600.012500001000,10746600.012500001000
FS( 127 ),10757173.018999999000,10757173.018999999000
FS( 128 ),10671414.188499998000,10671414.188499998000
FS( 129 ),10627947.384000001000,10627947.384000001000
FS( 130 ),10660841.181999998000,10660841.181999998000
FS( 131 ),10660841.181999998000,10660841.181999998000
FS( 132 ),10617374.377499999000,10617374.377499999000
FS( 133 ),10596228.364499997000,10596228.364499997000
FS( 134 ),10606801.370999999000,10606801.370999999000
FS( 135 ),10552761.560000001000,10552761.560000001000
FS( 136 ),10531615.546999998000,10531615.546999998000
FS( 137 ),10552761.560000001000,10552761.560000001000
FS( 138 ),10552761.560000001000,10552761.560000001000
FS( 139 ),10596228.364499997000,10596228.364499997000
FS( 140 ),10606801.370999999000,10606801.370999999000
FS( 141 ),10575082.351500001000,10575082.351500001000
FS( 142 ),10703133.208000001000,10703133.208000001000
FS( 143 ),10703133.208000001000,10703133.208000001000
FS( 144 ),10703133.208000001000,10703133.208000001000
FS( 145 ),10713706.214499997000,10713706.214499997000
FS( 146 ),10713706.214499997000,10713706.214499997000
FS( 147 ),10660841.181999998000,10660841.181999998000
FS( 148 ),10671414.188499998000,10671414.188499998000
FS( 149 ),10671414.188499998000,10671414.188499998000
FS( 150 ),10575082.351500001000,10575082.351500001000
FS( 151 ),10638520.390500000000,10638520.390500000000
FS( 152 ),10627947.384000001000,10627947.384000001000
FS( 153 ),10681987.195000000000,10681987.195000000000
FS( 154 ),10703133.208000001000,10703133.208000001000
FS( 155 ),10767746.025500001000,10767746.025500001000
FS( 156 ),10874650.868999999000,10874650.868999999000
FS( 157 ),10928690.680000000000,10928690.680000000000
FS( 158 ),11035595.523500001000,11035595.523500001000
FS( 159 ),10874650.868999999000,10874650.868999999000
FS( 160 ),10767746.025500001000,10767746.025500001000
FS( 161 ),10928690.680000000000,10928690.680000000000
FS( 162 ),10928690.680000000000,10928690.680000000000
FS( 163 ),10820611.058000000000,10820611.058000000000
FS( 164 ),10820611.058000000000,10820611.058000000000
FS( 165 ),10981555.712500000000,10981555.712500000000
FS( 166 ),10981555.712500000000,10981555.712500000000
FS( 167 ),10981555.712500000000,10981555.712500000000
FS( 168 ),11035595.523500001000,11035595.523500001000
FS( 169 ),11089635.334499998000,11089635.334499998000
FS( 170 ),11035595.523500001000,11035595.523500001000
FS( 171 ),11089635.334499998000,11089635.334499998000
FS( 172 ),11089635.334499998000,11089635.334499998000
FS( 173 ),11089635.334499998000,11089635.334499998000
FS( 174 ),11249405.210500000000,11249405.210500000000
FS( 175 ),11303445.021500001000,11303445.021500001000
FS( 176 ),11357484.832500000000,11357484.832500000000
FS( 177 ),11249405.210500000000,11249405.210500000000
FS( 178 ),11303445.021500001000,11303445.021500001000
FS( 179 ),11196540.177999999000,11196540.177999999000
FS( 180 ),11196540.177999999000,11196540.177999999000
FS( 181 ),11089635.334499998000,11089635.334499998000
FS( 182 ),11249405.210500000000,11249405.210500000000
FS( 183 ),11249405.210500000000,11249405.210500000000
FS( 184 ),11357484.832500000000,11357484.832500000000
FS( 185 ),11357484.832500000000,11357484.832500000000
FS( 186 ),11410349.864999998000,11410349.864999998000
FS( 187 ),11410349.864999998000,11410349.864999998000
FS( 188 ),11410349.864999998000,11410349.864999998000
FS( 189 ),11303445.021500001000,11303445.021500001000
FS( 190 ),11357484.832500000000,11357484.832500000000
FS( 191 ),11410349.864999998000,11410349.864999998000
FS( 192 ),11410349.864999998000,11410349.864999998000
FS( 193 ),11410349.864999998000,11410349.864999998000
FS( 194 ),11517254.708500000000,11517254.708500000000
FS( 195 ),11571294.519499999000,11571294.519499999000
FS( 196 ),11625334.330500001000,11625334.330500001000
FS( 197 ),11678199.363000002000,11678199.363000002000
FS( 198 ),11625334.330500001000,11625334.330500001000
FS( 199 ),11732239.174000001000,11732239.174000001000
FS( 200 ),11732239.174000001000,11732239.174000001000
FS( 201 ),11839144.017500000000,11839144.017500000000
FS( 202 ),11893183.828499999000,11893183.828499999000
FS( 203 ),11786278.984999999000,11786278.984999999000
FS( 204 ),11732239.174000001000,11732239.174000001000
FS( 205 ),11893183.828499999000,11893183.828499999000
FS( 206 ),11786278.984999999000,11786278.984999999000
FS( 207 ),11786278.984999999000,11786278.984999999000
FS( 208 ),11517254.708500000000,11517254.708500000000
FS( 209 ),11625334.330500001000,11625334.330500001000
FS( 210 ),11678199.363000002000,11678199.363000002000
FS( 211 ),11786278.984999999000,11786278.984999999000
FS( 212 ),11786278.984999999000,11786278.984999999000
FS( 213 ),11839144.017500000000,11839144.017500000000
FS( 214 ),11786278.984999999000,11786278.984999999000
FS( 215 ),11893183.828499999000,11893183.828499999000
FS( 216 ),11946048.861000000000,11946048.861000000000
FS( 217 ),11786278.984999999000,11786278.984999999000
FS( 218 ),11732239.174000001000,11732239.174000001000
FS( 219 ),11839144.017500000000,11839144.017500000000
FS( 220 ),11893183.828499999000,11893183.828499999000
FS( 221 ),12000088.671999998000,12000088.671999998000
FS( 222 ),11839144.017500000000,11839144.017500000000
FS( 223 ),11839144.017500000000,11839144.017500000000
FS( 224 ),11732239.174000001000,11732239.174000001000
FS( 225 ),11732239.174000001000,11732239.174000001000
FS( 226 ),11893183.828499999000,11893183.828499999000
FS( 227 ),11893183.828499999000,11893183.828499999000
FS( 228 ),11786278.984999999000,11786278.984999999000
FS( 229 ),11839144.017500000000,11839144.017500000000
FS( 230 ),11893183.828499999000,11893183.828499999000
FS( 231 ),11946048.861000000000,11946048.861000000000
FS( 232 ),11893183.828499999000,11893183.828499999000
FS( 233 ),12000088.671999998000,12000088.671999998000
FS( 234 ),12054128.483000001000,12054128.483000001000
FS( 235 ),11893183.828499999000,11893183.828499999000
FS( 236 ),11893183.828499999000,11893183.828499999000
FS( 237 ),11946048.861000000000,11946048.861000000000
FS( 238 ),11786278.984999999000,11786278.984999999000
FS( 239 ),11839144.017500000000,11839144.017500000000
FS( 240 ),11839144.017500000000,11839144.017500000000
FS( 241 ),11893183.828499999000,11893183.828499999000
FS( 242 ),11893183.828499999000,11893183.828499999000
FS( 243 ),11839144.017500000000,11839144.017500000000
FS( 244 ),11893183.828499999000,11893183.828499999000
FS( 245 ),11839144.017500000000,11839144.017500000000
FS( 246 ),11839144.017500000000,11839144.017500000000
