代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12222001.160000000149012
真實報酬,2222001.160000000149012

夏普值報酬,0.213500116000000
夏普值風險,0.060368756685022
夏普值,3.536599521403964

二次趨勢線,64.124318256117647 x^2 + 29109.448684891933226 x + 10000000.000000000000000
二次平均預期報酬,33277.529371539581916
風險,148295.505221320083365
二次平均趨勢值,0.224400121378428
一次趨勢線,32211.276172629695793 x + 10000000.000000000000000
一次預期報酬,32211.276172629695793
一次風險,151286.671890542609617
一次趨勢值,0.212915491960421
找到最佳解世代,2519
找到最佳解實驗#,2
找到最佳解次數,7

stock[index](rank)
投資組合檔數,3
JPM[13](5),KO[14](15),WBA[27](2),
Stock#,JPM[13](5),KO[14](15),WBA[27](2),
張數,98706,135556,113610,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.379999999888241,10.959999999962747,15.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3185274.000000000000000,3312999.600000000093132,3260622.600000000093132,9758897.199999999254942
FS( 3 ),3217846.979999999981374,3321132.959999999962747,3352646.700000000186265,9891627.640000000596046
FS( 4 ),3238575.240000000223517,3296732.879999999888241,3278800.200000000186265,9814109.320000000298023
FS( 5 ),3228704.640000000130385,3288599.520000000018626,3381049.200000000186265,9898354.359999999403954
FS( 6 ),3318527.099999999627471,3302155.120000000111759,3337877.399999999906868,9958560.619999999180436
FS( 7 ),3192183.420000000391155,3275043.919999999925494,3276528.000000000000000,9743756.339999999850988
FS( 8 ),3426116.640000000130385,3325199.640000000130385,3331060.800000000279397,10082378.080000000074506
FS( 9 ),3425129.580000000074506,3341466.359999999869615,3340149.600000000093132,10106746.539999999105930
FS( 10 ),3579110.939999999478459,3425511.080000000074506,3407179.500000000000000,10411802.519999999552965
FS( 11 ),3566279.160000000149012,3443133.359999999869615,3339013.500000000000000,10348427.019999999552965
FS( 12 ),3641295.719999999739230,3410599.919999999925494,3387865.800000000279397,10439762.439999999478459
FS( 13 ),3650179.259999999776483,3459400.080000000074506,3416268.300000000279397,10525848.640000000596046
FS( 14 ),3646231.019999999552965,3413311.040000000037253,3403771.200000000186265,10463314.259999999776483
FS( 15 ),3635373.359999999869615,3330621.879999999888241,3385593.600000000093132,10351589.839999999850988
FS( 16 ),3765665.279999999795109,3333333.000000000000000,3378777.000000000000000,10477776.279999999329448
FS( 17 ),3742962.899999999906868,3345533.040000000037253,3456031.800000000279397,10544528.740000000223517
FS( 18 ),3763691.160000000149012,3356377.520000000018626,3450351.300000000279397,10570420.980000000447035
FS( 19 ),3758755.859999999869615,3348244.159999999683350,3436718.100000000093132,10543719.119999999180436
FS( 20 ),3728157.000000000000000,3340110.799999999813735,3493523.100000000093132,10561791.900000000372529
FS( 21 ),3797251.199999999720603,3367222.000000000000000,3523061.700000000186265,10687535.899999998509884
FS( 22 ),3815018.279999999795109,3378066.479999999981374,3527606.100000000093132,10720691.859999999403954
FS( 23 ),3908788.979999999981374,3361799.760000000242144,3532150.500000000000000,10802740.240000000223517
FS( 24 ),3968999.640000000130385,3355021.959999999962747,3452623.500000000000000,10776646.099999999627471
FS( 25 ),4123968.060000000055879,3333333.000000000000000,3437854.200000000186265,10895156.260000001639128
FS( 26 ),4022300.879999999888241,3348244.159999999683350,3468528.900000000372529,10839074.939999999478459
FS( 27 ),4181217.540000000037253,3344177.479999999981374,3490114.799999999813735,11015510.820000000298023
FS( 28 ),4213790.519999999552965,3350955.279999999795109,3490114.799999999813735,11054861.599999997764826
FS( 29 ),4070666.820000000298023,3323844.080000000074506,3492387.000000000000000,10886898.900000000372529
FS( 30 ),4166411.640000000130385,3284532.839999999850988,3558280.800000000279397,11009226.280000001192093
FS( 31 ),4234518.779999999329448,3261488.319999999832362,3618494.100000000093132,11114502.199999999254942
FS( 32 ),4190101.080000000074506,3285888.399999999906868,3592363.800000000279397,11068354.280000001192093
FS( 33 ),4020326.759999999776483,3300799.560000000055879,3473073.300000000279397,10794200.620000001043081
FS( 34 ),4116071.580000000074506,3295377.319999999832362,3501475.800000000279397,10912925.700000001117587
FS( 35 ),4087446.839999999385327,3345533.040000000037253,3516245.100000000093132,10949225.979999998584390
FS( 36 ),4187139.899999999906868,3349599.720000000204891,3509428.500000000000000,11046169.120000001043081
FS( 37 ),4309535.339999999850988,3383488.720000000204891,3593499.899999999906868,11286524.960000000894070
FS( 38 ),4245376.439999999478459,3325199.640000000130385,3568505.700000000186265,11139082.780000001192093
FS( 39 ),4301638.859999999403954,3303510.680000000167638,3696885.000000000000000,11302035.539999999105930
FS( 40 ),4274001.179999999701977,3333333.000000000000000,3795725.699999999720603,11403060.879999998956919
FS( 41 ),4288807.080000000074506,3350955.279999999795109,3822992.100000000093132,11462755.459999999031425
FS( 42 ),4236492.900000000372529,3325199.640000000130385,3826400.399999999906868,11388093.940000001341105
FS( 43 ),4289794.139999999664724,3306221.799999999813735,3849122.400000000372529,11445139.339999999850988
FS( 44 ),4113110.399999999906868,3289955.080000000074506,3867300.000000000000000,11270366.480000000447035
FS( 45 ),4033158.540000000037253,3375355.359999999869615,3841169.700000000186265,11249684.600000001490116
FS( 46 ),4156541.040000000037253,3360444.199999999720603,3811631.099999999627471,11328617.339999999850988
FS( 47 ),4179243.420000000391155,3386199.839999999850988,3844578.000000000465661,11410022.259999999776483
FS( 48 ),4198984.620000000111759,3417377.720000000204891,3860483.399999999906868,11476846.740000000223517
FS( 49 ),4230570.540000000037253,3432288.879999999888241,3851394.600000000093132,11514255.019999999552965
FS( 50 ),4246363.500000000000000,3428222.199999999720603,3884341.500000000000000,11558928.199999999254942
FS( 51 ),4195036.379999999888241,3491933.520000000018626,3871844.399999999906868,11558815.300000000745058
FS( 52 ),4318418.879999999888241,3535311.439999999944121,3890022.000000000465661,11743753.320000000298023
FS( 53 ),4263143.519999999552965,3555644.839999999850988,3869572.200000000186265,11688361.559999998658895
FS( 54 ),4407254.279999999329448,3570556.000000000000000,3932057.700000000186265,11909868.980000000447035
FS( 55 ),4437853.139999999664724,3620711.720000000204891,3899110.800000000279397,11957676.660000000149012
FS( 56 ),4436866.080000000074506,3643756.239999999757856,3919560.600000000093132,12000183.919999999925494
FS( 57 ),4397383.679999999701977,3592244.959999999962747,3924105.000000000000000,11913734.640000000596046
FS( 58 ),4586899.200000000186265,3582756.040000000037253,3934329.900000000372529,12103986.140000000596046
FS( 59 ),4447723.740000000223517,3563778.199999999720603,3890022.000000000465661,11901524.939999999478459
FS( 60 ),4379616.599999999627471,3547511.479999999981374,3822992.100000000093132,11750121.179999999701977
FS( 61 ),4308548.279999999329448,3590889.399999999906868,3826400.399999999906868,11725839.080000000074506
FS( 62 ),4423047.240000000223517,3601733.879999999888241,3884341.500000000000000,11909123.620000001043081
FS( 63 ),4429956.660000000149012,3613933.919999999925494,4243349.099999999627471,12287240.679999999701977
FS( 64 ),4325328.299999999813735,3639689.560000000055879,4256982.300000000745058,12222001.160000000149012
