訓練日期,20151026 - 20160128
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10942471.280000001192093
真實報酬,942471.280000001192093

夏普值報酬,0.085547128000000
夏普值風險,0.027305958408886
夏普值,3.132910653381852

預期報酬,10413.551012651489145
風險,132666.834951090830145
趨勢值,0.078494003542713
找到最佳解世代,2226
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](2),
Stock#,MCD[15](1),WMT[28](2),
張數,44408,85763,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,103.280000000260770,17.100000000558794,
20151026,4981792.720000000670552,4975986.360000001266599,9957779.080000001937151
20151027,4957812.400000000372529,4929674.339999999850988,9887486.740000000223517
20151028,5015542.799999999813735,4943396.420000000856817,9958939.220000000670552
20151029,5001332.240000000223517,4970840.580000001005828,9972172.820000000298023
20151030,4984901.280000000260770,4909091.220000000670552,9893992.500000000000000
20151102,4978684.160000000149012,4940823.530000000260770,9919507.690000001341105
20151103,4977351.919999999925494,4983705.030000000260770,9961056.949999999254942
20151104,4991562.480000000447035,5006003.410000000149012,9997565.890000000596046
20151105,5011546.080000000074506,5026586.530000000260770,10038132.609999999403954
20151106,5031973.760000000707805,5041166.240000000223517,10073140.000000000000000
20151109,5015098.720000000670552,5016294.970000000670552,10031393.690000001341105
20151110,5027977.040000000037253,5032589.940000000409782,10060566.980000000447035
20151111,5055954.080000000074506,4938250.640000000596046,9994204.720000000670552
20151112,4978684.160000000149012,4884219.950000001117587,9862904.110000001266599
20151113,4883651.040000000037253,4838765.560000000521541,9722416.600000001490116
20151116,4932055.760000000707805,4963121.910000000149012,9895177.670000001788139
20151117,4926726.799999999813735,5138936.060000000521541,10065662.859999999403954
20151118,4997335.520000000484288,5225556.690000000409782,10222892.210000000894070
20151119,5031529.679999999701977,5205831.200000001117587,10237360.880000000819564
20151120,5058618.560000000521541,5151800.510000000707805,10210419.070000000298023
20151123,5083487.040000000037253,5168095.480000000447035,10251582.519999999552965
20151124,5075049.520000000484288,5138936.060000000521541,10213985.580000001937151
20151125,5080378.480000000447035,5166380.220000000670552,10246758.700000001117587
20151127,5072829.120000000111759,5136363.170000000856817,10209192.290000000968575
20151130,5069720.560000000521541,5046312.020000000484288,10116032.580000001937151
20151201,5082598.880000000819564,5059176.470000000670552,10141775.350000001490116
20151202,5050181.040000000037253,5004288.150000000372529,10054469.190000001341105
20151203,5035526.400000000372529,5063464.620000000111759,10098991.019999999552965
20151204,5160312.880000000819564,5116637.680000000633299,10276950.560000002384186
20151207,5170082.640000000596046,5188678.600000000558794,10358761.240000002086163
20151208,5174967.520000000484288,5112349.530000000260770,10287317.050000000745058
20151209,5177187.919999999925494,5071183.290000000968575,10248371.210000000894070
20151210,5204720.880000000819564,5108061.380000000819564,10312782.260000001639128
20151211,5154983.919999999925494,5090908.780000000260770,10245892.699999999254942
20151214,5162977.360000000335276,5179244.670000000856817,10342222.030000001192093
20151215,5192730.720000000670552,5114922.420000000856817,10307653.140000000596046
20151216,5233142.000000000000000,5171526.000000000000000,10404668.000000000000000
20151217,5218043.280000000260770,5058318.839999999850988,10276362.120000001043081
20151218,5180740.560000000521541,5047169.650000000372529,10227910.210000000894070
20151221,5226480.799999999813735,5107203.750000000000000,10333684.550000000745058
20151222,5227813.040000000037253,5192109.120000000111759,10419922.160000000149012
20151223,5275773.679999999701977,5239278.770000000484288,10515052.449999999254942
20151224,5265559.839999999850988,5216980.390000000596046,10482540.230000000447035
20151228,5273553.280000000260770,5210119.350000000558794,10483672.630000000819564
20151229,5332171.839999999850988,5283875.530000000260770,10616047.370000001043081
20151230,5303750.720000000670552,5289878.940000000409782,10593629.660000000149012
20151231,5246464.400000000372529,5257289.000000000000000,10503753.400000000372529
20160104,5221595.919999999925494,5271011.080000001005828,10492607.000000000000000
20160105,5293536.880000000819564,5396225.060000000521541,10689761.940000001341105
20160106,5258010.480000000447035,5450255.750000000000000,10708266.230000000447035
20160107,5136332.560000000521541,5577184.990000000223517,10713517.550000000745058
20160108,5128339.120000000111759,5449398.120000000111759,10577737.240000000223517
20160111,5182072.799999999813735,5507716.960000000894070,10689789.760000001639128
20160112,5215378.799999999813735,5456259.160000000149012,10671637.960000000894070
20160113,5112352.240000000223517,5310462.060000000521541,10422814.300000000745058
20160114,5178964.240000000223517,5408231.880000000819564,10587196.120000001043081
20160115,5115016.720000000670552,5311319.690000000409782,10426336.410000000149012
20160119,5218043.280000000260770,5365350.380000000819564,10583393.660000000149012
20160120,5141661.520000000484288,5217838.020000000484288,10359499.540000000968575
20160121,5233142.000000000000000,5307031.540000000968575,10540173.540000000968575
20160122,5258010.480000000447035,5376499.570000000298023,10634510.050000000745058
20160125,5293536.880000000819564,5441679.450000001117587,10735216.330000001937151
20160126,5348158.720000000670552,5488849.100000000558794,10837007.820000000298023
20160127,5367698.240000000223517,5484560.950000001117587,10852259.190000001341105
20160128,5434754.320000000298023,5507716.960000000894070,10942471.280000001192093
