訓練日期,20111020 - 20120124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11859645.350000001490116
真實報酬,1859645.350000001490116

夏普值報酬,0.177264535000000
夏普值風險,0.053039049648270
夏普值,3.342151418163307

預期報酬,30088.497375433737034
風險,155187.187411258637439
趨勢值,0.193885190377842
找到最佳解世代,2269
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,141242,55791,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.200000000186265,10.580000000074506,
20111020,5046609.859999999403954,4965967.490000000223517,10012577.349999999627471
20111021,5206213.320000000298023,5150635.699999999254942,10356849.019999999552965
20111024,5183614.600000000558794,5133340.490000000223517,10316955.089999999850988
20111025,5090394.879999999888241,5119950.649999999441206,10210345.529999999329448
20111026,5162428.299999999813735,5120508.560000000521541,10282936.859999999403954
20111027,5278246.740000000223517,5217026.990000000223517,10495273.730000000447035
20111028,5101694.240000000223517,5204752.970000000670552,10306447.210000000894070
20111031,5056496.799999999813735,5180204.929999999701977,10236701.730000000447035
20111101,5019773.879999999888241,5127761.389999999664724,10147535.269999999552965
20111102,5083332.780000000260770,5162351.810000000521541,10245684.589999999850988
20111103,5148304.100000000558794,5188573.580000000074506,10336877.679999999701977
20111104,5139829.580000000074506,5233764.290000000037253,10373593.870000001043081
20111107,5274009.480000000447035,5278955.000000000000000,10552964.480000000447035
20111108,5358754.679999999701977,5277839.179999999701977,10636593.859999999403954
20111109,5248585.919999999925494,5169046.730000000447035,10417632.650000000372529
20111110,5254235.600000000558794,5203079.240000000223517,10457314.839999999850988
20111111,5375703.720000000670552,5286765.740000000223517,10662469.460000000894070
20111114,5402539.700000000186265,5247712.040000000037253,10650251.740000000223517
20111115,5377116.140000000596046,5270586.349999999627471,10647702.490000000223517
20111116,5344630.480000000447035,5196942.230000000447035,10541572.710000000894070
20111117,5313557.240000000223517,5148961.970000000670552,10462519.210000000894070
20111118,5350280.160000000149012,5174067.919999999925494,10524348.080000000074506
20111121,5234461.720000000670552,5148404.060000000521541,10382865.780000001192093
20111122,5240111.400000000372529,5169046.730000000447035,10409158.130000000819564
20111123,5158191.040000000968575,5125529.750000000000000,10283720.790000000968575
20111125,5151128.940000000409782,5138361.679999999701977,10289490.620000001043081
20111128,5268359.799999999813735,5230974.740000000223517,10499334.539999999105930
20111129,5502821.520000000484288,5214237.439999999478459,10717058.960000000894070
20111130,5539544.440000000409782,5329166.899999999441206,10868711.339999999850988
20111201,5556493.480000000447035,5328051.080000000074506,10884544.560000000521541
20111202,5641238.679999999701977,5339209.280000000260770,10980447.960000000894070
20111205,5682198.859999999403954,5319682.429999999701977,11001881.289999999105930
20111206,5694910.640000000596046,5356504.490000000223517,11051415.130000000819564
20111207,5752819.859999999403954,5381052.530000000260770,11133872.390000000596046
20111208,5637001.419999999925494,5407274.299999999813735,11044275.719999998807907
20111209,5682198.859999999403954,5469202.310000000521541,11151401.169999999925494
20111212,5656775.299999999813735,5494308.260000000707805,11151083.560000000521541
20111213,5580504.620000000111759,5467528.580000000074506,11048033.199999999254942
20111214,5528245.080000000074506,5445770.089999999850988,10974015.169999999925494
20111215,5567792.840000000782311,5475339.320000000298023,11043132.160000000149012
20111216,5709034.840000000782311,5439075.169999999925494,11148110.010000001639128
20111219,5677961.600000000558794,5425127.419999999925494,11103089.019999999552965
20111220,5925135.100000000558794,5513277.199999999254942,11438412.300000000745058
20111221,5932197.200000000186265,5534477.780000000260770,11466674.980000000447035
20111222,5920897.840000000782311,5501003.179999999701977,11421901.019999999552965
20111223,5944908.980000000447035,5587479.230000000447035,11532388.210000000894070
20111227,5963270.440000000409782,5609795.629999999888241,11573066.070000000298023
20111228,5865813.459999999962747,5555678.360000000335276,11421491.820000000298023
20111229,5933609.620000000111759,5624301.290000000037253,11557910.910000000149012
20111230,5937846.879999999888241,5597521.610000000335276,11535368.490000000223517
20120103,5951971.080000000074506,5514393.020000000484288,11466364.100000001490116
20120104,6036716.280000000260770,5545078.070000000298023,11581794.350000001490116
20120105,6086150.980000000447035,5569626.110000000335276,11655777.089999999850988
20120106,6101687.600000000558794,5612585.179999999701977,11714272.780000001192093
20120109,6105924.859999999403954,5559025.820000000298023,11664950.679999999701977
20120110,6148297.459999999962747,5562373.280000000260770,11710670.740000000223517
20120111,6138410.520000000484288,5575205.210000000894070,11713615.730000000447035
20120112,6128523.580000000074506,5610911.449999999254942,11739435.029999999329448
20120113,6145472.620000000111759,5598637.429999999701977,11744110.050000000745058
20120117,6177958.280000000260770,5609795.629999999888241,11787753.910000000149012
20120118,6338974.160000000149012,5666144.540000000037253,12005118.699999999254942
20120119,6413832.419999999925494,5649407.240000000223517,12063239.660000000149012
20120120,6286714.620000000111759,5676186.919999999925494,11962901.539999999105930
20120123,6338974.160000000149012,5632112.030000000260770,11971086.190000001341105
20120124,6350273.520000000484288,5509371.830000000074506,11859645.350000001490116
