訓練日期,20101021 - 20110124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11784783.990000000223517
真實報酬,1784783.990000000223517

夏普值報酬,0.169778399000000
夏普值風險,0.047005490104835
夏普值,3.611884454801931

預期報酬,27631.436578017426655
風險,103066.124810583045473
趨勢值,0.268094261124099
找到最佳解世代,2605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),DIS[6](4),XOM[29](1),
20101208,3786696.960000000428408,3553438.640000000130385,3611276.330000000074506,10951412.929999999701977
20101209,3788809.560000000055879,3531331.960000000428408,3618815.480000000447035,10938958.000000000000000
20101210,3800217.600000000093132,3523642.679999999701977,3627862.460000000894070,10951723.740000000223517
20101213,3871623.479999999981374,3568817.200000000186265,3636909.440000000409782,11077351.120000001043081
20101214,3891059.400000000372529,3579389.960000000428408,3627862.460000000894070,11098312.820000002160668
20101215,3934578.960000000428408,3551516.320000000298023,3611276.330000000074506,11097372.610000001266599
20101216,3937959.120000000111759,3557283.279999999795109,3629872.900000000372529,11125116.300000000745058
20101217,3912185.400000000372529,3561127.919999999925494,3627359.850000000558794,11100674.170000001788139
20101220,3942184.320000000298023,3562089.080000000540167,3629872.900000000372529,11134147.300000000745058
20101221,3998379.479999999981374,3588040.399999999906868,3655003.400000000372529,11241424.280000001192093
20101222,3995844.359999999869615,3647632.320000000298023,3659024.280000000260770,11302501.960000000894070
20101223,3990774.120000000111759,3623603.320000000298023,3679128.680000000633299,11293507.120000001043081
20101227,3974718.359999999869615,3602457.799999999813735,3669579.090000000782311,11246756.250000000000000
20101228,3958662.600000000093132,3590923.879999999888241,3690186.100000000558794,11239773.580000001937151
20101229,3962465.280000000260770,3613991.720000000204891,3687673.050000000745058,11264131.050000000745058
20101230,3966267.960000000428408,3602457.799999999813735,3687170.440000000409782,11255897.199999999254942
20101231,3957395.040000000037253,3605341.279999999795109,3675107.800000000745058,11237845.120000001043081
20110103,3978098.520000000484288,3635137.240000000223517,3746981.030000000260770,11360217.790000000968575
20110104,3959507.640000000130385,3747592.960000000428408,3764572.380000000819564,11471673.980000000447035
20110105,3993731.760000000242144,3840825.479999999981374,3754520.180000000633299,11589078.420000001788139
20110106,3952324.800000000279397,3811029.520000000018626,3778645.460000000894070,11542000.780000001192093
20110107,3960352.680000000167638,3791806.320000000298023,3799252.470000000670552,11551412.470000000670552
20110110,3945987.000000000000000,3796612.120000000111759,3776132.410000000149012,11518732.530000001192093
20110111,3969648.120000000111759,3787000.520000000018626,3804278.570000000298023,11560928.210000000894070
20110112,3950212.200000000186265,3764893.840000000316650,3849010.860000000335276,11564117.900000002235174
20110113,3977676.000000000000000,3773544.279999999795109,3855544.790000000037253,11606766.070000000298023
20110114,3972183.240000000223517,3776427.760000000242144,3912339.720000000670552,11660951.720000000670552
20110118,4065982.680000000167638,3786039.360000000335276,3956066.790000000037253,11808089.830000001937151
20110119,4036828.800000000279397,3757204.560000000521541,3932444.120000000111759,11726478.480000000447035
20110120,3955282.440000000409782,3764893.840000000316650,3907816.230000000447035,11627993.510000001639128
20110121,3918945.720000000204891,3819679.960000000428408,3969637.260000000707805,11708263.940000001341105
20110124,3995844.359999999869615,3838903.159999999683350,3950035.470000000670552,11784783.990000000223517
