代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13400854.339999999850988
真實報酬,3400854.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14508.359866104618050
風險,159144.241384080261923
起點值,0.091164843540207
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
Stock#,AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
張數,17381,12851,21800,16002,32577,22377,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.909999999916181,19.810000000055879,56.000000000000000,57.699999999953434,26.680000000167638,27.039999999804422,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1651023.099999999860302,1631711.280000000027940,1621540.000000000000000,1657384.839999999850988,1666991.770000000251457,1670917.629999999888241,9899572.620000001043081
FS( 3 ),1660408.839999999850988,1631582.770000000018626,1631350.000000000000000,1673546.859999999869615,1673832.940000000176951,1657267.659999999916181,9927993.069999998435378
FS( 4 ),1667535.049999999813735,1634281.479999999981374,1636146.000000000000000,1649063.799999999813735,1673832.940000000176951,1657267.659999999916181,9918130.929999999701977
FS( 5 ),1680396.989999999990687,1671806.400000000139698,1686722.000000000000000,1676587.239999999990687,1703803.780000000027940,1710077.379999999888241,10129397.789999999105930
FS( 6 ),1685611.290000000037253,1696865.849999999860302,1696096.000000000000000,1686508.479999999981374,1713251.110000000335276,1712315.079999999608845,10190651.810000000521541
FS( 7 ),1693258.929999999934807,1681059.120000000111759,1739696.000000000000000,1708751.260000000009313,1733448.850000000093132,1733797.000000000000000,10290015.160000000149012
FS( 8 ),1683699.379999999888241,1672063.420000000158325,1737298.000000000000000,1706671.000000000000000,1743221.950000000186265,1733349.459999999729916,10276307.209999999031425
FS( 9 ),1717070.900000000139698,1690568.860000000102445,1745364.000000000000000,1707471.100000000093132,1750714.660000000149012,1748565.819999999832362,10359759.339999999850988
FS( 10 ),1716897.089999999850988,1701363.699999999953434,1759316.000000000000000,1712751.760000000009313,1749411.580000000307336,1752146.139999999664724,10391890.269999999552965
FS( 11 ),1735147.139999999897555,1714728.740000000223517,1740131.999999999767169,1697709.880000000121072,1757881.600000000093132,1752369.909999999916181,10397973.269999999552965
FS( 12 ),1735842.379999999888241,1730535.469999999972060,1738388.000000000000000,1696909.780000000027940,1729539.610000000335276,1761544.479999999748543,10392763.720000000670552
FS( 13 ),1737406.669999999692664,1731306.530000000027940,1737298.000000000000000,1689708.880000000121072,1821406.750000000000000,1775865.759999999776483,10492996.589999997988343
FS( 14 ),1728194.739999999990687,1716013.840000000083819,1744274.000000000000000,1686508.479999999981374,1817823.280000000027940,1763110.869999999878928,10455929.209999999031425
FS( 15 ),1714811.369999999878928,1715242.780000000027940,1730540.000000000000000,1690829.019999999785796,1842907.570000000065193,1788173.109999999636784,10482507.849999999627471
FS( 16 ),1691868.449999999953434,1708431.750000000000000,1715498.000000000000000,1649383.839999999850988,1848119.890000000130385,1766467.419999999692664,10379773.349999999627471
FS( 17 ),1680223.179999999934807,1732977.159999999916181,1804006.000000000000000,1643143.060000000055879,1849097.200000000186265,1756397.769999999785796,10465848.370000001043081
FS( 18 ),1789375.859999999869615,1747241.770000000251457,1833435.999999999767169,1636422.219999999972060,1830528.310000000055879,1757292.849999999860302,10594301.009999999776483
FS( 19 ),1813535.449999999953434,1709331.319999999832362,1807712.000000000000000,1628901.280000000027940,1831179.850000000093132,1772061.669999999692664,10562725.570000000298023
FS( 20 ),1811275.919999999692664,1717684.469999999972060,1804224.000000000000000,1639942.659999999916181,1846491.040000000270084,1746551.889999999664724,10566173.980000000447035
FS( 21 ),1843256.959999999962747,1711901.520000000251457,1786566.000000000000000,1586015.919999999925494,1843233.340000000083819,1751251.059999999823049,10522228.800000000745058
FS( 22 ),1815968.790000000037253,1691211.409999999916181,1771088.000000000000000,1593696.880000000121072,1843233.340000000083819,1751698.599999999860302,10466901.019999999552965
FS( 23 ),1838737.900000000139698,1694681.180000000167638,1788310.000000000000000,1610018.919999999925494,1855938.370000000111759,1761320.709999999729916,10549011.080000000074506
FS( 24 ),1840128.379999999888241,1686199.520000000251457,1782642.000000000000000,1606498.479999999981374,1869620.710000000195578,1778551.000000000000000,10563644.090000001713634
FS( 25 ),1868111.790000000037253,1692882.040000000037253,1799864.000000000000000,1608418.719999999972060,1888189.600000000093132,1793319.819999999832362,10650789.970000000670552
FS( 26 ),1883580.879999999888241,1698793.500000000000000,1819048.000000000000000,1619460.100000000093132,1891447.300000000279397,1789068.189999999944121,10701401.970000000670552
FS( 27 ),1891228.520000000018626,1704319.430000000167638,1805750.000000000000000,1621380.339999999850988,1896008.080000000307336,1791529.659999999916181,10710220.030000001192093
FS( 28 ),1877149.909999999916181,1699950.090000000083819,1801826.000000000232831,1602497.979999999981374,1890144.220000000204891,1783026.399999999906868,10654598.600000001490116
FS( 29 ),1875933.239999999990687,1709202.810000000055879,1814688.000000000000000,1622660.500000000000000,1899265.780000000027940,1792872.279999999795109,10714626.609999999403954
FS( 30 ),1880278.489999999990687,1710487.909999999916181,1809456.000000000000000,1634822.019999999785796,1887538.060000000055879,1790634.579999999608845,10713221.060000000521541
FS( 31 ),1902873.790000000037253,1730535.469999999972060,1834526.000000000232831,1644583.239999999990687,1893401.920000000158325,1810550.109999999636784,10816474.529999999329448
FS( 32 ),1901135.689999999944121,1734904.810000000055879,1837578.000000000232831,1642182.939999999944121,1871249.560000000055879,1808312.409999999916181,10795367.410000000149012
FS( 33 ),1898354.729999999981374,1731306.530000000027940,1840194.000000000000000,1635782.139999999897555,1875158.800000000279397,1808983.719999999972060,10789783.919999999925494
FS( 34 ),1895921.389999999897555,1734904.810000000055879,1817740.000000000000000,1657064.799999999813735,1876461.880000000121072,1796228.829999999608845,10778325.710000000894070
FS( 35 ),1900788.069999999832362,1727708.250000000000000,1827768.000000000000000,1637382.339999999850988,1877113.420000000158325,1800704.229999999748543,10771468.310000000521541
FS( 36 ),1886014.219999999972060,1734776.300000000279397,1822318.000000000000000,1631301.579999999841675,1878742.270000000251457,1813906.659999999916181,10767063.030000001192093
FS( 37 ),1891923.759999999776483,1723852.949999999953434,1831474.000000000000000,1627141.060000000055879,1885909.210000000195578,1808088.639999999664724,10768393.620000001043081
FS( 38 ),1877671.339999999850988,1712929.599999999860302,1812726.000000000232831,1635462.100000000093132,1887863.830000000307336,1796676.369999999878928,10723333.239999998360872
FS( 39 ),1869676.079999999841675,1708945.790000000037253,1805968.000000000000000,1630501.479999999981374,1895030.770000000251457,1797347.679999999701977,10707473.799999998882413
FS( 40 ),1858726.049999999813735,1699307.540000000037253,1802044.000000000000000,1621380.339999999850988,1890469.990000000223517,1802941.929999999701977,10674873.849999999627471
FS( 41 ),1856640.329999999841675,1707917.710000000195578,1811635.999999999767169,1633061.799999999813735,1892750.380000000121072,1809655.029999999795109,10711665.250000000000000
FS( 42 ),1842387.909999999916181,1681059.120000000111759,1798120.000000000000000,1627461.100000000093132,1885909.210000000195578,1816368.129999999888241,10651309.470000002533197
FS( 43 ),1844126.009999999776483,1663581.760000000009313,1786566.000000000000000,1609538.859999999869615,1871901.100000000093132,1810326.339999999850988,10586044.069999998435378
FS( 44 ),1855076.040000000037253,1669364.710000000195578,1775666.000000000000000,1603618.119999999878928,1876136.110000000335276,1819277.139999999664724,10599142.120000001043081
FS( 45 ),1872457.040000000037253,1685556.969999999972060,1780898.000000000000000,1615139.560000000055879,1878742.270000000251457,1834941.039999999804422,10667738.879999998956919
FS( 46 ),1871935.609999999869615,1709074.300000000279397,1789400.000000000000000,1639142.560000000055879,1876787.650000000139698,1846800.849999999860302,10733144.970000000670552
FS( 47 ),1883407.069999999832362,1704576.449999999953434,1825152.000000000000000,1646343.459999999962747,1878416.500000000000000,1862688.519999999785796,10800588.000000000000000
