代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11527454.410000000149012
真實報酬,1527454.410000000149012

夏普值報酬,0.144045441000000
夏普值風險,0.043390519144089
夏普值,3.319744585716099

二次趨勢線,-266.614877662496326 x^2 + 42802.944528572465060 x + 10000000.000000000000000
二次平均預期報酬,26539.436991160186153
風險,82036.758058622377575
二次平均趨勢值,0.323506652617787
一次趨勢線,30706.120740414575266 x + 10000000.000000000000000
一次預期報酬,30706.120740414575266
一次風險,136845.169538442918565
一次趨勢值,0.224385857710444
找到最佳解世代,3422
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,4
JPM[13](1),MCD[15](8),NKE[19](10),WBA[27](4),
Stock#,JPM[13](1),MCD[15](8),NKE[19](10),WBA[27](4),
張數,61259,28715,102501,72928,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.209999999962747,72.100000000093132,0.609999999869615,28.160000000149012,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485297.839999999850988,2504020.100000000093132,2503075.030000000260770,2499270.720000000204891,9991663.689999999478459
FS( 3 ),2523891.010000000242144,2497415.649999999906868,2503075.030000000260770,2594077.120000000111759,10118458.810000000521541
FS( 4 ),2540430.939999999944121,2529576.450000000186265,2522550.219999999739230,2614496.960000000428408,10207054.570000000298023
FS( 5 ),2607203.250000000000000,2540775.300000000279397,2526650.259999999776483,2632728.960000000428408,10307357.770000001415610
FS( 6 ),2591888.500000000000000,2567480.250000000000000,2513325.129999999888241,2650960.960000000428408,10323654.839999999850988
FS( 7 ),2612103.970000000204891,2573510.400000000372529,2547150.459999999962747,2672839.359999999869615,10405604.190000001341105
FS( 8 ),2620067.640000000130385,2564608.750000000000000,2542025.410000000149012,2674297.920000000391155,10400999.720000000670552
FS( 9 ),2620680.229999999981374,2560588.650000000372529,2493849.939999999478459,2662629.439999999944121,10337748.259999999776483
FS( 10 ),2622518.000000000000000,2552261.299999999813735,2483599.839999999850988,2680861.439999999944121,10339240.580000000074506
FS( 11 ),2663561.529999999795109,2581837.750000000000000,2511275.109999999869615,2708574.080000000074506,10465248.469999998807907
FS( 12 ),2687452.540000000037253,2599353.899999999906868,2534850.339999999850988,2738474.560000000055879,10560131.339999999850988
FS( 13 ),2666624.479999999981374,2576094.750000000000000,2506150.059999999590218,2715866.880000000353903,10464736.169999999925494
FS( 14 ),2727883.479999999981374,2585570.700000000186265,2536900.359999999869615,2738474.560000000055879,10588829.099999999627471
FS( 15 ),2695416.209999999962747,2589590.800000000279397,2693726.890000000130385,2648043.840000000316650,10626777.740000000223517
FS( 16 ),2690515.490000000223517,2564034.450000000186265,2706027.009999999776483,2659712.320000000298023,10620289.269999999552965
FS( 17 ),2692965.850000000093132,2548241.199999999720603,2631201.280000000260770,2673568.640000000130385,10545976.970000000670552
FS( 18 ),2672750.379999999888241,2547666.899999999906868,2652726.489999999757856,2664088.000000000000000,10537231.769999999552965
FS( 19 ),2648859.370000000111759,2514931.799999999813735,2613776.109999999869615,2664817.280000000260770,10442384.559999998658895
FS( 20 ),2693578.439999999944121,2533022.250000000000000,2644526.410000000149012,2699093.439999999944121,10570220.539999999105930
FS( 21 ),2735847.149999999906868,2587867.900000000372529,2656826.530000000260770,2775667.840000000316650,10756209.420000001788139
FS( 22 ),2730333.839999999850988,2602512.549999999813735,2684501.799999999813735,2755977.280000000260770,10773325.469999998807907
FS( 23 ),2778728.449999999720603,2580114.850000000093132,2710127.049999999813735,2711491.200000000186265,10780461.550000000745058
FS( 24 ),2781791.399999999906868,2610552.750000000000000,2714227.089999999850988,2773480.000000000000000,10880051.240000000223517
FS( 25 ),2787304.709999999962747,2611414.200000000186265,2685526.809999999590218,2783689.920000000391155,10867935.640000000596046
FS( 26 ),2785466.939999999944121,2607681.250000000000000,2688601.839999999850988,2804109.760000000242144,10885859.789999999105930
FS( 27 ),2827123.060000000055879,2624623.100000000093132,2693726.890000000130385,2812861.120000000111759,10958334.170000001788139
FS( 28 ),2826510.470000000204891,2634099.050000000279397,2721402.160000000149012,2851512.960000000428408,11033524.640000000596046
FS( 29 ),2810583.129999999888241,2628356.050000000279397,2726527.209999999962747,2847137.280000000260770,11012603.669999999925494
FS( 30 ),2839374.859999999869615,2627781.750000000465661,2749077.429999999701977,2866098.560000000055879,11082332.599999999627471
FS( 31 ),2868166.589999999850988,2616008.600000000093132,2754202.479999999981374,2872662.080000000074506,11111039.750000000000000
FS( 32 ),2844888.169999999925494,2634960.500000000465661,2740877.349999999627471,2870474.240000000223517,11091200.259999999776483
FS( 33 ),2846113.350000000093132,2649318.000000000465661,2731652.259999999776483,2859535.040000000037253,11086618.650000000372529
FS( 34 ),2851014.069999999832362,2669131.350000000093132,2740877.349999999627471,2879954.880000000353903,11140977.650000000372529
FS( 35 ),2832023.779999999795109,2684350.300000000279397,2721402.160000000149012,2882142.720000000204891,11119918.960000000894070
FS( 36 ),2840600.040000000037253,2679468.750000000000000,2760352.540000000037253,2876308.479999999981374,11156729.810000000521541
