代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328263.730000000447035
真實報酬,1328263.730000000447035

夏普值報酬,0.124126373000000
夏普值風險,0.033686541487258
夏普值,3.684746712480184

二次趨勢線,-329.566652789924888 x^2 + 40895.359917490291991 x + 10000000.000000000000000
二次平均預期報酬,19473.527486145172588
風險,100961.744928975749644
二次平均趨勢值,0.192880258753891
一次趨勢線,24953.531131372990785 x + 10000000.000000000000000
一次預期報酬,24953.531131372990785
一次風險,184019.665548578690505
一次趨勢值,0.135602524094283
找到最佳解世代,1862
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](10),CVX[5](8),HD[9](2),MRK[17](6),NKE[19](5),UNH[23](3),V[25](1),VZ[26](16),
Stock#,AAPL[0](10),CVX[5](8),HD[9](2),MRK[17](6),NKE[19](5),UNH[23](3),V[25](1),VZ[26](16),
張數,7499,11136,7229,23465,19494,5755,10558,26505,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,66.679999999934807,95.360000000102445,105.899999999906868,19.449999999953434,44.719999999972060,14.000000000000000,38.379999999888241,24.200000000186265,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1262823.289999999804422,1278842.239999999990687,1256216.939999999944121,1269241.300000000046566,1300294.520000000018626,1292471.900000000139698,1258551.979999999981374,1259011.700000000186265,10177453.870000001043081
FS( 3 ),1286970.070000000065193,1274944.640000000130385,1282819.659999999916181,1279800.550000000046566,1333824.199999999953434,1316700.449999999953434,1264992.359999999869615,1270408.850000000093132,10310460.779999999329448
FS( 4 ),1295893.880000000121072,1306236.800000000279397,1295036.669999999925494,1279565.899999999906868,1356632.179999999934807,1318311.849999999860302,1279562.399999999906868,1278625.400000000139698,10409865.080000000074506
FS( 5 ),1262748.299999999813735,1278062.720000000204891,1261204.949999999720603,1252111.849999999860302,1316864.419999999925494,1288903.800000000046566,1242714.979999999981374,1258481.600000000093132,10161092.619999999180436
FS( 6 ),1275271.630000000121072,1291648.640000000130385,1247180.689999999944121,1317813.849999999860302,1309651.640000000130385,1281825.149999999906868,1254223.199999999953434,1243638.800000000279397,10221253.600000001490116
