代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11056246.199999999254942
真實報酬,1056246.199999999254942

夏普值報酬,0.096924620000000
夏普值風險,0.032089626929328
夏普值,3.020434616253437

二次趨勢線,192.335616370190280 x^2 + 4504.030320170046252 x + 10000000.000000000000000
二次平均預期報酬,17005.845384232412471
風險,72432.224816546455259
二次平均趨勢值,0.234782866704760
一次趨勢線,13807.706646914124576 x + 10000000.000000000000000
一次預期報酬,13807.706646914124576
一次風險,115361.166804719352513
一次趨勢值,0.119691114691025
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),KO[14](3),MSFT[18](6),PG[21](1),VZ[26](9),
Stock#,DIS[6](5),KO[14](3),MSFT[18](6),PG[21](1),VZ[26](9),
張數,19988,46959,21052,27793,40966,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.719999999972060,16.189999999944121,60.000000000000000,15.720000000204891,39.879999999888241,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1991205.280000000027940,1975111.729999999981374,1968632.520000000018626,1971651.140000000130385,1956166.379999999888241,9862767.050000000745058
FS( 3 ),1974015.600000000093132,1967128.699999999953434,1980421.639999999897555,1983324.200000000186265,1959853.320000000065193,9864743.459999999031425
FS( 4 ),2021786.920000000158325,1989199.429999999934807,2003368.319999999832362,2013062.710000000428408,1974191.419999999692664,10001608.800000000745058
FS( 5 ),2048370.959999999962747,1978868.449999999953434,2025683.439999999944121,2000555.860000000335276,1955347.059999999823049,10008825.769999999552965
FS( 6 ),2034579.239999999990687,1963371.979999999981374,2017052.120000000111759,1985547.640000000130385,1926261.199999999953434,9926812.179999999701977
FS( 7 ),1998201.079999999841675,1961963.209999999962747,2040840.879999999888241,2011395.130000000353903,1900042.959999999962747,9912443.260000001639128
FS( 8 ),2032380.560000000055879,1980746.809999999823049,2061261.319999999832362,2033073.670000000391155,1933635.080000000074506,10041097.439999999478459
FS( 9 ),2040175.879999999888241,1978868.449999999953434,2056840.400000000139698,2039188.130000000353903,1991806.799999999813735,10106879.660000000149012
