代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10983501.169999999925494
真實報酬,983501.169999999925494

夏普值報酬,0.089650117000000
夏普值風險,0.030487726133788
夏普值,2.940531432439183

二次趨勢線,-140.873892043755944 x^2 + 26324.899538950474380 x + 10000000.000000000000000
二次平均預期報酬,17308.970448150099401
風險,65803.134397436355357
二次平均趨勢值,0.263041732079322
一次趨勢線,19616.196396583229216 x + 10000000.000000000000000
一次預期報酬,19616.196396583229216
一次風險,91615.025723318423843
一次趨勢值,0.214115492974101
找到最佳解世代,3205
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
PG[21](8),TRV[22](2),UNH[23](5),
Stock#,PG[21](8),TRV[22](2),UNH[23](5),
張數,52075,52617,65091,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.249999999534339,46.049999999813735,22.890000000130385,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3307295.499999999534339,3308076.839999999850988,3326172.990000000223517,9941546.330000000074506
FS( 3 ),3410924.749999999534339,3352275.119999999646097,3359369.399999999906868,10122570.269999999552965
FS( 4 ),3427067.999999999534339,3342277.890000000130385,3319663.890000000130385,10089010.779999999329448
FS( 5 ),3448418.749999999534339,3334385.339999999850988,3419904.030000000260770,10202709.120000001043081
FS( 6 ),3474456.249999999534339,3357536.819999999832362,3432271.319999999832362,10264265.389999998733401
FS( 7 ),3474976.999999999534339,3361746.179999999701977,3386056.710000000428408,10222780.890000000596046
FS( 8 ),3477059.999999999534339,3366481.709999999497086,3378245.790000000037253,10221788.500000000000000
FS( 9 ),3461958.249999999534339,3353327.459999999497086,3378245.790000000037253,10193532.500000000000000
FS( 10 ),3474976.999999999534339,3343330.229999999981374,3382802.160000000149012,10201110.390000000596046
FS( 11 ),3470290.249999999534339,3354379.799999999813735,3438129.510000000242144,10262800.559999998658895
FS( 12 ),3489037.249999999534339,3369112.560000000055879,3475231.380000000353903,10333382.189999999478459
FS( 13 ),3489037.249999999534339,3426991.259999999776483,3458307.720000000204891,10374337.230000000447035
FS( 14 ),3476018.499999999534339,3453825.929999999701977,3462864.090000000316650,10392709.519999999552965
FS( 15 ),3477059.999999999534339,3432252.959999999962747,3477184.110000000335276,10386498.070000000298023
FS( 16 ),3481225.999999999068677,3443828.700000000186265,3512984.160000000149012,10438039.859999999403954
FS( 17 ),3472373.250000000000000,3409627.649999999441206,3509729.610000000335276,10391731.509999999776483
FS( 18 ),3490078.749999999534339,3441197.850000000093132,3525351.449999999720603,10456629.049999998882413
FS( 19 ),3494765.499999999534339,3429622.110000000335276,3554642.399999999906868,10479031.009999999776483
FS( 20 ),3488516.499999999068677,3411732.330000000074506,3536416.919999999925494,10436666.750000000000000
FS( 21 ),3482267.500000000000000,3409627.649999999441206,3556595.130000000353903,10448491.279999999329448
FS( 22 ),3482788.249999999068677,3393316.379999999422580,3559849.680000000167638,10435955.309999998658895
FS( 23 ),3498931.499999999534339,3406470.629999999422580,3534464.189999999944121,10439867.319999998435378
FS( 24 ),3509867.250000000000000,3401208.929999999701977,3551387.850000000093132,10462465.029999999329448
FS( 25 ),3504139.000000000000000,3395421.060000000055879,3533162.370000000111759,10432723.429999999701977
FS( 26 ),3553610.249999999068677,3438040.830000000074506,3572867.880000000353903,10564519.959999999031425
FS( 27 ),3568191.249999999534339,3431200.619999999646097,3572216.970000000204891,10571609.839999999850988
FS( 28 ),3567670.500000000000000,3436462.319999999832362,3498013.230000000447035,10502147.050000000745058
FS( 29 ),3554651.750000000000000,3522754.200000000186265,3436827.689999999944121,10514234.640000000596046
FS( 30 ),3546319.749999999068677,3553798.229999999981374,3438129.510000000242144,10538248.489999998360872
FS( 31 ),3588500.499999999534339,3601679.700000000186265,3507776.880000000353903,10697958.080000000074506
FS( 32 ),3601519.249999999534339,3608519.909999999683350,3531209.640000000130385,10741249.799999998882413
FS( 33 ),3606205.999999999534339,3603258.209999999962747,3546180.569999999832362,10755645.779999999329448
FS( 34 ),3604643.749999999534339,3602205.869999999646097,3588489.720000000204891,10795340.339999999850988
FS( 35 ),3606726.750000000000000,3590103.959999999962747,3576773.340000000316650,10773605.050000000745058
FS( 36 ),3622349.249999999534339,3601679.700000000186265,3576122.430000000167638,10800152.379999998956919
FS( 37 ),3615058.749999999534339,3610098.419999999925494,3656835.270000000018626,10881993.439999999478459
FS( 38 ),3632764.250000000000000,3600101.189999999944121,3643817.069999999832362,10876683.509999999776483
FS( 39 ),3623911.499999999534339,3603258.209999999962747,3658137.090000000316650,10885307.799999998882413
FS( 40 ),3608809.749999999534339,3566426.310000000055879,3630798.870000000111759,10806035.929999999701977
FS( 41 ),3608809.749999999534339,3599575.019999999552965,3660740.730000000447035,10869126.500000000000000
FS( 42 ),3611934.249999999534339,3591682.470000000204891,3606715.199999999720603,10810332.919999999925494
FS( 43 ),3616620.999999999534339,3634302.239999999292195,3675060.750000000000000,10925984.989999998360872
FS( 44 ),3582251.500000000000000,3614833.950000000186265,3697191.689999999944121,10894278.140000000596046
FS( 45 ),3602039.999999999534339,3631145.220000000204891,3701097.149999999906868,10934283.369999999180436
FS( 46 ),3612975.749999999068677,3645351.810000000055879,3773348.160000000149012,11031676.719999998807907
FS( 47 ),3625994.499999999068677,3660084.569999999832362,3718671.720000000204891,11004751.789999999105930
FS( 48 ),3598394.749999999068677,3659032.229999999981374,3749264.490000000223517,11006692.469999998807907
FS( 49 ),3577564.749999999534339,3647456.489999999292195,3740802.660000000149012,10965824.899999998509884
FS( 50 ),3548402.749999999534339,3651665.850000000093132,3717369.899999999906868,10917439.500000000000000
FS( 51 ),3541112.249999999534339,3639037.769999999552965,3753169.949999999720603,10933320.969999998807907
FS( 52 ),3537987.749999999534339,3615886.289999999571592,3714766.260000000242144,10868641.299999998882413
FS( 53 ),3578085.499999999068677,3672186.479999999981374,3742104.480000000447035,10992377.459999999031425
FS( 54 ),3593187.249999999534339,3709018.379999999422580,3702398.970000000204891,11004605.599999999627471
FS( 55 ),3617662.499999999534339,3755847.509999999776483,3644467.980000000447035,11017978.990000000223517
FS( 56 ),3617662.499999999534339,3890547.029999999795109,3645769.799999999813735,11153980.329999998211861
FS( 57 ),3570794.999999999068677,3867921.720000000204891,3622987.949999999720603,11061705.669999998062849
FS( 58 ),3567149.749999999534339,3893177.879999999422580,3680268.030000000260770,11140596.660000000149012
FS( 59 ),3511950.249999999534339,3861081.509999999776483,3656835.270000000018626,11029868.029999999329448
FS( 60 ),3545278.249999999534339,3850558.110000000335276,3639911.610000000335276,11035748.969999998807907
FS( 61 ),3648907.499999999068677,3794784.089999999850988,3658788.000000000000000,11102480.589999999850988
FS( 62 ),3616100.249999999534339,3765318.569999999832362,3630798.870000000111759,11012218.689999999478459
FS( 63 ),3605685.249999999068677,3732696.029999999795109,3645118.890000000130385,10983501.169999999925494
