代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11274102.740000000223517
真實報酬,1274102.740000000223517

夏普值報酬,0.118710274000000
夏普值風險,0.031206646421047
夏普值,3.804006120950499

二次趨勢線,-267.618876257968850 x^2 + 36182.563053918573132 x + 10000000.000000000000000
二次平均預期報酬,18787.336097150611749
風險,110790.609071464656154
二次平均趨勢值,0.169575167558037
一次趨勢線,23237.277876788906724 x + 10000000.000000000000000
一次預期報酬,23237.277876788906724
一次風險,166980.423283298005117
一次趨勢值,0.139161689854892
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),PG[21](2),
Stock#,MCD[15](1),PG[21](2),
張數,25153,48169,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,86.660000000149012,57.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5021380.049999999813735,5042388.719999999739230,10063768.769999999552965
FS( 3 ),5033956.549999999813735,5141135.169999999925494,10175091.719999998807907
FS( 4 ),5107403.310000000521541,5172445.019999999552965,10279848.330000000074506
FS( 5 ),5168525.099999999627471,5239399.929999999701977,10407925.029999999329448
FS( 6 ),5063385.560000000521541,5236991.479999999515712,10300377.039999999105930
FS( 7 ),5112685.439999999478459,5268783.019999999552965,10381468.459999999031425
FS( 8 ),5154690.950000000186265,5283233.719999999739230,10437924.669999999925494
FS( 9 ),5143623.630000000819564,5342481.589999999850988,10486105.220000000670552
FS( 10 ),5163746.030000000260770,5356450.599999999627471,10520196.629999998956919
FS( 11 ),5126519.589999999850988,5346335.109999999403954,10472854.699999999254942
FS( 12 ),5144126.689999999478459,5279380.199999999254942,10423506.889999998733401
FS( 13 ),5145132.810000000521541,5318878.780000000260770,10464011.589999999850988
FS( 14 ),5159470.020000000484288,5382461.859999999403954,10541931.879999998956919
FS( 15 ),5137838.439999999478459,5356450.599999999627471,10494289.039999999105930
FS( 16 ),5129286.419999999925494,5410881.569999999366701,10540167.989999998360872
FS( 17 ),5174310.290000000037253,5381498.479999999515712,10555808.769999999552965
FS( 18 ),5145132.810000000521541,5285642.169999999925494,10430774.980000000447035
FS( 19 ),5188395.970000000670552,5288050.620000000111759,10476446.589999999850988
FS( 20 ),5223358.639999999664724,5281788.650000000372529,10505147.289999999105930
FS( 21 ),5189150.560000000521541,5322250.609999999403954,10511401.169999999925494
FS( 22 ),5271652.400000000372529,5369937.919999999925494,10641590.320000000298023
FS( 23 ),5352896.589999999850988,5495177.319999999366701,10848073.910000000149012
FS( 24 ),5313406.380000000819564,5450380.150000000372529,10763786.530000001192093
FS( 25 ),5336547.139999999664724,5493732.250000000000000,10830279.390000000596046
FS( 26 ),5334786.430000000633299,5438819.589999999850988,10773606.019999999552965
FS( 27 ),5357675.660000000149012,5479281.549999999813735,10836957.210000000894070
FS( 28 ),5349878.230000000447035,5509628.019999999552965,10859506.250000000000000
FS( 29 ),5357424.130000000819564,5539011.109999999403954,10896435.240000000223517
FS( 30 ),5388110.790000000037253,5562613.919999999925494,10950724.710000000894070
FS( 31 ),5375785.820000000298023,5582363.209999999962747,10958149.030000001192093
FS( 32 ),5375534.290000000037253,5584771.660000000149012,10960305.949999999254942
FS( 33 ),5430870.889999999664724,5560687.160000000149012,10991558.050000000745058
FS( 34 ),5379558.770000000484288,5539974.490000000223517,10919533.260000001639128
FS( 35 ),5407981.660000000149012,5553943.500000000000000,10961925.160000000149012
FS( 36 ),5390626.089999999850988,5484098.449999999254942,10874724.539999999105930
FS( 37 ),5352142.000000000000000,5423887.199999999254942,10776029.199999999254942
FS( 38 ),5393895.980000000447035,5432075.929999999701977,10825971.910000000149012
FS( 39 ),5422570.400000000372529,5526487.169999999925494,10949057.570000000298023
FS( 40 ),5407478.599999999627471,5587661.799999999813735,10995140.399999998509884
FS( 41 ),5341074.680000000633299,5800087.089999999850988,11141161.769999999552965
FS( 42 ),5300326.820000000298023,5685926.560000000521541,10986253.380000000819564
FS( 43 ),5313657.910000000149012,5622825.169999999925494,10936483.080000000074506
FS( 44 ),5394902.099999999627471,5608856.160000000149012,11003758.259999999776483
FS( 45 ),5293535.509999999776483,5447008.319999999366701,10740543.829999998211861
FS( 46 ),5384840.900000000372529,5504811.120000000111759,10889652.019999999552965
FS( 47 ),5454011.650000000372529,5564540.679999999701977,11018552.330000000074506
FS( 48 ),5483692.189999999478459,5657025.160000000149012,11140717.349999999627471
FS( 49 ),5562672.610000000335276,5625233.620000000111759,11187906.230000000447035
FS( 50 ),5462312.139999999664724,5589106.870000000111759,11051419.009999999776483
FS( 51 ),5526955.349999999627471,5647873.049999999813735,11174828.399999998509884
FS( 52 ),5445208.099999999627471,5577546.310000000521541,11022754.410000000149012
FS( 53 ),5490231.970000000670552,5654616.709999999962747,11144848.679999999701977
FS( 54 ),5495262.570000000298023,5740839.219999999739230,11236101.789999999105930
FS( 55 ),5503060.000000000000000,5791898.359999999403954,11294958.359999999403954
FS( 56 ),5495262.570000000298023,5727351.900000000372529,11222614.470000000670552
FS( 57 ),5551605.290000000037253,5741802.599999999627471,11293407.890000000596046
FS( 58 ),5520918.630000000819564,5752399.780000000260770,11273318.410000000149012
FS( 59 ),5399429.639999999664724,5651244.879999999888241,11050674.519999999552965
FS( 60 ),5456023.889999999664724,5747582.879999999888241,11203606.769999999552965
FS( 61 ),5434392.310000000521541,5806830.750000000000000,11241223.060000000521541
FS( 62 ),5485201.370000000111759,5847774.400000000372529,11332975.769999999552965
FS( 63 ),5547329.280000000260770,5837177.219999999739230,11384506.500000000000000
FS( 64 ),5482686.070000000298023,5791416.669999999925494,11274102.740000000223517
