代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11008245.570000000298023
真實報酬,1008245.570000000298023

夏普值報酬,0.092124557000000
夏普值風險,0.031499437292065
夏普值,2.924641356155500

二次趨勢線,-66.671642604999420 x^2 + 22133.549591905280977 x + 10000000.000000000000000
二次平均預期報酬,17999.907750395315816
風險,89717.459282106123283
二次平均趨勢值,0.200628817338626
一次趨勢線,19058.523343952736468 x + 10000000.000000000000000
一次預期報酬,19058.523343952736468
一次風險,94075.290382442573900
一次趨勢值,0.202587983161938
找到最佳解世代,2009
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](11),PFE[20](6),UTX[24](4),WBA[27](3),
Stock#,BA[2](11),PFE[20](6),UTX[24](4),WBA[27](3),
張數,19836,82808,23518,38473,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,68.919999999925494,26.479999999981374,36.600000000093132,24.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2496231.160000000149012,2507452.720000000204891,2513640.439999999944121,2510002.979999999981374,10027327.300000000745058
FS( 3 ),2464096.839999999850988,2487578.799999999813735,2538334.340000000316650,2526161.639999999664724,10016171.620000001043081
FS( 4 ),2471237.799999999813735,2487578.799999999813735,2553621.040000000037253,2564249.910000000149012,10076687.550000000745058
FS( 5 ),2468659.120000000111759,2477641.840000000316650,2565380.040000000037253,2574637.620000000111759,10086318.620000001043081
FS( 6 ),2472427.959999999962747,2500828.080000000074506,2563498.600000000093132,2607724.399999999906868,10144479.040000000968575
FS( 7 ),2486709.879999999888241,2510765.040000000037253,2546095.280000000260770,2596951.959999999962747,10140522.160000000149012
FS( 8 ),2496826.240000000223517,2519045.840000000316650,2543273.120000000111759,2594643.580000000074506,10153788.780000001192093
FS( 9 ),2549590.000000000000000,2519045.840000000316650,2543273.120000000111759,2576176.539999999571592,10188085.500000000000000
FS( 10 ),2556135.880000000353903,2512421.200000000186265,2527045.700000000186265,2575022.350000000093132,10170625.130000000819564
FS( 11 ),2547408.039999999571592,2510765.040000000037253,2525164.260000000242144,2560402.609999999869615,10143739.949999999254942
FS( 12 ),2591840.679999999701977,2533123.200000000186265,2558795.000000000000000,2618496.839999999850988,10302255.719999998807907
FS( 13 ),2610684.880000000353903,2520702.000000000000000,2555502.479999999981374,2608109.130000000353903,10294998.490000002086163
FS( 14 ),2612470.119999999646097,2520702.000000000000000,2559265.359999999869615,2590796.280000000260770,10283233.759999997913837
FS( 15 ),2633893.000000000000000,2521530.080000000074506,2594072.000000000000000,2600414.530000000260770,10349909.609999999403954
FS( 16 ),2670192.880000000353903,2502484.239999999757856,2558559.820000000298023,2605800.750000000000000,10337037.690000001341105
FS( 17 ),2674160.080000000074506,2523186.239999999757856,2627232.379999999888241,2608878.589999999850988,10433457.289999999105930
FS( 18 ),2673565.000000000000000,2575355.280000000260770,2590779.479999999981374,2634270.770000000018626,10473970.529999999329448
FS( 19 ),2665233.880000000353903,2579495.679999999701977,2588898.040000000037253,2639656.989999999757856,10473284.589999999850988
FS( 20 ),2626156.959999999497086,2588604.560000000055879,2579726.020000000018626,2607339.669999999925494,10401827.209999999031425
FS( 21 ),2623975.000000000000000,2614275.040000000037253,2579490.840000000316650,2568097.209999999962747,10385838.089999999850988
FS( 22 ),2617825.839999999850988,2629180.479999999981374,2610299.419999999925494,2592335.199999999720603,10449640.939999999478459
FS( 23 ),2604932.439999999944121,2622555.840000000316650,2615473.379999999888241,2612341.160000000149012,10455302.820000000298023
FS( 24 ),2622586.479999999981374,2649054.399999999906868,2617354.820000000298023,2639272.259999999776483,10528267.960000000894070
FS( 25 ),2584303.000000000000000,2647398.239999999757856,2658746.500000000000000,2605800.750000000000000,10496248.490000000223517
FS( 26 ),2572004.679999999701977,2645742.080000000074506,2704371.419999999925494,2638887.530000000260770,10561005.710000000894070
FS( 27 ),2472427.959999999962747,2638289.359999999869615,2669329.600000000093132,2621959.410000000149012,10402006.330000000074506
FS( 28 ),2447236.240000000223517,2620899.679999999701977,2682029.320000000298023,2808938.189999999944121,10559103.429999999701977
FS( 29 ),2395662.639999999664724,2562934.080000000074506,2637580.300000000279397,2866262.959999999962747,10462439.980000000447035
FS( 30 ),2421647.799999999813735,2555481.359999999869615,2631935.979999999981374,2825481.580000000074506,10434546.720000000670552
FS( 31 ),2464691.919999999925494,2539747.840000000316650,2662979.740000000223517,2785084.930000000167638,10452504.429999999701977
FS( 32 ),2480759.080000000074506,2577011.439999999944121,2678736.800000000279397,2769695.729999999981374,10506203.050000000745058
FS( 33 ),2492859.040000000037253,2647398.239999999757856,2750701.879999999888241,2861646.199999999720603,10752605.359999999403954
FS( 34 ),2503967.200000000186265,2644914.000000000000000,2718482.220000000204891,2817402.250000000000000,10684765.669999999925494
FS( 35 ),2543440.839999999850988,2657335.200000000186265,2754935.120000000111759,2857414.169999999925494,10813125.330000000074506
FS( 36 ),2579344.000000000000000,2604338.080000000074506,2756581.379999999888241,2943593.689999999944121,10883857.150000000372529
FS( 37 ),2603345.560000000055879,2601853.840000000316650,2749525.979999999981374,2949749.370000000111759,10904474.750000000000000
FS( 38 ),2611081.599999999627471,2620899.679999999701977,2757286.919999999925494,2941670.039999999571592,10930938.239999998360872
FS( 39 ),2624173.359999999869615,2599369.600000000093132,2748350.080000000074506,2954366.130000000353903,10926259.169999999925494
FS( 40 ),2615048.800000000279397,2598541.520000000018626,2732828.200000000186265,2925896.109999999869615,10872314.630000000819564
FS( 41 ),2578352.199999999720603,2579495.679999999701977,2704606.600000000093132,2931667.060000000055879,10794121.539999999105930
FS( 42 ),2577757.119999999646097,2594401.119999999646097,2705547.320000000298023,2923972.459999999962747,10801678.019999999552965
FS( 43 ),2559904.720000000204891,2580323.759999999776483,2660392.760000000242144,2866262.959999999962747,10666884.199999999254942
FS( 44 ),2529754.000000000000000,2601853.840000000316650,2622763.959999999962747,2873572.830000000074506,10627944.629999998956919
FS( 45 ),2569029.279999999795109,2637461.280000000260770,2651220.740000000223517,2947056.259999999776483,10804767.560000000521541
FS( 46 ),2614453.720000000204891,2691286.479999999981374,2696375.300000000279397,2983605.609999999869615,10985721.109999999403954
FS( 47 ),2609296.359999999869615,2703707.679999999701977,2681558.959999999962747,2911276.370000000111759,10905839.369999999180436
FS( 48 ),2596006.240000000223517,2713644.640000000130385,2691671.700000000186265,2912430.560000000055879,10913753.140000000596046
FS( 49 ),2601957.039999999571592,2686318.000000000000000,2689084.720000000204891,2895502.439999999944121,10872862.199999999254942
FS( 50 ),2586286.599999999627471,2689630.319999999832362,2669799.959999999962747,2885114.729999999981374,10830831.609999999403954
FS( 51 ),2581525.959999999497086,2683005.679999999701977,2669799.959999999962747,2877035.399999999906868,10811366.999999998137355
FS( 52 ),2594221.000000000000000,2716128.879999999888241,2731652.300000000279397,2925126.649999999906868,10967128.830000000074506
FS( 53 ),2602948.839999999850988,2740971.280000000260770,2764107.140000000130385,2925896.109999999869615,11033923.369999999180436
FS( 54 ),2626553.679999999701977,2702879.600000000093132,2799384.140000000130385,2908198.530000000260770,11037015.949999999254942
FS( 55 ),2690623.959999999497086,2716956.959999999962747,2832779.700000000186265,2924741.919999999925494,11165102.539999999105930
FS( 56 ),2670391.240000000223517,2687146.080000000074506,2821726.240000000223517,2908198.530000000260770,11087462.089999999850988
FS( 57 ),2659481.439999999944121,2716128.879999999888241,2792799.100000000093132,2917816.780000000260770,11086226.199999999254942
FS( 58 ),2627942.199999999720603,2699567.280000000260770,2802441.479999999981374,2882806.350000000093132,11012757.310000000521541
FS( 59 ),2769967.959999999497086,2645742.080000000074506,2749761.160000000149012,2838177.669999999925494,11003648.869999999180436
FS( 60 ),2931433.000000000000000,2635805.119999999646097,2738707.700000000186265,2868956.069999999832362,11174901.889999998733401
FS( 61 ),2883628.240000000223517,2587776.479999999981374,2699432.640000000130385,2837408.209999999962747,11008245.570000000298023
