代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10973615.370000001043081
真實報酬,973615.370000001043081

夏普值報酬,0.088661537000000
夏普值風險,0.032212544588767
夏普值,2.752391595630699

二次趨勢線,277.327230530345560 x^2 + -1122.946799267505867 x + 10000000.000000000000000
二次平均預期報酬,16903.323185204957554
風險,80084.401141274822294
二次平均趨勢值,0.211068859157556
一次趨勢線,12291.951793828273367 x + 10000000.000000000000000
一次預期報酬,12291.951793828273367
一次風險,152231.282497393462108
一次趨勢值,0.080745242319290
找到最佳解世代,2639
找到最佳解實驗#,2
找到最佳解次數,15

stock[index](rank)
投資組合檔數,3
IBM[10](8),KO[14](1),MCD[15](2),
Stock#,IBM[10](8),KO[14](1),MCD[15](2),
張數,25491,118161,47449,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,129.840000000316650,11.189999999944121,40.750000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323391.510000000242144,3330969.780000000260770,3342822.800000000279397,9997185.090000001713634
FS( 3 ),3346333.410000000614673,3341604.270000000018626,3354210.560000000055879,10042149.240000000223517
FS( 4 ),3360608.370000000577420,3330969.780000000260770,3342822.800000000279397,10034401.950000001117587
FS( 5 ),3317528.580000000074506,3353420.369999999646097,3404032.009999999776483,10074981.959999999031425
FS( 6 ),3364941.840000000316650,3374689.349999999627471,3460021.830000000074506,10199654.019999999552965
FS( 7 ),3360863.280000000260770,3366418.079999999608845,3456225.910000000149012,10183508.269999999552965
FS( 8 ),3309626.370000000577420,3310882.409999999683350,3395965.679999999701977,10016475.460000000894070
FS( 9 ),3270625.140000000596046,3290795.040000000037253,3419215.689999999944121,9980636.870000001043081
FS( 10 ),3259664.010000000242144,3293158.260000000242144,3411149.359999999869615,9963972.630000000819564
FS( 11 ),3257114.910000000149012,3301429.530000000260770,3406404.460000000428408,9964949.900000000372529
FS( 12 ),3274448.790000000037253,3315608.849999999627471,3474256.529999999795109,10064315.169999999925494
FS( 13 ),3298410.330000000074506,3299066.310000000055879,3475680.000000000000000,10073157.640000000596046
