代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11375470.210000000894070
真實報酬,1375470.210000000894070

夏普值報酬,0.128847021000000
夏普值風險,0.037572357616190
夏普值,3.429303593780295

二次趨勢線,-152.594527112289882 x^2 + 31662.659128410887206 x + 10000000.000000000000000
二次平均預期報酬,22201.798447448916704
風險,59634.757740718603600
二次平均趨勢值,0.372296279696120
一次趨勢線,24624.701792573290732 x + 10000000.000000000000000
一次預期報酬,24624.701792573290732
一次風險,88044.915843268128810
一次趨勢值,0.279683404279795
找到最佳解世代,3311
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
AXP[1](4),CSCO[4](2),IBM[10](7),JNJ[12](11),KO[14](28),TRV[22](1),VZ[26](19),XOM[29](5),
Stock#,AXP[1](4),CSCO[4](2),IBM[10](7),JNJ[12](11),KO[14](28),TRV[22](1),VZ[26](19),XOM[29](5),
張數,13064,29103,10849,9784,26635,10650,22313,17936,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,36.479999999981374,26.149999999906868,86.709999999962747,94.000000000000000,19.449999999953434,9.500000000000000,25.739999999990687,40.160000000149012,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1220606.000000000000000,1195286.359999999869615,1225047.299999999813735,1230138.479999999981374,1242275.849999999860302,1227528.500000000000000,1254462.599999999860302,1230808.480000000214204,9826153.570000000298023
FS( 3 ),1275605.439999999944121,1249126.909999999916181,1272891.389999999897555,1250782.719999999972060,1267046.399999999906868,1263951.500000000000000,1257586.419999999925494,1276186.560000000288710,10113177.339999999850988
FS( 4 ),1282529.360000000102445,1257566.780000000027940,1281896.060000000055879,1242759.840000000083819,1250532.699999999953434,1259904.500000000000000,1265619.099999999860302,1282822.880000000121072,10123631.220000000670552
FS( 5 ),1288800.080000000074506,1267752.830000000074506,1300122.379999999888241,1271622.640000000130385,1264649.249999999767169,1255005.500000000000000,1302658.679999999934807,1292149.600000000325963,10242760.959999999031425
FS( 6 ),1291151.599999999860302,1260768.109999999869615,1309452.520000000018626,1261545.120000000111759,1240411.399999999906868,1263951.500000000000000,1272982.389999999897555,1298965.280000000260770,10199227.920000001788139
FS( 7 ),1283705.120000000111759,1258439.869999999878928,1321386.419999999925494,1269176.640000000130385,1253728.899999999906868,1280885.000000000000000,1285254.540000000037253,1292328.960000000195578,10244905.450000002980232
FS( 8 ),1287493.679999999934807,1265715.619999999878928,1317806.250000000000000,1269568.000000000000000,1260920.350000000093132,1283015.000000000000000,1294626.000000000000000,1286410.080000000074506,10265554.980000000447035
FS( 9 ),1286056.639999999897555,1257566.780000000027940,1306197.820000000065193,1255185.520000000018626,1255859.699999999953434,1284186.500000000000000,1294849.130000000121072,1284795.840000000083819,10224697.929999999701977
FS( 10 ),1280177.839999999850988,1281140.209999999962747,1320735.479999999981374,1265752.240000000223517,1267046.399999999906868,1297392.500000000000000,1296411.040000000037253,1285513.280000000260770,10294168.990000002086163
FS( 11 ),1298728.719999999972060,1279394.030000000027940,1319542.090000000083819,1252837.359999999869615,1249733.649999999906868,1302504.500000000000000,1273651.780000000027940,1284975.200000000186265,10261367.329999998211861
FS( 12 ),1299773.839999999850988,1286669.780000000027940,1325726.020000000018626,1263110.560000000055879,1253462.550000000046566,1309320.500000000000000,1268073.530000000027940,1293763.840000000083819,10299900.619999999180436
FS( 13 ),1312707.199999999953434,1310534.239999999990687,1343409.889999999897555,1278764.959999999962747,1268111.800000000046566,1320716.000000000000000,1273874.910000000149012,1309188.800000000046566,10417307.800000000745058
FS( 14 ),1304215.599999999860302,1303258.489999999990687,1329306.189999999944121,1260273.200000000186265,1271041.649999999906868,1303143.500000000000000,1271643.610000000102445,1289459.200000000186265,10332341.440000001341105
FS( 15 ),1302647.919999999925494,1323048.530000000027940,1441810.319999999832362,1260273.200000000186265,1285690.900000000139698,1310172.500000000000000,1288824.619999999878928,1278876.960000000195578,10491344.950000001117587
FS( 16 ),1302778.560000000055879,1327413.979999999981374,1437904.679999999934807,1242955.520000000018626,1270242.599999999860302,1324656.500000000000000,1273428.649999999906868,1280670.560000000288710,10460051.050000000745058
FS( 17 ),1316495.760000000009313,1342547.540000000037253,1453527.239999999990687,1254696.319999999832362,1261719.399999999906868,1331046.500000000000000,1258478.939999999944121,1286410.080000000074506,10504921.779999999329448
FS( 18 ),1311400.799999999813735,1331488.399999999906868,1456781.940000000176951,1262132.160000000149012,1256392.399999999906868,1331579.000000000000000,1228802.649999999906868,1277800.800000000046566,10456378.150000000372529
FS( 19 ),1318977.919999999925494,1337600.030000000027940,1457432.880000000121072,1275242.720000000204891,1262518.449999999953434,1329342.500000000000000,1188862.380000000121072,1282643.520000000251457,10452620.400000000372529
FS( 20 ),1341317.360000000102445,1359427.280000000027940,1457975.329999999841675,1288059.759999999776483,1274770.550000000046566,1340631.500000000000000,1204927.739999999990687,1296633.600000000325963,10563743.119999999180436
FS( 21 ),1341709.280000000027940,1376307.019999999785796,1458409.289999999804422,1302148.720000000204891,1281962.000000000000000,1337010.500000000000000,1228579.520000000018626,1314390.240000000223517,10640516.570000000298023
FS( 22 ),1346412.320000000065193,1377762.169999999925494,1454937.609999999869615,1313106.799999999813735,1297143.949999999953434,1347128.000000000000000,1217199.889999999897555,1361741.280000000260770,10715432.019999999552965
FS( 23 ),1351115.360000000102445,1378053.199999999953434,1466763.020000000018626,1300191.919999999925494,1311793.199999999953434,1342335.500000000000000,1205820.260000000009313,1342011.679999999934807,10698084.140000000596046
FS( 24 ),1357386.080000000074506,1375433.929999999934807,1470668.660000000149012,1300191.919999999925494,1312059.549999999813735,1343826.500000000000000,1208051.560000000055879,1355822.400000000139698,10723440.599999999627471
FS( 25 ),1371233.919999999925494,1381836.589999999850988,1479022.389999999897555,1301366.000000000000000,1312059.549999999813735,1337117.000000000000000,1200242.010000000009313,1349903.520000000251457,10732780.979999998584390
FS( 26 ),1363787.439999999944121,1359136.250000000000000,1445065.020000000018626,1292071.200000000186265,1316321.149999999906868,1350003.500000000000000,1195333.149999999906868,1339500.640000000363216,10661218.350000001490116
FS( 27 ),1365485.760000000009313,1373396.719999999739230,1450706.500000000000000,1295495.600000000093132,1318451.949999999953434,1339673.000000000000000,1203812.090000000083819,1326945.440000000176951,10673967.060000000521541
FS( 28 ),1377112.719999999972060,1384746.889999999897555,1453744.219999999972060,1291582.000000000000000,1321381.800000000046566,1335732.500000000000000,1206043.389999999897555,1329097.760000000009313,10699441.279999999329448
FS( 29 ),1397884.479999999981374,1393768.819999999832362,1476093.160000000149012,1312715.439999999944121,1322713.549999999813735,1355328.500000000000000,1214299.199999999953434,1352414.560000000288710,10825217.710000000894070
FS( 30 ),1405200.320000000065193,1382418.649999999906868,1492041.190000000176951,1315552.799999999813735,1326176.099999999860302,1363635.500000000000000,1215637.979999999981374,1367660.160000000149012,10868322.699999999254942
FS( 31 ),1392920.160000000149012,1408611.349999999860302,1480758.229999999748543,1314183.040000000037253,1214309.100000000093132,1351814.000000000000000,1205597.130000000121072,1368018.880000000121072,10736211.890000000596046
FS( 32 ),1402848.799999999813735,1438587.439999999944121,1497574.179999999934807,1334435.919999999925494,1204986.850000000093132,1371090.500000000000000,1230810.819999999832362,1393846.719999999972060,10874181.230000000447035
FS( 33 ),1391352.479999999981374,1444990.099999999860302,1504843.009999999776483,1327684.959999999962747,1194066.500000000000000,1374924.500000000000000,1237058.459999999962747,1403173.440000000176951,10878093.449999999254942
FS( 34 ),1395010.399999999906868,1444408.040000000037253,1497248.709999999962747,1334142.399999999906868,1201257.949999999953434,1381740.500000000000000,1244198.619999999878928,1408554.240000000223517,10906560.860000001266599
FS( 35 ),1392789.520000000018626,1438005.379999999888241,1495512.870000000111759,1325043.279999999795109,1221500.550000000046566,1382592.500000000000000,1252900.689999999944121,1395819.679999999934807,10904164.469999998807907
FS( 36 ),1403632.639999999897555,1458377.479999999981374,1510809.959999999962747,1336588.399999999906868,1206052.250000000000000,1395372.500000000000000,1270081.699999999953434,1406581.280000000260770,10987496.210000000894070
FS( 37 ),1396970.000000000000000,1478167.519999999785796,1513088.250000000000000,1332674.799999999813735,1196996.349999999860302,1411028.000000000000000,1266957.880000000121072,1408016.160000000149012,11003898.959999999031425
FS( 38 ),1397100.639999999897555,1489517.689999999944121,1515908.989999999990687,1331794.240000000223517,1190337.599999999860302,1419335.000000000000000,1263834.060000000055879,1410885.920000000158325,11018714.140000000596046
FS( 39 ),1403371.360000000102445,1501449.919999999925494,1509942.039999999804422,1329446.080000000074506,1196996.349999999860302,1412412.500000000000000,1265619.099999999860302,1425414.080000000074506,11044651.429999999701977
FS( 40 ),1407551.839999999850988,1506688.459999999962747,1498659.079999999841675,1336979.759999999776483,1207650.350000000093132,1415501.000000000000000,1270081.699999999953434,1417522.240000000223517,11060634.429999999701977
FS( 41 ),1422706.080000000074506,1496211.379999999888241,1510267.509999999776483,1353710.399999999906868,1208715.750000000000000,1416779.000000000000000,1270974.219999999972060,1434920.160000000149012,11114284.500000000000000
FS( 42 ),1424012.479999999981374,1488935.629999999888241,1501913.780000000027940,1354982.319999999832362,1215907.199999999953434,1407407.000000000000000,1254908.860000000102445,1440480.320000000298023,11088547.589999999850988
FS( 43 ),1422052.879999999888241,1493010.049999999813735,1495946.829999999841675,1357819.680000000167638,1214575.449999999953434,1413158.000000000000000,1251338.780000000027940,1438328.000000000000000,11086229.669999999925494
FS( 44 ),1423751.199999999953434,1503778.159999999916181,1486182.729999999748543,1360950.560000000055879,1210580.199999999953434,1403679.500000000232831,1242413.580000000074506,1422006.240000000223517,11053342.170000001788139
FS( 45 ),1409119.520000000018626,1492719.019999999785796,1468607.350000000093132,1352634.160000000149012,1206052.250000000000000,1400378.000000000000000,1256247.639999999897555,1437789.920000000158325,11023547.860000001266599
FS( 46 ),1410687.199999999953434,1486316.359999999869615,1465678.120000000111759,1350873.040000000037253,1194332.850000000093132,1395372.500000000000000,1261379.630000000121072,1417163.520000000251457,10981803.220000000670552
FS( 47 ),1431328.320000000065193,1511053.909999999916181,1494102.500000000000000,1355765.040000000037253,1230023.750000000000000,1404425.000000000000000,1284808.280000000027940,1430974.240000000223517,11142481.039999999105930
FS( 48 ),1442694.000000000000000,1517747.599999999860302,1500286.429999999934807,1361831.120000000111759,1226561.199999999953434,1413477.500000000000000,1281461.330000000074506,1434920.160000000149012,11178979.339999999850988
FS( 49 ),1465033.439999999944121,1530552.919999999925494,1503324.149999999906868,1364081.439999999944121,1231089.149999999906868,1416459.500000000000000,1286593.319999999832362,1447654.719999999972060,11244788.640000000596046
FS( 50 ),1467776.879999999888241,1534918.369999999878928,1505819.419999999925494,1350481.680000000167638,1217238.949999999953434,1417098.500000000000000,1293064.090000000083819,1442812.000000000000000,11229209.890000000596046
FS( 51 ),1483061.760000000009313,1548305.750000000000000,1512762.780000000027940,1346372.399999999906868,1206584.949999999953434,1429026.500000000000000,1302881.810000000055879,1437610.560000000288710,11266606.510000001639128
FS( 52 ),1483453.679999999934807,1557327.679999999934807,1521225.000000000000000,1342165.279999999795109,1209514.799999999813735,1437120.500000000000000,1295741.649999999906868,1454291.040000000037253,11300839.629999998956919
FS( 53 ),1471957.360000000102445,1551507.080000000074506,1524262.719999999972060,1354590.959999999962747,1213510.050000000046566,1415714.000000000000000,1283023.239999999990687,1450524.480000000214204,11265089.890000000596046
FS( 54 ),1447135.760000000009313,1550051.929999999934807,1514607.109999999869615,1343339.359999999869615,1212711.000000000000000,1398674.000000000232831,1286816.449999999953434,1458595.679999999934807,11211931.289999999105930
FS( 55 ),1460852.959999999962747,1569841.969999999739230,1534569.270000000018626,1351264.399999999906868,1212178.299999999813735,1431050.000000000000000,1300650.510000000009313,1467025.600000000325963,11327433.009999997913837
FS( 56 ),1430021.919999999925494,1534918.369999999878928,1512979.759999999776483,1339621.439999999944121,1223365.000000000000000,1436694.500000000000000,1333450.619999999878928,1443529.440000000176951,11254581.049999998882413
