代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11199193.990000000223517
真實報酬,1199193.990000000223517

夏普值報酬,0.111219399000000
夏普值風險,0.033867171554645
夏普值,3.283988413988092

二次趨勢線,-110.714899528715307 x^2 + 27058.657193698229094 x + 10000000.000000000000000
二次平均預期報酬,19972.903623860460357
風險,58155.302462102663412
二次平均趨勢值,0.343440800378881
一次趨勢線,21786.187017716525588 x + 10000000.000000000000000
一次預期報酬,21786.187017716525588
一次風險,76757.814630668959580
一次趨勢值,0.283830214845796
找到最佳解世代,2260
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DD[7](4),JNJ[12](7),KO[14](19),MMM[16](1),PFE[20](13),XOM[29](12),
Stock#,DD[7](4),JNJ[12](7),KO[14](19),MMM[16](1),PFE[20](13),XOM[29](12),
張數,27484,15968,38759,11205,55242,21846,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,36.239999999990687,85.839999999850988,29.000000000000000,146.350000000093132,14.859999999869615,34.659999999916181,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1762585.159999999916181,1651336.719999999739230,1644960.959999999962747,1657029.700000000186265,1665008.739999999990687,1629527.800000000046566,10010453.080000000074506
FS( 3 ),1829371.280000000027940,1662993.359999999869615,1655813.479999999981374,1709132.950000000186265,1639045.000000000000000,1714508.739999999990687,10210868.810000000521541
FS( 4 ),1854931.399999999906868,1659161.040000000037253,1648449.270000000018626,1719441.550000000046566,1602032.859999999869615,1744000.839999999850988,10228020.959999999031425
FS( 5 ),1827447.399999999906868,1605508.560000000055879,1644960.959999999962747,1719777.700000000186265,1603690.119999999878928,1749462.339999999850988,10150851.080000000074506
FS( 6 ),1809582.800000000046566,1628821.839999999850988,1653100.349999999860302,1724595.850000000093132,1577726.379999999888241,1773056.019999999785796,10166887.239999998360872
FS( 7 ),1823874.479999999981374,1628342.799999999813735,1678293.699999999953434,1734008.050000000279397,1607557.060000000055879,1749462.339999999850988,10221542.429999999701977
FS( 8 ),1806834.399999999906868,1624510.479999999981374,1649224.449999999953434,1708348.599999999860302,1629101.439999999711290,1733514.759999999776483,10151538.129999998956919
FS( 9 ),1753515.439999999944121,1624031.439999999944121,1643798.189999999944121,1688403.699999999953434,1609214.319999999832362,1738976.259999999776483,10057943.349999999627471
FS( 10 ),1800787.919999999925494,1625947.599999999627471,1670929.489999999990687,1725268.150000000139698,1621919.979999999748543,1770216.040000000037253,10215073.179999999701977
FS( 11 ),1832944.199999999953434,1633931.599999999627471,1680619.239999999990687,1742860.000000000000000,1646778.879999999888241,1774366.779999999795109,10311504.699999999254942
FS( 12 ),1878292.800000000046566,1636805.839999999850988,1685657.910000000149012,1755073.450000000186265,1636835.319999999832362,1791406.659999999916181,10384075.980000000447035
FS( 13 ),1861802.399999999906868,1664590.159999999683350,1690308.989999999990687,1756866.250000000000000,1632415.959999999962747,1801237.359999999869615,10407225.119999999180436
FS( 14 ),1842838.439999999944121,1663312.719999999739230,1696510.430000000167638,1753168.599999999860302,1629101.439999999711290,1802329.659999999916181,10387265.289999999105930
FS( 15 ),1874445.040000000037253,1672733.839999999850988,1703099.459999999962747,1767174.849999999860302,1660036.959999999962747,1799926.599999999860302,10477420.749999998137355
FS( 16 ),1838715.840000000083819,1662035.279999999795109,1693409.709999999962747,1750031.199999999953434,1655065.179999999934807,1774585.239999999990687,10373846.450000001117587
FS( 17 ),1846961.040000000037253,1676087.119999999646097,1701936.689999999944121,1761796.450000000186265,1658379.699999999953434,1780920.579999999841675,10426085.580000000074506
FS( 18 ),1882690.239999999990687,1698761.679999999701977,1711626.439999999944121,1781629.300000000279397,1689867.639999999897555,1791625.120000000111759,10556204.420000001788139
FS( 19 ),1907700.679999999934807,1689180.879999999888241,1672092.260000000009313,1773561.700000000186265,1669980.519999999785796,1785945.159999999916181,10498465.199999999254942
FS( 20 ),1902753.560000000055879,1680079.119999999646097,1671704.670000000158325,1757874.700000000186265,1639045.000000000000000,1750991.560000000055879,10402452.610000001266599
FS( 21 ),1959645.439999999944121,1712174.799999999813735,1693409.709999999962747,1788352.300000000046566,1659484.539999999804422,1775677.540000000037253,10588748.329999998211861
FS( 22 ),1942055.679999999934807,1709300.560000000055879,1696510.430000000167638,1786335.400000000139698,1656170.019999999785796,1806698.859999999869615,10597074.949999999254942
FS( 23 ),1941231.159999999916181,1703073.040000000037253,1703874.640000000130385,1785999.250000000000000,1651198.239999999990687,1800145.060000000055879,10585525.390000000596046
FS( 24 ),1968440.320000000065193,1700677.839999999850988,1709688.489999999990687,1793730.699999999953434,1641254.679999999934807,1797742.000000000000000,10611538.030000001192093
FS( 25 ),1947552.479999999981374,1704510.159999999683350,1705812.589999999850988,1799333.199999999953434,1645674.039999999804422,1845147.819999999832362,10648034.289999999105930
FS( 26 ),1911273.600000000093132,1696206.799999999813735,1717827.880000000121072,1795187.349999999860302,1621919.979999999748543,1805169.639999999897555,10547589.250000000000000
FS( 27 ),1920343.320000000065193,1706106.959999999962747,1736819.790000000037253,1793954.800000000046566,1642911.939999999711290,1800145.060000000055879,10600285.870000001043081
FS( 28 ),1923091.719999999972060,1710897.359999999869615,1753098.569999999832362,1791713.800000000046566,1634625.639999999897555,1795338.940000000176951,10608770.029999999329448
FS( 29 ),1981357.800000000046566,1719999.119999999646097,1751935.800000000046566,1814011.750000000000000,1684895.859999999869615,1795557.399999999906868,10747761.730000000447035
FS( 30 ),1967890.639999999897555,1719200.719999999739230,1755424.109999999869615,1813227.400000000139698,1662799.060000000055879,1800363.519999999785796,10718909.449999999254942
FS( 31 ),1964592.560000000055879,1720797.520000000018626,1753486.160000000149012,1819950.400000000139698,1631863.539999999804422,1809320.379999999655411,10700014.559999998658895
FS( 32 ),1982732.000000000000000,1715208.719999999739230,1746121.949999999953434,1825328.800000000046566,1604242.539999999804422,1810412.679999999934807,10684050.689999999478459
FS( 33 ),2011865.040000000037253,1704510.159999999683350,1774028.430000000167638,1834965.100000000093132,1620815.139999999897555,1837283.259999999776483,10783471.130000000819564
FS( 34 ),2022034.119999999878928,1716645.839999999850988,1767439.400000000139698,1852669.000000000232831,1626891.759999999776483,1839467.859999999869615,10825151.980000000447035
FS( 35 ),2017361.840000000083819,1713132.879999999888241,1770152.530000000027940,1847178.550000000046566,1661141.799999999813735,1826797.179999999934807,10835768.779999999329448
FS( 36 ),2005818.560000000055879,1714729.679999999701977,1763563.500000000000000,1847962.900000000139698,1678266.819999999832362,1837720.179999999934807,10848065.640000000596046
FS( 37 ),2003345.000000000000000,1732613.839999999850988,1762013.140000000130385,1840791.700000000186265,1667770.839999999850988,1829637.159999999916181,10836175.679999999701977
FS( 38 ),2008566.959999999962747,1729579.919999999925494,1766664.219999999972060,1842920.650000000139698,1661694.219999999739230,1834661.739999999990687,10844091.709999999031425
FS( 39 ),2018186.360000000102445,1728302.479999999981374,1775191.199999999953434,1863313.750000000000000,1645121.619999999878928,1839904.779999999795109,10870024.189999999478459
FS( 40 ),2000871.439999999944121,1742833.359999999869615,1801547.319999999832362,1842136.300000000046566,1660036.959999999962747,1846677.040000000037253,10894106.419999998062849
FS( 41 ),2014888.280000000027940,1740278.479999999981374,1805423.219999999972060,1868580.100000000093132,1661141.799999999813735,1846458.579999999841675,10936774.459999999031425
FS( 42 ),1990702.360000000102445,1727823.439999999944121,1798059.010000000009313,1867235.500000000000000,1637387.739999999990687,1826141.800000000046566,10847353.849999999627471
FS( 43 ),2001695.959999999962747,1743631.759999999776483,1815112.969999999972060,1877320.000000000000000,1659484.539999999804422,1812378.819999999832362,10909628.049999998882413
FS( 44 ),1998947.560000000055879,1734050.959999999962747,1817438.510000000009313,1864658.350000000093132,1697049.099999999860302,1816748.019999999785796,10928896.500000000000000
FS( 45 ),1986030.080000000074506,1739799.439999999944121,1803485.270000000018626,1858047.400000000139698,1732403.979999999748543,1795994.319999999832362,10915764.490000000223517
FS( 46 ),1993450.760000000009313,1747304.399999999906868,1810461.890000000130385,1869252.400000000139698,1819133.919999999925494,1820024.919999999925494,11059632.290000000968575
FS( 47 ),1974211.959999999962747,1744909.199999999720603,1796896.239999999990687,1873174.150000000139698,1809742.779999999795109,1799489.679999999934807,10998428.009999999776483
FS( 48 ),1987129.439999999944121,1742194.639999999664724,1816663.329999999841675,1867235.500000000000000,1795379.859999999869615,1817840.319999999832362,11026447.089999999850988
FS( 49 ),1986854.600000000093132,1740118.799999999813735,1799996.959999999962747,1866787.300000000046566,1761682.239999999990687,1820243.379999999655411,10975687.279999997466803
FS( 50 ),2020385.080000000074506,1750178.639999999664724,1808136.349999999860302,1882922.500000000000000,1765549.179999999934807,1842744.759999999776483,11069920.509999999776483
FS( 51 ),2043471.639999999897555,1754490.000000000000000,1784493.359999999869615,1889197.300000000046566,1797589.539999999804422,1853230.839999999850988,11122476.679999999701977
FS( 52 ),2049518.119999999878928,1754010.959999999962747,1776353.969999999972060,1884379.150000000139698,1803666.159999999683350,1866338.440000000176951,11134270.799999998882413
FS( 53 ),2049792.959999999962747,1759440.080000000074506,1786818.900000000139698,1891326.250000000000000,1795379.859999999869615,1856289.279999999795109,11139051.330000000074506
FS( 54 ),2056389.119999999878928,1771416.080000000074506,1791469.979999999981374,1899954.100000000325963,1801456.479999999748543,1873984.540000000037253,11194674.300000000745058
FS( 55 ),2076452.439999999944121,1799360.080000000074506,1806198.400000000139698,1901074.600000000093132,1816924.239999999990687,1883378.319999999832362,11283392.080000000074506
FS( 56 ),2033027.719999999972060,1813731.279999999795109,1719765.829999999841675,1893119.050000000046566,1835706.519999999785796,1896267.459999999962747,11191621.859999999403954
FS( 57 ),2034401.919999999925494,1813571.599999999627471,1692246.939999999944121,1889981.650000000139698,1836258.939999999944121,1896049.000000000000000,11162514.049999998882413
FS( 58 ),2059137.520000000018626,1809579.599999999627471,1726354.859999999869615,1889981.650000000139698,1837916.199999999953434,1912215.040000000037253,11235188.870000001043081
FS( 59 ),2056389.119999999878928,1812613.520000000018626,1732943.890000000130385,1886844.250000000000000,1834601.679999999934807,1907845.839999999850988,11231242.299999998882413
FS( 60 ),2100638.360000000335276,1803032.719999999739230,1725967.270000000018626,1862193.250000000232831,1825762.959999999729916,1914399.639999999897555,11231998.199999999254942
FS( 61 ),2097889.959999999962747,1800797.199999999720603,1731781.119999999878928,1879897.149999999906868,1823000.859999999869615,1932531.819999999832362,11265902.109999999403954
FS( 62 ),2090744.119999999878928,1796166.479999999981374,1729843.170000000158325,1871381.350000000093132,1818029.079999999608845,1923138.040000000037253,11229306.239999998360872
FS( 63 ),2059137.520000000018626,1789779.279999999795109,1736432.199999999953434,1875639.250000000000000,1806980.679999999934807,1931221.060000000055879,11199193.990000000223517
