代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11206144.979999998584390
真實報酬,1206144.979999998584390

夏普值報酬,0.111914498000000
夏普值風險,0.034105279444649
夏普值,3.281442047165517

二次趨勢線,247.476537610779758 x^2 + 2532.957562060840701 x + 10000000.000000000000000
二次平均預期報酬,18618.932506761524564
風險,50129.216296202786907
二次平均趨勢值,0.371418782945782
一次趨勢線,14503.915660442738954 x + 10000000.000000000000000
一次預期報酬,14503.915660442738954
一次風險,125935.693803331087111
一次趨勢值,0.115169220277556
找到最佳解世代,3186
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,6
BA[2](2),JNJ[12](6),JPM[13](10),MCD[15](1),NKE[19](8),V[25](7),
Stock#,BA[2](2),JNJ[12](6),JPM[13](10),MCD[15](1),NKE[19](8),V[25](7),
張數,9137,13512,19143,11807,30308,18262,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,168.570000000065193,95.919999999925494,76.419999999925494,107.949999999953434,29.079999999841675,75.879999999888241,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1676259.850000000093132,1671530.320000000065193,1655945.919999999925494,1667610.559999999823049,1669090.639999999897555,1690041.360000000102445,10030482.649999998509884
FS( 3 ),1675803.000000000000000,1666530.879999999888241,1665517.419999999925494,1684022.290000000037253,1652724.319999999832362,1688215.159999999916181,10032817.070000000298023
FS( 4 ),1672879.159999999916181,1674908.320000000065193,1667431.719999999739230,1693822.099999999860302,1650905.839999999850988,1691502.320000000065193,10051453.459999999031425
FS( 5 ),1690604.939999999944121,1668963.040000000037253,1665517.419999999925494,1699843.670000000158325,1635145.679999999934807,1681823.459999999962747,10041902.210000000894070
FS( 6 ),1699833.310000000055879,1665449.919999999925494,1667431.719999999739230,1703149.630000000121072,1645753.479999999748543,1678718.919999999925494,10060340.979999998584390
FS( 7 ),1707965.239999999990687,1664909.439999999944121,1660731.669999999925494,1704566.470000000204891,1663635.199999999953434,1680179.879999999888241,10081991.899999998509884
FS( 8 ),1673884.230000000214204,1659504.639999999897555,1673748.910000000149012,1706455.590000000083819,1653633.559999999823049,1684745.379999999888241,10051976.309999998658895
FS( 9 ),1680828.350000000093132,1664774.320000000065193,1668580.299999999813735,1702795.420000000158325,1643935.000000000000000,1682006.079999999841675,10042923.469999998807907
FS( 10 ),1674523.820000000065193,1670719.599999999860302,1663985.979999999981374,1716373.470000000204891,1642722.679999999934807,1693511.139999999897555,10061840.690000001341105
FS( 11 ),1666666.000000000000000,1715984.799999999813735,1672026.040000000037253,1727235.909999999916181,1629690.239999999990687,1702642.139999999897555,10114249.130000000819564
FS( 12 ),1669498.469999999972060,1726524.159999999916181,1677194.649999999906868,1739160.979999999748543,1599685.319999999832362,1701181.179999999934807,10113248.759999997913837
FS( 13 ),1633681.430000000167638,1711660.959999999962747,1613257.029999999795109,1728770.819999999832362,1569983.479999999748543,1675797.000000000000000,9933154.719999998807907
FS( 14 ),1621072.370000000111759,1715714.559999999823049,1607322.699999999720603,1735855.019999999785796,1566346.519999999785796,1674883.899999999674037,9921199.069999998435378
FS( 15 ),1651772.689999999944121,1716119.919999999925494,1623019.959999999962747,1749315.000000000000000,1569074.239999999990687,1688945.639999999897555,9998251.450000001117587
FS( 16 ),1678361.359999999869615,1719633.040000000037253,1621488.520000000018626,1749787.280000000027940,1563012.639999999897555,1704103.099999999860302,10036389.939999999478459
FS( 17 ),1676716.700000000186265,1723146.159999999916181,1641780.100000000093132,1745418.689999999944121,1582106.679999999934807,1714147.199999999953434,10083319.529999999329448
FS( 18 ),1692797.820000000065193,1723011.040000000037253,1640822.949999999720603,1765254.449999999953434,1576348.159999999683350,1731496.099999999860302,10129734.519999999552965
FS( 19 ),1709427.159999999916181,1723281.280000000027940,1633931.469999999739230,1768560.409999999916181,1586652.879999999888241,1735696.360000000102445,10157553.559999998658895
FS( 20 ),1705041.400000000139698,1715038.959999999962747,1634122.899999999906868,1769504.970000000204891,1593926.800000000046566,1728939.419999999925494,10146578.450000001117587
FS( 21 ),1707691.130000000121072,1717606.239999999990687,1606174.120000000111759,1770331.459999999962747,1603928.439999999944121,1729852.519999999785796,10135587.910000000149012
FS( 22 ),1714543.880000000121072,1733009.919999999925494,1572673.870000000111759,1781666.179999999701977,1606050.000000000000000,1739166.139999999897555,10147113.990000000223517
FS( 23 ),1711711.409999999916181,1740171.280000000027940,1590094.000000000000000,1799376.679999999701977,1585137.479999999748543,1742270.679999999934807,10168765.529999999329448
FS( 24 ),1738300.080000000074506,1757736.880000000121072,1582053.939999999944121,1815316.130000000121072,1605746.919999999692664,1755967.179999999934807,10255125.129999998956919
FS( 25 ),1726604.719999999972060,1761520.240000000223517,1584925.390000000130385,1804099.479999999748543,1606656.159999999683350,1763271.979999999748543,10247081.969999998807907
