代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11581439.030000001192093
真實報酬,1581439.030000001192093

夏普值報酬,0.149443903000000
夏普值風險,0.046444537228610
夏普值,3.217685263272325

二次趨勢線,357.589996834682381 x^2 + 4695.139571768728274 x + 10000000.000000000000000
二次平均預期報酬,26865.719375519034656
風險,53795.786429548570595
二次平均趨勢值,0.499401926407426
一次趨勢線,21187.887962363431143 x + 10000000.000000000000000
一次預期報酬,21187.887962363431143
一次風險,161041.101445406296989
一次趨勢值,0.131568200740022
找到最佳解世代,2635
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
DIS[6](5),JNJ[12](1),KO[14](4),MCD[15](15),MRK[17](3),MSFT[18](13),NKE[19](8),VZ[26](2),WBA[27](7),
Stock#,DIS[6](5),JNJ[12](1),KO[14](4),MCD[15](15),MRK[17](3),MSFT[18](13),NKE[19](8),VZ[26](2),WBA[27](7),
張數,20353,14978,29598,11580,26562,39781,41382,24935,27564,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,40.729999999981374,42.959999999962747,2.080000000074506,10.000000000000000,22.540000000037253,27.669999999925494,4.300000000046566,7.399999999906868,6.159999999916181,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1097067.429999999934807,1110062.540000000037253,1105487.380000000121072,1095478.000000000000000,1085080.239999999990687,1091618.310000000055879,1110283.359999999869615,1110113.600000000093132,1102841.799999999813735,9908033.660000000149012
FS( 3 ),1105005.099999999860302,1118300.439999999944121,1128869.800000000046566,1099067.800000000046566,1100486.199999999953434,1094005.169999999925494,1115249.199999999953434,1111111.000000000000000,1139226.279999999795109,10011321.990000000223517
FS( 4 ),1109686.290000000037253,1129234.379999999888241,1133901.460000000195578,1100920.599999999860302,1091455.120000000111759,1087640.209999999962747,1120628.859999999869615,1115848.649999999906868,1142258.319999999832362,10031574.890000000596046
FS( 5 ),1106429.810000000055879,1124291.639999999897555,1151660.260000000009313,1095825.399999999906868,1089064.540000000037253,1085253.349999999860302,1131388.179999999934807,1108617.500000000000000,1138675.000000000000000,10031206.679999999701977
FS( 6 ),1112535.709999999962747,1130582.399999999906868,1147516.540000000270084,1098604.600000000093132,1093845.699999999953434,1095994.219999999972060,1129732.900000000139698,1105874.649999999906868,1141155.759999999776483,10055843.480000000447035
FS( 7 ),1114367.479999999981374,1129533.939999999944121,1142780.860000000102445,1102078.600000000093132,1099158.100000000093132,1108326.329999999841675,1142561.320000000065193,1105126.599999999860302,1143360.879999999888241,10087295.109999999403954
FS( 8 ),1118438.080000000074506,1135375.359999999869615,1111702.960000000195578,1101268.000000000000000,1101017.440000000176951,1109121.949999999953434,1140078.400000000139698,1108118.799999999813735,1156315.959999999962747,10081437.950000002980232
FS( 9 ),1118641.610000000102445,1133278.439999999944121,1101343.660000000149012,1088530.000000000000000,1093048.840000000083819,1115089.099999999860302,1128905.260000000009313,1110113.600000000093132,1143360.879999999888241,10032312.390000000596046
FS( 10 ),1117013.370000000111759,1135525.139999999897555,1090392.400000000139698,1083434.800000000046566,1094111.320000000065193,1115486.909999999916181,1130146.719999999972060,1105375.949999999953434,1153835.199999999953434,10025322.809999998658895
FS( 11 ),1131871.060000000055879,1140767.439999999944121,1107559.240000000223517,1087372.000000000000000,1100220.580000000074506,1114293.479999999981374,1137181.660000000149012,1107121.399999999906868,1134264.759999999776483,10060652.620000001043081
FS( 12 ),1134313.419999999925494,1152749.839999999850988,1114958.740000000223517,1086793.000000000000000,1121470.179999999934807,1115884.719999999972060,1127249.979999999981374,1109614.899999999906868,1149424.959999999962747,10112460.739999998360872
FS( 13 ),1111314.530000000027940,1148106.660000000149012,1116734.619999999878928,1087487.800000000046566,1133157.459999999962747,1108724.139999999897555,1117732.120000000111759,1120087.599999999860302,1146668.560000000055879,10090014.490000000223517
FS( 14 ),1102562.739999999990687,1151401.820000000065193,1116142.660000000149012,1090151.199999999953434,1128907.540000000037253,1093607.359999999869615,1128491.439999999944121,1125074.599999999860302,1147219.839999999850988,10083560.199999999254942
FS( 15 ),1104190.979999999981374,1142115.459999999962747,1140117.040000000270084,1103005.000000000000000,1141391.679999999934807,1104348.229999999981374,1127249.979999999981374,1132056.399999999906868,1152457.000000000000000,10146932.770000001415610
FS( 16 ),1090758.000000000000000,1131930.419999999925494,1116438.640000000130385,1113311.199999999953434,1129438.780000000027940,1088833.639999999897555,1118145.939999999944121,1140035.599999999860302,1120207.119999999878928,10049100.339999997988343
FS( 17 ),1097067.429999999934807,1134626.459999999962747,1127981.860000000102445,1114237.600000000093132,1126782.580000000074506,1088833.639999999897555,1123111.780000000027940,1150009.599999999860302,1124617.359999999869615,10087269.309999998658895
FS( 18 ),1108872.169999999925494,1143163.919999999925494,1138045.180000000167638,1108563.400000000139698,1141391.679999999934807,1106337.279999999795109,1124353.240000000223517,1155744.649999999906868,1134816.040000000037253,10161288.559999998658895
FS( 19 ),1111111.000000000000000,1140018.540000000037253,1146036.640000000130385,1110532.000000000000000,1135016.800000000046566,1105939.469999999972060,1126836.160000000149012,1160232.949999999953434,1128476.319999999832362,10164200.879999998956919
FS( 20 ),1126172.219999999972060,1148855.560000000055879,1145444.680000000167638,1107984.400000000139698,1132360.600000000093132,1111906.619999999878928,1134284.920000000158325,1164970.599999999860302,1138950.639999999897555,10210931.240000002086163
FS( 21 ),1135738.129999999888241,1156344.560000000055879,1148996.440000000176951,1100920.599999999860302,1151219.620000000111759,1119862.819999999832362,1132629.640000000130385,1174695.250000000000000,1151354.439999999944121,10271762.500000000000000
FS( 22 ),1149578.169999999925494,1163234.439999999944121,1144852.719999999972060,1109489.800000000046566,1148829.040000000037253,1127819.020000000018626,1135940.199999999953434,1189157.549999999813735,1122412.239999999990687,10291314.179999999701977
FS( 23 ),1147135.810000000055879,1159190.379999999888241,1154916.040000000270084,1121069.800000000046566,1160250.699999999953434,1117475.959999999962747,1144216.600000000093132,1178934.199999999953434,1101463.599999999860302,10284654.089999999850988
FS( 24 ),1146321.689999999944121,1164582.459999999962747,1157875.840000000083819,1124312.199999999953434,1149360.280000000027940,1119465.010000000009313,1142561.320000000065193,1183921.199999999720603,1106149.479999999981374,10294550.480000000447035
FS( 25 ),1168099.399999999906868,1171172.780000000027940,1160835.640000000130385,1143071.799999999813735,1141391.679999999934807,1113895.669999999925494,1131802.000000000000000,1195890.000000000000000,1120207.119999999878928,10346367.089999997988343
FS( 26 ),1173594.709999999962747,1174917.280000000027940,1163499.460000000195578,1145156.199999999953434,1159719.459999999962747,1108724.139999999897555,1128491.439999999944121,1192149.750000000000000,1137848.079999999841675,10384101.519999999552965
FS( 27 ),1162400.560000000055879,1176714.639999999897555,1153140.160000000149012,1143650.800000000046566,1196375.020000000018626,1110315.379999999888241,1106972.800000000046566,1205864.000000000000000,1131232.719999999972060,10386667.080000000074506
FS( 28 ),1167081.750000000000000,1176564.859999999869615,1142188.900000000139698,1150830.399999999906868,1184422.120000000111759,1110713.189999999944121,1135112.560000000055879,1195391.299999999813735,1179194.079999999841675,10441500.160000002011657
FS( 29 ),1175426.479999999981374,1184802.759999999776483,1154916.040000000270084,1150019.800000000046566,1175922.280000000027940,1119465.010000000009313,1131802.000000000000000,1208856.199999999720603,1177540.239999999990687,10478751.810000000521541
FS( 30 ),1171966.469999999972060,1186150.780000000027940,1149292.419999999925494,1154188.600000000093132,1171141.120000000111759,1115486.909999999916181,1133457.280000000027940,1197386.100000000093132,1173681.279999999795109,10452751.959999999031425
FS( 31 ),1156701.719999999972060,1180459.139999999897555,1147220.560000000055879,1141450.599999999860302,1158922.600000000093132,1117873.770000000018626,1120628.859999999869615,1215588.649999999906868,1169546.679999999934807,10408393.579999998211861
