代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11867153.740000000223517
真實報酬,1867153.740000000223517

夏普值報酬,0.178015374000000
夏普值風險,0.050045487582168
夏普值,3.557071428422477

二次趨勢線,130.242595836998049 x^2 + 21915.874612203733705 x + 10000000.000000000000000
二次平均預期報酬,30251.400745771603397
風險,112714.892705736114294
二次平均趨勢值,0.268388675352322
一次趨勢線,28118.293664346645528 x + 10000000.000000000000000
一次預期報酬,28118.293664346645528
一次風險,127191.849142603663495
一次趨勢值,0.221069933756693
找到最佳解世代,4218
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
CAT[3](3),IBM[10](9),WBA[27](2),XOM[29](1),
Stock#,CAT[3](3),IBM[10](9),WBA[27](2),XOM[29](1),
張數,31537,17443,73421,37341,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,62.010000000242144,69.240000000223517,14.950000000186265,20.049999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2515137.760000000242144,2509070.360000000335276,2532305.240000000223517,2533233.489999999757856,10089746.850000001490116
FS( 3 ),2519237.570000000298023,2514826.549999999813735,2582965.729999999981374,2538087.819999999832362,10155117.669999999925494
FS( 4 ),2623309.670000000391155,2560527.209999999962747,2639499.900000000372529,2590738.629999999422580,10414075.410000000149012
FS( 5 ),2634662.990000000223517,2562794.799999999813735,2580028.890000000130385,2613890.049999999813735,10391376.730000000447035
FS( 6 ),2621417.450000000186265,2554771.020000000484288,2576357.840000000316650,2625839.169999999459833,10378385.480000000447035
FS( 7 ),2583257.680000000167638,2549189.259999999776483,2587370.990000000223517,2637414.879999999422580,10357232.809999998658895
FS( 8 ),2600603.030000000260770,2556340.890000000596046,2577826.260000000242144,2656085.379999999422580,10390855.560000000521541
FS( 9 ),2599972.290000000037253,2536804.730000000447035,2585168.360000000335276,2682224.079999999608845,10404169.460000000894070
FS( 10 ),2555820.490000000223517,2507326.060000000521541,2557268.379999999888241,2650857.639999999664724,10271272.570000000298023
FS( 11 ),2580419.350000000093132,2505581.759999999776483,2533773.660000000149012,2631813.729999999981374,10251588.500000000000000
FS( 12 ),2534690.700000000186265,2481161.560000000521541,2497063.160000000149012,2574308.589999999850988,10087224.010000001639128
FS( 13 ),2559920.300000000279397,2476103.089999999850988,2497063.160000000149012,2576922.459999999962747,10110009.010000001639128
FS( 14 ),2621102.080000000074506,2518140.720000000670552,2527165.770000000484288,2625465.759999999776483,10291874.330000001937151
FS( 15 ),2648223.900000000372529,2530176.390000000596046,2552128.910000000149012,2634054.189999999944121,10364583.390000000596046
FS( 16 ),2649170.010000000242144,2536107.009999999776483,2561673.640000000130385,2620984.839999999850988,10367935.500000000000000
FS( 17 ),2605964.320000000298023,2497557.980000000447035,2494860.529999999795109,2575802.229999999981374,10174185.060000000521541
FS( 18 ),2670930.540000000037253,2543433.070000000298023,2519089.460000000428408,2609409.129999999422580,10342862.199999999254942
FS( 19 ),2653269.820000000298023,2510116.940000000409782,2472834.229999999981374,2585137.479999999981374,10221358.470000000670552
FS( 20 ),2638762.800000000279397,2492499.509999999776483,2555065.750000000000000,2593352.500000000000000,10279680.560000000521541
FS( 21 ),2668092.209999999962747,2467556.020000000484288,2558736.800000000279397,2597460.009999999776483,10291845.040000000968575
FS( 22 ),2757972.660000000149012,2519012.870000000111759,2618942.020000000484288,2663553.579999999608845,10559481.130000000819564
FS( 23 ),2794870.950000000186265,2532443.980000000447035,2651247.260000000242144,2669154.729999999981374,10647716.920000001788139
FS( 24 ),2818839.070000000298023,2535932.580000000074506,2706313.010000000242144,2658325.839999999850988,10719410.500000000000000
FS( 25 ),2813162.410000000149012,2529129.810000000521541,2668868.300000000279397,2662806.759999999776483,10673967.280000001192093
FS( 26 ),2849429.959999999962747,2512210.100000000558794,2659323.570000000298023,2668407.909999999683350,10689371.540000000968575
FS( 27 ),2826407.950000000186265,2528955.379999999888241,2677678.820000000298023,2682970.899999999441206,10716013.050000000745058
FS( 28 ),2827984.800000000279397,2517094.140000000596046,2670336.720000000204891,2688572.049999999813735,10703987.710000000894070
FS( 29 ),2836499.790000000037253,2526164.500000000000000,2674741.979999999981374,2695293.430000000167638,10732699.699999999254942
FS( 30 ),2889797.320000000298023,2516745.280000000260770,2675476.189999999944121,2702014.809999999590218,10784033.600000001490116
FS( 31 ),2904304.340000000316650,2543607.500000000000000,2698236.700000000186265,2695293.430000000167638,10841441.970000000670552
FS( 32 ),2936787.450000000186265,2524420.200000000186265,2726136.680000000167638,2682970.899999999441206,10870315.230000000447035
FS( 33 ),2939310.410000000149012,2521454.890000000596046,2769455.070000000298023,2696787.069999999832362,10927007.440000001341105
FS( 34 ),2920072.840000000316650,2529304.240000000223517,2759176.129999999888241,2694920.020000000018626,10903473.230000000447035
FS( 35 ),2942464.110000000335276,2520757.169999999925494,2737149.830000000074506,2696787.069999999832362,10897158.179999999701977
FS( 36 ),2984408.320000000298023,2542212.060000000521541,2704110.379999999888241,2715457.569999999832362,10946188.330000000074506
FS( 37 ),2982516.100000000093132,2545875.089999999850988,2852420.800000000279397,2718444.849999999627471,11099256.839999999850988
FS( 38 ),2978731.660000000149012,2544828.509999999776483,2877383.939999999944121,2733381.250000000000000,11134325.359999999403954
FS( 39 ),2966747.600000000093132,2535234.860000000335276,2860497.110000000335276,2726286.459999999962747,11088766.030000001192093
FS( 40 ),2954763.540000000037253,2541688.770000000484288,2897941.820000000298023,2741596.270000000018626,11135990.400000000372529
FS( 41 ),2957601.870000000111759,2555817.600000000558794,2898676.029999999795109,2739729.220000000204891,11151824.720000000670552
FS( 42 ),2960440.200000000186265,2558434.049999999813735,2881054.990000000223517,2739355.809999999590218,11139285.050000000745058
FS( 43 ),2953817.430000000167638,2560003.919999999925494,2860497.110000000335276,2730393.970000000204891,11104712.429999999701977
FS( 44 ),2969270.560000000521541,2572562.879999999888241,2886928.670000000391155,2783791.599999999627471,11212553.710000000894070
FS( 45 ),2955394.280000000260770,2575353.759999999776483,2911157.600000000093132,2796860.950000000186265,11238766.589999999850988
FS( 46 ),2980939.250000000000000,2565062.390000000596046,2951539.150000000372529,2789392.750000000000000,11286933.540000000968575
FS( 47 ),2950032.990000000223517,2593145.620000000111759,2960349.670000000391155,2807316.430000000167638,11310844.710000000894070
FS( 48 ),2956025.020000000484288,2580412.230000000447035,2942728.629999999888241,2822626.239999999757856,11301792.120000001043081
FS( 49 ),2945302.440000000409782,2575353.759999999776483,3006604.900000000372529,2805449.379999999422580,11332710.480000000447035
FS( 50 ),2962963.160000000149012,2569074.280000000260770,2997794.379999999888241,2826360.339999999850988,11356192.160000000149012
FS( 51 ),2948456.140000000130385,2600820.540000000037253,3024960.150000000372529,2859593.829999999608845,11433830.660000000149012
FS( 52 ),2968955.190000000409782,2595936.500000000000000,3057265.390000000130385,2864448.159999999683350,11486605.240000000223517
FS( 53 ),2964855.380000000353903,2616519.240000000223517,3042581.189999999944121,2906643.489999999757856,11530599.300000000745058
