代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11119874.989999998360872
真實報酬,1119874.989999998360872

夏普值報酬,0.103287499000000
夏普值風險,0.037063965506506
夏普值,2.786736324311276

二次趨勢線,105.840267462025253 x^2 + 13623.324233641071260 x + 10000000.000000000000000
二次加權預期報酬,22584.466878759198153
風險,71785.562201952809119
二次加權趨勢值,0.314610155385045
一次趨勢線,18663.654451045174937 x + 10000000.000000000000000
一次預期報酬,18663.654451045174937
一次風險,86294.584872818071744
一次趨勢值,0.216278396594084
找到最佳解世代,1925
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,8
AAPL[0](9),GS[8](3),HD[9](2),MCD[15](16),PFE[20](14),PG[21](7),UNH[23](12),WBA[27](26),
Stock#,AAPL[0](9),GS[8](3),HD[9](2),MCD[15](16),PFE[20](14),PG[21](7),UNH[23](12),WBA[27](26),
張數,14766,12869,23580,14191,54347,20428,22218,41862,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,58.099999999860302,34.030000000027940,24.199999999953434,56.719999999972060,19.000000000000000,10.679999999934807,15.320000000065193,0.679999999934807,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1264470.679999999701977,1268917.429999999934807,1217931.199999999953434,1257095.500000000000000,1242934.890000000130385,1253472.760000000009313,1219339.160000000149012,1239534.500000000000000,9963696.119999999180436
FS( 3 ),1286619.679999999701977,1234428.510000000009313,1228778.000000000000000,1267313.020000000018626,1232065.489999999990687,1253268.479999999981374,1240001.900000000139698,1250418.619999999878928,9992893.699999999254942
FS( 4 ),1278055.399999999906868,1228637.459999999962747,1229721.199999999953434,1272421.780000000027940,1225000.379999999888241,1251838.520000000018626,1240224.080000000074506,1239953.119999999878928,9965851.939999999478459
FS( 5 ),1295036.299999999813735,1215768.459999999962747,1229013.799999999813735,1274408.520000000018626,1230978.549999999813735,1257354.079999999841675,1246222.940000000176951,1243302.079999999841675,9992084.730000000447035
FS( 6 ),1283075.839999999850988,1212937.280000000027940,1231371.799999999813735,1280794.469999999972060,1219565.680000000167638,1261031.119999999878928,1237557.920000000158325,1252511.719999999972060,9978845.830000001937151
FS( 7 ),1275102.199999999720603,1224262.000000000000000,1218402.800000000046566,1270576.949999999953434,1214130.979999999981374,1254289.879999999888241,1245112.040000000037253,1253348.959999999962747,9955225.809999998658895
FS( 8 ),1263437.059999999823049,1209977.409999999916181,1215573.199999999953434,1304635.350000000093132,1232065.489999999990687,1301274.280000000027940,1212451.580000000074506,1260046.879999999888241,9999461.250000000000000
FS( 9 ),1276135.819999999832362,1253860.700000000186265,1228306.400000000139698,1309744.110000000102445,1239674.069999999832362,1329669.199999999953434,1226448.920000000158325,1280140.639999999897555,10143979.860000001266599
FS( 10 ),1280270.299999999813735,1257077.950000000186265,1213215.199999999953434,1300661.870000000111759,1257065.109999999869615,1323949.359999999869615,1225560.199999999953434,1276791.679999999934807,10134591.669999998062849
FS( 11 ),1280417.959999999729916,1260938.650000000139698,1196001.799999999813735,1304067.709999999962747,1283695.140000000130385,1334980.479999999748543,1242001.520000000018626,1285164.079999999841675,10187267.339999999850988
FS( 12 ),1278941.359999999869615,1242021.220000000204891,1200481.999999999767169,1308750.739999999990687,1286412.489999999990687,1324153.639999999897555,1251999.620000000111759,1296466.819999999832362,10189227.890000000596046
FS( 13 ),1295922.260000000009313,1222589.030000000027940,1201661.000000000000000,1316413.880000000121072,1293477.600000000093132,1326196.439999999944121,1221783.140000000130385,1449263.119999999878928,10327306.469999998807907
FS( 14 ),1274806.879999999888241,1211779.070000000065193,1195530.199999999953434,1299668.500000000000000,1288042.899999999906868,1322315.120000000111759,1231114.699999999953434,1448425.879999999888241,10271683.250000000000000
FS( 15 ),1273773.260000000009313,1198910.070000000065193,1201661.000000000000000,1262204.260000000009313,1282608.200000000186265,1315369.599999999860302,1211118.500000000000000,1419959.719999999972060,10165604.610000001266599
FS( 16 ),1267719.199999999720603,1215768.459999999962747,1206612.800000000046566,1249716.179999999934807,1270651.859999999869615,1307811.239999999757856,1219783.520000000018626,1427913.500000000000000,10165976.759999999776483
FS( 17 ),1212937.339999999850988,1234943.270000000018626,1204254.800000000046566,1249432.360000000102445,1267934.510000000009313,1307811.239999999757856,1166015.959999999962747,1450518.979999999981374,10093848.460000000894070
FS( 18 ),1212789.679999999701977,1261968.170000000158325,1247641.999999999767169,1263055.719999999972060,1276630.030000000027940,1318842.359999999869615,1155573.500000000000000,1463914.819999999832362,10200416.279999999329448
FS( 19 ),1234348.039999999804422,1308039.189999999944121,1266506.000000000000000,1265752.010000000009313,1295108.010000000009313,1329669.199999999953434,1185123.440000000176951,1495311.319999999832362,10379857.209999999031425
FS( 20 ),1255168.099999999860302,1298258.750000000000000,1255659.199999999953434,1267738.750000000000000,1288586.370000000111759,1329873.479999999748543,1183346.000000000000000,1518335.420000000158325,10396966.069999998435378
FS( 21 ),1288391.599999999860302,1298516.130000000121072,1230428.599999999860302,1268164.479999999981374,1306520.879999999888241,1318433.800000000046566,1135132.940000000176951,1522103.000000000000000,10367691.429999999701977
FS( 22 ),1280122.639999999897555,1288092.239999999990687,1218638.599999999860302,1269157.850000000093132,1301086.180000000167638,1307606.959999999962747,1137799.100000000093132,1518335.420000000158325,10320838.990000000223517
FS( 23 ),1282189.879999999888241,1258750.920000000158325,1211800.399999999906868,1271428.409999999916181,1299999.239999999990687,1297392.959999999962747,1135355.120000000111759,1496567.179999999934807,10253484.109999999403954
FS( 24 ),1298875.459999999729916,1299545.650000000139698,1233022.399999999906868,1271428.409999999916181,1319564.160000000149012,1338044.679999999934807,1146686.300000000046566,1498660.279999999795109,10405827.339999999850988
FS( 25 ),1313346.139999999897555,1312929.409999999916181,1226184.199999999953434,1272847.510000000009313,1318477.219999999972060,1344377.359999999869615,1133133.320000000065193,1498241.659999999916181,10419536.820000000298023
FS( 26 ),1309802.299999999813735,1328629.589999999850988,1235616.199999999953434,1263197.630000000121072,1290216.780000000027940,1352752.839999999850988,1167349.040000000037253,1508288.540000000037253,10455852.919999998062849
FS( 27 ),1307587.399999999906868,1319106.530000000027940,1244812.399999999906868,1242194.949999999953434,1295108.010000000009313,1362966.839999999850988,1171570.459999999962747,1517079.560000000055879,10460426.150000000372529
FS( 28 ),1309506.979999999981374,1333262.429999999934807,1253301.199999999953434,1236802.370000000111759,1297281.890000000130385,1363171.120000000111759,1155795.680000000167638,1510800.260000000009313,10459921.930000001564622
FS( 29 ),1311426.559999999823049,1325798.409999999916181,1251179.000000000000000,1251702.919999999925494,1301086.180000000167638,1363988.239999999757856,1153129.520000000018626,1514149.219999999972060,10472460.050000000745058
FS( 30 ),1328998.099999999860302,1333391.120000000111759,1245519.800000000046566,1247445.620000000111759,1289129.839999999850988,1358064.120000000111759,1153129.520000000018626,1505776.819999999832362,10461454.939999999478459
FS( 31 ),1332541.939999999711290,1328886.970000000204891,1290086.000000000000000,1250567.640000000130385,1303260.060000000055879,1363171.120000000111759,1154684.780000000027940,1494892.699999999953434,10518091.210000000894070
FS( 32 ),1330770.020000000018626,1327214.000000000000000,1296924.199999999953434,1246168.429999999934807,1306520.879999999888241,1361332.599999999860302,1173570.080000000074506,1488613.400000000139698,10531113.609999999403954
FS( 33 ),1342435.159999999916181,1331846.839999999850988,1327814.000000000000000,1241201.579999999841675,1305433.939999999944121,1368686.679999999934807,1186234.340000000083819,1486938.920000000158325,10590591.459999999031425
FS( 34 ),1367242.039999999804422,1333262.429999999934807,1337717.599999999860302,1239782.479999999981374,1292934.129999999888241,1368686.679999999934807,1180457.660000000149012,1500334.760000000009313,10620417.779999999329448
FS( 35 ),1403123.419999999692664,1354882.350000000093132,1333944.800000000046566,1251277.189999999944121,1299455.770000000018626,1363579.679999999934807,1182012.920000000158325,1508288.540000000037253,10696564.669999998062849
FS( 36 ),1383927.619999999878928,1355397.109999999869615,1328049.800000000046566,1256244.039999999804422,1287499.430000000167638,1363988.239999999757856,1186900.880000000121072,1492380.979999999981374,10654388.100000001490116
FS( 37 ),1410949.399999999906868,1347032.260000000009313,1335595.399999999906868,1256669.770000000018626,1288042.899999999906868,1365622.479999999748543,1199120.780000000027940,1488194.779999999795109,10691227.769999999552965
FS( 38 ),1397807.659999999916181,1339439.550000000046566,1333473.199999999953434,1252412.469999999972060,1290216.780000000027940,1362149.719999999972060,1198009.880000000121072,1492799.599999999860302,10666308.859999999403954
FS( 39 ),1399136.599999999860302,1350764.270000000018626,1343141.000000000000000,1261920.439999999944121,1304890.469999999972060,1369095.239999999757856,1203342.199999999953434,1492380.979999999981374,10724671.199999999254942
FS( 40 ),1425420.079999999841675,1352823.310000000055879,1336302.800000000046566,1270718.860000000102445,1298368.830000000074506,1370933.760000000009313,1213340.300000000046566,1490287.879999999888241,10758195.820000000298023
FS( 41 ),1423500.500000000000000,1351665.100000000093132,1333001.600000000093132,1265042.459999999962747,1296194.950000000186265,1368482.399999999906868,1207119.260000000009313,1481915.479999999981374,10726921.750000000000000
FS( 42 ),1420694.959999999729916,1358099.600000000093132,1340311.400000000139698,1272279.870000000111759,1302173.120000000111759,1366031.040000000037253,1214006.840000000083819,1477729.279999999795109,10751326.109999999403954
FS( 43 ),1400465.539999999804422,1347675.709999999962747,1335123.799999999813735,1258798.419999999925494,1295651.479999999981374,1366235.319999999832362,1215117.739999999990687,1473961.699999999953434,10693029.709999999031425
FS( 44 ),1403271.079999999841675,1360544.709999999962747,1338189.199999999953434,1270009.309999999823049,1296738.419999999925494,1372568.000000000000000,1206452.719999999972060,1496985.799999999813735,10744759.239999998360872
FS( 45 ),1423795.819999999832362,1369424.320000000065193,1339132.399999999906868,1263765.270000000018626,1292390.660000000149012,1376857.880000000121072,1212229.400000000139698,1494474.080000000074506,10772069.830000000074506
FS( 46 ),1413902.599999999860302,1414851.889999999897555,1333237.399999999906868,1263907.179999999934807,1299999.239999999990687,1374610.800000000046566,1206008.360000000102445,1502009.239999999990687,10808526.709999999031425
FS( 47 ),1426601.359999999869615,1461180.290000000037253,1359411.199999999953434,1286754.689999999944121,1322824.979999999981374,1394017.399999999906868,1219561.340000000083819,1473543.080000000074506,10943894.339999999850988
FS( 48 ),1435460.959999999729916,1497084.800000000046566,1350215.000000000000000,1291721.539999999804422,1317390.280000000027940,1399737.239999999757856,1219339.160000000149012,1462658.959999999729916,10973607.939999999478459
FS( 49 ),1398102.979999999981374,1475850.950000000186265,1351158.199999999953434,1295695.020000000018626,1309781.700000000186265,1399532.959999999962747,1194010.640000000130385,1471031.359999999869615,10895163.810000000521541
FS( 50 ),1393525.520000000018626,1501717.639999999897555,1337481.799999999813735,1294275.919999999925494,1313585.989999999990687,1394425.959999999962747,1173125.719999999972060,1469775.500000000000000,10877914.050000000745058
FS( 51 ),1412868.979999999981374,1521664.589999999850988,1345263.199999999953434,1288883.339999999850988,1308151.290000000037253,1391157.479999999748543,1173570.080000000074506,1480241.000000000000000,10921799.959999999031425
FS( 52 ),1440776.719999999739230,1552936.260000000009313,1374738.199999999953434,1299526.589999999850988,1317933.750000000000000,1407704.159999999916181,1197343.340000000083819,1507869.920000000158325,11098828.939999999478459
FS( 53 ),1458200.599999999860302,1561815.870000000111759,1402091.000000000000000,1301371.419999999925494,1293477.600000000093132,1412811.159999999916181,1205341.820000000065193,1507869.920000000158325,11142979.390000000596046
FS( 54 ),1476215.119999999878928,1543027.130000000121072,1389121.999999999767169,1307615.459999999962747,1305433.939999999944121,1414649.679999999934807,1210451.959999999962747,1494474.080000000074506,11140989.369999999180436
FS( 55 ),1480644.919999999692664,1542769.750000000000000,1387943.000000000000000,1320955.000000000000000,1304890.469999999972060,1414036.839999999850988,1224893.660000000149012,1492799.599999999860302,11168933.240000000223517
FS( 56 ),1481087.899999999906868,1531702.409999999916181,1402326.799999999813735,1317407.250000000000000,1313042.520000000018626,1414853.959999999962747,1220894.420000000158325,1499078.900000000139698,11180394.160000000149012
FS( 57 ),1473852.559999999823049,1513814.500000000000000,1397846.600000000093132,1321948.370000000111759,1326629.270000000018626,1420982.359999999869615,1220672.239999999990687,1488194.779999999795109,11163940.679999999701977
FS( 58 ),1476805.760000000009313,1502103.709999999962747,1401147.800000000046566,1329895.329999999841675,1332607.439999999944121,1418122.439999999944121,1248222.560000000055879,1469775.500000000000000,11178680.539999999105930
FS( 59 ),1457166.979999999981374,1500559.429999999934807,1400440.399999999906868,1329895.329999999841675,1345107.250000000000000,1425067.959999999962747,1243778.959999999962747,1493218.219999999972060,11195234.530000003054738
FS( 60 ),1420842.619999999878928,1460665.530000000027940,1408221.799999999813735,1317832.979999999981374,1349998.479999999981374,1421595.199999999953434,1248666.920000000158325,1509963.020000000018626,11137786.550000000745058
FS( 61 ),1403271.079999999841675,1455260.550000000046566,1395252.800000000046566,1322657.919999999925494,1349455.010000000009313,1415671.079999999841675,1239335.360000000102445,1499497.520000000018626,11080401.319999998435378
FS( 62 ),1437232.879999999888241,1482928.900000000139698,1411994.600000000093132,1323651.289999999804422,1356520.120000000111759,1415671.079999999841675,1249555.640000000130385,1532149.879999999888241,11209704.390000000596046
FS( 63 ),1407257.899999999906868,1462981.950000000186265,1423548.799999999813735,1302080.969999999972060,1350541.950000000186265,1416896.760000000009313,1231114.699999999953434,1525451.959999999729916,11119874.989999998360872
