代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12530189.710000000894070
真實報酬,2530189.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21003.355702137585467
風險,104420.545802107066265
起點值,0.201141983512921
找到最佳解世代,4611
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
MCD[15](6),TRV[22](1),V[25](2),
Stock#,MCD[15](6),TRV[22](1),V[25](2),
張數,18932,28400,25077,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,165.080000000074506,25.000000000000000,98.160000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3311371.880000000353903,3273409.000000000000000,3213214.169999999925494,9797996.050000000745058
FS( 3 ),3375362.040000000037253,3370537.000000000000000,3351639.210000000428408,10097539.250000000000000
FS( 4 ),3412090.120000000111759,3359745.000000000000000,3412074.780000000260770,10183910.900000000372529
FS( 5 ),3419284.279999999795109,3346681.000000000000000,3430631.760000000242144,10196598.039999999105930
FS( 6 ),3413415.359999999869615,3370537.000000000000000,3471005.729999999981374,10254959.089999999850988
FS( 7 ),3437269.680000000167638,3415693.000000000000000,3477525.750000000000000,10330489.429999999701977
FS( 8 ),3452793.920000000391155,3421373.000000000000000,3462228.780000000260770,10336396.699999999254942
FS( 9 ),3431022.120000000111759,3424497.000000000000000,3438154.859999999869615,10293674.980000000447035
FS( 10 ),3427235.720000000204891,3459713.000000000000000,3444173.340000000316650,10331123.060000000521541
FS( 11 ),3395619.279999999795109,3473345.000000000000000,3444173.340000000316650,10313138.619999999180436
FS( 12 ),3428939.600000000558794,3491521.000000000000000,3442668.720000000204891,10363130.320000000298023
FS( 13 ),3456580.319999999832362,3521909.000000000000000,3473262.660000000149012,10451752.980000000447035
FS( 14 ),3494444.319999999832362,3475049.000000000000000,3461978.010000000242144,10431472.330000000074506
FS( 15 ),3523220.959999999962747,3493793.000000000000000,3435897.929999999701977,10452912.890000000596046
FS( 16 ),3547453.920000000391155,3532417.000000000000000,3453201.060000000055879,10533072.980000000447035
FS( 17 ),3483653.080000000074506,3549457.000000000000000,3477525.750000000000000,10510636.830000000074506
FS( 18 ),3476080.279999999795109,3550877.000000000000000,3410319.390000000596046,10437277.669999999925494
FS( 19 ),3449007.520000000018626,3544913.000000000000000,3385493.160000000149012,10379414.679999999701977
FS( 20 ),3441434.720000000204891,3575017.000000000000000,3450693.359999999869615,10467146.080000000074506
FS( 21 ),3384828.040000000037253,3565361.000000000000000,3385743.929999999701977,10335933.969999998807907
FS( 22 ),3345828.120000000111759,3592341.000000000000000,3514639.710000000428408,10452809.830000000074506
FS( 23 ),3361541.680000000167638,3579561.000000000000000,3548493.660000000149012,10489597.339999999850988
FS( 24 ),3361920.319999999832362,3583537.000000000000000,3574322.970000000204891,10519781.290000000968575
FS( 25 ),3335604.840000000316650,3565645.000000000000000,3548242.890000000596046,10449493.730000000447035
FS( 26 ),3318566.040000000037253,3600009.000000000000000,3515141.250000000000000,10433717.289999999105930
FS( 27 ),3308532.080000000074506,3572461.000000000000000,3520407.419999999925494,10401401.500000000000000
FS( 28 ),3299255.399999999906868,3561953.000000000000000,3530939.760000000242144,10392149.160000000149012
FS( 29 ),3293765.120000000111759,3614209.000000000000000,3560781.390000000596046,10468756.510000001639128
FS( 30 ),3297172.880000000353903,3636361.000000000000000,3598396.890000000596046,10531931.770000001415610
FS( 31 ),3329735.920000000391155,3604837.000000000000000,3590121.479999999981374,10524695.400000000372529
FS( 32 ),3407357.120000000111759,3656241.000000000465661,3634006.229999999981374,10697605.350000001490116
FS( 33 ),3393726.080000000074506,3666465.000000000000000,3622220.040000000037253,10682412.120000001043081
FS( 34 ),3417201.760000000242144,3684641.000000000465661,3629492.370000000111759,10731336.130000000819564
FS( 35 ),3461124.000000000000000,3686913.000000000000000,3611186.160000000149012,10759224.160000000149012
FS( 36 ),3467939.520000000018626,3720993.000000000465661,3658080.150000000372529,10847013.670000001788139
FS( 37 ),3457337.600000000558794,3762741.000000000465661,3662844.780000000260770,10882924.380000002682209
FS( 38 ),3468696.800000000279397,3784893.000000000465661,3687420.239999999757856,10941011.040000000968575
FS( 39 ),3471536.600000000558794,3766433.000000000000000,3691934.100000000093132,10929904.700000001117587
FS( 40 ),3480623.959999999962747,3774669.000000000000000,3714503.400000000372529,10969797.359999999403954
FS( 41 ),3503531.680000000167638,3778077.000000000000000,3748357.350000000093132,11029967.029999999329448
FS( 42 ),3419094.959999999962747,3753085.000000000000000,3710491.080000000540167,10882672.040000000968575
FS( 43 ),3433483.279999999795109,3768421.000000000000000,3710240.310000000055879,10912145.589999999850988
FS( 44 ),3446357.040000000037253,3743145.000000000465661,3706729.530000000260770,10896232.570000000298023
FS( 45 ),3417769.720000000204891,3734341.000000000465661,3682154.070000000298023,10834265.790000000968575
FS( 46 ),3398459.080000000074506,3720993.000000000465661,3695194.109999999869615,10814647.189999999478459
FS( 47 ),3428371.640000000130385,3745133.000000000000000,3778449.750000000000000,10951955.390000000596046
FS( 48 ),3442570.640000000130385,3769273.000000000000000,3805031.370000000111759,11016876.010000001639128
FS( 49 ),3446925.000000000000000,3777225.000000000000000,3823588.350000000093132,11047739.349999999627471
FS( 50 ),3459798.760000000242144,3778929.000000000000000,3866971.560000000055879,11105700.320000000298023
FS( 51 ),3508832.640000000130385,3810737.000000000000000,3898568.580000000540167,11218139.220000000670552
FS( 52 ),3482706.479999999981374,3832321.000000000000000,3886030.080000000540167,11201058.560000000521541
FS( 53 ),3466803.600000000558794,3775237.000000000000000,3876751.590000000316650,11118793.190000001341105
FS( 54 ),3502017.120000000111759,3729797.000000000465661,3855686.910000000149012,11087502.030000001192093
FS( 55 ),3528521.920000000391155,3816133.000000000000000,3907094.760000000242144,11251750.679999999701977
FS( 56 ),3536852.000000000000000,3831185.000000000000000,3838634.549999999813735,11206672.550000000745058
FS( 57 ),3516216.120000000111759,3832604.999999999534339,3837631.470000000204891,11186453.589999999850988
