代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12077175.689999999478459
真實報酬,2077175.689999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16916.099101401850930
風險,82979.409459722141037
起點值,0.203858996003254
找到最佳解世代,1816
找到最佳解實驗#,3
找到最佳解次數,24

stock[index](rank)
投資組合檔數,8
AXP[1](8),BA[2](5),CAT[3](1),HD[9](13),JNJ[12](11),MCD[15](6),UNH[23](2),V[25](3),
Stock#,AXP[1](8),BA[2](5),CAT[3](1),HD[9](13),JNJ[12](11),MCD[15](6),UNH[23](2),V[25](3),
張數,15905,7076,13547,8525,10024,9644,7548,13988,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,26.050000000046566,24.599999999860302,18.310000000055879,64.500000000000000,107.439999999944121,41.159999999916181,126.679999999934807,32.320000000065193,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1244751.350000000093132,1264505.799999999813735,1275197.419999999925494,1247613.000000000000000,1249899.760000000009313,1246913.919999999925494,1245320.239999999990687,1241886.960000000195578,10016088.450000001117587
FS( 3 ),1236798.850000000093132,1253042.679999999934807,1276687.590000000083819,1250170.500000000000000,1251102.639999999897555,1257715.199999999953434,1248339.439999999944121,1245383.960000000195578,10019240.860000001266599
FS( 4 ),1239343.650000000139698,1255094.719999999972060,1298091.849999999860302,1255285.500000000000000,1253608.639999999897555,1255207.760000000009313,1248113.000000000000000,1246223.240000000223517,10050968.359999999403954
FS( 5 ),1236957.899999999906868,1265567.199999999720603,1294027.750000000000000,1254347.750000000000000,1252305.520000000018626,1253375.399999999906868,1253245.639999999897555,1241327.439999999944121,10051154.599999999627471
FS( 6 ),1232504.500000000000000,1256439.159999999916181,1315973.890000000130385,1263554.750000000000000,1246491.600000000093132,1253568.279999999795109,1249169.719999999972060,1243006.000000000000000,10060707.900000000372529
FS( 7 ),1228846.350000000093132,1263585.919999999925494,1315432.010000000009313,1263469.500000000000000,1245288.719999999972060,1265333.959999999729916,1251811.520000000018626,1242866.119999999878928,10076634.099999999627471
FS( 8 ),1219621.450000000186265,1245754.399999999906868,1285086.729999999981374,1249318.000000000000000,1257117.040000000037253,1265912.599999999860302,1249773.560000000055879,1240488.160000000149012,10013071.939999999478459
FS( 9 ),1205625.050000000046566,1242711.719999999972060,1261244.010000000009313,1243947.250000000000000,1253007.199999999953434,1261090.599999999860302,1245244.760000000009313,1243145.880000000121072,9956016.470000000670552
FS( 10 ),1219462.400000000139698,1266770.119999999878928,1275332.890000000130385,1255882.250000000000000,1260324.719999999972060,1266780.559999999823049,1262001.320000000065193,1256294.600000000093132,10062848.859999999403954
FS( 11 ),1205466.000000000232831,1258491.199999999720603,1278719.640000000130385,1259718.500000000000000,1221231.119999999878928,1275942.360000000102445,1272644.000000000000000,1255175.560000000055879,10027388.380000000819564
FS( 12 ),1201648.800000000046566,1262383.000000000000000,1266256.400000000139698,1255115.000000000000000,1216720.320000000065193,1279221.319999999832362,1277625.679999999934807,1255455.320000000065193,10014425.839999999850988
FS( 13 ),1272744.149999999906868,1268751.399999999906868,1282377.330000000074506,1267902.500000000000000,1221732.320000000065193,1285297.040000000037253,1294910.599999999860302,1275038.520000000251457,10168753.859999999403954
FS( 14 ),1265905.000000000000000,1276393.479999999748543,1277771.349999999860302,1278814.500000000000000,1220629.679999999934807,1286647.199999999953434,1292042.359999999869615,1275038.520000000251457,10173242.089999997988343
FS( 15 ),1279583.300000000046566,1288281.159999999916181,1311503.380000000121072,1294926.750000000000000,1231956.800000000046566,1294555.279999999795109,1300873.520000000018626,1284830.119999999878928,10286510.309999998658895
FS( 16 ),1282446.199999999953434,1298541.359999999869615,1414596.050000000046566,1304645.250000000000000,1237369.760000000009313,1366595.959999999729916,1313780.599999999860302,1288467.000000000000000,10506442.179999999701977
FS( 17 ),1280696.649999999906868,1285804.559999999823049,1417847.330000000074506,1314790.000000000000000,1238171.679999999934807,1358302.119999999878928,1316346.919999999925494,1284410.479999999981374,10496369.740000000223517
FS( 18 ),1277674.699999999953434,1296489.319999999832362,1391024.270000000251457,1330987.500000000000000,1240477.199999999953434,1358591.439999999944121,1318233.919999999925494,1281333.119999999878928,10494811.469999998807907
FS( 19 ),1260497.300000000046566,1307881.679999999934807,1385334.530000000027940,1330817.000000000000000,1237770.719999999972060,1349526.080000000074506,1320120.919999999925494,1276017.679999999934807,10467965.910000000149012
FS( 20 ),1260179.200000000186265,1290616.239999999757856,1381812.310000000055879,1314704.750000000000000,1236467.600000000093132,1361291.760000000009313,1317932.000000000000000,1276577.200000000186265,10439581.059999998658895
FS( 21 ),1265109.750000000232831,1298046.039999999804422,1375174.280000000027940,1321013.250000000000000,1240076.239999999990687,1362063.279999999795109,1314535.399999999906868,1294481.840000000083819,10470500.080000000074506
FS( 22 ),1253817.199999999953434,1297692.239999999757856,1375580.690000000176951,1321439.500000000000000,1236367.359999999869615,1375468.439999999944121,1302458.599999999860302,1293083.040000000037253,10455907.070000000298023
FS( 23 ),1245864.699999999953434,1295427.919999999925494,1346454.640000000130385,1320246.000000000000000,1242582.239999999990687,1383472.959999999729916,1313629.639999999897555,1295600.880000000121072,10443278.980000000447035
FS( 24 ),1245705.649999999906868,1309155.359999999869615,1349841.390000000130385,1327662.750000000000000,1238171.679999999934807,1388391.399999999906868,1314384.439999999944121,1288187.240000000223517,10461499.910000000149012
FS( 25 ),1243160.850000000093132,1316302.119999999878928,1346183.700000000186265,1337551.750000000000000,1235565.439999999944121,1391091.719999999972060,1316799.799999999813735,1285809.280000000027940,10472464.659999998286366
FS( 26 ),1247614.250000000000000,1322599.759999999776483,1345099.940000000176951,1344286.500000000000000,1235164.479999999981374,1392249.000000000000000,1307742.199999999953434,1286928.320000000065193,10481684.449999999254942
FS( 27 ),1250954.300000000046566,1296206.279999999795109,1359595.229999999981374,1348122.750000000000000,1231154.879999999888241,1393792.040000000037253,1308874.399999999906868,1290425.320000000065193,10479125.200000001117587
FS( 28 ),1239343.650000000139698,1301584.039999999804422,1368129.840000000083819,1331669.500000000000000,1235064.239999999990687,1390802.399999999906868,1308346.039999999804422,1288327.119999999878928,10463266.829999998211861
FS( 29 ),1232504.500000000000000,1296701.599999999860302,1364336.679999999934807,1337807.500000000000000,1239474.800000000046566,1401893.000000000000000,1296948.560000000055879,1297139.560000000055879,10466806.199999999254942
