代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12531415.000000000000000
真實報酬,2531415.000000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20744.493700004539278
風險,137046.071051224425901
起點值,0.151368758993833
找到最佳解世代,3387
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](18),KO[14](1),MCD[15](10),XOM[29](4),
Stock#,HD[9](18),KO[14](1),MCD[15](10),XOM[29](4),
張數,89541,99920,37475,44161,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.279999999795109,1.600000000093132,42.750000000465661,45.790000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485673.439999999944121,2500999.200000000186265,2478639.250000000465661,2498233.560000000055879,9963545.450000001117587
FS( 3 ),2448066.219999999739230,2519984.000000000000000,2477515.000000000465661,2537536.850000000093132,9983102.070000000298023
FS( 4 ),2508058.689999999944121,2571942.399999999906868,2522485.000000000465661,2580373.020000000018626,10182859.109999999403954
FS( 5 ),2520594.429999999701977,2618904.800000000279397,2586567.250000000465661,2597154.200000000186265,10323220.679999999701977
FS( 6 ),2530443.939999999944121,2617905.600000000093132,2594062.250000000465661,2595829.370000000111759,10338241.160000000149012
FS( 7 ),2534920.989999999757856,2620903.200000000186265,2621044.250000000465661,2602895.129999999888241,10379763.570000000298023
FS( 8 ),2564469.520000000018626,2633892.799999999813735,2654771.750000000465661,2624092.410000000149012,10477226.480000000447035
FS( 9 ),2532234.759999999776483,2638888.800000000279397,2657020.250000000465661,2617026.649999999906868,10445170.460000000894070
FS( 10 ),2537607.219999999739230,2640887.200000000186265,2673134.500000000465661,2617468.260000000242144,10469097.179999999701977
FS( 11 ),2427471.789999999571592,2616906.400000000372529,2621044.250000000465661,2559617.350000000093132,10225039.789999999105930
FS( 12 ),2423890.149999999906868,2611910.400000000372529,2619920.000000000465661,2580373.020000000018626,10236093.570000000298023
FS( 13 ),2500895.409999999683350,2659872.000000000000000,2655896.000000000465661,2603336.740000000223517,10420000.150000000372529
FS( 14 ),2459706.549999999813735,2701838.399999999906868,2627415.000000000465661,2568891.160000000149012,10357851.109999999403954
FS( 15 ),2526862.299999999813735,2710831.200000000186265,2675757.750000000465661,2622325.970000000204891,10535777.220000000670552
FS( 16 ),2529548.529999999795109,2735811.200000000186265,2619545.250000000465661,2637340.709999999962747,10522245.690000001341105
FS( 17 ),2595808.869999999646097,2744804.000000000000000,2655896.000000000465661,2666928.580000000074506,10663437.449999999254942
FS( 18 ),2559097.059999999590218,2750799.200000000186265,2638282.750000000465661,2685476.200000000186265,10633655.210000000894070
FS( 19 ),2514326.559999999590218,2741806.400000000372529,2614673.500000000465661,2689892.299999999813735,10560698.760000001639128
FS( 20 ),2511640.330000000074506,2747801.600000000093132,2600058.250000000465661,2664720.530000000260770,10524220.710000000894070
FS( 21 ),2552829.189999999944121,2753796.799999999813735,2613174.500000000465661,2635574.270000000018626,10555374.759999999776483
FS( 22 ),2607449.199999999720603,2818744.800000000279397,2632661.500000000465661,2735378.129999999888241,10794233.629999998956919
FS( 23 ),2547456.729999999515712,2816746.400000000372529,2640156.500000000465661,2769823.709999999962747,10774183.339999999850988
FS( 24 ),2571632.799999999813735,2825739.200000000186265,2649150.500000000465661,2769823.709999999962747,10816346.210000000894070
FS( 25 ),2570737.389999999664724,2816746.400000000372529,2640156.500000000465661,2769382.100000000093132,10797022.390000000596046
FS( 26 ),2568051.159999999683350,2835731.200000000186265,2688499.250000000465661,2736702.959999999962747,10828984.570000000298023
FS( 27 ),2569841.979999999515712,2853716.799999999813735,2732719.750000000465661,2757900.240000000223517,10914178.769999999552965
FS( 28 ),2528653.119999999646097,2846722.399999999906868,2729721.750000000465661,2734936.520000000018626,10840033.789999999105930
FS( 29 ),2481196.389999999664724,2799760.000000000000000,2682128.500000000000000,2666928.580000000074506,10630013.469999998807907
FS( 30 ),2472242.289999999571592,2782773.600000000093132,2700491.250000000465661,2659862.819999999832362,10615369.960000000894070
FS( 31 ),2445379.989999999757856,2784772.000000000000000,2694120.500000000465661,2645731.299999999813735,10570003.789999999105930
FS( 32 ),2451647.859999999869615,2791766.400000000372529,2690373.000000000931323,2644406.470000000204891,10578193.730000000447035
FS( 33 ),2534920.989999999757856,2803756.799999999813735,2743962.250000000465661,2685917.810000000055879,10768557.849999999627471
FS( 34 ),2584168.539999999571592,2789768.000000000465661,2745086.500000000465661,2656329.939999999944121,10775352.980000000447035
FS( 35 ),2526862.299999999813735,2761790.400000000372529,2734593.500000000465661,2618351.479999999981374,10641597.680000001564622
FS( 36 ),2522385.250000000000000,2762789.600000000093132,2738715.750000000465661,2600687.080000000074506,10624577.679999999701977
FS( 37 ),2491941.309999999590218,2777777.600000000093132,2748459.250000000465661,2627625.290000000037253,10645803.449999999254942
FS( 38 ),2487464.259999999776483,2780775.199999999720603,2725224.750000000465661,2602895.129999999888241,10596359.339999999850988
FS( 39 ),2536711.809999999590218,2767785.600000000093132,2742838.000000000465661,2601570.299999999813735,10648905.710000000894070
FS( 40 ),2541188.859999999869615,2755795.199999999720603,2741713.750000000465661,2582581.069999999832362,10621278.880000000819564
FS( 41 ),2573423.619999999646097,2805755.199999999720603,2772818.000000000465661,2640873.589999999850988,10792870.410000000149012
FS( 42 ),2506267.869999999646097,2775779.200000000186265,2725974.250000000465661,2605544.790000000037253,10613566.109999999403954
FS( 43 ),2491045.899999999906868,2791766.400000000372529,2737966.250000000465661,2610402.500000000000000,10631181.050000000745058
FS( 44 ),2567155.750000000000000,2863708.800000000279397,2793429.250000000931323,2689892.299999999813735,10914186.100000001490116
FS( 45 ),2633416.089999999850988,2866706.400000000372529,2811417.250000000465661,2696516.450000000186265,11008056.190000001341105
FS( 46 ),2672814.129999999888241,2875699.200000000186265,2814040.500000000465661,2707998.310000000055879,11070552.140000000596046
FS( 47 ),2626252.809999999590218,2879696.000000000000000,2840647.750000000465661,2673994.339999999850988,11020590.900000000372529
FS( 48 ),2636997.729999999515712,2889688.000000000465661,2851140.750000000465661,2682826.540000000037253,11060653.019999999552965
FS( 49 ),2633416.089999999850988,2912669.600000000093132,2787058.500000000465661,2696074.839999999850988,11029219.029999999329448
FS( 50 ),2657592.159999999683350,2923660.800000000279397,2811042.500000000465661,2702698.990000000223517,11094994.450000001117587
FS( 51 ),2685349.869999999646097,2899680.000000000000000,2794553.500000000000000,2693866.790000000037253,11073450.160000000149012
FS( 52 ),2683559.049999999813735,2877697.600000000093132,2770944.250000000465661,2694308.399999999906868,11026509.300000000745058
FS( 53 ),2680872.819999999832362,2868704.800000000279397,2799800.000000000000000,2693866.790000000037253,11043244.410000000149012
FS( 54 ),2681768.229999999515712,2873700.800000000279397,2803172.750000000465661,2692541.959999999962747,11051183.739999998360872
FS( 55 ),2676395.770000000018626,2875699.200000000186265,2785184.750000000000000,2684151.370000000111759,11021431.089999999850988
FS( 56 ),2744446.929999999701977,2896682.399999999906868,2814790.000000000465661,2718155.339999999850988,11174074.669999999925494
FS( 57 ),2767727.589999999850988,2903676.799999999813735,2829780.000000000465661,2717713.729999999981374,11218898.120000001043081
