代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12021839.610000001266599
真實報酬,2021839.610000001266599

夏普值報酬,0.193483961000000
夏普值風險,0.054251845547709
夏普值,3.566403300139356

預期報酬,30498.924914356011868
風險,124279.882876902207499
趨勢值,0.245405162994600
找到最佳解世代,2246
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
JPM[13](2),KO[14](22),PG[21](23),TRV[22](14),WBA[27](10),
Stock#,JPM[13](2),KO[14](22),PG[21](23),TRV[22](14),WBA[27](10),
張數,58633,83333,39138,48732,68027,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.370000000111759,8.000000000000000,48.199999999953434,38.719999999972060,6.200000000186265,
20090701,1980064.780000000260770,2049166.469999999972060,2035224.199999999953434,2004385.880000000121072,1995918.380000000121072,10064759.710000000894070
20090702,1892115.280000000260770,2036666.520000000018626,2000391.379999999888241,1910333.120000000111759,1952381.100000000093132,9791887.400000000372529
20090706,1911464.170000000158325,2041666.500000000000000,2041877.659999999916181,1946394.799999999813735,2007482.970000000204891,9948886.099999999627471
20090707,1923777.100000000325963,2026666.560000000055879,2031701.779999999795109,1902536.000000000000000,1963265.420000000158325,9847946.859999999403954
20090708,1917913.800000000046566,2021666.580000000074506,2060272.520000000018626,1903997.959999999962747,2024489.720000000204891,9928340.580000000074506
20090709,1971269.830000000074506,2029999.879999999888241,2051270.779999999795109,1903023.319999999832362,1998639.460000000195578,9954203.270000001415610
20090710,1896219.590000000316650,2013333.280000000027940,2043834.559999999823049,1900586.719999999972060,1961904.880000000121072,9815879.029999999329448
20090713,2035179.800000000046566,2044166.489999999990687,2073579.439999999944121,1968811.520000000018626,1994557.840000000316650,10116295.089999999850988
20090714,2034593.470000000204891,2054166.449999999953434,2095496.719999999972060,1926902.000000000000000,2000000.000000000000000,10111158.640000000596046
20090715,2126060.950000000186265,2105832.910000000149012,2138939.899999999441206,1966374.919999999925494,2040135.930000000167638,10377344.609999999403954
20090716,2118438.660000000149012,2116666.199999999720603,2160857.179999999701977,1975634.000000000000000,1999319.730000000214204,10370915.769999999552965
20090717,2162999.740000000223517,2096666.280000000027940,2188645.160000000149012,1969786.160000000149012,2028571.340000000316650,10446668.679999999701977
20090720,2168276.709999999962747,2126666.160000000149012,2174555.480000000447035,1972222.760000000009313,2045578.090000000316650,10487299.200000001117587
20090721,2165931.390000000130385,2098332.939999999944121,2171815.820000000298023,1983918.439999999944121,2038095.120000000344589,10458093.710000000894070
20090722,2159481.760000000242144,2047499.810000000055879,2147550.259999999776483,2015594.239999999990687,2027210.800000000279397,10397336.870000001043081
20090723,2236877.319999999832362,2049166.469999999972060,2158900.280000000260770,2076509.239999999990687,2023129.180000000167638,10544582.490000000223517
20090724,2223391.729999999981374,2056666.439999999944121,2185514.120000000111759,2106235.759999999776483,2069387.540000000270084,10641195.590000001713634
20090727,2235704.660000000149012,2063333.080000000074506,2183165.839999999850988,2121830.000000000000000,2065986.190000000176951,10670019.769999999552965
20090728,2232773.010000000242144,2058333.099999999860302,2180426.179999999701977,2112570.919999999925494,2057822.950000000186265,10641926.160000000149012
20090729,2214596.780000000260770,2053333.120000000111759,2196472.759999999776483,2077483.880000000121072,2091836.450000000186265,10633722.990000002086163
20090730,2255639.879999999888241,2069999.719999999972060,2200777.939999999478459,2043858.799999999813735,2109523.470000000204891,10679799.810000000521541
20090731,2266193.819999999832362,2076666.360000000102445,2172598.580000000074506,2098925.959999999962747,2112244.550000000279397,10726629.269999999552965
20090803,2321895.170000000391155,2066666.400000000139698,2176512.379999999888241,2193953.360000000335276,2114965.630000000353903,10873992.940000001341105
20090804,2357661.300000000279397,2062499.750000000000000,2170641.679999999701977,2254381.040000000037253,2067346.730000000214204,10912530.500000000000000
20090805,2449715.110000000335276,2049166.469999999972060,2109977.780000000260770,2269975.280000000260770,2058503.220000000204891,10937337.860000001266599
20090806,2389323.120000000111759,2058333.099999999860302,2014089.679999999934807,2279721.679999999701977,2076870.510000000242144,10818338.089999997988343
20090807,2483722.250000000000000,2055833.110000000102445,2036398.340000000083819,2312859.440000000409782,2089795.640000000130385,10978608.780000001192093
20090810,2503071.140000000130385,2059999.760000000009313,2041877.659999999916181,2262178.160000000149012,2089795.640000000130385,10956922.360000001266599
20090811,2418053.290000000037253,2043333.159999999916181,2032484.540000000037253,2189567.479999999515712,2091156.180000000167638,10774594.649999998509884
20090812,2474927.300000000279397,2019166.590000000083819,2038355.239999999990687,2262665.479999999515712,2130611.840000000316650,10925726.449999999254942
20090813,2515384.069999999832362,2004999.979999999981374,2046965.599999999860302,2313346.759999999776483,2166666.150000000372529,11047362.560000000521541
20090814,2488999.220000000204891,2019999.919999999925494,2049705.259999999776483,2302625.719999999739230,2151019.940000000409782,11012350.060000002384186
20090817,2388150.459999999962747,2029166.550000000046566,2043443.179999999934807,2271437.240000000223517,2079591.590000000316650,10811789.019999999552965
20090818,2445024.470000000204891,2025833.229999999981374,2052836.300000000046566,2315296.040000000037253,2096598.340000000316650,10935588.379999998956919
20090819,2428020.899999999906868,2056666.439999999944121,2066534.599999999860302,2337225.440000000409782,2105441.850000000093132,10993889.229999998584390
20090820,2487240.229999999981374,2059166.430000000167638,2075144.959999999962747,2329915.639999999664724,2101360.230000000447035,11052827.490000000223517
20090821,2559945.149999999906868,2079999.680000000167638,2097062.239999999990687,2348921.120000000111759,2151700.209999999962747,11237628.400000002235174
20090824,2521833.700000000186265,2044166.489999999990687,2087669.120000000111759,2336738.120000000111759,2136734.270000000018626,11127141.699999999254942
20090825,2555254.510000000242144,2030833.210000000195578,2090017.399999999906868,2360129.479999999515712,2213604.780000000260770,11249839.380000002682209
20090826,2538837.270000000018626,2049166.469999999972060,2088451.879999999888241,2377673.000000000000000,2272788.270000000018626,11326916.890000000596046
20090827,2547632.220000000204891,2059999.760000000009313,2076710.479999999981374,2397653.120000000111759,2289114.750000000000000,11371110.330000001937151
20090828,2516556.729999999981374,2044166.489999999990687,2081798.419999999925494,2417633.240000000223517,2291155.560000000055879,11351310.439999999478459
20090831,2548218.550000000279397,2032499.870000000111759,2117805.379999999888241,2457106.160000000149012,2304760.960000000428408,11460390.920000001788139
