代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11471184.149999998509884
真實報酬,1471184.149999998509884

夏普值報酬,0.138418415000000
夏普值風險,0.041185658961903
夏普值,3.360840119810609

預期報酬,24573.120998781392700
風險,56666.151038023388537
趨勢值,0.433647257642268
找到最佳解世代,2382
找到最佳解實驗#,9
找到最佳解次數,12

stock[index](rank)
投資組合檔數,5
CSCO[4](18),HD[9](21),MRK[17](1),MSFT[18](9),PFE[20](2),
Stock#,CSCO[4](18),HD[9](21),MRK[17](1),MSFT[18](9),PFE[20](2),
張數,46479,10251,32948,20281,55126,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,8.629999999888241,29.900000000139698,56.399999999906868,90.590000000083819,28.719999999972060,
20180702,1989774.619999999878928,1988928.920000000158325,1992092.479999999981374,2028393.400000000139698,2002756.299999999813735,10001945.719999998807907
20180703,1983267.560000000055879,1984828.520000000251457,2000329.479999999981374,2008923.640000000130385,2003858.820000000065193,9981208.020000001415610
20180705,1978154.869999999878928,1992926.810000000055879,2030971.119999999878928,2023323.150000000139698,2032524.339999999850988,10057900.289999999105930
20180706,1985126.719999999972060,1993644.380000000121072,2049422.000000000000000,2051716.550000000046566,2045754.579999999841675,10125664.229999998584390
20180709,1983267.560000000055879,2010045.980000000214204,2043491.360000000102445,2065710.439999999944121,2048510.879999999888241,10151026.219999998807907
20180710,1992098.569999999832362,2025730.010000000242144,2052716.799999999813735,2071186.310000000288710,2063394.899999999906868,10205126.589999999850988
20180711,1978619.659999999916181,2018964.350000000093132,2039537.599999999860302,2068346.970000000204891,2051267.179999999934807,10156735.759999999776483
20180712,2025563.449999999720603,2029215.350000000093132,2064578.079999999841675,2113167.980000000447035,2068356.240000000223517,10300881.100000001490116
20180713,1941901.250000000000000,2036801.090000000083819,2072156.119999999878928,2138316.419999999925494,2068907.500000000000000,10258082.379999998956919
20180716,1975366.129999999888241,2038748.780000000027940,2062271.719999999972060,2127770.299999999813735,2060638.600000000093132,10264795.529999999329448
20180717,1967929.489999999990687,2061506.000000000000000,2060294.839999999850988,2148862.540000000037253,2075522.619999999878928,10314115.490000000223517
