代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10878018.910000000149012
真實報酬,878018.910000000149012

夏普值報酬,0.079101891000000
夏普值風險,0.029677467921447
夏普值,2.665385443575334

預期報酬,16535.897972675276833
風險,58704.597411089918751
趨勢值,0.281679778108000
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
BA[2](6),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),XOM[29](17),
Stock#,BA[2](6),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),XOM[29](17),
張數,9423,13381,12859,10161,23122,20322,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,114.219999999972060,62.449999999953434,11.009999999776483,160.390000000130385,32.239999999990687,58.779999999795109,
20170403,1664687.169999999925494,1668539.339999999850988,1666666.000000000000000,1682720.380000000121072,1660885.500000000000000,1667885.319999999599531,10011387.709999999031425
20170404,1684004.319999999832362,1668405.530000000027940,1662551.119999999646097,1676420.560000000055879,1665047.460000000195578,1673981.919999999925494,10030414.910000000149012
20170405,1668739.060000000055879,1670011.250000000000000,1676953.199999999720603,1680484.960000000195578,1656723.540000000037253,1677233.439999999711290,10030149.449999999254942
20170406,1671471.729999999981374,1673356.500000000000000,1673609.859999999869615,1680180.130000000121072,1651636.700000000186265,1686988.000000000000000,10037246.919999999925494
20170407,1685417.770000000018626,1671616.969999999972060,1671166.649999999906868,1687089.610000000335276,1685626.040000000037253,1681907.500000000000000,10082828.540000000968575
20170410,1673262.100000000093132,1663855.989999999990687,1671423.829999999608845,1681602.669999999925494,1689325.560000000055879,1689426.639999999664724,10068900.789999999105930
20170411,1682779.329999999841675,1662250.270000000018626,1687111.809999999590218,1685159.020000000251457,1697880.700000000186265,1683533.259999999776483,10098718.389999998733401
20170412,1659033.370000000111759,1678039.850000000093132,1687883.349999999627471,1682415.550000000046566,1698111.919999999925494,1686175.119999999878928,10091663.159999998286366
20170413,1654981.479999999981374,1672553.639999999897555,1681453.849999999627471,1676318.950000000186265,1691406.540000000037253,1660162.959999999729916,10036881.419999999925494
20170417,1687019.680000000167638,1682321.770000000018626,1689040.659999999683350,1698876.370000000111759,1699268.019999999785796,1657927.539999999804422,10114458.039999999105930
20170418,1675994.770000000018626,1630135.869999999878928,1701256.709999999962747,1713203.380000000121072,1708516.820000000065193,1647156.879999999655411,10076268.429999997839332
20170419,1681177.419999999925494,1624114.419999999925494,1705628.769999999552965,1719909.640000000130385,1712678.779999999795109,1635776.559999999590218,10079289.589999999850988
20170420,1689658.120000000111759,1630804.919999999925494,1713729.939999999944121,1743178.330000000074506,1729557.839999999850988,1646344.000000000000000,10153277.150000000372529
20170421,1699834.959999999962747,1629333.010000000009313,1715530.199999999720603,1739317.150000000139698,1732794.919999999925494,1639840.959999999729916,10156655.199999999254942
20170424,1715665.600000000093132,1644453.540000000037253,1726074.579999999608845,1751205.520000000251457,1729095.399999999906868,1648376.199999999720603,10214874.839999999850988
20170425,1729328.949999999953434,1651679.280000000027940,1822131.309999999590218,1768580.830000000074506,1735338.339999999850988,1660975.839999999850988,10368038.549999998882413
20170426,1712367.550000000046566,1652749.760000000009313,1811072.569999999832362,1772035.570000000065193,1744124.700000000186265,1654269.579999999841675,10346623.730000000447035
20170427,1726596.280000000027940,1655827.389999999897555,1811458.339999999850988,1774575.820000000065193,1744355.919999999925494,1651424.500000000000000,10364242.250000000000000
20170428,1741767.310000000055879,1652214.520000000018626,1799370.879999999888241,1777116.070000000065193,1738344.200000000186265,1659350.079999999841675,10368167.060000000521541
20170501,1718775.189999999944121,1650474.989999999990687,1815058.859999999869615,1774169.380000000121072,1739500.300000000046566,1667682.099999999860302,10365664.819999998435378
20170502,1728669.339999999850988,1655292.149999999906868,1816087.579999999608845,1769596.929999999934807,1746205.679999999934807,1667478.879999999655411,10383334.559999998658895
20170503,1728198.189999999944121,1650341.179999999934807,1833961.589999999850988,1753339.330000000074506,1751754.960000000195578,1680688.179999999934807,10398287.429999999701977
20170504,1725182.829999999841675,1658637.399999999906868,1844634.559999999590218,1768377.610000000335276,1765165.719999999972060,1659146.859999999869615,10421148.979999998584390
20170505,1743463.449999999953434,1652749.760000000009313,1851192.649999999906868,1769393.710000000195578,1768865.239999999990687,1666869.219999999739230,10452538.029999997466803
20170508,1752980.680000000167638,1649270.699999999953434,1854793.169999999925494,1772645.230000000214204,1760078.880000000121072,1684549.359999999869615,10474322.019999999552965
20170509,1761367.149999999906868,1648735.459999999962747,1856336.250000000000000,1760452.030000000260770,1773952.080000000074506,1672762.599999999860302,10473609.569999998435378
20170510,1726219.360000000102445,1643383.060000000055879,1858393.689999999944121,1761976.179999999934807,1773489.640000000130385,1664633.799999999813735,10428099.730000000447035
20170511,1733380.839999999850988,1648601.649999999906868,1854407.399999999906868,1761264.910000000149012,1760310.099999999860302,1678859.199999999720603,10436828.099999999627471
20170512,1726878.969999999972060,1654489.290000000037253,1869195.250000000000000,1745921.800000000046566,1750598.859999999869615,1677639.879999999655411,10424728.049999998882413
20170515,1718775.189999999944121,1699315.639999999897555,1881025.529999999795109,1743076.720000000204891,1764009.620000000111759,1682720.379999999655411,10488927.079999998211861
20170516,1721696.319999999832362,1709752.819999999832362,1894013.119999999646097,1708427.710000000195578,1736725.659999999916181,1677639.879999999655411,10448259.509999997913837
20170517,1684758.159999999916181,1695033.719999999972060,1882697.199999999720603,1715946.850000000325963,1736956.880000000121072,1666259.559999999590218,10381656.370000001043081
20170518,1671754.419999999925494,1699048.020000000018626,1890412.599999999627471,1742263.840000000083819,1792912.120000000111759,1661382.279999999795109,10457777.279999999329448
20170519,1703415.699999999953434,1699449.449999999953434,1905071.859999999869615,1753847.380000000121072,1821352.179999999934807,1665040.239999999990687,10548180.810000000521541
20170522,1730836.629999999888241,1702928.510000000009313,1905586.219999999739230,1775287.090000000083819,1816265.339999999850988,1672356.159999999916181,10603263.949999999254942
20170523,1729140.489999999990687,1706407.569999999832362,1900828.389999999664724,1780570.810000000055879,1814878.019999999785796,1678249.539999999804422,10610078.819999998435378
20170524,1745724.969999999972060,1706273.760000000009313,1922431.509999999776483,1784330.380000000121072,1807016.540000000037253,1672356.159999999916181,10638137.320000000298023
20170525,1762874.829999999841675,1706541.379999999888241,1926032.029999999795109,1809326.440000000176951,1810716.060000000055879,1661382.279999999795109,10676877.019999999552965
20170526,1758351.790000000037253,1698378.969999999972060,1927060.750000000000000,1803737.890000000130385,1806554.099999999860302,1657317.879999999655411,10651405.379999998956919
20170530,1761084.459999999962747,1700921.359999999869615,1927960.879999999888241,1794491.380000000121072,1807016.540000000037253,1648172.979999999748543,10639651.599999999627471
20170531,1768151.709999999962747,1716175.699999999953434,1940305.519999999552965,1780164.370000000111759,1817421.439999999944121,1635979.779999999795109,10658202.519999999552965
20170601,1765230.579999999841675,1723267.629999999888241,1959594.019999999552965,1824872.770000000251457,1845399.060000000055879,1640044.179999999934807,10758412.240000000223517
20170602,1792651.509999999776483,1740662.930000000167638,1976953.669999999925494,1822942.179999999934807,1841005.880000000121072,1615657.779999999795109,10789877.949999999254942
20170605,1780590.069999999832362,1744409.610000000102445,1964737.619999999646097,1822738.960000000195578,1855803.960000000195578,1628257.419999999925494,10796541.639999998733401
20170606,1759859.469999999972060,1750698.680000000167638,1944677.579999999608845,1837472.410000000149012,1825051.700000000186265,1650408.399999999674037,10768172.240000000223517
20170607,1772580.520000000018626,1749628.199999999953434,1953807.469999999739230,1861757.200000000186265,1830138.540000000037253,1644311.799999999813735,10812227.730000000447035
20170608,1789824.610000000102445,1746952.000000000000000,1947249.379999999888241,1846312.480000000214204,1825051.700000000186265,1638418.419999999925494,10793812.590000001713634
20170609,1790766.909999999916181,1760065.379999999888241,1947892.329999999608845,1843975.450000000186265,1836381.479999999981374,1669104.639999999664724,10848190.189999997615814
20170612,1790484.219999999972060,1763945.869999999878928,1909186.739999999757856,1821519.640000000130385,1832219.519999999785796,1685362.239999999990687,10802722.230000000447035
20170613,1800755.290000000037253,1766622.070000000065193,1926546.389999999664724,1839809.440000000176951,1838693.679999999934807,1685971.899999999674037,10858402.770000001415610
20170614,1812910.959999999962747,1776657.820000000065193,1937605.129999999888241,1853120.350000000325963,1847480.040000000037253,1667885.319999999599531,10895663.620000001043081
20170615,1841839.569999999832362,1780270.689999999944121,1943906.039999999571592,1833001.570000000065193,1824589.260000000009313,1671746.500000000000000,10895357.629999998956919
20170616,1851168.339999999850988,1797799.799999999813735,1954450.419999999925494,1845702.820000000065193,1739731.519999999785796,1696742.559999999590218,10885599.460000000894070
20170619,1876045.060000000055879,1794053.119999999878928,1969238.269999999552965,1859826.610000000335276,1745743.239999999990687,1681907.500000000000000,10926817.799999998882413
20170620,1868977.810000000055879,1796060.270000000018626,1981197.139999999664724,1862366.860000000335276,1746668.120000000111759,1672762.599999999860302,10928036.799999998882413
20170621,1876893.129999999888241,1805293.159999999916181,1976825.079999999608845,1879132.510000000009313,1762853.519999999785796,1655082.459999999729916,10956083.859999997541308
20170622,1879437.339999999850988,1820547.500000000000000,1990584.209999999962747,1895186.890000000130385,1746205.679999999934807,1647766.539999999804422,10979732.159999998286366
20170623,1905727.509999999776483,1825632.280000000027940,1988526.769999999552965,1882485.640000000130385,1730482.719999999972060,1658537.199999999720603,10991396.119999999180436
20170626,1884525.759999999776483,1824427.989999999990687,1979782.649999999906868,1881164.710000000195578,1745743.239999999990687,1651018.059999999590218,10966666.410000000149012
20170627,1874254.689999999944121,1806631.259999999776483,1976696.489999999757856,1875880.989999999990687,1757535.460000000195578,1648376.199999999720603,10939379.089999999850988
20170628,1881133.479999999981374,1790707.869999999878928,1984154.709999999962747,1887058.090000000083819,1769096.460000000195578,1656911.439999999711290,10969066.049999998882413
20170629,1860779.800000000046566,1774918.289999999804422,1969109.679999999701977,1882688.860000000335276,1755685.700000000186265,1640044.179999999934807,10883230.509999999776483
20170630,1863512.469999999972060,1770234.939999999944121,1969495.449999999720603,1884213.010000000009313,1749905.200000000186265,1640653.839999999850988,10878018.910000000149012
