代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10769874.450000001117587
真實報酬,769874.450000001117587

夏普值報酬,0.068287445000000
夏普值風險,0.022691789298924
夏普值,3.009345984154596

預期報酬,12650.715348940762851
風險,47575.681594671048515
趨勢值,0.265907180410375
找到最佳解世代,2324
找到最佳解實驗#,2
找到最佳解次數,27

stock[index](rank)
投資組合檔數,7
AXP[1](11),CAT[3](1),HD[9](21),MCD[15](12),PG[21](4),UNH[23](5),V[25](2),
Stock#,AXP[1](11),CAT[3](1),HD[9](21),MCD[15](12),PG[21](4),UNH[23](5),V[25](2),
張數,16958,13293,9312,9327,16392,7704,15233,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,29.080000000074506,105.219999999972060,110.199999999953434,47.679999999934807,8.199999999953434,95.320000000065193,20.260000000009313,
20170703,1443154.879999999888241,1422057.429999999934807,1434251.319999999832362,1422415.179999999934807,1438242.279999999795109,1438046.920000000158325,1422020.809999999823049,10020191.819999998435378
20170705,1439593.700000000186265,1428969.789999999804422,1421959.479999999981374,1427731.569999999832362,1437094.840000000083819,1450373.320000000065193,1432074.590000000083819,10037800.290000000968575
20170706,1420092.000000000000000,1415942.650000000139698,1415999.800000000046566,1427918.109999999869615,1432177.239999999990687,1440281.080000000074506,1420497.510000000009313,9972911.390000000596046
20170707,1430097.219999999972060,1421392.780000000027940,1417675.959999999962747,1457577.969999999972060,1436767.000000000000000,1448139.160000000149012,1430703.620000000111759,10042356.710000000894070
20170710,1429588.479999999981374,1433622.340000000083819,1407898.360000000102445,1450582.719999999972060,1427587.479999999981374,1440358.119999999878928,1448526.229999999981374,10038166.730000000447035
20170711,1427214.360000000102445,1438939.539999999804422,1402497.399999999906868,1444893.250000000000000,1422342.039999999804422,1432654.119999999878928,1453400.790000000037253,10021944.500000000000000
20170712,1438406.639999999897555,1448510.500000000000000,1421028.280000000027940,1460469.340000000083819,1425456.519999999785796,1438355.080000000074506,1465130.200000000186265,10097359.559999998658895
20170713,1447733.540000000037253,1441996.929999999934807,1427546.679999999934807,1446105.759999999776483,1421194.600000000093132,1429033.239999999990687,1461474.280000000027940,10075088.029999999329448
20170714,1446207.320000000065193,1445984.829999999841675,1423728.760000000009313,1448344.239999999990687,1427751.399999999906868,1439972.920000000158325,1476554.950000000186265,10108547.420000001788139
20170717,1445189.840000000083819,1446915.340000000083819,1433133.879999999888241,1448157.699999999953434,1435127.799999999813735,1435735.719999999972060,1475031.649999999906868,10119294.930000001564622
20170718,1450277.239999999990687,1423386.729999999981374,1417117.239999999757856,1436032.600000000093132,1452995.080000000074506,1439587.719999999972060,1486456.399999999906868,10105856.009999999776483
20170719,1457230.020000000251457,1433755.269999999785796,1427639.800000000046566,1435379.709999999729916,1448241.399999999906868,1457615.080000000074506,1496662.510000000009313,10156526.789999999105930
20170720,1447394.379999999888241,1426709.979999999981374,1369253.560000000055879,1438364.350000000093132,1452339.399999999906868,1475411.320000000065193,1494529.889999999897555,10104005.880000000819564
20170721,1451464.300000000046566,1417006.090000000083819,1365715.000000000000000,1435659.519999999785796,1452503.319999999832362,1477568.440000000176951,1517227.059999999823049,10117146.730000000447035
