代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12072299.049999998882413
真實報酬,2072299.049999998882413

夏普值報酬,0.198529905000000
夏普值風險,0.062659360458620
夏普值,3.168399797682401

預期報酬,9022.274779385941656
風險,161582.976826390367933
趨勢值,0.055836790215096
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](5),INTC[11](15),JPM[13](2),MRK[17](3),PG[21](16),UNH[23](1),V[25](12),
Stock#,CVX[5](5),INTC[11](15),JPM[13](2),MRK[17](3),PG[21](16),UNH[23](1),V[25](12),
張數,14974,44159,24123,27000,17355,11082,18679,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,51.399999999906868,27.349999999860302,6.939999999944121,1.000000000000000,80.949999999953434,101.199999999953434,1.079999999841675,
20160401,1411500.639999999897555,1432986.899999999906868,1444250.949999999953434,1449901.000000000000000,1449744.099999999860302,1439874.639999999897555,1449304.689999999944121,10077565.919999999925494
20160404,1399072.219999999972060,1413115.349999999860302,1428088.540000000037253,1468801.000000000000000,1444190.499999999767169,1435109.380000000121072,1453787.649999999906868,10042167.640000000596046
20160405,1387691.979999999981374,1408699.449999999720603,1407825.219999999972060,1464481.000000000000000,1443322.750000000000000,1407958.479999999981374,1437723.709999999729916,9957705.589999997988343
20160406,1420185.560000000055879,1416648.069999999832362,1418680.570000000065193,1502011.000000000000000,1454603.500000000000000,1418929.659999999916181,1460885.669999999692664,10091947.029999999329448
20160407,1419436.860000000102445,1393243.799999999813735,1382737.300000000046566,1496341.000000000000000,1444711.149999999906868,1406074.540000000037253,1449117.899999999906868,9991665.549999998882413
20160408,1442496.819999999832362,1396776.519999999785796,1392868.959999999962747,1494721.000000000000000,1444016.949999999953434,1392886.959999999962747,1457523.449999999953434,10021293.660000000149012
20160411,1426175.159999999916181,1398542.879999999888241,1403965.540000000037253,1486351.000000000000000,1435860.100000000093132,1400090.260000000009313,1453600.859999999636784,10004588.799999998882413
20160412,1460166.139999999897555,1406933.089999999850988,1430018.379999999888241,1494181.000000000000000,1437595.599999999860302,1405298.799999999813735,1466676.159999999683350,10100872.169999998062849
20160413,1461513.799999999813735,1418856.020000000018626,1490567.109999999869615,1510921.000000000000000,1431174.249999999767169,1415937.520000000018626,1488904.169999999692664,10217876.869999999180436
20160414,1467203.919999999925494,1404283.549999999813735,1509865.510000000009313,1524151.000000000000000,1423364.500000000000000,1418375.560000000055879,1500485.149999999906868,10247732.189999999478459
20160415,1455973.419999999925494,1389269.489999999990687,1492496.949999999953434,1515781.000000000000000,1428397.449999999953434,1411172.260000000009313,1495815.399999999906868,10188908.970000000670552
20160418,1477985.199999999953434,1397659.699999999720603,1502146.149999999906868,1525771.000000000000000,1437595.599999999860302,1416491.619999999878928,1521405.629999999888241,10279057.899999998509884
20160419,1504938.399999999906868,1395451.750000000000000,1527475.300000000046566,1535221.000000000000000,1445405.349999999860302,1446302.199999999953434,1508330.329999999841675,10363127.330000000074506
20160420,1522757.459999999962747,1413115.349999999860302,1549668.459999999729916,1527661.000000000000000,1415381.199999999953434,1484313.459999999962747,1515801.929999999934807,10428701.859999999403954
20160421,1518415.000000000000000,1411790.579999999841675,1534229.739999999990687,1528201.000000000000000,1402364.949999999953434,1473563.919999999925494,1509077.489999999990687,10377645.680000001564622
20160422,1527549.139999999897555,1397218.109999999869615,1543155.250000000000000,1531981.000000000000000,1404968.199999999953434,1486529.859999999869615,1477696.769999999785796,10369101.330000000074506
20160425,1520062.139999999897555,1386178.359999999869615,1534229.739999999990687,1517941.000000000000000,1412951.500000000000000,1482651.159999999916181,1459578.139999999897555,10313595.040000000968575
20160426,1531741.860000000102445,1386619.949999999720603,1542190.329999999841675,1513081.000000000000000,1380671.199999999953434,1487748.880000000121072,1466862.949999999953434,10308919.169999999925494
20160427,1555101.299999999813735,1402075.599999999860302,1546532.469999999972060,1520371.000000000000000,1386571.899999999906868,1471790.800000000046566,1471159.119999999878928,10353605.189999999478459
20160428,1533389.000000000000000,1373813.839999999850988,1534229.739999999990687,1504981.000000000000000,1384315.750000000000000,1463700.939999999944121,1450985.800000000046566,10245419.070000000298023
20160429,1530094.719999999972060,1337161.869999999878928,1524580.540000000037253,1480681.000000000000000,1390563.550000000046566,1459378.959999999962747,1442767.039999999804422,10165230.679999999701977
20160502,1547015.339999999850988,1351734.339999999850988,1538813.109999999869615,1493101.000000000000000,1405315.300000000046566,1464033.399999999906868,1465555.419999999692664,10265570.909999998286366
20160503,1517217.079999999841675,1340694.589999999850988,1509141.820000000065193,1487161.000000000000000,1407571.449999999953434,1468022.919999999925494,1441833.089999999850988,10171644.949999999254942
20160504,1506286.060000000055879,1318173.500000000000000,1509141.820000000065193,1479871.000000000000000,1416248.949999999953434,1463257.659999999916181,1441833.089999999850988,10134815.080000000074506
20160505,1518714.479999999981374,1320381.449999999720603,1477299.459999999962747,1460431.000000000000000,1411042.449999999953434,1466360.619999999878928,1445008.519999999785796,10099240.979999998584390
20160506,1525303.039999999804422,1326563.709999999729916,1485983.739999999990687,1447201.000000000000000,1425447.099999999860302,1463368.479999999981374,1451732.959999999729916,10125603.029999997466803
