代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12799943.940000001341105
真實報酬,2799943.940000001341105

夏普值報酬,0.271294394000000
夏普值風險,0.072814928253759
夏普值,3.725807337947824

預期報酬,10361.715476125249552
風險,249617.944835063564824
趨勢值,0.041510298800720
找到最佳解世代,2392
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](2),MCD[15](3),
20110725,6258508.860000000335276,5739967.680000000633299,11998476.540000000968575
20110726,6232275.730000000447035,5733453.879999999888241,11965729.609999999403954
20110727,6178446.709999999962747,5672875.540000000037253,11851322.250000000000000
20110728,6193777.760000000707805,5652682.759999999776483,11846460.519999999552965
20110729,6195481.209999999962747,5633141.360000000335276,11828622.570000000298023
20110801,6158005.310000000521541,5627278.940000000409782,11785284.250000000000000
20110802,6066019.010000000707805,5540645.400000000372529,11606664.410000000149012
20110803,6092592.830000001005828,5571911.640000000596046,11664504.470000002533197
20110804,5842185.680000000633299,5489837.759999999776483,11332023.440000001341105
20110805,5893289.180000000633299,5541948.160000000149012,11435237.339999999850988
20110808,5662982.740000000223517,5348488.299999999813735,11011471.039999999105930
20110809,5812545.650000001303852,5599269.599999999627471,11411815.250000000000000
20110810,5537608.820000000298023,5476810.160000000149012,11014418.980000000447035
20110811,5680357.930000000633299,5620113.759999999776483,11300471.690000001341105
20110812,5730439.360000000335276,5634444.120000000111759,11364883.480000000447035
20110815,5893629.870000001043081,5655288.279999999329448,11548918.150000000372529
20110816,5834009.120000001043081,5645517.580000000074506,11479526.700000001117587
20110817,5842185.680000000633299,5699582.120000000111759,11541767.800000000745058
20110818,5581557.830000001005828,5576471.299999999813735,11158029.130000000819564
20110819,5367263.820000000298023,5681994.860000000335276,11049258.679999999701977
20110822,5416323.180000000633299,5716518.000000000000000,11132841.179999999701977
20110823,5598251.640000000596046,5831812.259999999776483,11430063.900000000372529
20110824,5681380.000000000000000,5870895.059999999590218,11552275.059999998658895
20110825,5641178.580000001005828,5778399.099999999627471,11419577.679999999701977
20110826,5762464.219999999739230,5857867.460000000894070,11620331.679999999701977
20110829,5881024.340000000782311,5913886.140000000596046,11794910.480000000447035
20110830,5877276.750000000000000,5913234.759999999776483,11790511.509999999776483
20110831,5856835.350000000558794,5889133.700000000186265,11745969.050000000745058
20110901,5803006.330000001005828,5866986.779999999329448,11669993.109999999403954
20110902,5688875.180000000633299,5803151.540000000037253,11492026.720000000670552
20110906,5625166.150000001303852,5785564.279999999329448,11410730.429999999701977
20110907,5700117.950000000186265,5816179.140000000596046,11516297.089999999850988
20110908,5629935.810000000521541,5771885.299999999813735,11401821.109999999403954
20110909,5497748.090000000782311,5538691.259999999776483,11036439.350000001490116
20110912,5533520.540000000037253,5614251.339999999850988,11147771.879999998956919
20110913,5567930.230000000447035,5609691.680000000633299,11177621.910000000149012
20110914,5697733.120000001043081,5650728.620000000111759,11348461.740000002086163
20110915,5794829.770000000484288,5736710.779999999329448,11531540.550000000745058
20110916,5893629.870000001043081,5751041.140000000596046,11644671.010000001639128
20110919,5898399.530000000260770,5784912.900000000372529,11683312.429999999701977
20110920,5952569.240000000223517,5817481.900000000372529,11770051.140000000596046
20110921,5894651.940000000409782,5700884.879999999888241,11595536.820000000298023
20110922,5744748.340000000782311,5601223.740000000223517,11345972.080000001937151
20110923,5769278.020000000484288,5691114.180000000633299,11460392.200000001117587
20110926,5945414.750000000000000,5819436.040000000037253,11764850.789999999105930
20110927,6054435.550000000745058,5845491.240000000223517,11899926.790000000968575
20110928,6048984.510000000707805,5734105.259999999776483,11783089.769999999552965
20110929,6104176.290000000037253,5782958.759999999776483,11887135.050000000745058
20110930,5957679.590000000782311,5720426.279999999329448,11678105.870000001043081
20111003,5903850.570000000298023,5603177.879999999888241,11507028.449999999254942
20111004,5953250.620000001043081,5633141.360000000335276,11586391.980000000447035
20111005,6025136.209999999962747,5590801.660000000149012,11615937.870000001043081
20111006,6190030.170000000856817,5674178.299999999813735,11864208.470000000670552
20111007,6213878.469999999739230,5680040.720000000670552,11893919.190000001341105
20111010,6357990.340000000782311,5765371.500000000000000,12123361.839999999850988
20111011,6302798.560000000521541,5819436.040000000037253,12122234.600000001490116
20111012,6340955.840000000782311,5755600.799999999813735,12096556.640000000596046
20111013,6364804.140000000596046,5817481.900000000372529,12182286.040000000968575
20111014,6491200.130000000819564,5858518.839999999850988,12349718.970000000670552
20111017,6356968.270000000484288,5775142.200000000186265,12132110.470000000670552
20111018,6094977.660000001080334,5838977.440000000409782,11933955.100000001490116
20111019,6043533.469999999739230,5837674.680000000633299,11881208.150000000372529
20111020,6038763.810000000521541,5797940.500000000000000,11836704.310000000521541
20111021,6187986.030000000260770,6013547.279999999329448,12201533.309999998658895
20111024,6209108.810000000521541,5993354.500000000000000,12202463.310000000521541
20111025,6144718.400000001303852,5977721.379999999888241,12122439.780000001192093
20111026,6199569.490000000223517,5978372.759999999776483,12177942.250000000000000
20111027,6348451.020000000484288,6091061.500000000000000,12439512.519999999552965
20111028,6386267.610000000335276,6076731.140000000596046,12462998.750000000000000
20111031,6290193.030000000260770,6048070.419999999925494,12338263.449999999254942
20111101,6178446.709999999962747,5986840.700000000186265,12165287.410000000149012
20111102,6266004.040000000037253,6027226.259999999776483,12293230.300000000745058
20111103,6381157.260000000707805,6057841.120000000111759,12438998.380000000819564
20111104,6349813.780000000260770,6110602.900000000372529,12460416.679999999701977
20111107,6381838.640000000596046,6163364.680000000633299,12545203.320000000298023
20111108,6379453.810000000521541,6162061.919999999925494,12541515.730000000447035
20111109,6208768.120000001043081,6035042.820000000298023,12243810.940000001341105
20111110,6246584.709999999962747,6074777.000000000000000,12321361.710000000894070
20111111,6383882.780000000260770,6172484.000000000000000,12556366.780000001192093
20111114,6382860.709999999962747,6126887.400000000372529,12509748.109999999403954
20111115,6430557.310000000521541,6153593.980000000447035,12584151.290000000968575
20111116,6357990.340000000782311,6067611.820000000298023,12425602.160000000149012
20111117,6327668.930000000633299,6011593.140000000596046,12339262.070000000298023
20111118,6310975.120000001043081,6040905.240000000223517,12351880.360000001266599
20111121,6182875.680000000633299,6010941.759999999776483,12193817.440000001341105
20111122,6177083.950000000186265,6035042.820000000298023,12212126.769999999552965
20111123,6062612.110000000335276,5984235.180000000633299,12046847.290000000968575
20111125,6032290.700000000186265,5999216.919999999925494,12031507.620000001043081
20111128,6207746.050000000745058,6107346.000000000000000,12315092.050000000745058
20111129,6164478.420000000856817,6087804.599999999627471,12252283.019999999552965
20111130,6405005.560000000521541,6221988.879999999888241,12626994.440000001341105
20111201,6454405.610000000335276,6220686.120000000111759,12675091.730000000447035
20111202,6461560.100000000558794,6233713.720000000670552,12695273.820000000298023
20111205,6501761.520000000484288,6210915.419999999925494,12712676.940000001341105
20111206,6573306.420000000856817,6253906.500000000000000,12827212.920000001788139
20111207,6611123.010000000707805,6282567.220000000670552,12893690.230000000447035
20111208,6526972.580000001005828,6313182.080000000074506,12840154.660000000149012
20111209,6628498.200000000186265,6385485.259999999776483,13013983.460000000894070
20111212,6547413.980000000447035,6414797.360000000335276,12962211.339999999850988
20111213,6512322.910000001080334,6383531.120000000111759,12895854.030000001192093
20111214,6429535.240000000223517,6358127.299999999813735,12787662.539999999105930
20111215,6387289.680000000633299,6392650.440000000409782,12779940.120000001043081
20111216,6254079.890000000596046,6350310.740000000223517,12604390.630000000819564
20111219,6230912.969999999739230,6334026.240000000223517,12564939.210000000894070
20111220,6379113.120000001043081,6436944.279999999329448,12816057.400000000372529
20111221,6182534.990000000223517,6461696.720000000670552,12644231.710000000894070
20111222,6201954.320000000298023,6422613.919999999925494,12624568.240000000223517
20111223,6294281.310000000521541,6523577.820000000298023,12817859.130000000819564
20111227,6301095.110000000335276,6549633.019999999552965,12850728.129999998956919
20111228,6268388.870000001043081,6486449.160000000149012,12754838.030000001192093
20111229,6342999.980000000447035,6566568.900000000372529,12909568.880000000819564
20111230,6264641.280000000260770,6535302.660000000149012,12799943.940000001341105
