代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16170162.640000000596046
真實報酬,6170162.640000000596046

夏普值報酬,0.608316264000000
夏普值風險,0.137477899917776
夏普值,4.424829477056510

預期報酬,27166.869673789198714
風險,364205.417617667932063
趨勢值,0.074592162443636
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),UNH[23](1),WBA[27](4),
Stock#,PFE[20](3),UNH[23](1),WBA[27](4),
張數,233754,117370,124843,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,0.959999999962747,25.000000000000000,24.899999999906868,
20100701,3326320.379999999888241,3268779.500000000000000,3315854.979999999515712,9910955.859999999403954
20100702,3305282.520000000018626,3321596.000000000000000,3290886.379999999888241,9917765.899999998509884
20100706,3340345.619999999646097,3390844.300000000279397,3323345.560000000055879,10054536.480000000447035
20100707,3417484.439999999944121,3427229.000000000000000,3389512.349999999627471,10234226.789999999105930
20100708,3464235.240000000223517,3483566.600000000093132,3510610.060000000055879,10458412.900000000372529
20100709,3452547.540000000037253,3517603.899999999906868,3545566.099999999627471,10515718.539999999105930
20100712,3489948.179999999701977,3525819.799999999813735,3513106.919999999925494,10528875.899999998509884
20100713,3457222.619999999646097,3537556.800000000279397,3634204.629999999888241,10628985.050000000745058
20100714,3468910.319999999832362,3558683.399999999906868,3697874.560000000055879,10725469.279999999329448
20100715,3475922.939999999944121,3624410.600000000093132,3710358.859999999869615,10810693.400000000372529
20100716,3403459.200000000186265,3561030.799999999813735,3646688.930000000167638,10611179.929999999701977
20100719,3443197.379999999888241,3617368.399999999906868,3649185.790000000037253,10709752.570000000298023
20100720,3401121.660000000149012,3618542.099999999627471,3685390.259999999776483,10705055.019999999552965
20100721,3389433.959999999962747,3603284.000000000000000,3602993.879999999888241,10595712.839999999850988
20100722,3461897.700000000186265,3638495.000000000000000,3671657.529999999795109,10772051.230000000447035
20100723,3408134.279999999795109,3629105.400000000372529,3762792.919999999925494,10800033.599999999627471
20100726,3510986.040000000037253,3693658.899999999906868,3730333.739999999757856,10934979.679999999701977
20100727,3569424.540000000037253,3612673.600000000093132,3631707.770000000018626,10813806.910000000149012
20100728,3506310.959999999962747,3559857.099999999627471,3610484.459999999962747,10676653.519999999552965
20100729,3527348.819999999832362,3572767.800000000279397,3535578.660000000149012,10635696.280000001192093
20100730,3506310.959999999962747,3573941.500000000000000,3564292.549999999813735,10644546.009999999776483
20100802,3618512.879999999888241,3690137.800000000279397,3636701.489999999757856,10945353.169999999925494
20100803,3819541.319999999832362,3805160.400000000372529,3598000.160000000149012,11222702.880000000819564
20100804,3842916.720000000204891,3862671.699999999720603,3558050.399999999906868,11263639.820000000298023
20100805,3784478.220000000204891,3922530.400000000372529,3519349.070000000298023,11226358.690000001341105
20100806,3796165.919999999459833,3926051.500000000465661,3495628.899999999906868,11217847.320000000298023
20100809,3838241.640000000130385,3930746.300000000279397,3539323.950000000186265,11308312.890000000596046
20100810,3873304.740000000223517,3911967.099999999627471,3523094.359999999869615,11308367.199999999254942
20100811,3740064.959999999962747,3754691.299999999813735,3461921.290000000037253,10956678.550000000745058
20100812,3786815.759999999776483,3771123.100000000093132,3499374.189999999944121,11057314.049999998882413
20100813,3758765.279999999795109,3759386.100000000093132,3516852.209999999962747,11035004.589999999850988
20100816,3747077.580000000074506,3744128.000000000000000,3519349.070000000298023,11010555.650000000372529
