代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13704500.089999999850988
真實報酬,3704500.089999999850988

夏普值報酬,0.361750009000000
夏普值風險,0.086216467459825
夏普值,4.195834272246967

預期報酬,14981.124103450158145
風險,246866.766480743826833
趨勢值,0.060685058248287
找到最佳解世代,1776
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
Stock#,MCD[15](2),MRK[17](3),PG[21](1),
張數,21273,54914,42702,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,66.629999999888241,53.199999999720603,14.879999999888241,
20180702,3337162.140000000130385,3320153.639999999664724,3336322.139999999664724,9993638.919999998062849
20180703,3328865.669999999459833,3333882.139999999664724,3326500.680000000167638,9989249.489999998360872
20180705,3346734.989999999757856,3384952.159999999683350,3382440.299999999813735,10114128.449999999254942
20180706,3391408.289999999571592,3415704.000000000000000,3386710.500000000000000,10193823.789999999105930
20180709,3402470.250000000000000,3405819.479999999981374,3324792.600000000093132,10133083.330000000074506
20180710,3416935.890000000130385,3421195.399999999441206,3408488.519999999552965,10246620.809999998658895
20180711,3374389.890000000130385,3399229.799999999813735,3380305.199999999720603,10153925.889999998733401
20180712,3385026.390000000130385,3440964.439999999478459,3368775.659999999683350,10194767.490000000223517
20180713,3372049.859999999869615,3453594.659999999683350,3386710.500000000000000,10212356.019999999552965
20180716,3377793.569999999832362,3437120.459999999962747,3396104.939999999944121,10211019.969999998807907
20180717,3398428.379999999888241,3433825.619999999646097,3417455.939999999944121,10249710.939999999478459
20180718,3359711.520000000018626,3456340.359999999403954,3404218.319999999832362,10220271.199999999254942
20180719,3348649.559999999590218,3432727.339999999385327,3361943.339999999850988,10143321.239999998360872
20180720,3360562.439999999944121,3433276.479999999981374,3359808.240000000223517,10153648.160000000149012
20180723,3377155.379999999888241,3442611.859999999403954,3352548.899999999906868,10172317.139999998733401
20180724,3359924.250000000000000,3482699.079999999608845,3373045.859999999869615,10215670.189999999478459
20180725,3380133.599999999627471,3541457.059999999590218,3393542.819999999832362,10315134.479999998584390
20180726,3321632.849999999627471,3515098.339999999850988,3420018.060000000055879,10256750.250000000000000
20180727,3350138.669999999459833,3486543.060000000055879,3440942.040000000037253,10277624.769999999552965
20180730,3374815.349999999627471,3559029.540000000037253,3424715.279999999795109,10358561.169999999925494
20180731,3351415.049999999813735,3617238.379999999888241,3453752.639999999664724,10422407.070000000298023
20180801,3338225.789999999571592,3596371.059999999590218,3443931.180000000167638,10378529.029999999329448
20180802,3306103.559999999590218,3581544.279999999795109,3501578.879999999888241,10389227.719999998807907
20180803,3323121.959999999962747,3620533.220000000204891,3515670.540000000037253,10459326.719999998807907
20180806,3333971.189999999944121,3636458.279999999795109,3523783.919999999925494,10494214.390000000596046
20180807,3319505.549999999813735,3656227.319999999832362,3528908.159999999683350,10504642.029999999329448
20180808,3380771.789999999571592,3662267.859999999403954,3516524.579999999608845,10559565.229999998584390
20180809,3388855.530000000260770,3624377.199999999720603,3475957.680000000167638,10489191.410000000149012
20180810,3375666.270000000018626,3628221.179999999236315,3477238.740000000223517,10481127.189999999478459
20180813,3364178.849999999627471,3663915.279999999795109,3481081.919999999925494,10509177.049999998882413
20180814,3416510.429999999701977,3649637.639999999199063,3472114.500000000000000,10538263.569999998435378
20180815,3401193.869999999646097,3699609.379999999888241,3514389.479999999981374,10615193.730000000447035
20180816,3440548.919999999459833,3780882.099999999627471,3573745.259999999776483,10795177.279999999329448
20180817,3428210.580000000074506,3792414.040000000037253,3573745.259999999776483,10794370.879999998956919
20180820,3439485.270000000018626,3853368.579999999608845,3571610.159999999683350,10864465.009999999776483
20180821,3425870.549999999813735,3798454.579999999608845,3582712.680000000167638,10807038.809999998658895
20180822,3415446.780000000260770,3791315.760000000242144,3560934.659999999683350,10767698.200000001117587
20180823,3383537.280000000260770,3787471.779999999795109,3554529.359999999869615,10725539.419999999925494
20180824,3390557.369999999646097,3791315.760000000242144,3559653.600000000093132,10741527.730000000447035
20180827,3413957.669999999459833,3788570.059999999590218,3563069.759999999776483,10765598.489999998360872
20180828,3438634.349999999627471,3768801.019999999552965,3564777.839999999850988,10772214.209999999031425
20180829,3469905.660000000149012,3778685.540000000037253,3565204.859999999869615,10813797.060000000521541
20180830,3463311.030000000260770,3763858.760000000242144,3561788.699999999720603,10788959.490000000223517
20180831,3451185.419999999459833,3766604.459999999962747,3542145.779999999795109,10759936.659999998286366
20180904,3440336.189999999944121,3731459.500000000000000,3531470.279999999795109,10703266.969999998807907
20180905,3472671.149999999906868,3768251.879999999888241,3556664.459999999962747,10797588.489999998360872
20180906,3483307.649999999906868,3809986.519999999552965,3529335.180000000167638,10822630.349999999627471
20180907,3486711.330000000074506,3825911.579999999608845,3497735.699999999720603,10810359.609999999403954
20180910,3511600.739999999757856,3819871.040000000037253,3517805.639999999664724,10849278.419999998062849
20180911,3502027.890000000130385,3793512.319999999832362,3502005.899999999906868,10797547.109999999403954
20180912,3504580.649999999906868,3836345.239999999757856,3548978.100000000093132,10889904.990000000223517
20180913,3454801.830000000074506,3889611.819999999832362,3563496.779999999795109,10907911.429999999701977
20180914,3421615.950000000186265,3842934.919999999925494,3570329.100000000093132,10834880.970000000670552
20180917,3364178.849999999627471,3867097.079999999608845,3597658.379999999888241,10828935.309999998658895
20180918,3356307.840000000316650,3867097.079999999608845,3586982.879999999888241,10810388.800000000745058
20180919,3386302.770000000018626,3842934.919999999925494,3586982.879999999888241,10816221.570000000298023
20180920,3420552.299999999813735,3886866.119999999646097,3645057.600000000093132,10952477.019999999552965
20180921,3516493.530000000260770,3904438.599999999627471,3664700.519999999552965,11085633.649999998509884
20180924,3474160.259999999776483,3886866.119999999646097,3598512.419999999925494,10959539.799999998882413
20180925,3540106.559999999590218,3879727.299999999813735,3549405.120000000111759,10969239.980000000447035
20180926,3526279.109999999869615,3862154.819999999832362,3555383.399999999906868,10943818.330000000074506
20180927,3542659.319999999832362,3883571.279999999795109,3538302.600000000093132,10964534.199999999254942
20180928,3558826.799999999813735,3895652.359999999403954,3554102.339999999850988,11008582.500000000000000
20181001,3545637.539999999571592,3928051.619999999646097,3572891.219999999739230,11046581.379999998956919
20181002,3513940.770000000018626,3940132.699999999720603,3602355.600000000093132,11056430.070000000298023
20181003,3502878.809999999590218,3919265.379999999888241,3545561.939999999944121,10967707.129999998956919
20181004,3527130.030000000260770,3911028.279999999795109,3498162.719999999739230,10936322.030000001192093
20181005,3543510.239999999757856,3900594.619999999646097,3507984.180000000167638,10952090.039999999105930
20181008,3569037.840000000316650,3924207.639999999199063,3518659.680000000167638,11011906.160000000149012
20181009,3612860.220000000204891,3972531.959999999962747,3510119.279999999795109,11095512.459999999031425
20181010,3581801.640000000130385,3868744.500000000000000,3477665.759999999776483,10928212.900000000372529
20181011,3466927.439999999944121,3754523.379999999888241,3367921.620000000111759,10589373.440000001341105
20181012,3485009.489999999757856,3833599.540000000037253,3376035.000000000000000,10694645.029999999329448
20181015,3481818.539999999571592,3814379.639999999199063,3421726.139999999664724,10717925.319999998435378
20181016,3490327.739999999757856,3911028.279999999795109,3459303.899999999906868,10860660.919999999925494
20181017,3547764.840000000316650,3943976.679999999236315,3495600.600000000093132,10987343.119999999180436
20181018,3548615.759999999776483,3965393.139999999199063,3426423.359999999869615,10940433.259999997913837
