代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13422152.160000000149012
真實報酬,3422152.160000000149012

夏普值報酬,0.333515216000000
夏普值風險,0.087458212057965
夏普值,3.813423670026037

預期報酬,14617.002568484173025
風險,161114.791172152588842
趨勢值,0.090724150539759
找到最佳解世代,2306
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
Stock#,AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
張數,17433,12833,21984,15898,32571,22470,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,71.200000000186265,44.290000000037253,58.959999999962747,78.659999999916181,7.929999999934807,66.099999999860302,
20160701,1671721.570000000298023,1664356.060000000055879,1680735.760000000009313,1655855.360000000102445,1666340.289999999804422,1673631.699999999953434,10012644.740000000223517
20160705,1656031.870000000111759,1629450.300000000046566,1635228.879999999888241,1646634.519999999785796,1666666.000000000000000,1677901.000000000000000,9911916.570000000298023
20160706,1665445.690000000176951,1629321.969999999972060,1645121.679999999934807,1662691.500000000000000,1673505.909999999916181,1664194.299999999813735,9940285.050000000745058
20160707,1672593.220000000204891,1632016.900000000139698,1649958.159999999916181,1638367.559999999823049,1673505.909999999916181,1664194.299999999813735,9930640.050000000745058
20160708,1685493.640000000363216,1669489.260000000009313,1700961.040000000037253,1665712.119999999878928,1703471.229999999748543,1717223.500000000000000,10142354.790000000968575
20160711,1690723.540000000270084,1694513.609999999869615,1710414.159999999916181,1675568.879999999888241,1712916.820000000065193,1719470.499999999767169,10203611.509999999776483
20160712,1698394.060000000288710,1678729.020000000018626,1754382.159999999916181,1697667.099999999860302,1733110.839999999850988,1741041.699999999953434,10303328.879999998956919
20160713,1688805.910000000381842,1669745.920000000158325,1751963.919999999925494,1695600.360000000102445,1742882.139999999897555,1740592.299999999813735,10289594.550000000745058
20160714,1722277.270000000251457,1688225.440000000176951,1760098.000000000000000,1696395.260000000009313,1750373.469999999972060,1755871.899999999906868,10373245.340000001713634
20160715,1722102.940000000176951,1699005.159999999916181,1774167.760000000009313,1701641.599999999860302,1749070.630000000121072,1759467.099999999860302,10405459.189999999478459
20160718,1740407.590000000083819,1712351.480000000214204,1754821.839999999850988,1686697.479999999981374,1757539.089999999850988,1759691.799999999813735,10411513.280000001192093
20160719,1741104.910000000381842,1728136.070000000065193,1753063.119999999878928,1685902.580000000074506,1729202.320000000065193,1768904.499999999767169,10406317.500000000000000
20160720,1742673.880000000121072,1728906.050000000046566,1751963.919999999925494,1678748.479999999981374,1821052.539999999804422,1783285.299999999813735,10506634.169999998062849
20160721,1733434.390000000363216,1713634.780000000027940,1758998.800000000046566,1675568.879999999888241,1817469.729999999748543,1770477.399999999906868,10469587.980000000447035
20160722,1720010.980000000214204,1712864.800000000046566,1745148.879999999888241,1679861.339999999850988,1842549.399999999906868,1795643.799999999813735,10496083.199999999254942
20160725,1696999.420000000158325,1706063.310000000055879,1729979.919999999925494,1638685.519999999785796,1847760.759999999776483,1773847.899999999906868,10393340.830000000074506
20160726,1685319.310000000288710,1730574.339999999850988,1819234.959999999962747,1632485.300000000046566,1848737.889999999897555,1763736.399999999674037,10480092.200000001117587
20160727,1794798.550000000279397,1744818.970000000204891,1848913.359999999869615,1625808.139999999897555,1830172.419999999925494,1764635.199999999953434,10609150.640000000596046
20160728,1819030.420000000158325,1706961.619999999878928,1822972.239999999990687,1618336.080000000074506,1830823.839999999850988,1779465.399999999906868,10577593.599999999627471
20160729,1816764.130000000121072,1715303.070000000065193,1819454.800000000046566,1629305.699999999953434,1846132.209999999962747,1753849.599999999860302,10580813.509999999776483
20160801,1848840.850000000093132,1709528.220000000204891,1801647.760000000009313,1575729.439999999944121,1842875.109999999869615,1758568.300000000046566,10537193.679999999701977
20160802,1821471.040000000270084,1688867.089999999850988,1786039.119999999878928,1583360.479999999981374,1842875.109999999869615,1759017.699999999953434,10481634.539999999105930
20160803,1844308.270000000251457,1692332.000000000000000,1803406.479999999981374,1599576.439999999944121,1855577.799999999813735,1768679.799999999813735,10563884.789999999105930
20160804,1845702.910000000381842,1683862.220000000204891,1797690.639999999897555,1596078.879999999888241,1869257.619999999878928,1785981.699999999953434,10578577.969999998807907
20160805,1873770.040000000270084,1690535.379999999888241,1815058.000000000000000,1597986.639999999897555,1887823.089999999850988,1800811.899999999906868,10665989.049999998882413
