代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11018899.550000000745058
真實報酬,1018899.550000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17527.257699758811214
風險,114298.438104879212915
起點值,0.153346432290492
找到最佳解世代,1895
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),MCD[15](2),PG[21](3),TRV[22](4),UNH[23](6),
Stock#,BA[2](1),MCD[15](2),PG[21](3),TRV[22](4),UNH[23](6),
張數,35599,31857,32722,40152,63431,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.179999999934807,17.540000000037253,31.360000000102445,28.879999999888241,20.569999999832362,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2065502.160000000149012,1984708.639999999897555,2000654.440000000176951,1952620.639999999897555,1996828.449999999953434,10000314.330000000074506
FS( 3 ),2128156.400000000372529,1957630.190000000176951,1991165.060000000055879,1924915.759999999776483,2016492.059999999823049,10018359.470000000670552
FS( 4 ),2214305.980000000447035,1971965.840000000083819,1980366.800000000279397,1952620.639999999897555,2093877.879999999655411,10213137.140000000596046
FS( 5 ),2192946.580000000074506,1970054.420000000158325,1977749.040000000037253,1949810.000000000000000,2074214.270000000018626,10164774.310000000521541
FS( 6 ),2166959.309999999590218,1985345.780000000027940,1969895.760000000242144,1949006.959999999962747,2088169.089999999850988,10159376.899999998509884
FS( 7 ),2151295.750000000000000,1996177.159999999916181,1992473.940000000176951,1961454.079999999841675,2032984.119999999646097,10134385.050000000745058
FS( 8 ),2177283.019999999552965,1993947.170000000158325,2013088.800000000279397,1968279.919999999925494,2064065.309999999823049,10216664.220000000670552
FS( 9 ),2191522.620000000111759,1995858.590000000083819,2015052.120000000111759,1978719.439999999944121,2113541.489999999757856,10294694.259999999776483
FS( 10 ),2165179.360000000335276,1984071.500000000000000,1990183.400000000139698,1959044.959999999962747,2140816.819999999832362,10239296.040000000968575
FS( 11 ),2159127.530000000260770,2022299.899999999906868,2019633.199999999953434,1984742.239999999990687,2228351.600000000093132,10414154.470000000670552
FS( 12 ),2143107.980000000447035,2007327.109999999869615,1978076.260000000242144,1964666.239999999990687,2191561.619999999646097,10284739.210000000894070
FS( 13 ),2107508.980000000447035,2013379.940000000176951,1958115.840000000316650,1965469.280000000027940,2099586.669999999925494,10144060.710000000894070
FS( 14 ),2056602.410000000149012,2019432.770000000018626,1973495.180000000167638,1939772.000000000000000,2103392.529999999795109,10092694.890000000596046
FS( 15 ),2056958.399999999906868,2009875.670000000158325,1983966.220000000204891,1963060.159999999916181,2093243.569999999832362,10107104.020000001415610
FS( 16 ),2054466.469999999972060,2032812.710000000195578,1985929.540000000037253,2016863.839999999850988,2057722.209999999729916,10147794.769999999552965
FS( 17 ),2204694.250000000000000,2030264.149999999906868,1989856.180000000167638,2043765.679999999934807,2108467.009999999776483,10377047.269999999552965
FS( 18 ),2227121.620000000111759,2001592.850000000093132,2018324.320000000065193,2018469.919999999925494,2120518.899999999906868,10386027.610000001266599
FS( 19 ),2157347.580000000074506,1988850.050000000046566,2014070.459999999962747,2034530.719999999972060,2093243.569999999832362,10288042.379999998956919
FS( 20 ),2196506.480000000447035,2035361.270000000018626,2028468.140000000130385,2035333.759999999776483,2101489.600000000093132,10397159.250000000000000
FS( 21 ),2205050.240000000223517,2039821.250000000000000,2058245.160000000149012,2051394.560000000055879,2159846.119999999646097,10514357.330000000074506
FS( 22 ),2187962.719999999739230,2077412.509999999776483,2050064.660000000149012,2030515.519999999785796,2113541.489999999757856,10459496.899999998509884
FS( 23 ),2111780.860000000335276,2040776.960000000195578,2009162.160000000149012,1996787.839999999850988,2058990.829999999841675,10217498.650000000372529
FS( 24 ),2079029.779999999795109,2018795.629999999888241,2005889.959999999962747,2018871.439999999944121,2064065.309999999823049,10186652.119999999180436
FS( 25 ),2060874.290000000037253,2004459.979999999981374,1996400.580000000074506,1969484.479999999748543,2055819.279999999562278,10087038.609999999403954
FS( 26 ),2126732.440000000409782,2025167.030000000027940,2020942.080000000074506,1990363.519999999785796,2093243.569999999832362,10256448.640000000596046
FS( 27 ),2119612.639999999664724,2014972.790000000037253,2017997.100000000093132,1995181.759999999776483,2074848.579999999841675,10222612.869999999180436
FS( 28 ),2156991.589999999850988,2032175.570000000065193,2027486.480000000214204,2015659.280000000027940,2100855.289999999571592,10333168.210000000894070
FS( 29 ),2123528.530000000260770,2025804.170000000158325,2020942.080000000074506,2025697.280000000027940,2041230.149999999906868,10237202.210000000894070
FS( 30 ),2180842.919999999925494,2039184.110000000102445,2055954.620000000111759,2072273.599999999860302,2006343.099999999860302,10354598.349999999627471
FS( 31 ),2200778.360000000335276,2047148.360000000102445,2056609.060000000055879,2077894.879999999888241,2064699.619999999646097,10447130.280000001192093
FS( 32 ),2238869.290000000037253,2054156.900000000139698,2074278.940000000176951,2117645.359999999869615,2073579.959999999729916,10558530.449999999254942
FS( 33 ),2263788.589999999850988,2062439.719999999972060,2076242.260000000242144,2123266.640000000130385,2026006.709999999962747,10551743.920000001788139
FS( 34 ),2277316.209999999962747,2063395.429999999934807,2075260.600000000093132,2129690.959999999962747,2098318.049999999813735,10643981.250000000000000
FS( 35 ),2234597.410000000149012,2066581.130000000121072,2068388.980000000214204,2102387.600000000093132,2081191.679999999934807,10553146.800000000745058
FS( 36 ),2259872.700000000186265,2079005.360000000102445,2090639.940000000176951,2119652.959999999962747,2132570.789999999571592,10681741.750000000000000
FS( 37 ),2238157.309999999590218,2050971.199999999953434,2084422.760000000242144,2118046.879999999888241,2121787.520000000018626,10613385.669999998062849
FS( 38 ),2248481.019999999552965,2034086.989999999990687,2070679.520000000251457,2111622.560000000055879,2147794.229999999981374,10612664.320000000298023
FS( 39 ),2278384.179999999701977,2038228.399999999906868,2078205.580000000074506,2131297.040000000037253,2159211.809999999590218,10685327.009999997913837
FS( 40 ),2294047.740000000223517,2041095.529999999795109,2084749.980000000214204,2139728.959999999962747,2153503.020000000018626,10713125.230000000447035
FS( 41 ),2294403.730000000447035,2027078.450000000186265,2079514.459999999962747,2132903.119999999646097,2163017.669999999925494,10696917.429999999701977
FS( 42 ),2333562.629999999888241,2020707.050000000046566,2083441.100000000093132,2150168.479999999981374,2090072.020000000018626,10677951.279999999329448
FS( 43 ),2418288.250000000000000,2028352.729999999981374,2084095.540000000037253,2165827.759999999776483,2140182.509999999776483,10836746.790000000968575
FS( 44 ),2393724.939999999478459,2074545.380000000121072,2067734.540000000037253,2160206.479999999981374,2099586.669999999925494,10795798.009999999776483
FS( 45 ),2413304.390000000596046,2073908.239999999757856,2071333.959999999962747,2150971.520000000018626,2098318.049999999813735,10807836.160000000149012
FS( 46 ),2492334.169999999925494,2068811.119999999878928,2061844.580000000074506,2123668.159999999683350,2108467.009999999776483,10855125.039999999105930
FS( 47 ),2494470.109999999403954,2077412.509999999776483,2067080.100000000093132,2152979.119999999646097,2124959.069999999832362,10916900.909999998286366
FS( 48 ),2485926.349999999627471,2087606.750000000000000,2071988.400000000139698,2134509.199999999720603,2087534.779999999562278,10867565.479999998584390
FS( 49 ),2470618.780000000260770,2100349.550000000279397,2084422.760000000242144,2117243.839999999850988,2063431.000000000000000,10836065.929999999701977
FS( 50 ),2446411.459999999962747,2104809.529999999795109,2078860.020000000251457,2122062.080000000074506,2096415.119999999646097,10848558.209999999031425
FS( 51 ),2469906.799999999813735,2114685.199999999720603,2094566.580000000307336,2127683.359999999869615,2077385.819999999832362,10884227.759999999776483
FS( 52 ),2522949.310000000521541,2124242.300000000279397,2085404.419999999925494,2143342.640000000130385,2130667.859999999869615,11006606.530000001192093
FS( 53 ),2517609.459999999962747,2119463.750000000000000,2089003.840000000316650,2146554.799999999813735,2181412.659999999683350,11054044.510000001639128
FS( 54 ),2559972.269999999552965,2134755.110000000335276,2090312.720000000204891,2143744.159999999683350,2112272.869999999646097,11041057.129999998956919
FS( 55 ),2569584.000000000000000,2145586.489999999757856,2111582.020000000484288,2164221.679999999701977,2103392.529999999795109,11094366.720000000670552
FS( 56 ),2574567.859999999403954,2128065.140000000130385,2081477.780000000027940,2170646.000000000000000,2075482.889999999664724,11030239.670000001788139
FS( 57 ),2580619.689999999478459,2131250.840000000316650,2081805.000000000000000,2171449.040000000037253,2100855.289999999571592,11065979.859999999403954
FS( 58 ),2584179.589999999850988,2142719.360000000335276,2084095.540000000037253,2182290.080000000074506,2069774.100000000093132,11063058.669999999925494
FS( 59 ),2638290.070000000298023,2136666.529999999795109,2085404.419999999925494,2198752.399999999906868,2083094.610000000102445,11142208.029999999329448
FS( 60 ),2617642.650000000372529,2142082.219999999739230,2083113.879999999888241,2165426.239999999757856,2097049.429999999934807,11105314.419999999925494
FS( 61 ),2584891.570000000298023,2125516.580000000074506,2070352.300000000279397,2165827.759999999776483,2072311.339999999850988,11018899.550000000745058
