代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12087690.310000000521541
真實報酬,2087690.310000000521541

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18807.314252429627231
風險,254573.653234005498234
起點值,0.073877693207874
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](1),INTC[11](15),NKE[19](2),
Stock#,CSCO[4](1),INTC[11](15),NKE[19](2),
張數,96283,71362,60529,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,15.540000000037253,13.979999999981374,0.970000000204891,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3293856.970000000204891,3361164.180000000167638,3336359.450000000186265,9991381.600000001490116
FS( 3 ),3318890.549999999813735,3306929.060000000055879,3372071.560000000055879,9997892.169999999925494
FS( 4 ),3313113.569999999832362,3332619.380000000353903,3392046.130000000353903,10037780.080000000074506
FS( 5 ),3312150.739999999757856,3338328.339999999850988,3338175.320000000298023,9988655.400000000372529
FS( 6 ),3321779.040000000037253,3332619.380000000353903,3375098.010000000242144,10029497.429999999701977
FS( 7 ),3278451.689999999944121,3304074.579999999608845,3397493.740000000223517,9980021.009999999776483
FS( 8 ),3272674.710000000428408,3252693.939999999944121,3395072.580000000540167,9920442.230000000447035
FS( 9 ),3268823.390000000130385,3264825.479999999981374,3384177.359999999869615,9917827.230000000447035
FS( 10 ),3277488.859999999869615,3272675.299999999813735,3388414.390000000130385,9938579.550000000745058
FS( 11 ),3284228.669999999925494,3244130.500000000000000,3427758.240000000223517,9956118.410000000149012
FS( 12 ),3454649.580000000074506,3257689.279999999795109,3464075.640000000130385,10176415.500000000000000
FS( 13 ),3456575.239999999757856,3184900.040000000037253,3582712.479999999981374,10224188.759999999776483
FS( 14 ),3514345.040000000037253,3184186.419999999925494,3586344.220000000204891,10284876.679999999701977
FS( 15 ),3528787.489999999757856,3207022.259999999776483,3594818.280000000260770,10330629.030000001192093
FS( 16 ),3509530.890000000130385,3186327.279999999795109,3575449.000000000000000,10271308.169999999925494
FS( 17 ),3513382.210000000428408,3193463.479999999981374,3590581.250000000000000,10297427.940000001341105
FS( 18 ),3549969.750000000000000,3174909.360000000335276,3609345.240000000223517,10334225.350000001490116
FS( 19 ),3632773.129999999888241,3192036.239999999757856,3606318.790000000037253,10431129.160000000149012
FS( 20 ),3608702.379999999888241,3136373.880000000353903,3653531.410000000149012,10398608.669999999925494
FS( 21 ),3591371.439999999944121,3199886.060000000055879,3657163.150000000372529,10448421.650000000372529
FS( 22 ),3620256.340000000316650,3188468.140000000130385,3624477.490000000223517,10433202.970000000670552
FS( 23 ),3631810.299999999813735,3174909.360000000335276,3637793.870000000111759,10444514.530000001192093
FS( 24 ),3592334.270000000484288,3099979.259999999776483,3657163.150000000372529,10349477.679999999701977
FS( 25 ),3601962.569999999832362,3100692.880000000353903,3614792.850000000093132,10317449.300000000745058
FS( 26 ),3600999.739999999757856,3074288.939999999944121,3668058.370000000111759,10343348.050000000745058
FS( 27 ),3621219.169999999925494,3093556.680000000167638,3710428.669999999925494,10425205.519999999552965
FS( 28 ),3654918.220000000204891,3115678.899999999906868,3747351.359999999869615,10517949.480000000447035
FS( 29 ),3650104.069999999832362,3092129.439999999944121,3763088.900000000372529,10505323.410000000149012
FS( 30 ),3673211.989999999757856,3092843.060000000055879,3892015.669999999925494,10658071.719999998807907
FS( 31 ),3649141.239999999757856,3087134.099999999627471,3905937.340000000316650,10642213.679999999701977
FS( 32 ),3677063.309999999590218,3179904.700000000186265,3921674.880000000353903,10778643.890000000596046
FS( 33 ),3704985.379999999888241,3301220.099999999627471,3922885.460000000428408,10929091.939999999478459
FS( 34 ),3687654.439999999944121,3356882.459999999962747,3888383.929999999701977,10932921.830000000074506
FS( 35 ),3730018.960000000428408,3393990.700000000186265,3849040.080000000540167,10973050.740000000223517
FS( 36 ),3709799.530000000260770,3336901.099999999627471,3920464.299999999813735,10967165.929999999701977
FS( 37 ),3711725.189999999944121,3332619.380000000353903,3830881.380000000353903,10875226.950000001117587
FS( 38 ),3704985.379999999888241,3288374.939999999944121,3852671.820000000298023,10846033.140000000596046
FS( 39 ),3712688.020000000484288,3290515.799999999813735,3810301.520000000484288,10813506.339999999850988
FS( 40 ),3715576.510000000242144,3298365.620000000111759,3810301.520000000484288,10824244.650000002235174
FS( 41 ),3687654.439999999944121,3294083.899999999906868,3786089.919999999925494,10767829.259999999776483
