代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12869561.839999999850988
真實報酬,2869561.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25782.033098418694863
風險,227827.362597207684303
起點值,0.113164778824221
找到最佳解世代,3130
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,3
BA[2](2),DD[7](15),UNH[23](1),
Stock#,BA[2](2),DD[7](15),UNH[23](1),
張數,43133,73583,62282,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.759999999776483,23.100000000093132,0.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3325137.729999999981374,3345106.280000000260770,3320876.600000000093132,9991121.609999999403954
FS( 3 ),3392856.539999999571592,3374539.479999999981374,3332087.359999999869615,10099484.379999998956919
FS( 4 ),3410972.399999999906868,3427519.239999999757856,3338938.379999999888241,10177431.019999999552965
FS( 5 ),3495944.409999999683350,3405444.340000000316650,3350771.959999999497086,10252161.709999999031425
FS( 6 ),3503708.350000000093132,3434141.710000000428408,3351394.779999999795109,10289245.839999999850988
FS( 7 ),3577465.779999999795109,3456952.439999999944121,3376307.580000000074506,10410726.800000000745058
FS( 8 ),3630088.039999999571592,3483442.320000000298023,3414922.419999999925494,10528453.779999999329448
FS( 9 ),3655536.509999999776483,3479763.169999999925494,3393123.719999999739230,10528424.399999998509884
FS( 10 ),3649929.220000000204891,3528327.950000000186265,3408694.219999999739230,10586952.390000000596046
FS( 11 ),3727999.950000000186265,3543044.549999999813735,3408694.219999999739230,10679739.719999998807907
FS( 12 ),3674083.700000000186265,3486385.640000000130385,3425510.359999999869615,10585980.699999999254942
FS( 13 ),3688317.589999999850988,3478291.510000000242144,3436098.299999999813735,10602708.399999998509884
FS( 14 ),3682278.970000000204891,3504045.560000000055879,3418036.520000000018626,10604362.050000000745058
FS( 15 ),3637420.649999999906868,3403236.850000000093132,3429247.279999999795109,10469905.779999999329448
FS( 16 ),3658555.819999999366701,3434877.540000000037253,3391878.080000000074506,10485312.439999999478459
FS( 17 ),3659849.809999999590218,3383369.439999999944121,3416790.879999999888241,10460011.129999998956919
FS( 18 ),3736195.220000000204891,3353200.410000000149012,3465993.659999999683350,10555390.290000000968575
FS( 19 ),3718079.359999999869615,3330389.680000000167638,3526407.199999999720603,10574877.240000000223517
FS( 20 ),3702982.809999999590218,3336276.320000000298023,3563153.580000000074506,10602413.710000000894070
FS( 21 ),3677103.009999999776483,3286975.710000000428408,3672769.899999999906868,10636849.620000001043081
FS( 22 ),3627068.729999999981374,3243561.739999999757856,3845291.040000000037253,10715922.509999999776483
FS( 23 ),3638714.639999999664724,3248712.549999999813735,3840931.299999999813735,10728359.489999998360872
FS( 24 ),3664163.109999999869615,3293598.180000000167638,3863352.819999999832362,10821115.109999999403954
FS( 25 ),3716785.369999999646097,3237675.100000000093132,3867712.560000000055879,10822174.029999999329448
FS( 26 ),3741802.509999999776483,3214864.370000000111759,3854633.339999999850988,10811301.219999998807907
FS( 27 ),3761643.689999999478459,3294334.010000000242144,3872695.119999999646097,10928673.819999998435378
FS( 28 ),3787954.819999999366701,3335540.489999999757856,3887019.979999999515712,11010516.289999999105930
FS( 29 ),3818579.250000000000000,3338483.810000000055879,3922520.719999999739230,11079584.780000001192093
FS( 30 ),3834107.129999999888241,3326710.530000000260770,3925634.819999999832362,11086453.480000000447035
FS( 31 ),3742665.169999999459833,3162620.439999999944121,3835948.740000000223517,10741235.349999999627471
FS( 32 ),3747841.129999999888241,3172186.229999999981374,3911932.779999999795109,10831961.139999998733401
FS( 33 ),3739214.529999999795109,3175129.549999999813735,3863352.819999999832362,10777697.900000000372529
FS( 34 ),3714628.720000000204891,3162620.439999999944121,3717612.939999999944121,10594863.099999999627471
FS( 35 ),3793993.439999999478459,3201619.430000000167638,3739411.639999999664724,10735025.509999997913837
FS( 36 ),3749997.779999999795109,3247240.890000000130385,3688340.399999999906868,10685580.070000000298023
FS( 37 ),3803482.700000000186265,3317880.570000000298023,3645988.639999999664724,10767352.910000000149012
FS( 38 ),3917785.149999999906868,3370860.330000000074506,3661559.139999999664724,10950205.620000001043081
FS( 39 ),3954016.869999999646097,3559968.640000000130385,3695814.240000000223517,11209800.750000000000000
FS( 40 ),4004913.809999999590218,3501838.070000000298023,3704533.719999999739230,11211286.599999999627471
FS( 41 ),3963937.459999999962747,3548931.189999999944121,3737543.179999999701977,11250412.830000000074506
FS( 42 ),3942802.289999999571592,3553346.169999999925494,3732560.619999999646097,11228710.079999998211861
FS( 43 ),3932881.700000000186265,3473876.530000000260770,3719481.399999999906868,11126240.630000000819564
FS( 44 ),3977308.689999999478459,3470933.210000000428408,3704533.719999999739230,11152776.620000001043081
FS( 45 ),4043302.179999999701977,3558496.979999999981374,3669655.799999999813735,11271455.960000000894070
FS( 46 ),4062712.029999999795109,3563647.790000000037253,3749376.760000000242144,11375737.580000000074506
FS( 47 ),4088591.830000000074506,3619570.870000000111759,3768061.359999999869615,11476225.060000000521541
FS( 48 ),4056242.080000000074506,3616627.549999999813735,3893248.179999999701977,11566118.809999998658895
FS( 49 ),4080827.889999999664724,3659305.689999999944121,3862107.179999999701977,11602241.759999999776483
FS( 50 ),4064868.679999999701977,3610740.910000000149012,3918160.979999999515712,11593771.570000000298023
FS( 51 ),4087297.839999999850988,3599703.460000000428408,3885774.339999999850988,11572776.640000000596046
FS( 52 ),4145527.389999999664724,3660041.520000000018626,3844668.219999999739230,11650238.129999998956919
FS( 53 ),4184778.419999999459833,3703455.489999999757856,3837194.379999999888241,11725429.289999999105930
FS( 54 ),4165799.899999999906868,3678437.270000000018626,3870203.839999999850988,11714442.009999999776483
FS( 55 ),4266731.120000000111759,3753491.930000000167638,3913801.240000000223517,11934025.290000000968575
FS( 56 ),4258104.519999999552965,3731417.030000000260770,3896362.279999999795109,11885884.830000000074506
FS( 57 ),4259398.509999999776483,3749076.950000000186265,3915669.699999999720603,11924146.160000000149012
FS( 58 ),4224029.450000000186265,3679908.930000000167638,3878923.319999999832362,11782862.700000001117587
FS( 59 ),4302531.509999999776483,3678437.270000000018626,3883905.879999999888241,11864875.660000000149012
FS( 60 ),4313314.759999999776483,3676229.780000000260770,3865221.279999999795109,11854766.820000000298023
FS( 61 ),4318059.389999999664724,3671814.799999999813735,3944942.240000000223517,11934817.429999999701977
FS( 62 ),4274063.729999999515712,3661513.180000000167638,3945565.060000000055879,11881142.970000000670552
FS( 63 ),4336606.580000000074506,3646796.580000000074506,4027154.479999999515712,12010558.640000000596046
FS( 64 ),4271044.419999999925494,3610740.910000000149012,3900722.020000000018626,11782508.349999999627471
FS( 65 ),4345233.179999999701977,3598231.799999999813735,3911309.959999999497086,11854775.939999999478459
FS( 66 ),4296492.889999999664724,3627665.000000000000000,3883905.879999999888241,11808064.769999999552965
FS( 67 ),4248183.929999999701977,3526856.290000000037253,3845913.859999999869615,11620955.080000000074506
FS( 68 ),4302962.839999999850988,3551138.680000000167638,3856501.799999999813735,11710604.320000000298023
FS( 69 ),4420715.929999999701977,3599703.460000000428408,3896985.100000000093132,11917405.490000000223517
FS( 70 ),4409932.679999999701977,3597495.970000000204891,3966118.119999999646097,11973547.769999999552965
FS( 71 ),4388797.509999999776483,3562911.960000000428408,3981688.619999999646097,11933399.089999999850988
FS( 72 ),4351271.799999999813735,3540837.060000000055879,3975460.419999999925494,11867570.279999999329448
FS( 73 ),4406482.040000000037253,3630608.320000000298023,3995390.660000000149012,12032482.019999999552965
FS( 74 ),4392248.149999999441206,3563647.790000000037253,3973591.959999999497086,11929488.899999998509884
FS( 75 ),4444007.750000000000000,3577628.560000000055879,4009092.700000000186265,12030730.010000001639128
FS( 76 ),4489297.399999999441206,3627665.000000000000000,4090682.120000000111759,12207645.519999999552965
FS( 77 ),4410364.009999999776483,3573213.580000000074506,4064523.680000000167638,12048102.269999999552965
FS( 78 ),4297786.879999999888241,3478291.510000000242144,3973591.959999999497086,11749671.349999999627471
FS( 79 ),4312452.099999999627471,3419425.109999999869615,3979820.159999999683350,11711698.369999999180436
FS( 80 ),4220578.809999999590218,3389991.910000000149012,4026531.660000000149012,11637103.379999998956919
FS( 81 ),4255947.870000000111759,3405444.340000000316650,3969232.219999999739230,11630625.429999999701977
FS( 82 ),4345664.509999999776483,3374539.479999999981374,4034628.319999999832362,11754833.310000000521541
FS( 83 ),4449183.709999999962747,3389991.910000000149012,4116217.740000000223517,11955394.359999999403954
FS( 84 ),4418559.279999999329448,3370860.330000000074506,4078225.720000000204891,11867646.330000000074506
FS( 85 ),4453065.679999999701977,3405444.340000000316650,4087568.019999999552965,11946079.039999999105930
FS( 86 ),4376720.269999999552965,3399557.700000000186265,4065146.499999999534339,11841425.469999998807907
FS( 87 ),4437969.129999999888241,3398086.040000000037253,4081962.640000000130385,11918018.810000000521541
FS( 88 ),4494473.360000000335276,3425311.750000000000000,4121200.299999999813735,12040986.410000000149012
FS( 89 ),4501805.969999999739230,3467254.060000000055879,4207772.279999999329448,12176833.309999998658895
FS( 90 ),4515177.200000000186265,3565119.450000000186265,4233307.900000000372529,12313605.550000000745058
FS( 91 ),4550546.259999999776483,3540837.060000000055879,4215868.939999999478459,12307253.259999999776483
FS( 92 ),4610069.799999999813735,3583515.200000000186265,4257597.879999998956919,12451183.879999998956919
