代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11811662.920000001788139
真實報酬,1811662.920000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14421.405586552837121
風險,109716.800023750343826
起點值,0.131442090759401
找到最佳解世代,2376
找到最佳解實驗#,5
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
BA[2](19),CAT[3](5),DD[7](2),MRK[17](16),MSFT[18](7),
Stock#,BA[2](19),CAT[3](5),DD[7](2),MRK[17](16),MSFT[18](7),
張數,16985,23877,36656,41034,59559,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,16.250000000000000,62.479999999981374,48.639999999897555,2.839999999850988,8.780000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2001528.650000000139698,2007401.869999999878928,2020160.799999999813735,1984817.419999999692664,2020250.060000000055879,10034158.800000000745058
FS( 3 ),1957367.649999999906868,2005014.169999999925494,2023826.399999999906868,1984407.079999999841675,2016676.520000000018626,9987291.820000000298023
FS( 4 ),1990658.250000000000000,2010505.880000000121072,2087607.840000000083819,1979072.659999999683350,2017867.700000000186265,10085712.329999998211861
FS( 5 ),1981995.899999999906868,1994508.290000000037253,2054250.879999999888241,1965121.099999999860302,1983323.479999999748543,9979199.650000000372529
FS( 6 ),1960764.649999999906868,1978271.929999999934807,2010996.799999999813735,1959376.339999999850988,1966051.369999999878928,9875461.089999999850988
FS( 7 ),1944289.199999999953434,1994269.519999999785796,2031890.719999999972060,1939680.020000000018626,1969624.910000000149012,9879754.369999999180436
FS( 8 ),2019532.750000000000000,2023160.690000000176951,2108868.320000000298023,1948707.500000000000000,2010720.619999999878928,10110989.880000000819564
FS( 9 ),2003906.550000000046566,2044172.449999999953434,2144058.080000000074506,1940500.699999999720603,2032757.450000000186265,10165395.230000000447035
FS( 10 ),2029044.349999999860302,2059214.959999999962747,2130861.919999999925494,1918342.339999999850988,2051816.330000000307336,10189279.900000000372529
FS( 11 ),2007303.550000000046566,2047515.229999999981374,2110701.120000000111759,1910956.219999999972060,2054198.690000000176951,10130674.810000000521541
FS( 12 ),2043991.150000000139698,2059931.269999999785796,2146990.559999999590218,1935576.619999999878928,2063132.540000000037253,10249622.140000000596046
FS( 13 ),2077111.900000000139698,2049902.929999999934807,2160553.280000000260770,1933114.579999999841675,2079809.060000000055879,10300491.750000000000000
