代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12237212.670000001788139
真實報酬,2237212.670000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18364.182952184677561
風險,178242.358467367623234
起點值,0.103029286136532
找到最佳解世代,1769
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
BA[2](6),MCD[15](1),NKE[19](15),PG[21](4),UNH[23](20),
Stock#,BA[2](6),MCD[15](1),NKE[19](15),PG[21](4),UNH[23](20),
張數,41008,35945,147167,37721,73179,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,39.839999999850988,20.199999999953434,0.469999999972060,32.579999999841675,17.930000000167638,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1984827.039999999804422,1990294.849999999860302,1961736.580000000074506,1991701.379999999655411,2097328.070000000298023,10025887.919999999925494
FS( 3 ),1987287.519999999785796,1997483.849999999860302,1976453.280000000027940,1994341.849999999860302,2112695.660000000149012,10068262.160000000149012
FS( 4 ),2015583.039999999804422,2017972.500000000000000,1995584.989999999990687,1993964.639999999897555,2113427.450000000186265,10136532.620000001043081
FS( 5 ),2029935.839999999850988,2020848.099999999860302,2032376.739999999990687,2044510.780000000027940,2037321.290000000270084,10164992.750000000000000
FS( 6 ),2072174.079999999841675,1980230.250000000000000,2036791.750000000000000,2027913.539999999804422,2078301.530000000027940,10195411.150000000372529
FS( 7 ),2070533.760000000009313,1971603.449999999953434,2039735.089999999850988,2113917.419999999925494,2130258.620000000111759,10326048.339999999850988
FS( 8 ),2105800.640000000130385,1955068.750000000000000,2023546.719999999972060,2098829.019999999552965,2127331.459999999962747,10310576.589999999850988
FS( 9 ),2090217.599999999860302,1949317.549999999813735,2020603.380000000121072,2086003.879999999655411,2104645.970000000204891,10250788.379999998956919
FS( 10 ),2135326.399999999906868,1976276.299999999813735,2011773.359999999869615,2075819.209999999962747,2027076.230000000214204,10226271.500000000000000
FS( 11 ),2147218.719999999739230,2029834.349999999860302,2104488.570000000298023,2086381.089999999850988,2143430.840000000316650,10511353.570000000298023
FS( 12 ),2168542.879999999888241,2029474.899999999906868,2136865.309999999590218,2094679.709999999962747,2147089.790000000037253,10576652.589999999850988
FS( 13 ),2174284.000000000000000,2048885.199999999953434,2155997.020000000484288,2162200.299999999813735,2091473.750000000000000,10632840.269999999552965
FS( 14 ),2167722.719999999739230,2017972.500000000000000,2154525.349999999627471,2153901.679999999701977,2092205.540000000270084,10586327.790000000968575
FS( 15 ),2179204.959999999962747,2006110.650000000139698,2154525.349999999627471,2159182.620000000111759,2018294.750000000000000,10517318.330000000074506
FS( 16 ),2147628.799999999813735,1996405.500000000000000,2145695.330000000074506,2159559.830000000074506,1952433.650000000139698,10401723.110000001266599
FS( 17 ),2123844.159999999683350,2017253.599999999860302,2139808.649999999441206,2181815.219999999739230,1904867.300000000279397,10367588.929999999701977
FS( 18 ),2112772.000000000000000,2047087.949999999953434,2157468.690000000409782,2188227.790000000037253,1854373.790000000270084,10359930.220000000670552
FS( 19 ),2176334.399999999906868,2054995.850000000093132,2170713.719999999739230,2193885.939999999478459,1888036.130000000121072,10483966.040000000968575
FS( 20 ),2239896.799999999813735,2054995.850000000093132,2210448.809999999590218,2184455.689999999478459,1879254.650000000139698,10569051.799999998882413
FS( 21 ),2220623.039999999571592,2051401.349999999860302,2381162.530000000260770,2184832.899999999441206,1832420.090000000083819,10670439.910000000149012
FS( 22 ),2136966.719999999739230,2039539.500000000000000,2300220.679999999701977,2135795.599999999627471,1814125.340000000083819,10426647.839999999850988
