代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14116441.019999999552965
真實報酬,4116441.019999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35364.309917263883108
風險,202586.305254559003515
起點值,0.174564168455647
找到最佳解世代,2154
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,2
HD[9](1),V[25](2),
Stock#,HD[9](1),V[25](2),
張數,140686,222123,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.560000000521541,11.269999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5063308.700000001117587,5082185.509999999776483,10145494.210000000894070
FS( 3 ),5128024.260000000707805,5175477.169999999925494,10303501.429999999701977
FS( 4 ),5119583.100000000558794,5144379.949999999254942,10263963.050000000745058
FS( 5 ),5253234.800000000745058,5162149.789999999105930,10415384.589999999850988
FS( 6 ),5337646.400000000372529,5250998.989999999292195,10588645.390000000596046
FS( 7 ),5227911.320000000298023,5171034.709999999962747,10398946.030000001192093
FS( 8 ),5233538.760000000707805,5166592.250000000000000,10400131.010000001639128
FS( 9 ),5354528.720000000670552,5284317.439999999478459,10638846.160000000149012
FS( 10 ),5381259.060000000521541,5211016.849999999627471,10592275.910000000149012
FS( 11 ),5355935.580000001005828,5310972.199999999254942,10666907.780000001192093
FS( 12 ),5323577.800000000745058,5186583.320000000298023,10510161.120000001043081
FS( 13 ),5292626.879999999888241,5075521.820000000298023,10368148.699999999254942
FS( 14 ),5329205.240000001154840,5042203.369999999180436,10371408.609999999403954
FS( 15 ),5213842.720000000670552,5064415.669999999925494,10278258.390000000596046
FS( 16 ),5219470.160000001080334,5044424.599999999627471,10263894.760000001639128
FS( 17 ),5137872.280000001192093,4957796.629999999888241,10095668.910000000149012
FS( 18 ),5130837.980000000447035,4944469.250000000000000,10075307.230000000447035
FS( 19 ),5247607.360000000335276,5191025.779999999329448,10438633.140000000596046
FS( 20 ),5481146.120000001043081,5159928.559999999590218,10641074.679999999701977
FS( 21 ),5517724.480000000447035,5384272.789999999105930,10901997.269999999552965
FS( 22 ),5534606.800000000745058,5428697.389999999664724,10963304.190000001341105
FS( 23 ),5619018.400000000372529,5397600.169999999925494,11016618.570000000298023
FS( 24 ),5659817.339999999850988,5335405.729999999515712,10995223.070000000298023
