代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13586895.620000001043081
真實報酬,3586895.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30907.571700307344145
風險,184102.135959923238261
起點值,0.167882743669175
找到最佳解世代,1700
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](3),UNH[23](1),WBA[27](2),
Stock#,HD[9](3),UNH[23](1),WBA[27](2),
張數,36621,39271,56458,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,89.580000000074506,10.520000000018626,52.680000000167638,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3378010.620000000111759,3334118.420000000391155,3373982.760000000242144,10086112.800000000745058
FS( 3 ),3425617.920000000391155,3378101.939999999944121,3431005.340000000316650,10234726.200000001117587
FS( 4 ),3415364.040000000037253,3341579.910000000149012,3424230.379999999888241,10181175.330000000074506
FS( 5 ),3386433.450000000186265,3306236.009999999776483,3378499.400000000372529,10071169.859999999403954
FS( 6 ),3445759.470000000204891,3401664.540000000037253,3469961.360000000335276,10317386.370000001043081
FS( 7 ),3408406.049999999813735,3335689.259999999776483,3475042.580000000074506,10219138.890000000596046
FS( 8 ),3389363.129999999888241,3353361.209999999962747,3556342.100000000093132,10299067.439999999478459
FS( 9 ),3317952.179999999701977,3296810.970000000204891,3426488.700000000186265,10041252.850000001490116
FS( 10 ),3299641.679999999701977,3252434.739999999757856,3426488.700000000186265,9978566.120000001043081
FS( 11 ),3217244.429999999701977,3226515.879999999888241,3441167.780000000260770,9884929.089999999850988
FS( 12 ),3254964.060000000055879,3353361.209999999962747,3409551.300000000279397,10017877.570000000298023
FS( 13 ),3304768.620000000111759,3462927.300000000279397,3402776.340000000316650,10170473.259999999776483
FS( 14 ),3363728.429999999701977,3477064.860000000335276,3398824.280000000260770,10239618.570000000298023
FS( 15 ),3449787.780000000260770,3571707.970000000204891,3475042.580000000074506,10496539.330000000074506
FS( 16 ),3418293.720000000204891,3525368.189999999944121,3472219.680000000167638,10415882.589999999850988
FS( 17 ),3471760.379999999888241,3560319.379999999888241,3504400.740000000223517,10536481.500000000000000
FS( 18 ),3478718.370000000111759,3598804.959999999962747,3537146.379999999888241,10614670.710000000894070
FS( 19 ),3496296.450000000186265,3618047.750000000000000,3563117.060000000055879,10677462.259999999776483
FS( 20 ),3537311.970000000204891,3638075.959999999962747,3596427.280000000260770,10771816.210000000894070
FS( 21 ),3531086.399999999906868,3650642.679999999701977,3547308.820000000298023,10729038.900000000372529
FS( 22 ),3571369.500000000000000,3686772.000000000000000,3554648.360000000335276,10812790.859999999403954
FS( 23 ),3571369.500000000000000,3731148.230000000447035,3625785.439999999944121,10928304.169999999925494
FS( 24 ),3519001.470000000204891,3725257.580000000074506,3668693.520000000484288,10912953.570000000298023
FS( 25 ),3514240.739999999757856,3729970.100000000093132,3683372.600000000093132,10927584.439999999478459
FS( 26 ),3507648.959999999962747,3762172.319999999832362,3707084.959999999962747,10976907.239999998360872
FS( 27 ),3562946.670000000391155,3778273.429999999701977,3762978.380000000353903,11104199.480000000447035
FS( 28 ),3576130.230000000447035,3676168.830000000074506,3778222.040000000037253,11030522.100000001490116
FS( 29 ),3594806.939999999944121,3720937.770000000018626,3826775.920000000391155,11142521.630000000819564
FS( 30 ),3594074.520000000018626,3757852.509999999776483,3810967.680000000167638,11162895.709999999031425
FS( 31 ),3606891.870000000111759,3757459.800000000279397,3807580.200000000186265,11171932.870000001043081
FS( 32 ),3625568.580000000074506,3766099.420000000391155,3780480.359999999869615,11172149.359999999403954
FS( 33 ),3597736.620000000111759,3735075.330000000074506,3778786.620000000577420,11111599.570000000298023
FS( 34 ),3590046.209999999962747,3788483.890000000130385,3757332.580000000074506,11135863.679999999701977
FS( 35 ),3514973.160000000149012,3856030.009999999776483,3842584.160000000149012,11213588.330000000074506
FS( 36 ),3541340.280000000260770,3803799.580000000074506,3827340.500000000465661,11172481.360000001266599
FS( 37 ),3573200.549999999813735,3803406.869999999646097,3801934.400000000372529,11178542.820000000298023
FS( 38 ),3599201.459999999962747,3797908.929999999701977,3816048.900000000372529,11213160.289999999105930
FS( 39 ),3603595.980000000447035,3805370.420000000391155,3823953.020000000484288,11232920.420000001788139
FS( 40 ),3552692.790000000037253,3844641.420000000391155,3828469.660000000149012,11225804.870000001043081
FS( 41 ),3577961.280000000260770,3852888.330000000074506,3865731.939999999944121,11296582.550000000745058
FS( 42 ),3640216.980000000447035,3873309.250000000000000,3873636.060000000055879,11387163.290000000968575
FS( 43 ),3621174.060000000055879,3890195.780000000260770,3826211.339999999850988,11337582.179999999701977
FS( 44 ),3594806.939999999944121,3920434.449999999720603,3768624.180000000167638,11283866.570000000298023
FS( 45 ),3610553.970000000204891,3958527.319999999832362,3804192.719999999739230,11373275.009999999776483
FS( 46 ),3623737.530000000260770,3914151.090000000316650,3833550.880000000353903,11371440.500000001862645
FS( 47 ),3649006.020000000018626,3940069.949999999720603,3873071.479999999981374,11462148.449999999254942
FS( 48 ),3677936.610000000335276,3923968.840000000316650,3823953.020000000484288,11425859.470000002533197
FS( 49 ),3649006.020000000018626,3967166.939999999944121,3872506.900000000372529,11488680.859999999403954
FS( 50 ),3623371.319999999832362,3891373.910000000149012,3847665.380000000353903,11362411.610000001266599
FS( 51 ),3672077.250000000000000,3916507.350000000093132,4122051.260000000242144,11710636.859999999403954
FS( 52 ),3654132.959999999962747,3878414.480000000447035,4206173.679999999701977,11738722.120000001043081
FS( 53 ),3664020.629999999888241,3859171.689999999944121,4146328.200000000186265,11669521.519999999552965
FS( 54 ),3554523.840000000316650,3764135.869999999646097,4087047.300000000279397,11405708.009999999776483
FS( 55 ),3623371.319999999832362,3893337.459999999962747,4064464.100000000093132,11581173.879999998956919
FS( 56 ),3686725.649999999906868,4015077.559999999590218,4199398.720000000670552,11901202.929999999701977
FS( 57 ),3732868.110000000335276,4024895.309999999590218,4134472.020000000484288,11892236.440000001341105
FS( 58 ),3790363.080000000074506,4046494.360000000335276,4193188.339999999850988,12030046.780000001192093
FS( 59 ),3799884.540000000037253,4039032.869999999646097,4319654.259999999776483,12158572.669999999925494
FS( 60 ),3792560.340000000316650,4032356.800000000279397,4328687.540000000968575,12153605.680000001564622
FS( 61 ),3799518.330000000074506,4027251.569999999832362,4316831.359999999403954,12143602.259999999776483
FS( 62 ),3828082.709999999962747,4018611.949999999720603,4335462.500000000000000,12182158.160000000149012
FS( 63 ),3818561.250000000000000,4039032.869999999646097,4293683.580000000074506,12151278.699999999254942
FS( 64 ),3844195.950000000186265,3969915.910000000149012,4302152.280000001192093,12116265.140000000596046
FS( 65 ),3787799.610000000335276,3957741.899999999906868,4290860.679999999701977,12036403.189999999478459
FS( 66 ),3708332.040000000037253,3892552.040000000037253,4206173.679999999701977,11807058.759999999776483
FS( 67 ),3696979.530000000260770,3884697.840000000316650,4216900.699999999254942,11798579.070000000298023
FS( 68 ),3823688.189999999944121,3924361.550000000279397,4324735.480000000447035,12072786.220000000670552
FS( 69 ),3908282.700000000186265,4111684.220000000204891,4378370.580000000074506,12398338.500000000000000
FS( 70 ),3841266.270000000018626,4073198.640000000130385,4272229.540000000968575,12186695.450000001117587
FS( 71 ),3824054.399999999906868,4027251.569999999832362,4273923.280000001192093,12125230.250000000000000
FS( 72 ),3798785.910000000149012,4047672.489999999757856,4249081.759999999776483,12095541.160000000149012
FS( 73 ),3758869.020000000018626,4057882.949999999720603,4233838.099999999627471,12050591.070000000298023
FS( 74 ),3699176.790000000037253,4102259.179999999701977,4221981.919999999925494,12023418.890000000596046
FS( 75 ),3813068.100000000093132,4153704.189999999944121,4292554.419999999925494,12259327.710000000894070
FS( 76 ),3781207.830000000074506,4147813.540000000037253,4293683.580000000074506,12222705.949999999254942
FS( 77 ),3791461.709999999962747,4293116.240000000223517,4267712.900000000372529,12352291.850000001490116
FS( 78 ),3884479.049999999813735,4471013.869999999180436,4291989.839999999850988,12647483.759999997913837
FS( 79 ),3858844.350000000093132,4398362.519999999552965,4267712.900000000372529,12524920.769999999552965
