代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11027645.220000000670552
真實報酬,1027645.220000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11731.803672392885346
風險,260547.146100746380398
起點值,0.045027565444361
找到最佳解世代,2399
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 72 ),10919415.640000002458692,10919415.640000002458692
FS( 73 ),10900127.200000001117587,10900127.200000001117587
FS( 74 ),10982638.860000001266599,10982638.860000001266599
FS( 75 ),10893697.720000000670552,10893697.720000000670552
FS( 76 ),10925845.120000001043081,10925845.120000001043081
FS( 77 ),11039432.600000001490116,11039432.600000001490116
FS( 78 ),11026573.640000002458692,11026573.640000002458692
FS( 79 ),11096226.340000001713634,11096226.340000001713634
FS( 80 ),11149805.340000001713634,11149805.340000001713634
FS( 81 ),11105870.560000000521541,11105870.560000000521541
FS( 82 ),11117657.940000001341105,11117657.940000001341105
FS( 83 ),11111228.460000000894070,11111228.460000000894070
FS( 84 ),11083367.380000002682209,11083367.380000002682209
FS( 85 ),11106942.140000002458692,11106942.140000002458692
FS( 86 ),11248390.700000001117587,11248390.700000001117587
FS( 87 ),11215171.720000000670552,11215171.720000000670552
FS( 88 ),11214100.140000002458692,11214100.140000002458692
FS( 89 ),11224815.940000001341105,11224815.940000001341105
FS( 90 ),11258034.920000001788139,11258034.920000001788139
FS( 91 ),11329830.780000001192093,11329830.780000001192093
FS( 92 ),11403769.800000000745058,11403769.800000000745058
FS( 93 ),11342689.740000000223517,11342689.740000000223517
FS( 94 ),11364121.340000001713634,11364121.340000001713634
FS( 95 ),11359835.020000001415610,11359835.020000001415610
FS( 96 ),11054434.720000000670552,11054434.720000000670552
FS( 97 ),11111228.460000000894070,11111228.460000000894070
FS( 98 ),11067293.680000001564622,11067293.680000001564622
FS( 99 ),11343761.320000002160668,11343761.320000002160668
FS( 100 ),11228030.680000001564622,11228030.680000001564622
FS( 101 ),11410199.280000001192093,11410199.280000001192093
FS( 102 ),11244104.380000002682209,11244104.380000002682209
FS( 103 ),11311613.920000001788139,11311613.920000001788139
FS( 104 ),11367336.080000001937151,11367336.080000001937151
FS( 105 ),11324472.880000002682209,11324472.880000002682209
FS( 106 ),11219458.040000000968575,11219458.040000000968575
FS( 107 ),11259106.500000000000000,11259106.500000000000000
FS( 108 ),11170165.360000001266599,11170165.360000001266599
FS( 109 ),11359835.020000001415610,11359835.020000001415610
FS( 110 ),11370550.820000002160668,11370550.820000002160668
FS( 111 ),11315900.240000000223517,11315900.240000000223517
FS( 112 ),11433774.040000000968575,11433774.040000000968575
FS( 113 ),11584866.820000002160668,11584866.820000002160668
FS( 114 ),11514142.540000000968575,11514142.540000000968575
FS( 115 ),11501283.580000001937151,11501283.580000001937151
FS( 116 ),11398411.900000002235174,11398411.900000002235174
FS( 117 ),11435917.200000001117587,11435917.200000001117587
FS( 118 ),11440203.520000001415610,11440203.520000001415610
FS( 119 ),11432702.460000000894070,11432702.460000000894070
FS( 120 ),11193740.120000001043081,11193740.120000001043081
FS( 121 ),11164807.460000000894070,11164807.460000000894070
FS( 122 ),11286967.580000001937151,11286967.580000001937151
FS( 123 ),11027645.220000000670552,11027645.220000000670552
